tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,,,,,,,4,10,84,,
0,control_change,0,0,5,,,,,,,,,,,,,,,4,7,100,,
0,program_change,0,0,5,,,,,,,,,,,,,,42,4,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,,,,,,,3,10,44,,
0,control_change,0,0,4,,,,,,,,,,,,,,,3,7,105,,
0,program_change,0,0,4,,,,,,,,,,,,,,41,3,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,,,,,,,0,,,,,,
0,control_change,0,0,3,,,,,,,,,,,,,,,2,10,96,,
0,control_change,0,0,3,,,,,,,,,,,,,,,2,7,110,,
0,program_change,0,0,3,,,,,,,,,,,,,,40,2,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,,,,,,,0,,,,,,
0,control_change,0,0,2,,,,,,,,,,,,,,,1,10,32,,
0,control_change,0,0,2,,,,,,,,,,,,,,,1,7,110,,
0,program_change,0,0,2,,,,,,,,,,,,,,40,1,,,,
0,midi_port,0,1,6,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,,,,,,,5,7,100,,
0,midi_port,0,1,12,,,,,,,,,,,,,0,,,,,,
0,end_of_track,0,1,11,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,11,,,,,,,,,,,,,0,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,,,,,,,,0,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,9,,,,,,,,,,,,,0,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,,,,,,,0,,,,,,
0,control_change,0,0,7,,,,,,,,,,,,,,,6,10,64,,
0,control_change,0,0,7,,,,,,,,,,,,,,,6,7,90,,
0,program_change,0,0,7,,,,,,,,,,,,,,6,6,,,,
0,track_name,0,1,7,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,,,,,,,0,,,,,,
0,control_change,0,0,6,,,,,,,,,,,,,,,5,10,64,,
0,program_change,0,0,6,,,,,,,,,,,,,,43,5,,,,
0,midi_port,0,1,2,,,,,,,,,,,,,0,,,,,,
0,end_of_track,0,1,12,,,,,,,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,,,,,,,2142857,,,,,,,
0,midi_port,0,1,1,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,,,,,,,40,0,,,,
0,control_change,0,0,1,,,,,,,,,,,,,,,0,7,115,,
0,control_change,0,0,1,,,,,,,,,,,,,,,0,10,64,,
0,key_signature,0,1,0,,,,,,,,,,,C,,,,,,,,
0,time_signature,0,1,0,,,,,,,4,4,24,8,,,,,,,,,
0,smpte_offset,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,,
0,end_of_track,0,1,0,,,,,,,,,,,,,,,,,,,
7,note_on,7,0,3,,,,,,,,,,,,,,,2,,,64,100
7,note_on,7,0,5,,,,,,,,,,,,,,,4,,,48,100
