tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,control,value,channel,program,note,velocity
0,time_signature,1,4,24,8,0,1,0,,,,,,,,
0,control_change,,,,,0,0,12,,,121,127,12,,,
0,program_change,,,,,0,0,12,,,,,12,52,,
0,track_name,,,,,0,1,12,,,,,,,,
0,program_change,,,,,0,0,8,,,,,7,48,,
0,control_change,,,,,0,0,11,,,10,40,11,,,
0,control_change,,,,,0,0,11,,,1,10,11,,,
0,control_change,,,,,0,0,12,,,91,127,12,,,
0,control_change,,,,,0,0,11,,,91,127,11,,,
0,program_change,,,,,0,0,11,,,,,11,52,,
0,track_name,,,,,0,1,11,,,,,,,,
0,control_change,,,,,0,0,5,,,1,10,4,,,
0,control_change,,,,,0,0,5,,,10,60,4,,,
0,control_change,,,,,0,0,5,,,91,127,4,,,
0,control_change,,,,,0,0,5,,,121,127,4,,,
0,control_change,,,,,0,0,11,,,121,127,11,,,
0,program_change,,,,,0,0,5,,,,,4,70,,
0,control_change,,,,,0,0,12,,,1,10,12,,,
0,control_change,,,,,0,0,15,,,10,80,15,,,
0,control_change,,,,,0,0,13,,,91,127,13,,,
0,control_change,,,,,0,0,13,,,121,127,13,,,
0,program_change,,,,,0,0,13,,,,,13,52,,
0,track_name,,,,,0,1,13,,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,,
0,program_change,,,,,0,0,4,,,,,2,73,,
0,control_change,,,,,0,0,12,,,10,60,12,,,
0,control_change,,,,,0,0,4,,,121,127,2,,,
0,control_change,,,,,0,0,4,,,10,40,2,,,
0,control_change,,,,,0,0,4,,,1,10,2,,,
0,track_name,,,,,0,1,15,,,,,,,,
0,program_change,,,,,0,0,15,,,,,15,19,,
0,control_change,,,,,0,0,15,,,121,127,15,,,
0,control_change,,,,,0,0,15,,,91,127,15,,,
0,control_change,,,,,0,0,4,,,91,127,2,,,
0,control_change,,,,,0,0,13,,,1,10,13,,,
0,track_name,,,,,0,1,5,,,,,,,,
0,program_change,,,,,0,0,6,,,,,5,48,,
0,control_change,,,,,0,0,7,,,121,127,6,,,
0,control_change,,,,,0,0,7,,,91,127,6,,,
0,control_change,,,,,0,0,7,,,10,50,6,,,
0,control_change,,,,,0,0,7,,,1,10,6,,,
0,control_change,,,,,0,0,9,,,1,10,8,,,
0,control_change,,,,,0,0,9,,,10,90,8,,,
0,program_change,,,,,0,0,7,,,,,6,48,,
0,control_change,,,,,0,0,9,,,91,127,8,,,
0,program_change,,,,,0,0,9,,,,,8,48,,
0,track_name,,,,,0,1,9,,,,,,,,
0,control_change,,,,,0,0,8,,,1,10,7,,,
0,control_change,,,,,0,0,8,,,10,70,7,,,
0,control_change,,,,,0,0,8,,,91,127,7,,,
0,control_change,,,,,0,0,8,,,121,127,7,,,
0,control_change,,,,,0,0,9,,,121,127,8,,,
