tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,pitch,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,,,,,,,0,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-320,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-160,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-480,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-322,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-155,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-482,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-80,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-400,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-240,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-316,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-402,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,0,,
0,program_change,0,0,1,,,,,,,,,,,,,,0,0,,,
0,end_of_track,0,1,2,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,,,,,,,0,,,,,
0,smpte_offset,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,
0,time_signature,0,1,0,,,,,,,6,4,24,8,,,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,C,,,,,,,
0,set_tempo,0,1,0,,,,,,,,,,,,666667,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,
64,note_on,64,0,1,,,,,,,,,,,,,,,0,,79,127
256,note_on,192,0,1,,,,,,,,,,,,,,,0,,82,127
318,note_on,62,0,1,,,,,,,,,,,,,,,0,,82,0
320,note_on,2,0,1,,,,,,,,,,,,,,,0,,81,127
376,note_on,56,0,1,,,,,,,,,,,,,,,0,,79,0
382,note_on,6,0,1,,,,,,,,,,,,,,,0,,81,0
384,note_on,2,0,1,,,,,,,,,,,,,,,0,,79,127
446,note_on,62,0,1,,,,,,,,,,,,,,,0,,79,0
448,note_on,2,0,1,,,,,,,,,,,,,,,0,,78,127
510,note_on,62,0,1,,,,,,,,,,,,,,,0,,78,0
512,note_on,2,0,1,,,,,,,,,,,,,,,0,,81,127
574,note_on,62,0,1,,,,,,,,,,,,,,,0,,81,0
576,note_on,2,0,1,,,,,,,,,,,,,,,0,,74,127
638,note_on,62,0,1,,,,,,,,,,,,,,,0,,74,0
640,note_on,2,0,1,,,,,,,,,,,,,,,0,,72,127
702,note_on,62,0,1,,,,,,,,,,,,,,,0,,72,0
704,note_on,2,0,1,,,,,,,,,,,,,,,0,,74,127
766,note_on,62,0,1,,,,,,,,,,,,,,,0,,74,0
768,note_on,2,0,1,,,,,,,,,,,,,,,0,,69,127
830,note_on,62,0,1,,,,,,,,,,,,,,,0,,69,0
832,note_on,2,0,1,,,,,,,,,,,,,,,0,,70,127
894,note_on,62,0,1,,,,,,,,,,,,,,,0,,70,0
896,note_on,2,0,1,,,,,,,,,,,,,,,0,,74,127
958,note_on,62,0,1,,,,,,,,,,,,,,,0,,74,0
960,note_on,2,0,1,,,,,,,,,,,,,,,0,,67,127
1216,note_on,256,0,1,,,,,,,,,,,,,,,0,,70,127
1278,note_on,62,0,1,,,,,,,,,,,,,,,0,,70,0
1280,note_on,2,0,1,,,,,,,,,,,,,,,0,,69,127
1336,note_on,56,0,1,,,,,,,,,,,,,,,0,,67,0
1342,note_on,6,0,1,,,,,,,,,,,,,,,0,,69,0
1344,note_on,2,0,1,,,,,,,,,,,,,,,0,,67,127
