tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,program,channel,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,
0,track_name,,,,,0,1,2,,,,,,
0,program_change,,,,,0,0,2,,,0,1,,
0,note_on,,,,,0,0,2,,,,1,59,96
0,note_on,,,,,0,0,4,,,,3,52,96
0,program_change,,,,,0,0,4,,,0,3,,
0,track_name,,,,,0,1,3,,,,,,
0,program_change,,,,,0,0,3,,,0,2,,
0,note_on,,,,,0,0,3,,,,2,55,96
0,track_name,,,,,0,1,4,,,,,,
0,set_tempo,,,,,0,1,0,,681818,,,,
0,note_on,,,,,0,0,1,,,,0,64,96
0,key_signature,,,,,0,1,0,Em,,,,,
0,program_change,,,,,0,0,1,,,0,0,,
0,track_name,,,,,0,1,1,,,,,,
1024,note_off,,,,,1024,0,2,,,,1,59,0
1024,note_on,,,,,0,0,3,,,,2,55,96
1024,note_off,,,,,1024,0,3,,,,2,55,0
1024,note_on,,,,,0,0,1,,,,0,64,96
1024,note_off,,,,,1024,0,1,,,,0,64,0
1024,note_on,,,,,0,0,2,,,,1,59,96
1536,note_on,,,,,0,0,4,,,,3,54,96
1536,note_off,,,,,1536,0,4,,,,3,52,0
1536,note_off,,,,,512,0,3,,,,2,55,0
1536,note_on,,,,,0,0,3,,,,2,57,96
2048,note_off,,,,,512,0,3,,,,2,57,0
2048,note_off,,,,,1024,0,2,,,,1,59,0
2048,note_on,,,,,0,0,1,,,,0,71,96
2048,note_off,,,,,1024,0,1,,,,0,64,0
2048,note_off,,,,,512,0,4,,,,3,54,0
2048,note_on,,,,,0,0,4,,,,3,55,96
2048,note_on,,,,,0,0,2,,,,1,64,96
2048,note_on,,,,,0,0,3,,,,2,59,96
2560,note_off,,,,,512,0,2,,,,1,64,0
2560,note_on,,,,,0,0,2,,,,1,66,96
3072,note_off,,,,,512,0,2,,,,1,66,0
3072,note_off,,,,,1024,0,4,,,,3,55,0
3072,note_on,,,,,0,0,3,,,,2,64,96
3072,note_on,,,,,0,0,2,,,,1,67,96
3072,note_on,,,,,0,0,4,,,,3,52,96
3072,note_off,,,,,1024,0,3,,,,2,59,0
3072,note_off,,,,,1024,0,1,,,,0,71,0
3072,note_on,,,,,0,0,1,,,,0,71,96
3584,note_off,,,,,512,0,1,,,,0,71,0
3584,note_on,,,,,0,0,1,,,,0,72,96
4096,note_off,,,,,1024,0,2,,,,1,67,0
4096,note_off,,,,,512,0,1,,,,0,72,0
4096,note_on,,,,,0,0,1,,,,0,74,96
4096,note_off,,,,,1024,0,3,,,,2,64,0
4096,note_on,,,,,0,0,3,,,,2,62,96
4096,note_on,,,,,0,0,4,,,,3,54,96
4096,note_off,,,,,1024,0,4,,,,3,52,0
4096,note_on,,,,,0,0,2,,,,1,69,96
4608,note_on,,,,,0,0,4,,,,3,50,96
4608,note_off,,,,,512,0,4,,,,3,54,0
4608,note_on,,,,,0,0,2,,,,1,66,96
4608,note_off,,,,,512,0,2,,,,1,69,0
5120,note_on,,,,,0,0,3,,,,2,62,96
5120,note_off,,,,,512,0,2,,,,1,66,0
5120,note_on,,,,,0,0,1,,,,0,71,96
5120,note_off,,,,,1024,0,1,,,,0,74,0
5120,note_off,,,,,512,0,4,,,,3,50,0
5120,note_on,,,,,0,0,4,,,,3,55,96
5120,note_on,,,,,0,0,2,,,,1,67,96
5120,note_off,,,,,1024,0,3,,,,2,62,0
5632,note_on,,,,,0,0,2,,,,1,66,96
5632,note_off,,,,,512,0,2,,,,1,67,0
6144,note_on,,,,,0,0,4,,,,3,60,96
6144,note_off,,,,,1024,0,4,,,,3,55,0
6144,note_on,,,,,0,0,1,,,,0,67,96
6144,note_off,,,,,512,0,2,,,,1,66,0
6144,note_on,,,,,0,0,2,,,,1,64,96
6144,note_on,,,,,0,0,3,,,,2,60,96
6144,note_off,,,,,1024,0,3,,,,2,62,0
6144,note_off,,,,,1024,0,1,,,,0,71,0
6656,note_off,,,,,512,0,4,,,,3,60,0
6656,note_on,,,,,0,0,4,,,,3,59,96
7168,note_off,,,,,1024,0,2,,,,1,64,0
