tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,note,program,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,,1,,16,
0,polytouch,0,0,2,,,,,,,,0,1,60,,
0,control_change,0,0,2,,,,,,,32,0,1,,,
0,control_change,0,0,2,,,,,,,10,93,1,,,
0,control_change,0,0,2,,,,,,,7,100,1,,,
0,control_change,0,0,2,,,,,,,0,0,1,,,
0,program_change,0,0,1,,,,,,,,,0,,16,
0,polytouch,0,0,1,,,,,,,,0,0,60,,
0,control_change,0,0,1,,,,,,,32,0,0,,,
0,end_of_track,0,1,3,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,7,110,0,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,517241,,,,,,
0,control_change,0,0,1,,,,,,,10,33,0,,,
0,control_change,0,0,1,,,,,,,0,0,0,,,
0,end_of_track,0,1,0,,,,,,,,,,,,
240,note_on,240,0,1,,,,,,,,,0,64,,100
360,note_on,120,0,1,,,,,,,,,0,64,,0
360,note_on,0,0,1,,,,,,,,,0,69,,100
450,note_on,0,0,1,,,,,,,,,0,71,,100
450,note_on,90,0,1,,,,,,,,,0,69,,0
480,note_on,30,0,1,,,,,,,,,0,71,,0
480,note_on,0,0,1,,,,,,,,,0,72,,100
600,note_on,0,0,1,,,,,,,,,0,71,,100
600,note_on,600,0,2,,,,,,,,,1,52,,100
600,note_on,120,0,1,,,,,,,,,0,72,,0
720,note_on,0,0,1,,,,,,,,,0,72,,100
720,note_on,120,0,2,,,,,,,,,1,52,,0
720,note_on,0,0,2,,,,,,,,,1,57,,100
720,note_on,120,0,1,,,,,,,,,0,71,,0
810,note_on,90,0,2,,,,,,,,,1,57,,0
810,note_on,0,0,2,,,,,,,,,1,59,,100
840,note_on,30,0,2,,,,,,,,,1,59,,0
840,note_on,0,0,2,,,,,,,,,1,60,,100
840,note_on,0,0,1,,,,,,,,,0,69,,100
840,note_on,120,0,1,,,,,,,,,0,72,,0
957,note_on,117,0,1,,,,,,,,,0,69,,0
960,note_on,120,0,2,,,,,,,,,1,60,,0
960,note_on,0,0,2,,,,,,,,,1,59,,100
960,note_on,3,0,1,,,,,,,,,0,76,,100
1080,note_on,120,0,2,,,,,,,,,1,59,,0
1080,note_on,0,0,2,,,,,,,,,1,60,,100
1200,note_on,0,0,2,,,,,,,,,1,57,,100
1200,note_on,120,0,2,,,,,,,,,1,60,,0
1200,note_on,0,0,1,,,,,,,,,0,76,,100
1200,note_on,240,0,1,,,,,,,,,0,76,,0
1260,note_on,60,0,1,,,,,,,,,0,76,,0
1260,note_on,0,0,1,,,,,,,,,0,74,,100
1317,note_on,117,0,2,,,,,,,,,1,57,,0
1320,note_on,0,0,1,,,,,,,,,0,72,,100
1320,note_on,60,0,1,,,,,,,,,0,74,,0
1320,note_on,3,0,2,,,,,,,,,1,64,,100
1380,note_on,60,0,1,,,,,,,,,0,72,,0
1380,note_on,0,0,1,,,,,,,,,0,71,,100
1440,note_on,60,0,1,,,,,,,,,0,71,,0
1440,note_on,0,0,1,,,,,,,,,0,72,,100
1560,note_on,0,0,1,,,,,,,,,0,69,,100
1560,note_on,120,0,1,,,,,,,,,0,72,,0
1560,note_on,0,0,2,,,,,,,,,1,64,,100
1560,note_on,240,0,2,,,,,,,,,1,64,,0
1620,note_on,60,0,2,,,,,,,,,1,64,,0
1620,note_on,0,0,2,,,,,,,,,1,62,,100
1677,note_on,117,0,1,,,,,,,,,0,69,,0
1680,note_on,60,0,2,,,,,,,,,1,62,,0
1680,note_on,0,0,2,,,,,,,,,1,60,,100
1680,note_on,3,0,1,,,,,,,,,0,77,,100
1740,note_on,60,0,2,,,,,,,,,1,60,,0
1740,note_on,0,0,2,,,,,,,,,1,59,,100
