tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,note,velocity,control,value
0,text,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,,48,1,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,program_change,0,0,8,,,,,,,,6,6,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,program_change,0,0,7,,,,,,,,53,5,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,48,2,,,,
0,program_change,0,0,6,,,,,,,,48,4,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,program_change,0,0,5,,,,,,,,48,3,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,program_change,0,0,2,,,,,,,,68,0,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,program_change,0,0,1,,,,,,,,68,0,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,set_tempo,0,1,0,,,,,,895522,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,D,,,,,,,,
0,time_signature,0,1,0,6,8,12,8,,,,,,,,,
12,control_change,12,0,8,,,,,,,,,6,,,11,92
270,note_on,270,0,2,,,,,,,,,0,71,75,,
300,note_on,30,0,2,,,,,,,,,0,71,0,,
300,note_on,0,0,2,,,,,,,,,0,70,75,,
330,note_on,30,0,2,,,,,,,,,0,70,0,,
330,note_on,0,0,2,,,,,,,,,0,71,75,,
360,note_on,0,0,2,,,,,,,,,0,66,75,,
360,note_on,30,0,2,,,,,,,,,0,71,0,,
480,note_on,480,0,4,,,,,,,,,2,66,51,,
480,note_on,0,0,8,,,,,,,,,6,71,51,,
480,note_on,0,0,8,,,,,,,,,6,62,51,,
480,note_on,468,0,8,,,,,,,,,6,62,51,,
480,note_on,480,0,6,,,,,,,,,4,62,51,,
480,note_on,480,0,3,,,,,,,,,1,71,51,,
480,note_on,480,0,5,,,,,,,,,3,59,51,,
480,note_on,0,0,8,,,,,,,,,6,66,51,,
510,note_on,0,0,8,,,,,,,,,6,71,0,,
510,note_on,0,0,8,,,,,,,,,6,66,0,,
510,note_on,0,0,8,,,,,,,,,6,62,0,,
510,note_on,30,0,6,,,,,,,,,4,62,0,,
510,note_on,30,0,3,,,,,,,,,1,71,0,,
510,note_on,30,0,5,,,,,,,,,3,59,0,,
510,note_on,30,0,8,,,,,,,,,6,62,0,,
510,note_on,30,0,4,,,,,,,,,2,66,0,,
540,note_on,30,0,4,,,,,,,,,2,64,51,,
540,note_on,30,0,5,,,,,,,,,3,61,51,,
540,note_on,30,0,3,,,,,,,,,1,70,51,,
540,note_on,30,0,8,,,,,,,,,6,61,51,,
540,note_on,0,0,8,,,,,,,,,6,64,51,,
540,note_on,0,0,8,,,,,,,,,6,70,51,,
540,note_on,0,0,8,,,,,,,,,6,61,51,,
540,note_on,30,0,6,,,,,,,,,4,61,51,,
570,note_on,30,0,6,,,,,,,,,4,61,0,,
570,note_on,30,0,3,,,,,,,,,1,70,0,,
570,note_on,30,0,5,,,,,,,,,3,61,0,,
570,note_on,0,0,8,,,,,,,,,6,64,0,,
570,note_on,30,0,8,,,,,,,,,6,61,0,,
570,note_on,0,0,8,,,,,,,,,6,70,0,,
570,note_on,30,0,4,,,,,,,,,2,64,0,,
570,note_on,0,0,8,,,,,,,,,6,61,0,,
600,note_on,0,0,8,,,,,,,,,6,59,51,,
600,note_on,30,0,5,,,,,,,,,3,62,51,,
600,note_on,30,0,4,,,,,,,,,2,62,51,,
600,note_on,30,0,3,,,,,,,,,1,71,51,,
600,note_on,30,0,6,,,,,,,,,4,59,51,,
600,note_on,0,0,8,,,,,,,,,6,71,51,,
600,note_on,0,0,8,,,,,,,,,6,66,51,,
600,note_on,30,0,8,,,,,,,,,6,62,51,,
630,note_on,30,0,6,,,,,,,,,4,59,0,,
630,note_on,0,0,8,,,,,,,,,6,66,0,,
630,note_on,30,0,3,,,,,,,,,1,71,0,,
630,note_on,30,0,8,,,,,,,,,6,59,0,,
630,note_on,0,0,8,,,,,,,,,6,62,0,,
630,note_on,30,0,5,,,,,,,,,3,62,0,,
630,note_on,0,0,8,,,,,,,,,6,71,0,,
630,note_on,30,0,4,,,,,,,,,2,62,0,,
630,note_on,270,0,2,,,,,,,,,0,66,0,,
630,note_on,0,0,2,,,,,,,,,0,73,75,,
660,note_on,30,0,2,,,,,,,,,0,73,0,,
660,note_on,0,0,2,,,,,,,,,0,71,75,,
690,note_on,30,0,2,,,,,,,,,0,71,0,,
690,note_on,0,0,2,,,,,,,,,0,73,75,,
720,note_on,0,0,2,,,,,,,,,0,66,75,,
720,note_on,30,0,2,,,,,,,,,0,73,0,,
840,note_on,210,0,3,,,,,,,,,1,66,51,,
840,note_on,0,0,8,,,,,,,,,6,58,51,,
840,note_on,210,0,6,,,,,,,,,4,58,51,,
840,note_on,0,0,8,,,,,,,,,6,66,51,,
840,note_on,210,0,8,,,,,,,,,6,61,51,,
840,note_on,210,0,4,,,,,,,,,2,73,51,,
840,note_on,210,0,5,,,,,,,,,3,66,51,,
870,note_on,30,0,8,,,,,,,,,6,58,0,,
870,note_on,0,0,8,,,,,,,,,6,66,0,,
870,note_on,30,0,5,,,,,,,,,3,66,0,,
870,note_on,0,0,8,,,,,,,,,6,61,0,,
870,note_on,30,0,3,,,,,,,,,1,66,0,,
870,note_on,30,0,6,,,,,,,,,4,58,0,,
870,note_on,30,0,4,,,,,,,,,2,73,0,,
900,note_on,30,0,5,,,,,,,,,3,61,51,,
900,note_on,30,0,8,,,,,,,,,6,58,51,,
900,note_on,0,0,8,,,,,,,,,6,64,51,,
900,note_on,0,0,8,,,,,,,,,6,54,51,,
900,note_on,30,0,4,,,,,,,,,2,70,51,,
