tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity
0,time_signature,1,16,6,8,0,1,0,,,,,
0,program_change,,,,,0,0,2,,0,1,,
0,track_name,,,,,0,1,2,,,,,
0,track_name,,,,,0,1,3,,,,,
0,note_on,,,,,0,0,1,,,0,74,100
0,program_change,,,,,0,0,1,,0,0,,
0,track_name,,,,,0,1,1,,,,,
0,end_of_track,,,,,0,1,3,,,,,
0,set_tempo,,,,,0,1,0,857143,,,,
48,note_off,,,,,48,0,1,,,0,74,64
60,set_tempo,,,,,0,1,0,833333,,,,
60,note_on,,,,,0,0,1,,,0,65,100
60,note_on,,,,,0,0,1,,,0,69,100
60,note_on,,,,,0,0,1,,,0,62,100
60,note_on,,,,,12,0,1,,,0,74,100
60,time_signature,4,4,24,8,60,1,0,,,,,
120,note_on,,,,,120,0,2,,,1,57,100
144,note_off,,,,,24,0,2,,,1,57,64
150,note_on,,,,,6,0,2,,,1,55,100
174,note_off,,,,,24,0,2,,,1,55,64
180,note_on,,,,,6,0,2,,,1,53,100
204,note_off,,,,,24,0,2,,,1,53,64
210,note_on,,,,,6,0,2,,,1,55,100
234,note_off,,,,,24,0,2,,,1,55,64
240,note_on,,,,,6,0,2,,,1,57,100
252,note_off,,,,,192,0,1,,,0,65,64
252,note_off,,,,,0,0,1,,,0,69,64
252,note_off,,,,,0,0,1,,,0,62,64
288,note_off,,,,,48,0,2,,,1,57,64
300,note_on,,,,,0,0,2,,,1,50,100
300,note_on,,,,,12,0,2,,,1,50,100
348,note_off,,,,,96,0,1,,,0,74,64
360,note_on,,,,,12,0,1,,,0,77,100
408,note_off,,,,,48,0,1,,,0,77,64
420,note_on,,,,,12,0,1,,,0,76,100
444,note_off,,,,,144,0,2,,,1,50,64
468,note_off,,,,,48,0,1,,,0,76,64
480,note_on,,,,,36,0,2,,,1,53,100
480,note_on,,,,,12,0,1,,,0,74,100
528,note_off,,,,,48,0,1,,,0,74,64
528,note_off,,,,,48,0,2,,,1,53,64
540,note_on,,,,,12,0,2,,,1,52,100
540,note_on,,,,,12,0,1,,,0,74,100
555,note_off,,,,,15,0,1,,,0,74,64
555,note_on,,,,,0,0,1,,,0,73,100
570,note_off,,,,,15,0,1,,,0,73,64
570,note_on,,,,,0,0,1,,,0,74,100
585,note_off,,,,,15,0,1,,,0,74,64
585,note_on,,,,,0,0,1,,,0,73,100
588,note_off,,,,,48,0,2,,,1,52,64
600,note_off,,,,,15,0,1,,,0,73,64
600,note_on,,,,,0,0,1,,,0,74,100
600,note_on,,,,,12,0,2,,,1,53,100
648,note_off,,,,,48,0,1,,,0,74,64
648,note_off,,,,,48,0,2,,,1,53,64
660,note_on,,,,,12,0,2,,,1,55,100
660,note_on,,,,,12,0,1,,,0,76,100
708,note_off,,,,,48,0,1,,,0,76,64
720,note_on,,,,,0,0,1,,,0,69,100
720,note_on,,,,,12,0,1,,,0,69,100
768,note_off,,,,,48,0,1,,,0,69,64
