tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,
0,track_name,,,,,0,1,10,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,
0,program_change,,,,,0,0,2,,40,1,,,,
0,control_change,,,,,0,0,2,,,1,7,100,,
0,control_change,,,,,0,0,9,,,3,7,100,,
0,program_change,,,,,0,0,9,,42,3,,,,
0,track_name,,,,,0,1,9,,,,,,,
0,program_change,,,,,0,0,6,,40,0,,,,
0,track_name,,,,,0,1,3,,,,,,,
0,program_change,,,,,0,0,3,,41,2,,,,
0,control_change,,,,,0,0,3,,,2,7,100,,
0,program_change,,,,,0,0,10,,73,4,,,,
0,control_change,,,,,0,0,8,,,2,7,100,,
0,track_name,,,,,0,1,8,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,
0,program_change,,,,,0,0,4,,42,3,,,,
0,control_change,,,,,0,0,4,,,3,7,100,,
0,control_change,,,,,0,0,7,,,1,7,100,,
0,program_change,,,,,0,0,7,,40,1,,,,
0,track_name,,,,,0,1,7,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,
0,program_change,,,,,0,0,5,,73,4,,,,
0,control_change,,,,,0,0,5,,,4,7,127,,
0,control_change,,,,,0,0,6,,,0,7,100,,
0,program_change,,,,,0,0,8,,41,2,,,,
0,control_change,,,,,0,0,10,,,4,7,127,,
0,track_name,,,,,0,1,6,,,,,,,
0,set_tempo,,,,,0,1,0,384615,,,,,,
0,track_name,,,,,0,1,1,,,,,,,
0,control_change,,,,,0,0,1,,,0,7,100,,
0,program_change,,,,,0,0,1,,40,0,,,,
461,note_on,,,,,461,0,1,,,0,,,74,70
462,note_on,,,,,462,0,4,,,3,,,59,53
469,note_on,,,,,469,0,2,,,1,,,71,54
470,note_on,,,,,470,0,5,,,4,,,74,68
476,note_on,,,,,476,0,3,,,2,,,66,66
700,note_on,,,,,239,0,1,,,0,,,73,43
705,note_on,,,,,236,0,2,,,1,,,70,52
708,note_on,,,,,238,0,5,,,4,,,73,50
716,note_off,,,,,16,0,1,,,0,,,74,64
717,note_on,,,,,241,0,3,,,2,,,64,59
722,note_off,,,,,14,0,5,,,4,,,74,64
722,note_off,,,,,17,0,2,,,1,,,71,64
734,note_off,,,,,17,0,3,,,2,,,66,64
817,note_on,,,,,95,0,2,,,1,,,71,59
819,note_off,,,,,2,0,2,,,1,,,70,64
828,note_off,,,,,112,0,1,,,0,,,73,64
833,note_on,,,,,99,0,3,,,2,,,62,51
833,note_off,,,,,111,0,5,,,4,,,73,64
834,note_off,,,,,1,0,3,,,2,,,64,64
924,note_off,,,,,90,0,3,,,2,,,62,64
936,note_off,,,,,117,0,2,,,1,,,71,64
948,note_on,,,,,24,0,3,,,2,,,61,47
950,note_on,,,,,14,0,2,,,1,,,73,26
960,note_on,,,,,127,0,5,,,4,,,66,46
966,note_on,,,,,138,0,1,,,0,,,66,45
1191,note_off,,,,,729,0,4,,,3,,,59,64
1199,note_on,,,,,8,0,4,,,3,,,58,51
1255,note_off,,,,,307,0,3,,,2,,,61,64
1262,note_off,,,,,302,0,5,,,4,,,66,64
1273,note_off,,,,,307,0,1,,,0,,,66,64
1280,note_off,,,,,330,0,2,,,1,,,73,64
1311,note_on,,,,,112,0,4,,,3,,,59,72
1326,note_off,,,,,15,0,4,,,3,,,58,64
1421,note_off,,,,,95,0,4,,,3,,,59,64
1421,note_on,,,,,159,0,5,,,4,,,76,78
1421,note_on,,,,,148,0,1,,,0,,,76,76
1433,note_on,,,,,12,0,4,,,3,,,61,51
1435,note_on,,,,,155,0,2,,,1,,,70,64
1436,note_on,,,,,181,0,3,,,2,,,61,61
1658,note_on,,,,,222,0,3,,,2,,,62,68
1658,note_on,,,,,237,0,1,,,0,,,74,50
1665,note_on,,,,,230,0,2,,,1,,,71,60
1668,note_on,,,,,247,0,5,,,4,,,74,52
1691,note_off,,,,,23,0,5,,,4,,,76,64
1691,note_off,,,,,33,0,3,,,2,,,61,64
1692,note_off,,,,,27,0,2,,,1,,,70,64
1692,note_off,,,,,34,0,1,,,0,,,76,64
1780,note_on,,,,,88,0,2,,,1,,,73,57
1781,note_off,,,,,90,0,3,,,2,,,62,64
