tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,program,channel,control,value,note,velocity
0,time_signature,1,2,48,8,0,1,0,,,,,,,,
0,program_change,,,,,0,0,13,,,52,12,,,,
0,track_name,,,,,0,1,13,,,,,,,,
0,control_change,,,,,0,0,12,,,,11,93,127,,
0,control_change,,,,,0,0,12,,,,11,10,50,,
0,control_change,,,,,0,0,12,,,,11,1,20,,
0,control_change,,,,,0,0,12,,,,11,91,127,,
0,control_change,,,,,0,0,12,,,,11,121,127,,
0,program_change,,,,,0,0,12,,,52,11,,,,
0,track_name,,,,,0,1,12,,,,,,,,
0,program_change,,,,,0,0,5,,,70,4,,,,
0,control_change,,,,,0,0,11,,,,10,93,127,,
0,control_change,,,,,0,0,11,,,,10,10,30,,
0,control_change,,,,,0,0,11,,,,10,1,20,,
0,control_change,,,,,0,0,11,,,,10,91,127,,
0,control_change,,,,,0,0,11,,,,10,121,127,,
0,program_change,,,,,0,0,11,,,52,10,,,,
0,track_name,,,,,0,1,11,,,,,,,,
0,program_change,,,,,0,0,10,,,73,2,,,,
0,track_name,,,,,0,1,10,,,,,,,,
0,control_change,,,,,0,0,13,,,,12,121,127,,
0,track_name,,,,,0,1,2,,,,,,,,
0,control_change,,,,,0,0,13,,,,12,91,127,,
0,control_change,,,,,0,0,13,,,,12,10,70,,
0,control_change,,,,,0,0,16,,,,2,1,20,,
0,control_change,,,,,0,0,16,,,,2,91,127,,
0,control_change,,,,,0,0,16,,,,2,121,127,,
0,program_change,,,,,0,0,16,,,73,2,,,,
0,track_name,,,,,0,1,16,,,,,,,,
0,control_change,,,,,0,0,15,,,,14,11,90,,
0,control_change,,,,,0,0,15,,,,14,10,90,,
0,control_change,,,,,0,0,15,,,,14,91,127,,
0,control_change,,,,,0,0,15,,,,14,121,127,,
0,program_change,,,,,0,0,15,,,19,14,,,,
0,track_name,,,,,0,1,15,,,,,,,,
0,control_change,,,,,0,0,14,,,,13,93,127,,
0,control_change,,,,,0,0,14,,,,13,10,90,,
0,control_change,,,,,0,0,14,,,,13,1,20,,
0,control_change,,,,,0,0,14,,,,13,91,127,,
0,control_change,,,,,0,0,14,,,,13,121,127,,
0,program_change,,,,,0,0,14,,,52,13,,,,
0,track_name,,,,,0,1,14,,,,,,,,
0,control_change,,,,,0,0,13,,,,12,93,127,,
0,control_change,,,,,0,0,13,,,,12,1,20,,
0,control_change,,,,,0,0,16,,,,2,10,30,,
0,program_change,,,,,0,0,2,,,56,0,,,,
0,control_change,,,,,0,0,2,,,,0,91,127,,
0,control_change,,,,,0,0,7,,,,6,1,20,,
0,control_change,,,,,0,0,7,,,,6,91,127,,
0,control_change,,,,,0,0,7,,,,6,121,127,,
0,program_change,,,,,0,0,7,,,48,6,,,,
0,track_name,,,,,0,1,7,,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,,
0,program_change,,,,,0,0,4,,,68,3,,,,
0,control_change,,,,,0,0,6,,,,5,11,100,,
