tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,program,channel,note,velocity
0,track_name,0,1,0,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,
0,note_on,0,0,3,,,,,,,0,52,102
0,track_name,0,1,1,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,
0,set_tempo,0,1,0,1500000,,,,,,,,
0,time_signature,0,1,0,,4,4,24,8,,,,
192,program_change,192,0,1,,,,,,19,0,,
384,note_on,192,0,1,,,,,,,0,64,92
768,note_off,384,0,1,,,,,,,0,64,64
768,note_off,768,0,3,,,,,,,0,52,64
768,note_on,0,0,1,,,,,,,0,67,92
1152,note_off,384,0,1,,,,,,,0,67,64
1152,note_on,0,0,1,,,,,,,0,71,92
1152,note_on,384,0,3,,,,,,,0,51,102
1536,note_off,384,0,1,,,,,,,0,71,64
1536,note_on,0,0,1,,,,,,,0,60,92
1536,note_off,384,0,3,,,,,,,0,51,64
1536,note_on,0,0,3,,,,,,,0,52,102
1920,note_off,384,0,1,,,,,,,0,60,64
1920,note_on,0,0,1,,,,,,,0,60,92
2112,note_on,0,0,1,,,,,,,0,62,92
2112,note_off,192,0,1,,,,,,,0,60,64
2208,note_off,96,0,1,,,,,,,0,62,64
2208,note_on,0,0,1,,,,,,,0,64,92
2304,note_off,768,0,3,,,,,,,0,52,64
2304,note_off,96,0,1,,,,,,,0,64,64
2304,note_on,0,0,1,,,,,,,0,60,92
2352,note_on,0,0,1,,,,,,,0,62,92
2352,note_off,48,0,1,,,,,,,0,60,64
2400,note_off,48,0,1,,,,,,,0,62,64
2400,note_on,0,0,1,,,,,,,0,60,92
2688,note_on,384,0,3,,,,,,,0,54,102
2880,note_off,480,0,1,,,,,,,0,60,64
2880,note_on,0,0,1,,,,,,,0,59,92
3072,note_on,0,0,3,,,,,,,0,55,102
3072,note_off,384,0,3,,,,,,,0,54,64
3072,note_off,192,0,1,,,,,,,0,59,64
3072,note_on,0,0,1,,,,,,,0,59,92
3456,note_off,384,0,1,,,,,,,0,59,64
3456,note_on,0,0,1,,,,,,,0,71,92
3456,note_on,3456,0,2,,,,,,,0,59,97
3840,note_off,768,0,3,,,,,,,0,55,64
3840,note_on,0,0,1,,,,,,,0,69,92
3840,note_off,384,0,1,,,,,,,0,71,64
3840,note_off,384,0,2,,,,,,,0,59,64
3840,note_on,0,0,2,,,,,,,0,64,97
4032,note_on,0,0,1,,,,,,,0,67,92
4032,note_off,192,0,1,,,,,,,0,69,64
4224,note_on,0,0,2,,,,,,,0,67,97
4224,note_off,192,0,1,,,,,,,0,67,64
4224,note_on,0,0,1,,,,,,,0,66,92
4224,note_on,384,0,3,,,,,,,0,60,102
4224,note_off,384,0,2,,,,,,,0,64,64
4416,note_off,192,0,1,,,,,,,0,66,64
4416,note_on,0,0,1,,,,,,,0,64,92
4608,note_off,384,0,2,,,,,,,0,67,64
4608,note_off,384,0,3,,,,,,,0,60,64
4608,note_on,0,0,2,,,,,,,0,57,97
4608,note_off,192,0,1,,,,,,,0,64,64
4608,note_on,0,0,1,,,,,,,0,72,92
4608,note_on,0,0,3,,,,,,,0,54,102
4800,note_off,192,0,1,,,,,,,0,72,64
4800,note_on,0,0,1,,,,,,,0,71,92
4992,note_off,384,0,2,,,,,,,0,57,64
4992,note_on,0,0,2,,,,,,,0,57,97
4992,note_off,192,0,1,,,,,,,0,71,64
4992,note_on,0,0,1,,,,,,,0,72,92
5184,note_off,192,0,1,,,,,,,0,72,64
5184,note_on,0,0,1,,,,,,,0,69,92
5184,note_off,192,0,2,,,,,,,0,57,64
5184,note_on,0,0,2,,,,,,,0,59,97
5280,note_off,96,0,2,,,,,,,0,59,64
5280,note_on,0,0,2,,,,,,,0,60,97
5376,note_off,96,0,2,,,,,,,0,60,64
5376,note_on,0,0,2,,,,,,,0,57,97
5376,note_off,768,0,3,,,,,,,0,54,64
5376,note_off,192,0,1,,,,,,,0,69,64
5376,note_on,0,0,1,,,,,,,0,63,92
5424,note_off,48,0,2,,,,,,,0,57,64
5424,note_on,0,0,2,,,,,,,0,59,97
5472,note_off,48,0,2,,,,,,,0,59,64
5472,note_on,0,0,2,,,,,,,0,57,97
5760,note_on,384,0,3,,,,,,,0,47,102
5952,note_off,576,0,1,,,,,,,0,63,64
5952,note_on,0,0,1,,,,,,,0,64,92
5952,note_off,480,0,2,,,,,,,0,57,64
5952,note_on,0,0,2,,,,,,,0,55,97
6144,note_on,0,0,2,,,,,,,0,55,97
6144,note_off,384,0,3,,,,,,,0,47,64
6144,note_off,192,0,1,,,,,,,0,64,64
6144,note_on,0,0,1,,,,,,,0,64,92
6144,note_off,192,0,2,,,,,,,0,55,64
6144,note_on,0,0,3,,,,,,,0,40,102
6336,note_off,192,0,1,,,,,,,0,64,64
6336,note_on,0,0,1,,,,,,,0,67,92
6528,note_off,192,0,1,,,,,,,0,67,64
6528,note_off,384,0,2,,,,,,,0,55,64
6528,note_on,0,0,3,,,,,,,0,52,102
6528,note_on,0,0,2,,,,,,,0,59,97
6528,note_on,0,0,1,,,,,,,0,66,92
6528,note_off,384,0,3,,,,,,,0,40,64
6720,note_off,192,0,1,,,,,,,0,66,64
6720,note_on,0,0,1,,,,,,,0,67,92
6816,note_on,0,0,1,,,,,,,0,64,92
6816,note_off,96,0,1,,,,,,,0,67,64
6912,note_off,384,0,3,,,,,,,0,52,64
6912,note_on,0,0,3,,,,,,,0,55,102
6912,note_off,384,0,2,,,,,,,0,59,64
6912,note_on,0,0,2,,,,,,,0,57,97
6912,note_on,0,0,1,,,,,,,0,71,92
6912,note_off,96,0,1,,,,,,,0,64,64
7104,note_off,192,0,2,,,,,,,0,57,64
7104,note_on,0,0,2,,,,,,,0,55,97
7296,note_off,384,0,3,,,,,,,0,55,64
7296,note_on,0,0,3,,,,,,,0,59,102
7296,note_off,192,0,2,,,,,,,0,55,64
7296,note_on,0,0,2,,,,,,,0,54,97
7488,note_off,192,0,2,,,,,,,0,54,64
7488,note_on,0,0,2,,,,,,,0,52,97
7680,note_off,192,0,2,,,,,,,0,52,64
7680,note_off,384,0,3,,,,,,,0,59,64
7680,note_on,0,0,3,,,,,,,0,48,102
7680,note_on,0,0,2,,,,,,,0,64,97
7872,note_off,192,0,2,,,,,,,0,64,64
