tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,note,velocity,channel
0,time_signature,4,4,24,8,0,1,0,,,,,,
0,track_name,,,,,0,1,3,,,,,,
0,track_name,,,,,0,1,1,,,,,,
0,note_on,,,,,0,0,2,,,,62,70,1
0,track_name,,,,,0,1,2,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,
0,midi_port,,,,,0,1,3,,,0,,,
0,marker,,,,,0,1,0,,,,,,
0,set_tempo,,,,,0,1,0,,857143,,,,
0,key_signature,,,,,0,1,0,F,,,,,
0,midi_port,,,,,0,1,2,,,0,,,
20,note_on,,,,,20,0,2,,,,62,0,1
20,note_on,,,,,0,0,2,,,,64,70,1
39,note_on,,,,,0,0,2,,,,65,70,1
39,note_on,,,,,19,0,2,,,,64,0,1
60,note_on,,,,,21,0,2,,,,65,0,1
60,note_on,,,,,0,0,2,,,,67,70,1
80,note_on,,,,,20,0,2,,,,67,0,1
80,note_on,,,,,0,0,2,,,,65,70,1
99,note_on,,,,,19,0,2,,,,65,0,1
99,note_on,,,,,0,0,2,,,,64,70,1
120,note_on,,,,,21,0,2,,,,64,0,1
120,note_on,,,,,0,0,2,,,,65,70,1
140,note_on,,,,,20,0,2,,,,65,0,1
140,note_on,,,,,0,0,2,,,,67,70,1
159,note_on,,,,,19,0,2,,,,67,0,1
159,note_on,,,,,0,0,2,,,,69,70,1
180,note_on,,,,,0,0,2,,,,70,70,1
180,note_on,,,,,21,0,2,,,,69,0,1
200,note_on,,,,,0,0,2,,,,69,70,1
200,note_on,,,,,20,0,2,,,,70,0,1
219,note_on,,,,,0,0,2,,,,67,70,1
219,note_on,,,,,19,0,2,,,,69,0,1
240,note_on,,,,,0,0,2,,,,69,70,1
240,note_on,,,,,21,0,2,,,,67,0,1
300,note_on,,,,,0,0,2,,,,74,70,1
300,note_on,,,,,60,0,2,,,,69,0,1
360,note_on,,,,,0,0,2,,,,73,70,1
360,note_on,,,,,60,0,2,,,,74,0,1
420,note_on,,,,,60,0,2,,,,73,0,1
420,note_on,,,,,0,0,2,,,,72,70,1
480,note_on,,,,,60,0,2,,,,72,0,1
480,note_on,,,,,0,0,2,,,,71,70,1
540,note_on,,,,,60,0,2,,,,71,0,1
540,note_on,,,,,0,0,2,,,,70,70,1
600,note_on,,,,,60,0,2,,,,70,0,1
600,note_on,,,,,0,0,2,,,,69,70,1
660,note_on,,,,,60,0,2,,,,69,0,1
660,note_on,,,,,0,0,2,,,,67,70,1
780,note_on,,,,,120,0,2,,,,67,0,1
780,note_on,,,,,0,0,2,,,,65,70,1
840,note_on,,,,,0,0,2,,,,64,70,1
840,note_on,,,,,60,0,2,,,,65,0,1
900,note_on,,,,,60,0,2,,,,64,0,1
900,note_on,,,,,0,0,2,,,,69,70,1
960,note_on,,,,,960,0,1,,,,69,70,0
960,note_on,,,,,60,0,2,,,,69,0,1
960,note_on,,,,,0,0,2,,,,65,70,1
980,note_on,,,,,0,0,1,,,,71,70,0
980,note_on,,,,,20,0,1,,,,69,0,0
999,note_on,,,,,19,0,1,,,,71,0,0
999,note_on,,,,,0,0,1,,,,72,70,0
1020,note_on,,,,,0,0,2,,,,62,70,1
1020,note_on,,,,,60,0,2,,,,65,0,1
1020,note_on,,,,,21,0,1,,,,72,0,0
1020,note_on,,,,,0,0,1,,,,74,70,0
1040,note_on,,,,,0,0,1,,,,72,70,0
1040,note_on,,,,,20,0,1,,,,74,0,0
1059,note_on,,,,,19,0,1,,,,72,0,0
1059,note_on,,,,,0,0,1,,,,71,70,0
1080,note_on,,,,,60,0,2,,,,62,0,1
1080,note_on,,,,,0,0,2,,,,69,70,1
1080,note_on,,,,,21,0,1,,,,71,0,0
1080,note_on,,,,,0,0,1,,,,72,70,0
1100,note_on,,,,,20,0,1,,,,72,0,0
1100,note_on,,,,,0,0,1,,,,74,70,0
1119,note_on,,,,,19,0,1,,,,74,0,0
1119,note_on,,,,,0,0,1,,,,76,70,0
1140,note_on,,,,,21,0,1,,,,76,0,0
1140,note_on,,,,,0,0,1,,,,77,70,0
1140,note_on,,,,,60,0,2,,,,69,0,1
1160,note_on,,,,,20,0,1,,,,77,0,0
1160,note_on,,,,,0,0,1,,,,76,70,0
