tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,note,velocity,channel,program
0,set_tempo,923070,0,1,0,,,,,,,,
0,note_on,,0,0,3,,,,,36,102,0,
0,track_name,,0,1,2,,,,,,,,
0,program_change,,0,0,3,,,,,,,0,19
0,track_name,,0,1,1,,,,,,,,
0,track_name,,0,1,3,,,,,,,,
0,time_signature,,0,1,0,6,4,24,8,,,,
768,note_on,,768,0,1,,,,,67,92,0,
1152,note_on,,0,0,1,,,,,75,92,0,
1152,note_off,,384,0,1,,,,,67,64,0,
1728,note_on,,0,0,1,,,,,74,92,0,
1728,note_off,,576,0,1,,,,,75,64,0,
1920,note_on,,0,0,1,,,,,75,92,0,
1920,note_off,,192,0,1,,,,,74,64,0,
1920,note_on,,0,0,1,,,,,60,92,0,
2304,note_on,,0,0,1,,,,,72,92,0,
2304,note_off,,384,0,1,,,,,75,64,0,
2304,note_off,,0,0,1,,,,,60,64,0,
2304,note_on,,0,0,1,,,,,68,92,0,
2688,note_on,,0,0,1,,,,,77,92,0,
2688,note_off,,384,0,1,,,,,72,64,0,
2880,note_on,,0,0,1,,,,,67,92,0,
2880,note_off,,192,0,1,,,,,68,64,0,
3072,note_off,,192,0,1,,,,,67,64,0,
3072,note_on,,0,0,1,,,,,68,92,0,
3456,note_off,,384,0,1,,,,,68,64,0,
3456,note_on,,0,0,1,,,,,67,92,0,
3648,note_on,,0,0,1,,,,,75,92,0,
3648,note_off,,192,0,1,,,,,77,64,0,
3744,note_off,,96,0,1,,,,,75,64,0,
3744,note_on,,0,0,1,,,,,74,92,0,
3840,note_off,,96,0,1,,,,,74,64,0,
3840,note_on,,0,0,1,,,,,72,92,0,
3840,note_on,,0,0,1,,,,,75,92,0,
3840,note_off,,0,0,1,,,,,67,64,0,
4032,note_on,,0,0,1,,,,,80,92,0,
4032,note_off,,192,0,1,,,,,75,64,0,
4224,note_off,,192,0,1,,,,,80,64,0,
4224,note_on,,0,0,1,,,,,79,92,0,
4416,note_on,,0,0,1,,,,,80,92,0,
4416,note_off,,192,0,1,,,,,79,64,0,
4608,note_on,,0,0,1,,,,,74,92,0,
4608,note_off,,192,0,1,,,,,80,64,0,
4800,note_off,,192,0,1,,,,,72,64,0,
4800,note_on,,0,0,1,,,,,70,92,0,
4896,note_off,,96,0,1,,,,,70,64,0,
4896,note_on,,0,0,1,,,,,68,92,0,
4992,note_off,,0,0,1,,,,,74,64,0,
4992,note_on,,0,0,1,,,,,79,92,0,
4992,note_on,,0,0,1,,,,,70,92,0,
4992,note_off,,96,0,1,,,,,68,64,0,
5184,note_on,,0,0,1,,,,,75,92,0,
5184,note_off,,192,0,1,,,,,70,64,0,
5376,note_off,,192,0,1,,,,,75,64,0,
5376,note_on,,0,0,1,,,,,74,92,0,
5568,note_on,,0,0,1,,,,,75,92,0,
5568,note_off,,192,0,1,,,,,74,64,0,
5760,note_on,,0,0,1,,,,,69,92,0,
5760,note_off,,192,0,1,,,,,75,64,0,
5952,note_on,,0,0,1,,,,,77,92,0,
5952,note_off,,192,0,1,,,,,79,64,0,
6048,note_off,,96,0,1,,,,,77,64,0,
6048,note_on,,0,0,1,,,,,75,92,0,
6144,note_on,,0,0,1,,,,,77,92,0,
6144,note_on,,0,0,1,,,,,74,92,0,
6144,note_off,,96,0,1,,,,,75,64,0,
6144,note_off,,0,0,1,,,,,69,64,0,
6336,note_off,,192,0,1,,,,,77,64,0,
6336,note_on,,0,0,1,,,,,72,92,0,
6528,note_off,,192,0,1,,,,,72,64,0,
6528,note_on,,0,0,1,,,,,71,92,0,
6528,note_on,,6528,0,2,,,,,55,92,0,
6720,note_off,,192,0,1,,,,,71,64,0,
6720,note_on,,0,0,1,,,,,77,92,0,
6912,note_on,,0,0,2,,,,,63,92,0,
6912,note_off,,384,0,2,,,,,55,64,0,
7104,note_off,,384,0,1,,,,,77,64,0,
7104,note_off,,0,0,1,,,,,74,64,0,
7104,note_on,,0,0,1,,,,,72,92,0,
7104,note_on,,0,0,1,,,,,75,92,0,
7296,note_off,,192,0,1,,,,,75,64,0,
7296,note_on,,0,0,1,,,,,80,92,0,
7488,note_off,,192,0,1,,,,,72,64,0,
7488,note_off,,576,0,2,,,,,63,64,0,
