tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,program,channel,control,value,note,velocity
0,set_tempo,1090909,0,1,0,,,,,,,,,,
0,control_change,,0,0,2,,,,,,1,7,100,,
0,control_change,,0,0,2,,,,,,1,10,64,,
0,track_name,,0,1,3,,,,,,,,,,
0,program_change,,0,0,3,,,,,70,2,,,,
0,control_change,,0,0,3,,,,,,2,7,100,,
0,control_change,,0,0,3,,,,,,2,10,64,,
0,program_change,,0,0,2,,,,,48,1,,,,
0,program_change,,0,0,4,,,,,43,4,,,,
0,control_change,,0,0,4,,,,,,4,7,100,,
0,control_change,,0,0,4,,,,,,4,10,64,,
0,track_name,,0,1,4,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,
0,time_signature,,0,1,0,4,4,24,8,,,,,,
0,end_of_track,,0,1,0,,,,,,,,,,
0,control_change,,0,0,1,,,,,,0,10,64,,
0,control_change,,0,0,1,,,,,,0,7,100,,
0,track_name,,0,1,1,,,,,,,,,,
0,program_change,,0,0,1,,,,,68,0,,,,
176,control_change,,176,0,4,,,,,,4,7,104,,
184,control_change,,184,0,2,,,,,,1,10,64,,
192,control_change,,16,0,4,,,,,,4,10,64,,
196,control_change,,196,0,3,,,,,,2,7,104,,
204,control_change,,8,0,3,,,,,,2,10,1,,
204,control_change,,20,0,2,,,,,,1,7,99,,
208,control_change,,208,0,1,,,,,,0,7,104,,
216,control_change,,8,0,1,,,,,,0,10,127,,
240,note_on,,36,0,2,,,,,,1,,,62,75
240,note_on,,36,0,3,,,,,,2,,,58,80
240,note_on,,24,0,1,,,,,,0,,,67,95
240,note_on,,48,0,4,,,,,,4,,,55,75
256,control_change,,16,0,1,,,,,,0,8,117,,
450,note_on,,210,0,2,,,,,,1,,,62,0
450,note_on,,210,0,3,,,,,,2,,,58,0
472,note_on,,216,0,1,,,,,,0,,,67,0
480,note_on,,30,0,3,,,,,,2,,,57,80
480,note_on,,30,0,2,,,,,,1,,,62,75
480,note_on,,8,0,1,,,,,,0,,,69,95
584,note_on,,344,0,4,,,,,,4,,,55,0
600,note_on,,16,0,4,,,,,,4,,,54,75
690,note_on,,210,0,3,,,,,,2,,,57,0
690,note_on,,210,0,2,,,,,,1,,,62,0
704,note_on,,104,0,4,,,,,,4,,,54,0
712,note_on,,232,0,1,,,,,,0,,,69,0
720,note_on,,16,0,4,,,,,,4,,,55,75
720,note_on,,30,0,3,,,,,,2,,,55,80
720,note_on,,30,0,2,,,,,,1,,,62,75
720,note_on,,8,0,1,,,,,,0,,,70,95
824,note_on,,104,0,4,,,,,,4,,,55,0
840,note_on,,16,0,4,,,,,,4,,,53,75
930,note_on,,210,0,3,,,,,,2,,,55,0
930,note_on,,210,0,1,,,,,,0,,,70,0
944,note_on,,104,0,4,,,,,,4,,,53,0
960,note_on,,30,0,1,,,,,,0,,,70,95
960,note_on,,30,0,3,,,,,,2,,,55,80
960,note_on,,240,0,2,,,,,,1,,,67,75
960,note_on,,16,0,4,,,,,,4,,,51,75
