tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,pitch,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,,,,,,,6,10,64,,,
0,pitchwheel,0,0,7,,,,,,,,,,,,,,,6,,,-482,,
0,pitchwheel,0,0,5,,,,,,,,,,,,,,,4,,,-400,,
0,control_change,0,0,5,,,,,,,,,,,,,,,4,10,64,,,
0,control_change,0,0,5,,,,,,,,,,,,,,,4,7,100,,,
0,program_change,0,0,5,,,,,,,,,,,,,,0,4,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,,,,,,,0,,,,,,,
0,midi_port,0,1,10,,,,,,,,,,,,,0,,,,,,,
0,control_change,0,0,7,,,,,,,,,,,,,,,6,7,100,,,
0,program_change,0,0,10,,,,,,,,,,,,,,0,10,,,,,
0,control_change,0,0,10,,,,,,,,,,,,,,,10,10,64,,,
0,pitchwheel,0,0,10,,,,,,,,,,,,,,,10,,,-480,,
0,pitchwheel,0,0,4,,,,,,,,,,,,,,,3,,,-240,,
0,control_change,0,0,4,,,,,,,,,,,,,,,3,10,64,,,
0,program_change,0,0,4,,,,,,,,,,,,,,0,3,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,,,,,,,0,,,,,,,
0,pitchwheel,0,0,3,,,,,,,,,,,,,,,2,,,-316,,
0,control_change,0,0,3,,,,,,,,,,,,,,,2,10,64,,,
0,control_change,0,0,10,,,,,,,,,,,,,,,10,7,100,,,
0,control_change,0,0,3,,,,,,,,,,,,,,,2,7,100,,,
0,program_change,0,0,7,,,,,,,,,,,,,,0,6,,,,,
0,midi_port,0,1,8,,,,,,,,,,,,,0,,,,,,,
0,pitchwheel,0,0,2,,,,,,,,,,,,,,,1,,,-402,,
0,control_change,0,0,2,,,,,,,,,,,,,,,1,10,64,,,
0,control_change,0,0,2,,,,,,,,,,,,,,,1,7,100,,,
0,program_change,0,0,2,,,,,,,,,,,,,,0,1,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,,,,,,,0,,,,,,,
0,pitchwheel,0,0,6,,,,,,,,,,,,,,,5,,,-80,,
0,control_change,0,0,6,,,,,,,,,,,,,,,5,10,64,,,
0,control_change,0,0,6,,,,,,,,,,,,,,,5,7,100,,,
0,midi_port,0,1,7,,,,,,,,,,,,,0,,,,,,,
0,program_change,0,0,6,,,,,,,,,,,,,,0,5,,,,,
0,midi_port,0,1,9,,,,,,,,,,,,,0,,,,,,,
0,program_change,0,0,9,,,,,,,,,,,,,,0,8,,,,,
0,control_change,0,0,9,,,,,,,,,,,,,,,8,7,100,,,
0,control_change,0,0,9,,,,,,,,,,,,,,,8,10,64,,,
0,pitchwheel,0,0,9,,,,,,,,,,,,,,,8,,,-322,,
0,pitchwheel,0,0,8,,,,,,,,,,,,,,,7,,,-155,,
0,control_change,0,0,8,,,,,,,,,,,,,,,7,10,64,,,
0,control_change,0,0,8,,,,,,,,,,,,,,,7,7,100,,,
0,program_change,0,0,8,,,,,,,,,,,,,,0,7,,,,,
0,midi_port,0,1,6,,,,,,,,,,,,,0,,,,,,,
0,program_change,0,0,3,,,,,,,,,,,,,,0,2,,,,,
0,control_change,0,0,4,,,,,,,,,,,,,,,3,7,100,,,
0,midi_port,0,1,3,,,,,,,,,,,,,0,,,,,,,
0,midi_port,0,1,12,,,,,,,,,,,,,0,,,,,,,
0,set_tempo,0,1,0,,,,,,,,,,,,909091,,,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,C,,,,,,,,,
0,time_signature,0,1,0,,,,,,,4,4,24,8,,,,,,,,,,
0,smpte_offset,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,,
0,program_change,0,0,12,,,,,,,,,,,,,,0,12,,,,,
0,control_change,0,0,12,,,,,,,,,,,,,,,12,7,100,,,
0,control_change,0,0,12,,,,,,,,,,,,,,,12,10,64,,,
0,control_change,0,0,11,,,,,,,,,,,,,,,11,10,64,,,
0,midi_port,0,1,1,,,,,,,,,,,,,0,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,,,,,,,0,0,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,,,
0,pitchwheel,0,0,12,,,,,,,,,,,,,,,12,,,-320,,
0,pitchwheel,0,0,11,,,,,,,,,,,,,,,11,,,-160,,
0,midi_port,0,1,11,,,,,,,,,,,,,0,,,,,,,
0,control_change,0,0,1,,,,,,,,,,,,,,,0,7,100,,,
0,program_change,0,0,11,,,,,,,,,,,,,,0,11,,,,,
0,control_change,0,0,11,,,,,,,,,,,,,,,11,7,100,,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,,,0,,
0,control_change,0,0,1,,,,,,,,,,,,,,,0,10,64,,,
96,note_on,96,0,7,,,,,,,,,,,,,,,6,,,,54,100
286,note_on,190,0,7,,,,,,,,,,,,,,,6,,,,54,0
288,note_on,288,0,9,,,,,,,,,,,,,,,8,,,,56,100
335,note_on,47,0,9,,,,,,,,,,,,,,,8,,,,56,0
336,note_on,336,0,10,,,,,,,,,,,,,,,10,,,,57,100
383,note_on,47,0,10,,,,,,,,,,,,,,,10,,,,57,0
384,note_on,384,0,12,,,,,,,,,,,,,,,12,,,,59,100
431,note_on,47,0,12,,,,,,,,,,,,,,,12,,,,59,0
432,note_on,432,0,2,,,,,,,,,,,,,,,1,,,,61,100
479,note_on,47,0,2,,,,,,,,,,,,,,,1,,,,61,0
480,note_on,480,0,3,,,,,,,,,,,,,,,2,,,,62,100
527,note_on,47,0,3,,,,,,,,,,,,,,,2,,,,62,0
528,note_on,49,0,2,,,,,,,,,,,,,,,1,,,,61,100
575,note_on,47,0,2,,,,,,,,,,,,,,,1,,,,61,0
576,note_on,145,0,12,,,,,,,,,,,,,,,12,,,,59,100
