tick,type,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,note_on,0,0,2,,,,,,,,,1,,,55,111
0,note_on,0,0,2,,,,,,,,,1,,,59,111
0,note_on,0,0,2,,,,,,,,,1,,,62,111
0,control_change,0,0,2,,,,,,,,,1,91,90,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,,0,,,74,127
0,control_change,0,0,1,,,,,,,,,0,91,90,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,,400000,,,,,,
0,time_signature,0,1,0,,3,4,24,8,,,,,,,,
0,sequencer_specific,0,1,0,"(0, 0, 65)",,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,,C,,,,,,,
120,note_on,120,0,1,,,,,,,,,0,,,74,0
120,note_on,0,0,1,,,,,,,,,0,,,67,127
180,note_on,60,0,1,,,,,,,,,0,,,67,0
180,note_on,0,0,1,,,,,,,,,0,,,69,127
238,note_on,238,0,2,,,,,,,,,1,,,57,111
240,note_on,2,0,2,,,,,,,,,1,,,55,0
240,note_on,0,0,2,,,,,,,,,1,,,62,0
240,note_on,0,0,2,,,,,,,,,1,,,59,0
240,note_on,0,0,1,,,,,,,,,0,,,71,127
240,note_on,60,0,1,,,,,,,,,0,,,69,0
299,note_on,59,0,1,,,,,,,,,0,,,72,127
300,note_on,1,0,1,,,,,,,,,0,,,71,0
358,note_on,0,0,2,,,,,,,,,1,,,59,111
358,note_on,118,0,2,,,,,,,,,1,,,57,0
359,note_on,59,0,1,,,,,,,,,0,,,72,0
359,note_on,0,0,1,,,,,,,,,0,,,74,127
479,note_on,120,0,1,,,,,,,,,0,,,74,0
481,note_on,2,0,1,,,,,,,,,0,,,67,127
541,note_on,60,0,1,,,,,,,,,0,,,67,0
599,note_on,58,0,1,,,,,,,,,0,,,67,127
718,note_on,360,0,2,,,,,,,,,1,,,59,0
718,note_on,0,0,2,,,,,,,,,1,,,60,111
719,note_on,0,0,1,,,,,,,,,0,,,76,127
719,note_on,120,0,1,,,,,,,,,0,,,67,0
839,note_on,120,0,1,,,,,,,,,0,,,76,0
840,note_on,1,0,1,,,,,,,,,0,,,72,127
899,note_on,59,0,1,,,,,,,,,0,,,74,127
900,note_on,1,0,1,,,,,,,,,0,,,72,0
959,note_on,59,0,1,,,,,,,,,0,,,74,0
959,note_on,0,0,1,,,,,,,,,0,,,76,127
1019,note_on,60,0,1,,,,,,,,,0,,,76,0
1019,note_on,0,0,1,,,,,,,,,0,,,78,127
1076,note_on,358,0,2,,,,,,,,,1,,,59,111
1078,note_on,2,0,2,,,,,,,,,1,,,60,0
1079,note_on,60,0,1,,,,,,,,,0,,,78,0
1080,note_on,1,0,1,,,,,,,,,0,,,79,127
1200,note_on,0,0,1,,,,,,,,,0,,,67,127
1200,note_on,120,0,1,,,,,,,,,0,,,79,0
1260,note_on,60,0,1,,,,,,,,,0,,,67,0
1319,note_on,59,0,1,,,,,,,,,0,,,67,127
1436,note_on,358,0,2,,,,,,,,,1,,,59,0
1438,note_on,2,0,2,,,,,,,,,1,,,57,111
1439,note_on,120,0,1,,,,,,,,,0,,,67,0
1440,note_on,1,0,1,,,,,,,,,0,,,72,127
1560,note_on,0,0,1,,,,,,,,,0,,,74,127
1560,note_on,120,0,1,,,,,,,,,0,,,72,0
1620,note_on,0,0,1,,,,,,,,,0,,,72,127
1620,note_on,60,0,1,,,,,,,,,0,,,74,0
1679,note_on,59,0,1,,,,,,,,,0,,,71,127
1680,note_on,1,0,1,,,,,,,,,0,,,72,0
1739,note_on,0,0,1,,,,,,,,,0,,,69,127
1739,note_on,59,0,1,,,,,,,,,0,,,71,0
1798,note_on,360,0,2,,,,,,,,,1,,,57,0
1799,note_on,60,0,1,,,,,,,,,0,,,69,0
1799,note_on,1,0,2,,,,,,,,,1,,,55,111
1801,note_on,2,0,1,,,,,,,,,0,,,71,127
1920,note_on,119,0,1,,,,,,,,,0,,,72,127
1921,note_on,1,0,1,,,,,,,,,0,,,71,0
1980,note_on,59,0,1,,,,,,,,,0,,,72,0
1980,note_on,0,0,1,,,,,,,,,0,,,71,127
2040,note_on,60,0,1,,,,,,,,,0,,,71,0
2040,note_on,0,0,1,,,,,,,,,0,,,69,127
2100,note_on,60,0,1,,,,,,,,,0,,,69,0
2100,note_on,0,0,1,,,,,,,,,0,,,67,127
2159,note_on,360,0,2,,,,,,,,,1,,,55,0
2160,note_on,60,0,1,,,,,,,,,0,,,67,0
2160,note_on,0,0,1,,,,,,,,,0,,,66,127
2160,note_on,1,0,2,,,,,,,,,1,,,62,111
2190,note_on,30,0,2,,,,,,,,,1,,,62,0
