tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,note,velocity,channel,program
0,track_name,0,1,0,,,,,,,,,
0,note_on,0,0,2,,,,,,63,97,0,
0,track_name,0,1,3,,,,,,,,,
0,note_on,0,0,3,,,,,,51,102,0,
0,program_change,0,0,2,,,,,,,,0,19
0,track_name,0,1,1,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,
0,set_tempo,0,1,0,800000,,,,,,,,
0,time_signature,0,1,0,,4,4,24,8,,,,
240,note_off,240,0,2,,,,,,63,64,0,
240,note_on,0,0,2,,,,,,67,97,0,
480,note_off,240,0,2,,,,,,67,64,0,
480,note_on,0,0,2,,,,,,70,97,0,
480,note_off,480,0,3,,,,,,51,64,0,
600,note_on,120,0,3,,,,,,55,102,0,
720,note_on,0,0,3,,,,,,53,102,0,
720,note_off,120,0,3,,,,,,55,64,0,
840,note_off,120,0,3,,,,,,53,64,0,
840,note_on,0,0,3,,,,,,55,102,0,
960,note_on,0,0,3,,,,,,48,102,0,
960,note_off,120,0,3,,,,,,55,64,0,
960,note_on,0,0,2,,,,,,63,97,0,
960,note_off,480,0,2,,,,,,70,64,0,
1200,note_off,240,0,2,,,,,,63,64,0,
1200,note_on,0,0,2,,,,,,68,97,0,
1440,note_off,480,0,3,,,,,,48,64,0,
1440,note_on,0,0,2,,,,,,72,97,0,
1440,note_off,240,0,2,,,,,,68,64,0,
1560,note_on,120,0,3,,,,,,51,102,0,
1680,note_off,120,0,3,,,,,,51,64,0,
1680,note_on,0,0,3,,,,,,50,102,0,
1800,note_off,120,0,3,,,,,,50,64,0,
1800,note_on,0,0,3,,,,,,51,102,0,
1920,note_off,120,0,3,,,,,,51,64,0,
1920,note_on,0,0,3,,,,,,44,102,0,
2040,note_on,0,0,2,,,,,,75,97,0,
2040,note_off,600,0,2,,,,,,72,64,0,
2160,note_off,120,0,2,,,,,,75,64,0,
2160,note_on,0,0,2,,,,,,74,97,0,
2280,note_off,120,0,2,,,,,,74,64,0,
2280,note_on,0,0,2,,,,,,72,97,0,
2400,note_off,480,0,3,,,,,,44,64,0,
2400,note_off,120,0,2,,,,,,72,64,0,
2400,note_on,0,0,2,,,,,,70,97,0,
2400,note_on,0,0,3,,,,,,46,102,0,
2640,note_off,240,0,2,,,,,,70,64,0,
2640,note_on,0,0,2,,,,,,68,97,0,
2700,note_on,0,0,2,,,,,,70,97,0,
2700,note_off,60,0,2,,,,,,68,64,0,
2760,note_on,0,0,2,,,,,,68,97,0,
2760,note_off,60,0,2,,,,,,70,64,0,
2880,note_off,480,0,3,,,,,,46,64,0,
2880,note_on,0,0,2,,,,,,67,97,0,
2880,note_off,120,0,2,,,,,,68,64,0,
2880,note_on,0,0,3,,,,,,39,102,0,
3120,note_on,0,0,2,,,,,,65,97,0,
3120,note_off,240,0,2,,,,,,67,64,0,
3120,note_off,240,0,3,,,,,,39,64,0,
3120,note_on,0,0,3,,,,,,51,102,0,
3240,note_on,0,0,2,,,,,,67,97,0,
3240,note_off,120,0,2,,,,,,65,64,0,
3360,note_on,0,0,3,,,,,,50,102,0,
3360,note_on,0,0,2,,,,,,68,97,0,
3360,note_off,240,0,3,,,,,,51,64,0,
3360,note_off,120,0,2,,,,,,67,64,0,
3480,note_off,120,0,2,,,,,,68,64,0,
3480,note_on,0,0,2,,,,,,67,97,0,
3600,note_off,120,0,2,,,,,,67,64,0,
3600,note_off,240,0,3,,,,,,50,64,0,
3600,note_on,0,0,3,,,,,,48,102,0,
3600,note_on,0,0,2,,,,,,65,97,0,
3720,note_on,0,0,2,,,,,,63,97,0,
3720,note_off,120,0,2,,,,,,65,64,0,
3840,note_on,0,0,3,,,,,,50,102,0,
3840,note_off,240,0,3,,,,,,48,64,0,
3840,note_on,3840,0,1,,,,,,70,92,0,
3840,note_on,0,0,2,,,,,,65,97,0,
3840,note_off,120,0,2,,,,,,63,64,0,
3960,note_on,0,0,2,,,,,,63,97,0,
3960,note_off,120,0,2,,,,,,65,64,0,
4080,note_off,240,0,3,,,,,,50,64,0,
4080,note_off,240,0,1,,,,,,70,64,0,
4080,note_on,0,0,1,,,,,,74,92,0,
4080,note_on,0,0,3,,,,,,53,102,0,
4080,note_off,120,0,2,,,,,,63,64,0,
4080,note_on,0,0,2,,,,,,62,97,0,
4200,note_on,0,0,2,,,,,,60,97,0,
4200,note_off,120,0,2,,,,,,62,64,0,
4320,note_off,240,0,3,,,,,,53,64,0,
4320,note_on,0,0,3,,,,,,50,102,0,
4320,note_off,240,0,1,,,,,,74,64,0,
