tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,,,
0,program_change,,,,,0,0,4,,,,43,3,,,,
0,control_change,,,,,0,0,4,,,,,3,7,90,,
0,control_change,,,,,0,0,4,,,,,3,10,64,,
0,control_change,,,,,0,0,3,,,,,2,10,126,,
0,control_change,,,,,0,0,3,,,,,2,7,80,,
0,program_change,,,,,0,0,3,,,,82,2,,,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,midi_port,,,,,0,1,3,,,0,,,,,,
0,track_name,,,,,0,1,4,,,,,,,,,
0,control_change,,,,,0,0,2,,,,,1,10,1,,
0,control_change,,,,,0,0,2,,,,,1,7,80,,
0,program_change,,,,,0,0,2,,,,81,1,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,,,
0,control_change,,,,,0,0,1,,,,,0,10,64,,
0,midi_port,,,,,0,1,4,,,0,,,,,,
0,program_change,,,,,0,0,1,,,,68,0,,,,
0,set_tempo,,,,,0,1,0,,857142,,,,,,,
0,control_change,,,,,0,0,1,,,,,0,7,120,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,
0,key_signature,,,,,0,1,0,C,,,,,,,,
120,note_on,,,,,120,0,1,,,,,0,,,67,80
180,note_on,,,,,180,0,4,,,,,3,,,43,80
232,note_on,,,,,52,0,4,,,,,3,,,43,0
240,note_on,,,,,8,0,4,,,,,3,,,55,80
285,note_on,,,,,165,0,1,,,,,0,,,67,0
300,note_on,,,,,15,0,1,,,,,0,,,69,80
352,note_on,,,,,112,0,4,,,,,3,,,55,0
360,note_on,,,,,8,0,4,,,,,3,,,54,80
386,note_on,,,,,26,0,4,,,,,3,,,54,0
390,note_on,,,,,4,0,4,,,,,3,,,52,80
416,note_on,,,,,26,0,4,,,,,3,,,52,0
420,note_on,,,,,4,0,4,,,,,3,,,54,80
465,note_on,,,,,165,0,1,,,,,0,,,69,0
472,note_on,,,,,52,0,4,,,,,3,,,54,0
480,note_on,,,,,8,0,4,,,,,3,,,55,80
480,note_on,,,,,15,0,1,,,,,0,,,70,80
540,note_on,,,,,540,0,2,,,,,1,,,62,80
585,note_on,,,,,105,0,4,,,,,3,,,55,0
592,note_on,,,,,52,0,2,,,,,1,,,62,0
600,note_on,,,,,8,0,2,,,,,1,,,67,80
600,note_on,,,,,15,0,4,,,,,3,,,53,80
645,note_on,,,,,165,0,1,,,,,0,,,70,0
652,note_on,,,,,52,0,4,,,,,3,,,53,0
660,note_on,,,,,15,0,1,,,,,0,,,70,80
660,note_on,,,,,8,0,4,,,,,3,,,51,80
712,note_on,,,,,112,0,2,,,,,1,,,67,0
720,note_on,,,,,8,0,2,,,,,1,,,65,80
746,note_on,,,,,26,0,2,,,,,1,,,65,0
750,note_on,,,,,4,0,2,,,,,1,,,63,80
765,note_on,,,,,105,0,4,,,,,3,,,51,0
776,note_on,,,,,26,0,2,,,,,1,,,63,0
780,note_on,,,,,4,0,2,,,,,1,,,65,80
780,note_on,,,,,15,0,4,,,,,3,,,50,80
825,note_on,,,,,165,0,1,,,,,0,,,70,0
832,note_on,,,,,52,0,2,,,,,1,,,65,0
832,note_on,,,,,52,0,4,,,,,3,,,50,0
840,note_on,,,,,8,0,4,,,,,3,,,48,80
840,note_on,,,,,8,0,2,,,,,1,,,63,80
900,note_on,,,,,75,0,1,,,,,0,,,67,80
945,note_on,,,,,105,0,4,,,,,3,,,48,0
952,note_on,,,,,52,0,1,,,,,0,,,67,0
960,note_on,,,,,8,0,1,,,,,0,,,72,80
960,note_on,,,,,15,0,4,,,,,3,,,51,80
1005,note_on,,,,,165,0,2,,,,,1,,,63,0
1012,note_on,,,,,52,0,4,,,,,3,,,51,0
1020,note_on,,,,,8,0,4,,,,,3,,,55,80
1072,note_on,,,,,112,0,1,,,,,0,,,72,0
1080,note_on,,,,,8,0,1,,,,,0,,,70,80
1080,note_on,,,,,75,0,2,,,,,1,,,62,80
1106,note_on,,,,,26,0,1,,,,,0,,,70,0
1110,note_on,,,,,4,0,1,,,,,0,,,69,80
1132,note_on,,,,,52,0,2,,,,,1,,,62,0
1136,note_on,,,,,26,0,1,,,,,0,,,69,0
1140,note_on,,,,,4,0,1,,,,,0,,,70,80
1140,note_on,,,,,8,0,2,,,,,1,,,67,80
1185,note_on,,,,,165,0,4,,,,,3,,,55,0
1192,note_on,,,,,52,0,1,,,,,0,,,70,0
1200,note_on,,,,,15,0,4,,,,,3,,,50,80
1200,note_on,,,,,8,0,1,,,,,0,,,69,80
1252,note_on,,,,,112,0,2,,,,,1,,,67,0
1260,note_on,,,,,8,0,2,,,,,1,,,66,80
1260,note_on,,,,,1260,0,3,,,,,2,,,57,80
1286,note_on,,,,,26,0,2,,,,,1,,,66,0
1290,note_on,,,,,4,0,2,,,,,1,,,64,80
1312,note_on,,,,,52,0,3,,,,,2,,,57,0
1316,note_on,,,,,26,0,2,,,,,1,,,64,0
1320,note_on,,,,,4,0,2,,,,,1,,,65,80
1320,note_on,,,,,8,0,3,,,,,2,,,62,80
1365,note_on,,,,,165,0,4,,,,,3,,,50,0
1365,note_on,,,,,165,0,1,,,,,0,,,69,0
1380,note_on,,,,,15,0,1,,,,,0,,,69,80
1380,note_on,,,,,15,0,4,,,,,3,,,38,80
1432,note_on,,,,,52,0,4,,,,,3,,,38,0
1440,note_on,,,,,8,0,4,,,,,3,,,50,80
1466,note_on,,,,,26,0,4,,,,,3,,,50,0
1470,note_on,,,,,4,0,4,,,,,3,,,48,80
1496,note_on,,,,,26,0,4,,,,,3,,,48,0
1500,note_on,,,,,4,0,4,,,,,3,,,50,80
1545,note_on,,,,,225,0,3,,,,,2,,,62,0
1545,note_on,,,,,165,0,1,,,,,0,,,69,0
1545,note_on,,,,,225,0,2,,,,,1,,,65,0
1552,note_on,,,,,52,0,4,,,,,3,,,50,0
1560,note_on,,,,,8,0,4,,,,,3,,,43,80
1560,note_on,,,,,15,0,1,,,,,0,,,70,80
1612,note_on,,,,,52,0,4,,,,,3,,,43,0
1620,note_on,,,,,8,0,4,,,,,3,,,55,80
1620,note_on,,,,,75,0,2,,,,,1,,,58,80
1672,note_on,,,,,52,0,4,,,,,3,,,55,0
1672,note_on,,,,,52,0,2,,,,,1,,,58,0
1680,note_on,,,,,8,0,4,,,,,3,,,53,80
1680,note_on,,,,,8,0,2,,,,,1,,,70,80
1725,note_on,,,,,165,0,1,,,,,0,,,70,0
1732,note_on,,,,,52,0,4,,,,,3,,,53,0
1740,note_on,,,,,15,0,1,,,,,0,,,72,80
1740,note_on,,,,,8,0,4,,,,,3,,,51,80
1792,note_on,,,,,112,0,2,,,,,1,,,70,0
1792,note_on,,,,,52,0,4,,,,,3,,,51,0
1800,note_on,,,,,8,0,2,,,,,1,,,69,80
1800,note_on,,,,,8,0,4,,,,,3,,,53,80
1826,note_on,,,,,26,0,2,,,,,1,,,69,0
1830,note_on,,,,,4,0,2,,,,,1,,,67,80
1852,note_on,,,,,52,0,4,,,,,3,,,53,0
1856,note_on,,,,,26,0,2,,,,,1,,,67,0
1860,note_on,,,,,4,0,2,,,,,1,,,69,80
1860,note_on,,,,,8,0,4,,,,,3,,,41,80
1905,note_on,,,,,165,0,1,,,,,0,,,72,0
1912,note_on,,,,,52,0,2,,,,,1,,,69,0
1912,note_on,,,,,52,0,4,,,,,3,,,41,0
1920,note_on,,,,,8,0,2,,,,,1,,,70,80
1920,note_on,,,,,15,0,1,,,,,0,,,74,80
1920,note_on,,,,,8,0,4,,,,,3,,,46,80
1980,note_on,,,,,435,0,3,,,,,2,,,53,80
2032,note_on,,,,,52,0,3,,,,,2,,,53,0
2040,note_on,,,,,8,0,3,,,,,2,,,58,80
2085,note_on,,,,,165,0,2,,,,,1,,,70,0
2085,note_on,,,,,165,0,1,,,,,0,,,74,0
2085,note_on,,,,,165,0,4,,,,,3,,,46,0
2100,note_on,,,,,15,0,1,,,,,0,,,70,80
2100,note_on,,,,,15,0,4,,,,,3,,,50,80
2100,note_on,,,,,15,0,2,,,,,1,,,65,80
2152,note_on,,,,,112,0,3,,,,,2,,,58,0
2160,note_on,,,,,8,0,3,,,,,2,,,56,80
2186,note_on,,,,,26,0,3,,,,,2,,,56,0
2190,note_on,,,,,4,0,3,,,,,2,,,55,80
2216,note_on,,,,,26,0,3,,,,,2,,,55,0
2220,note_on,,,,,4,0,3,,,,,2,,,56,80
2265,note_on,,,,,165,0,2,,,,,1,,,65,0
2265,note_on,,,,,165,0,1,,,,,0,,,70,0
2272,note_on,,,,,52,0,3,,,,,2,,,56,0
2280,note_on,,,,,8,0,3,,,,,2,,,55,80
2280,note_on,,,,,15,0,2,,,,,1,,,63,80
2340,note_on,,,,,75,0,1,,,,,0,,,70,80
2385,note_on,,,,,105,0,3,,,,,2,,,55,0
2385,note_on,,,,,285,0,4,,,,,3,,,50,0
2392,note_on,,,,,52,0,1,,,,,0,,,70,0
2400,note_on,,,,,15,0,3,,,,,2,,,57,80
2400,note_on,,,,,8,0,1,,,,,0,,,75,80
2400,note_on,,,,,15,0,4,,,,,3,,,48,80
2445,note_on,,,,,165,0,2,,,,,1,,,63,0
2452,note_on,,,,,52,0,4,,,,,3,,,48,0
2460,note_on,,,,,15,0,2,,,,,1,,,65,80
2460,note_on,,,,,8,0,4,,,,,3,,,50,80
2512,note_on,,,,,112,0,3,,,,,2,,,57,0
2512,note_on,,,,,112,0,1,,,,,0,,,75,0
2520,note_on,,,,,8,0,1,,,,,0,,,74,80
2520,note_on,,,,,8,0,3,,,,,2,,,53,80
2546,note_on,,,,,26,0,1,,,,,0,,,74,0
2550,note_on,,,,,4,0,1,,,,,0,,,72,80
2572,note_on,,,,,52,0,3,,,,,2,,,53,0
2576,note_on,,,,,26,0,1,,,,,0,,,72,0
2580,note_on,,,,,4,0,1,,,,,0,,,74,80
2580,note_on,,,,,8,0,3,,,,,2,,,58,80
2625,note_on,,,,,165,0,2,,,,,1,,,65,0
2625,note_on,,,,,165,0,4,,,,,3,,,50,0
2632,note_on,,,,,52,0,1,,,,,0,,,74,0
2640,note_on,,,,,8,0,1,,,,,0,,,72,80
2640,note_on,,,,,15,0,4,,,,,3,,,51,80
2692,note_on,,,,,112,0,3,,,,,2,,,58,0
2700,note_on,,,,,8,0,3,,,,,2,,,57,80
2700,note_on,,,,,75,0,2,,,,,1,,,67,80
2726,note_on,,,,,26,0,3,,,,,2,,,57,0
2730,note_on,,,,,4,0,3,,,,,2,,,55,80
2752,note_on,,,,,52,0,2,,,,,1,,,67,0
2756,note_on,,,,,26,0,3,,,,,2,,,55,0
2760,note_on,,,,,8,0,2,,,,,1,,,70,80
2760,note_on,,,,,4,0,3,,,,,2,,,67,80
2805,note_on,,,,,165,0,1,,,,,0,,,72,0
2805,note_on,,,,,165,0,4,,,,,3,,,51,0
2820,note_on,,,,,15,0,1,,,,,0,,,72,80
2820,note_on,,,,,15,0,4,,,,,3,,,53,80
2872,note_on,,,,,112,0,2,,,,,1,,,70,0
2872,note_on,,,,,112,0,3,,,,,2,,,67,0
2880,note_on,,,,,8,0,2,,,,,1,,,69,80
2880,note_on,,,,,8,0,3,,,,,2,,,60,80
2906,note_on,,,,,26,0,2,,,,,1,,,69,0
2910,note_on,,,,,4,0,2,,,,,1,,,67,80
2932,note_on,,,,,52,0,3,,,,,2,,,60,0
2936,note_on,,,,,26,0,2,,,,,1,,,67,0
2940,note_on,,,,,8,0,3,,,,,2,,,63,80
2940,note_on,,,,,4,0,2,,,,,1,,,69,80
2985,note_on,,,,,165,0,4,,,,,3,,,53,0
2985,note_on,,,,,165,0,1,,,,,0,,,72,0
2992,note_on,,,,,52,0,2,,,,,1,,,69,0
3000,note_on,,,,,15,0,1,,,,,0,,,70,80
3000,note_on,,,,,15,0,4,,,,,3,,,58,80
3052,note_on,,,,,112,0,3,,,,,2,,,63,0
3060,note_on,,,,,68,0,2,,,,,1,,,65,80
3060,note_on,,,,,8,0,3,,,,,2,,,62,80
3086,note_on,,,,,26,0,3,,,,,2,,,62,0
3090,note_on,,,,,4,0,3,,,,,2,,,60,80
3105,note_on,,,,,105,0,1,,,,,0,,,70,0
3116,note_on,,,,,26,0,3,,,,,2,,,60,0
3120,note_on,,,,,15,0,1,,,,,0,,,77,80
3120,note_on,,,,,4,0,3,,,,,2,,,62,80
3165,note_on,,,,,105,0,2,,,,,1,,,65,0
3180,note_on,,,,,15,0,2,,,,,1,,,67,80
3232,note_on,,,,,112,0,1,,,,,0,,,77,0
3232,note_on,,,,,112,0,3,,,,,2,,,62,0
3240,note_on,,,,,8,0,1,,,,,0,,,75,80
3240,note_on,,,,,8,0,3,,,,,2,,,60,80
3266,note_on,,,,,26,0,3,,,,,2,,,60,0
3266,note_on,,,,,26,0,1,,,,,0,,,75,0
3270,note_on,,,,,4,0,1,,,,,0,,,74,80
3270,note_on,,,,,4,0,3,,,,,2,,,58,80
3285,note_on,,,,,105,0,2,,,,,1,,,67,0
3296,note_on,,,,,26,0,3,,,,,2,,,58,0
3296,note_on,,,,,26,0,1,,,,,0,,,74,0
3300,note_on,,,,,4,0,3,,,,,2,,,60,80
3300,note_on,,,,,4,0,1,,,,,0,,,75,80
3300,note_on,,,,,15,0,2,,,,,1,,,69,80
3352,note_on,,,,,52,0,3,,,,,2,,,60,0
3352,note_on,,,,,52,0,1,,,,,0,,,75,0
3352,note_on,,,,,52,0,2,,,,,1,,,69,0
3360,note_on,,,,,8,0,2,,,,,1,,,70,80
3360,note_on,,,,,8,0,1,,,,,0,,,74,80
3360,note_on,,,,,8,0,3,,,,,2,,,58,80
3412,note_on,,,,,52,0,3,,,,,2,,,58,0
3412,note_on,,,,,412,0,4,,,,,3,,,58,0
3420,note_on,,,,,8,0,4,,,,,3,,,46,80
3472,note_on,,,,,52,0,4,,,,,3,,,46,0
3480,note_on,,,,,8,0,4,,,,,3,,,55,80
3525,note_on,,,,,165,0,1,,,,,0,,,74,0
3525,note_on,,,,,165,0,2,,,,,1,,,70,0
3540,note_on,,,,,15,0,1,,,,,0,,,74,80
3540,note_on,,,,,15,0,2,,,,,1,,,69,80
3592,note_on,,,,,112,0,4,,,,,3,,,55,0
3600,note_on,,,,,8,0,4,,,,,3,,,54,80
3626,note_on,,,,,26,0,4,,,,,3,,,54,0
3630,note_on,,,,,4,0,4,,,,,3,,,52,80
3656,note_on,,,,,26,0,4,,,,,3,,,52,0
3660,note_on,,,,,4,0,4,,,,,3,,,54,80
3705,note_on,,,,,165,0,1,,,,,0,,,74,0
3705,note_on,,,,,165,0,2,,,,,1,,,69,0
3712,note_on,,,,,52,0,4,,,,,3,,,54,0
3720,note_on,,,,,8,0,4,,,,,3,,,55,80
3720,note_on,,,,,15,0,1,,,,,0,,,74,80
3720,note_on,,,,,15,0,2,,,,,1,,,70,80
3780,note_on,,,,,368,0,3,,,,,2,,,62,80
3832,note_on,,,,,52,0,3,,,,,2,,,62,0
3840,note_on,,,,,8,0,3,,,,,2,,,67,80
3885,note_on,,,,,165,0,1,,,,,0,,,74,0
3885,note_on,,,,,165,0,4,,,,,3,,,55,0
3900,note_on,,,,,15,0,4,,,,,3,,,58,80
3900,note_on,,,,,15,0,1,,,,,0,,,74,80
3952,note_on,,,,,232,0,2,,,,,1,,,70,0
3952,note_on,,,,,112,0,3,,,,,2,,,67,0
3960,note_on,,,,,8,0,3,,,,,2,,,65,80
3960,note_on,,,,,8,0,2,,,,,1,,,69,80
3986,note_on,,,,,26,0,3,,,,,2,,,65,0
3986,note_on,,,,,26,0,2,,,,,1,,,69,0
3990,note_on,,,,,4,0,3,,,,,2,,,64,80
3990,note_on,,,,,4,0,2,,,,,1,,,67,80
4016,note_on,,,,,26,0,2,,,,,1,,,67,0
4016,note_on,,,,,26,0,3,,,,,2,,,64,0
4020,note_on,,,,,4,0,2,,,,,1,,,69,80
4020,note_on,,,,,4,0,3,,,,,2,,,65,80
4065,note_on,,,,,165,0,1,,,,,0,,,74,0
4072,note_on,,,,,52,0,3,,,,,2,,,65,0
4072,note_on,,,,,52,0,2,,,,,1,,,69,0
4080,note_on,,,,,15,0,1,,,,,0,,,72,80
4080,note_on,,,,,8,0,3,,,,,2,,,64,80
4080,note_on,,,,,8,0,2,,,,,1,,,67,80
4132,note_on,,,,,52,0,3,,,,,2,,,64,0
4132,note_on,,,,,52,0,2,,,,,1,,,67,0
