tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,note,velocity,value
0,track_name,0,1,0,,,,,,,,,,,
0,program_change,0,0,6,,,,,,,0,5,,,
0,track_name,0,1,6,,,,,,,,,,,
0,program_change,0,0,5,,,,,,,0,4,,,
0,track_name,0,1,5,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,0,3,,,
0,track_name,0,1,4,,,,,,,,,,,
0,note_on,0,0,3,,,,,,,,2,60,64,
0,program_change,0,0,3,,,,,,,0,2,,,
0,track_name,0,1,3,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,0,1,,,
0,track_name,0,1,2,,,,,,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,0,0,,,
0,key_signature,0,1,0,,,,,C,,,,,,
0,time_signature,0,1,0,2,4,24,8,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,
0,marker,0,1,0,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,638298,,,,,
480,note_on,0,0,3,,,,,,,,2,63,64,
480,note_on,480,0,3,,,,,,,,2,60,0,
960,note_on,480,0,3,,,,,,,,2,63,0,
960,note_on,0,0,3,,,,,,,,2,67,64,
1440,note_on,480,0,3,,,,,,,,2,67,0,
1440,note_on,0,0,3,,,,,,,,2,68,64,
1920,note_on,480,0,3,,,,,,,,2,68,0,
1920,note_on,0,0,3,,,,,,,,2,59,64,
2400,note_on,480,0,3,,,,,,,,2,59,0,
2640,note_on,240,0,3,,,,,,,,2,67,64,
2880,note_on,0,0,3,,,,,,,,2,66,64,
2880,note_on,240,0,3,,,,,,,,2,67,0,
3360,note_on,480,0,3,,,,,,,,2,66,0,
3360,note_on,0,0,3,,,,,,,,2,65,64,
3840,note_on,480,0,3,,,,,,,,2,65,0,
3840,note_on,0,0,3,,,,,,,,2,64,64,
4320,note_on,480,0,3,,,,,,,,2,64,0,
4320,note_on,0,0,3,,,,,,,,2,63,64,
5040,note_on,720,0,3,,,,,,,,2,63,0,
5040,note_on,0,0,3,,,,,,,,2,62,64,
5280,note_on,240,0,3,,,,,,,,2,62,0,
5280,note_on,0,0,3,,,,,,,,2,61,64,
5520,note_on,240,0,3,,,,,,,,2,61,0,
5520,note_on,0,0,3,,,,,,,,2,60,64,
5760,note_on,240,0,3,,,,,,,,2,60,0,
5760,note_on,0,0,3,,,,,,,,2,59,64,
6000,note_on,240,0,3,,,,,,,,2,59,0,
6000,note_on,0,0,3,,,,,,,,2,55,64,
6240,note_on,240,0,3,,,,,,,,2,55,0,
6240,note_on,0,0,3,,,,,,,,2,60,64,
6480,note_on,240,0,3,,,,,,,,2,60,0,
6480,note_on,0,0,3,,,,,,,,2,65,64,
6720,note_on,240,0,3,,,,,,,,2,65,0,
6720,note_on,0,0,3,,,,,,,,2,63,64,
7200,note_on,0,0,3,,,,,,,,2,62,64,
7200,note_on,480,0,3,,,,,,,,2,63,0,
7680,note_on,7680,0,2,,,,,,,,1,67,64,
7680,note_on,0,0,3,,,,,,,,2,60,64,
7680,note_on,480,0,3,,,,,,,,2,62,0,
7920,note_on,0,0,3,,,,,,,,2,63,64,
7920,note_on,240,0,3,,,,,,,,2,60,0,
8040,note_on,120,0,3,,,,,,,,2,63,0,
8040,note_on,0,0,3,,,,,,,,2,62,64,
8100,note_on,60,0,3,,,,,,,,2,62,0,
8100,note_on,0,0,3,,,,,,,,2,60,64,
8160,note_on,480,0,2,,,,,,,,1,67,0,
8160,note_on,0,0,2,,,,,,,,1,70,64,
8160,note_on,0,0,3,,,,,,,,2,62,64,
8160,note_on,60,0,3,,,,,,,,2,60,0,
8400,note_on,0,0,3,,,,,,,,2,67,64,
8400,note_on,240,0,3,,,,,,,,2,62,0,
8640,note_on,480,0,2,,,,,,,,1,70,0,
8640,note_on,240,0,3,,,,,,,,2,67,0,
8640,note_on,0,0,3,,,,,,,,2,63,64,
8640,note_on,0,0,2,,,,,,,,1,72,64,
8880,note_on,240,0,3,,,,,,,,2,63,0,
8880,note_on,0,0,3,,,,,,,,2,68,64,
9120,note_on,0,0,3,,,,,,,,2,67,64,
9120,note_on,240,0,3,,,,,,,,2,68,0,
9120,note_on,480,0,2,,,,,,,,1,72,0,
9120,note_on,0,0,2,,,,,,,,1,75,64,
9360,note_on,0,0,3,,,,,,,,2,72,64,
9360,note_on,240,0,3,,,,,,,,2,67,0,
9600,note_on,480,0,2,,,,,,,,1,75,0,
9600,note_on,0,0,2,,,,,,,,1,66,64,
9840,note_on,0,0,3,,,,,,,,2,70,64,
9840,note_on,480,0,3,,,,,,,,2,72,0,
9960,note_on,0,0,3,,,,,,,,2,69,64,
9960,note_on,120,0,3,,,,,,,,2,70,0,
10080,note_on,0,0,3,,,,,,,,2,70,64,
10080,note_on,120,0,3,,,,,,,,2,69,0,
10080,note_on,480,0,2,,,,,,,,1,66,0,
10320,note_on,240,0,2,,,,,,,,1,74,64,
10560,note_on,0,0,2,,,,,,,,1,73,64,
10560,note_on,240,0,2,,,,,,,,1,74,0,
10800,note_on,720,0,3,,,,,,,,2,70,0,
10800,note_on,0,0,3,,,,,,,,2,69,64,
11040,note_on,0,0,3,,,,,,,,2,64,64,
11040,note_on,240,0,3,,,,,,,,2,69,0,
11040,note_on,0,0,2,,,,,,,,1,72,64,
11040,note_on,480,0,2,,,,,,,,1,73,0,
11280,note_on,240,0,3,,,,,,,,2,64,0,
11280,note_on,0,0,3,,,,,,,,2,66,64,
11520,note_on,240,0,3,,,,,,,,2,66,0,
11520,note_on,0,0,3,,,,,,,,2,67,64,
11520,note_on,0,0,2,,,,,,,,1,71,64,
11520,note_on,480,0,2,,,,,,,,1,72,0,
11760,note_on,240,0,3,,,,,,,,2,67,0,
11760,note_on,0,0,3,,,,,,,,2,62,64,
12000,note_on,240,0,3,,,,,,,,2,62,0,
12000,note_on,0,0,2,,,,,,,,1,70,64,
12000,note_on,480,0,2,,,,,,,,1,71,0,
12240,note_on,240,0,3,,,,,,,,2,67,64,
12360,note_on,0,0,3,,,,,,,,2,65,64,
12360,note_on,120,0,3,,,,,,,,2,67,0,
12480,note_on,120,0,3,,,,,,,,2,65,0,
12480,note_on,0,0,3,,,,,,,,2,63,64,
12600,note_on,120,0,3,,,,,,,,2,63,0,
12600,note_on,0,0,3,,,,,,,,2,62,64,
12720,note_on,0,0,2,,,,,,,,1,69,64,
12720,note_on,0,0,3,,,,,,,,2,60,64,
12720,note_on,720,0,2,,,,,,,,1,70,0,
12720,note_on,120,0,3,,,,,,,,2,62,0,
12960,note_on,240,0,2,,,,,,,,1,69,0,
12960,note_on,240,0,3,,,,,,,,2,60,0,
12960,note_on,0,0,2,,,,,,,,1,68,64,
13200,note_on,240,0,3,,,,,,,,2,63,64,
13200,note_on,0,0,2,,,,,,,,1,67,64,
13200,note_on,240,0,2,,,,,,,,1,68,0,
13440,note_on,240,0,3,,,,,,,,2,63,0,
13440,note_on,0,0,3,,,,,,,,2,62,64,
13440,note_on,240,0,2,,,,,,,,1,67,0,
13440,note_on,0,0,2,,,,,,,,1,66,64,
13680,note_on,240,0,2,,,,,,,,1,66,0,
13680,note_on,0,0,2,,,,,,,,1,62,64,
13800,note_on,360,0,3,,,,,,,,2,62,0,
13800,note_on,0,0,3,,,,,,,,2,60,64,
13920,note_on,120,0,3,,,,,,,,2,60,0,
13920,note_on,0,0,3,,,,,,,,2,58,64,
13920,note_on,240,0,2,,,,,,,,1,62,0,
13920,note_on,0,0,2,,,,,,,,1,67,64,
14160,note_on,240,0,2,,,,,,,,1,67,0,
14160,note_on,0,0,2,,,,,,,,1,72,64,
14160,note_on,240,0,3,,,,,,,,2,58,0,
14160,note_on,0,0,3,,,,,,,,2,57,64,
14400,note_on,240,0,3,,,,,,,,2,57,0,
14400,note_on,0,0,3,,,,,,,,2,55,64,
14400,note_on,240,0,2,,,,,,,,1,72,0,
14400,note_on,0,0,2,,,,,,,,1,70,64,
14640,note_on,240,0,3,,,,,,,,2,55,0,
14640,note_on,0,0,3,,,,,,,,2,67,64,
14880,note_on,240,0,3,,,,,,,,2,67,0,
14880,note_on,480,0,2,,,,,,,,1,70,0,
14880,note_on,0,0,2,,,,,,,,1,69,64,
14880,note_on,0,0,3,,,,,,,,2,60,64,
15120,note_on,0,0,3,,,,,,,,2,62,64,
15120,note_on,240,0,3,,,,,,,,2,60,0,
15360,note_on,480,0,2,,,,,,,,1,69,0,
