tick,type,key,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,data,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,program,channel,control,value,note,velocity
0,key_signature,C,0,1,0,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,1,,,,,,,,,,,,,0,,,,,,
0,control_change,,0,0,1,,,,,,,,,,,,,,,3,93,0,,
0,control_change,,0,0,1,,,,,,,,,,,,,,,3,7,127,,
0,control_change,,0,0,1,,,,,,,,,,,,,,,3,10,64,,
0,control_change,,0,0,1,,,,,,,,,,,,,,,3,91,127,,
0,track_name,,0,1,1,,,,,,,,,,,,,,,,,,,
0,time_signature,,0,1,0,,,,,,,,,4,4,24,8,,,,,,,
0,set_tempo,,0,1,0,,,,,,,,1200000,,,,,,,,,,,
0,program_change,,0,0,1,,,,,,,,,,,,,,19,3,,,,
0,sysex,,0,0,0,,,,,,,"(65, 16, 66, 18, 64, 20, 34, 127, 11)",,,,,,,,,,,,
0,sysex,,0,0,0,,,,,,,"(65, 16, 66, 18, 64, 20, 0, 8, 19, 17)",,,,,,,,,,,,
0,sysex,,0,0,0,,,,,,,"(65, 16, 66, 18, 64, 1, 52, 127, 12)",,,,,,,,,,,,
0,sysex,,0,0,0,,,,,,,"(65, 16, 66, 18, 64, 1, 51, 127, 13)",,,,,,,,,,,,
0,sysex,,0,0,0,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,,,,,,,
0,sequencer_specific,,0,1,0,,,,,,,"(0, 0, 0, 106, 0, 3, 68, 69, 70, 65, 85, 76, 84, 46, 87, 86, 66)",,,,,,,,,,,,
0,smpte_offset,,0,1,0,25,32,0,0,0,0,,,,,,,,,,,,,
0,sysex,,0,0,0,,,,,,,"(65, 16, 66, 18, 64, 20, 0, 8, 19, 17)",,,,,,,,,,,,
0,sysex,,0,0,0,,,,,,,"(65, 16, 66, 18, 64, 20, 25, 127, 20)",,,,,,,,,,,,
150,note_on,,150,0,1,,,,,,,,,,,,,,,3,,,72,127
164,set_tempo,,164,1,0,,,,,,,,1500000,,,,,,,,,,,
173,note_on,,23,0,1,,,,,,,,,,,,,,,3,,,72,0
180,note_on,,7,0,1,,,,,,,,,,,,,,,3,,,76,127
203,note_on,,23,0,1,,,,,,,,,,,,,,,3,,,76,0
210,note_on,,7,0,1,,,,,,,,,,,,,,,3,,,79,127
216,set_tempo,,52,1,0,,,,,,,,1200000,,,,,,,,,,,
222,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,79,0
225,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,71,127
237,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,71,0
240,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,77,127
241,set_tempo,,25,1,0,,,,,,,,2142857,,,,,,,,,,,
244,set_tempo,,3,1,0,,,,,,,,1875000,,,,,,,,,,,
263,note_on,,23,0,1,,,,,,,,,,,,,,,3,,,77,0
279,set_tempo,,35,1,0,,,,,,,,1428571,,,,,,,,,,,
283,set_tempo,,4,1,0,,,,,,,,1764705,,,,,,,,,,,
330,set_tempo,,47,1,0,,,,,,,,1200000,,,,,,,,,,,
390,note_on,,127,0,1,,,,,,,,,,,,,,,3,,,69,127
413,note_on,,23,0,1,,,,,,,,,,,,,,,3,,,69,0
416,set_tempo,,86,1,0,,,,,,,,1500000,,,,,,,,,,,
420,note_on,,7,0,1,,,,,,,,,,,,,,,3,,,71,127
443,note_on,,23,0,1,,,,,,,,,,,,,,,3,,,71,0
450,note_on,,7,0,1,,,,,,,,,,,,,,,3,,,74,127
456,set_tempo,,40,1,0,,,,,,,,1200000,,,,,,,,,,,
462,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,74,0
465,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,67,127
477,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,67,0
480,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,76,127
481,set_tempo,,25,1,0,,,,,,,,1764705,,,,,,,,,,,
503,note_on,,23,0,1,,,,,,,,,,,,,,,3,,,76,0
517,set_tempo,,36,1,0,,,,,,,,1200000,,,,,,,,,,,
540,set_tempo,,23,1,0,,,,,,,,1666666,,,,,,,,,,,
545,set_tempo,,5,1,0,,,,,,,,1875000,,,,,,,,,,,
586,set_tempo,,41,1,0,,,,,,,,1200000,,,,,,,,,,,
590,set_tempo,,4,1,0,,,,,,,,1132075,,,,,,,,,,,
