tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,text,0,1,0,,,,,,,,,,,,,
0,program_change,0,0,8,,,,,,,,52,6,,,,
0,control_change,0,0,8,,,,,,,,,6,91,127,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,program_change,0,0,9,,,,,,,,52,7,,,,
0,control_change,0,0,9,,,,,,,,,7,91,127,,
0,control_change,0,0,3,,,,,,,,,1,91,127,,
0,control_change,0,0,3,,,,,,,,,1,7,100,,
0,program_change,0,0,3,,,,,,,,68,1,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,program_change,0,0,10,,,,,,,,19,8,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,program_change,0,0,5,,,,,,,,48,3,,,,
0,control_change,0,0,5,,,,,,,,,3,7,100,,
0,control_change,0,0,5,,,,,,,,,3,91,127,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,program_change,0,0,6,,,,,,,,48,4,,,,
0,control_change,0,0,6,,,,,,,,,4,7,100,,
0,control_change,0,0,10,,,,,,,,,8,7,100,,
0,control_change,0,0,6,,,,,,,,,4,91,127,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,program_change,0,0,7,,,,,,,,48,5,,,,
0,control_change,0,0,7,,,,,,,,,5,7,100,,
0,control_change,0,0,7,,,,,,,,,5,91,127,,
0,control_change,0,0,4,,,,,,,,,2,91,127,,
0,control_change,0,0,4,,,,,,,,,2,7,100,,
0,program_change,0,0,4,,,,,,,,48,2,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,control_change,0,0,10,,,,,,,,,8,91,127,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,time_signature,0,1,0,2,4,24,8,,,,,,,,,
0,key_signature,0,1,0,,,,,G,,,,,,,,
0,control_change,0,0,2,,,,,,,,,0,91,127,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,625000,,,,,,,
0,control_change,0,0,2,,,,,,,,,0,7,100,,
0,program_change,0,0,2,,,,,,,,68,0,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,program_change,0,0,1,,,,,,,,68,0,,,,
240,note_on,240,0,10,,,,,,,,,8,,,43,50
240,set_tempo,0,1,0,,,,,,800000,,,,,,,
240,note_on,240,0,7,,,,,,,,,5,,,43,50
240,note_on,240,0,3,,,,,,,,,1,,,67,50
240,note_on,240,0,2,,,,,,,,,0,,,67,50
