tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,data,control,value,channel,program,pitch,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,,
0,sysex,0,0,1,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,,
0,instrument_name,0,1,2,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,15,,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,15,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,14,,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,14,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,13,,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,13,,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,3,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,12,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,11,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,10,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,9,,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,5,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,8,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,7,,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,4,,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,1,,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,6,,,,,,,,,,,,,,,,,,,,
0,smpte_offset,0,1,0,25,32,0,0,0,0,,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,,1000000,,,,,,,,,,,,,
0,time_signature,0,1,0,,,,,,,,4,4,24,8,,,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,,Bbm,,,,,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,11,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,10,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,9,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,8,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,7,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,6,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,5,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,4,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,3,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,2,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,1,,,,
780,control_change,780,0,1,,,,,,,,,,,,,,121,0,0,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,12,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,13,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,15,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,14,,,,
790,sysex,10,0,1,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 0, 4, 127, 61)",,,,,,,
