tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity
0,time_signature,4,4,96,8,0,1,0,,,,,,,,,
0,control_change,,,,,0,0,6,,,7,127,5,,,,
0,control_change,,,,,0,0,6,,,10,105,5,,,,
0,control_change,,,,,0,0,6,,,0,0,5,,,,
0,track_name,,,,,0,1,6,,,,,,,,,
0,note_on,,,,,0,0,5,,,,,4,,,66,100
0,key_signature,,,,,0,1,5,,,,,,,Bm,,
0,program_change,,,,,0,0,5,,,,,4,48,,,
0,control_change,,,,,0,0,5,,,7,127,4,,,,
0,control_change,,,,,0,0,5,,,10,105,4,,,,
0,control_change,,,,,0,0,5,,,0,0,4,,,,
0,track_name,,,,,0,1,5,,,,,,,,,
0,key_signature,,,,,0,1,16,,,,,,,C,,
0,note_on,,,,,0,0,4,,,,,3,,,71,100
0,key_signature,,,,,0,1,4,,,,,,,Bm,,
0,program_change,,,,,0,0,4,,,,,3,48,,,
0,control_change,,,,,0,0,4,,,7,127,3,,,,
0,control_change,,,,,0,0,4,,,10,21,3,,,,
0,control_change,,,,,0,0,2,,,10,0,1,,,,
0,control_change,,,,,0,0,2,,,7,127,1,,,,
0,program_change,,,,,0,0,2,,,,,1,73,,,
0,key_signature,,,,,0,1,2,,,,,,,Bm,,
0,note_on,,,,,0,0,2,,,,,1,,,71,100
0,track_name,,,,,0,1,3,,,,,,,,,
0,program_change,,,,,0,0,6,,,,,5,41,,,
0,control_change,,,,,0,0,3,,,0,0,2,,,,
0,control_change,,,,,0,0,3,,,7,127,2,,,,
0,program_change,,,,,0,0,3,,,,,2,73,,,
0,key_signature,,,,,0,1,3,,,,,,,Bm,,
0,note_on,,,,,0,0,3,,,,,2,,,71,100
0,track_name,,,,,0,1,4,,,,,,,,,
0,control_change,,,,,0,0,4,,,0,0,3,,,,
0,control_change,,,,,0,0,3,,,10,127,2,,,,
0,control_change,,,,,0,0,2,,,0,0,1,,,,
0,key_signature,,,,,0,1,6,,,,,,,Bm,,
0,track_name,,,,,0,1,7,,,,,,,,,
0,end_of_track,,,,,0,1,15,,,,,,,,,
0,key_signature,,,,,0,1,15,,,,,,,C,,
0,end_of_track,,,,,0,1,14,,,,,,,,,
0,key_signature,,,,,0,1,14,,,,,,,C,,
0,end_of_track,,,,,0,1,13,,,,,,,,,
0,key_signature,,,,,0,1,13,,,,,,,C,,
0,track_name,,,,,0,1,13,,,,,,,,,
0,end_of_track,,,,,0,1,12,,,,,,,,,
0,key_signature,,,,,0,1,12,,,,,,,C,,
0,track_name,,,,,0,1,12,,,,,,,,,
0,end_of_track,,,,,0,1,11,,,,,,,,,
0,key_signature,,,,,0,1,11,,,,,,,C,,
0,track_name,,,,,0,1,11,,,,,,,,,
0,end_of_track,,,,,0,1,10,,,,,,,,,
0,key_signature,,,,,0,1,10,,,,,,,C,,
0,track_name,,,,,0,1,10,,,,,,,,,
0,end_of_track,,,,,0,1,9,,,,,,,,,
0,control_change,,,,,0,0,7,,,0,0,6,,,,
0,control_change,,,,,0,0,7,,,10,21,6,,,,
0,control_change,,,,,0,0,7,,,7,127,6,,,,
0,program_change,,,,,0,0,7,,,,,6,42,,,
0,key_signature,,,,,0,1,7,,,,,,,Bm,,
0,note_on,,,,,0,0,7,,,,,6,,,59,100
0,note_on,,,,,0,0,6,,,,,5,,,62,100
0,track_name,,,,,0,1,8,,,,,,,,,
0,control_change,,,,,0,0,8,,,7,127,7,,,,
0,program_change,,,,,0,0,8,,,,,7,71,,,
0,key_signature,,,,,0,1,8,,,,,,,Bm,,
0,note_on,,,,,0,0,8,,,,,7,,,47,100
0,track_name,,,,,0,1,9,,,,,,,,,
0,key_signature,,,,,0,1,9,,,,,,,C,,
0,control_change,,,,,0,0,8,,,0,0,7,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,end_of_track,,,,,0,1,16,,,,,,,,,
0,control_change,,,,,0,0,1,,,10,63,0,,,,
0,key_signature,,,,,0,1,1,,,,,,,Bm,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,control_change,,,,,0,0,1,,,0,0,0,,,,
0,set_tempo,,,,,0,1,0,,789473,,,,,,,
0,control_change,,,,,0,0,1,,,7,127,0,,,,
0,program_change,,,,,0,0,1,,,,,0,68,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 65)",,,,,,,,
188,note_off,,,,,188,0,5,,,,,4,,,66,64
188,note_off,,,,,188,0,2,,,,,1,,,71,64
188,note_off,,,,,188,0,6,,,,,5,,,62,64
188,note_off,,,,,188,0,8,,,,,7,,,47,64
188,note_off,,,,,188,0,3,,,,,2,,,71,64
188,note_off,,,,,188,0,4,,,,,3,,,71,64
188,note_off,,,,,188,0,7,,,,,6,,,59,64
192,note_on,,,,,4,0,7,,,,,6,,,47,100
192,note_on,,,,,4,0,6,,,,,5,,,64,100
192,note_on,,,,,4,0,4,,,,,3,,,73,100
192,note_on,,,,,4,0,5,,,,,4,,,67,100
192,note_on,,,,,4,0,8,,,,,7,,,35,100
192,note_on,,,,,4,0,2,,,,,1,,,73,100
192,note_on,,,,,4,0,3,,,,,2,,,73,100
380,note_off,,,,,188,0,7,,,,,6,,,47,64
380,note_off,,,,,188,0,8,,,,,7,,,35,64
384,note_on,,,,,4,0,7,,,,,6,,,47,100
384,note_on,,,,,4,0,8,,,,,7,,,35,100
572,note_off,,,,,380,0,4,,,,,3,,,73,64
572,note_off,,,,,380,0,6,,,,,5,,,64,64
572,note_off,,,,,380,0,5,,,,,4,,,67,64
572,note_off,,,,,188,0,8,,,,,7,,,35,64
572,note_off,,,,,380,0,3,,,,,2,,,73,64
572,note_off,,,,,188,0,7,,,,,6,,,47,64
572,note_off,,,,,380,0,2,,,,,1,,,73,64
576,note_on,,,,,4,0,8,,,,,7,,,35,100
576,note_on,,,,,4,0,7,,,,,6,,,47,100
576,note_on,,,,,4,0,2,,,,,1,,,70,100
576,note_on,,,,,4,0,5,,,,,4,,,64,100
576,note_on,,,,,4,0,6,,,,,5,,,61,100
576,note_on,,,,,4,0,4,,,,,3,,,70,100
576,note_on,,,,,4,0,3,,,,,2,,,70,100
704,note_off,,,,,128,0,6,,,,,5,,,61,64
704,note_off,,,,,128,0,2,,,,,1,,,70,64
704,note_off,,,,,128,0,4,,,,,3,,,70,64
704,note_off,,,,,128,0,5,,,,,4,,,64,64
704,note_off,,,,,128,0,3,,,,,2,,,70,64
764,note_off,,,,,188,0,7,,,,,6,,,47,64
764,note_off,,,,,188,0,8,,,,,7,,,35,64
768,note_on,,,,,4,0,7,,,,,6,,,47,100
768,note_on,,,,,64,0,6,,,,,5,,,62,100
768,note_on,,,,,64,0,2,,,,,1,,,71,100
768,note_on,,,,,64,0,5,,,,,4,,,66,100
768,note_on,,,,,64,0,3,,,,,2,,,71,100
768,note_on,,,,,64,0,4,,,,,3,,,71,100
768,note_on,,,,,4,0,8,,,,,7,,,35,100
896,note_off,,,,,128,0,5,,,,,4,,,66,64
896,note_off,,,,,128,0,2,,,,,1,,,71,64
896,note_off,,,,,128,0,3,,,,,2,,,71,64
896,note_off,,,,,128,0,4,,,,,3,,,71,64
960,note_on,,,,,64,0,2,,,,,1,,,79,100
960,note_on,,,,,64,0,3,,,,,2,,,79,100
960,note_on,,,,,64,0,4,,,,,3,,,79,100
960,note_on,,,,,64,0,5,,,,,4,,,76,100
1088,note_off,,,,,128,0,2,,,,,1,,,79,64
1088,note_off,,,,,128,0,3,,,,,2,,,79,64
1088,note_off,,,,,128,0,4,,,,,3,,,79,64
1088,note_off,,,,,128,0,5,,,,,4,,,76,64
1148,note_off,,,,,380,0,8,,,,,7,,,35,64
1148,note_off,,,,,380,0,7,,,,,6,,,47,64
1148,note_off,,,,,380,0,6,,,,,5,,,62,64
1152,note_on,,,,,64,0,3,,,,,2,,,79,100
1152,note_on,,,,,64,0,4,,,,,3,,,79,100
1152,note_on,,,,,64,0,5,,,,,4,,,76,100
1152,note_on,,,,,64,0,2,,,,,1,,,79,100
1152,note_on,,,,,4,0,6,,,,,5,,,58,100
1280,note_off,,,,,128,0,4,,,,,3,,,79,64
1280,note_off,,,,,128,0,3,,,,,2,,,79,64
1280,note_off,,,,,128,0,2,,,,,1,,,79,64
1340,note_off,,,,,188,0,5,,,,,4,,,76,64
1344,note_on,,,,,4,0,5,,,,,4,,,74,100
1344,note_on,,,,,64,0,3,,,,,2,,,78,100
1344,note_on,,,,,64,0,4,,,,,3,,,78,100
1344,note_on,,,,,64,0,2,,,,,1,,,78,100
1472,note_off,,,,,128,0,4,,,,,3,,,78,64
1472,note_off,,,,,128,0,3,,,,,2,,,78,64
1472,note_off,,,,,128,0,2,,,,,1,,,78,64
1532,note_off,,,,,188,0,5,,,,,4,,,74,64
1532,note_off,,,,,380,0,6,,,,,5,,,58,64
1536,note_on,,,,,4,0,6,,,,,5,,,59,100
1536,note_on,,,,,64,0,3,,,,,2,,,66,100
1536,note_on,,,,,64,0,2,,,,,1,,,66,100
1536,note_on,,,,,64,0,4,,,,,3,,,66,100
1536,note_on,,,,,4,0,5,,,,,4,,,62,100
1664,note_off,,,,,128,0,2,,,,,1,,,66,64
1664,note_off,,,,,128,0,5,,,,,4,,,62,64
1664,note_off,,,,,128,0,4,,,,,3,,,66,64
1664,note_off,,,,,128,0,3,,,,,2,,,66,64
1728,note_on,,,,,64,0,3,,,,,2,,,74,100
1728,note_on,,,,,64,0,4,,,,,3,,,78,100
1728,note_on,,,,,64,0,5,,,,,4,,,74,100
1728,note_on,,,,,64,0,2,,,,,1,,,78,100
1856,note_off,,,,,128,0,5,,,,,4,,,74,64
1856,note_off,,,,,128,0,4,,,,,3,,,78,64
1856,note_off,,,,,128,0,2,,,,,1,,,78,64
1856,note_off,,,,,128,0,3,,,,,2,,,74,64
1916,note_off,,,,,380,0,6,,,,,5,,,59,64
1920,note_on,,,,,64,0,4,,,,,3,,,78,100
1920,note_on,,,,,64,0,2,,,,,1,,,78,100
1920,note_on,,,,,64,0,3,,,,,2,,,74,100
1920,note_on,,,,,4,0,6,,,,,5,,,54,100
1920,note_on,,,,,64,0,5,,,,,4,,,74,100
2108,note_off,,,,,188,0,4,,,,,3,,,78,64
2108,note_off,,,,,188,0,3,,,,,2,,,74,64
2108,note_off,,,,,188,0,5,,,,,4,,,74,64
2108,note_off,,,,,188,0,2,,,,,1,,,78,64
2112,note_on,,,,,4,0,2,,,,,1,,,76,100
2112,note_on,,,,,4,0,4,,,,,3,,,76,100
2112,note_on,,,,,4,0,5,,,,,4,,,73,100
2112,note_on,,,,,4,0,3,,,,,2,,,73,100
2300,note_off,,,,,188,0,4,,,,,3,,,76,64
2300,note_off,,,,,188,0,3,,,,,2,,,73,64
2300,note_off,,,,,188,0,2,,,,,1,,,76,64
2300,note_off,,,,,188,0,5,,,,,4,,,73,64
2300,note_off,,,,,380,0,6,,,,,5,,,54,64
2304,note_on,,,,,4,0,2,,,,,1,,,64,100
2304,note_on,,,,,4,0,4,,,,,3,,,64,100
2304,note_on,,,,,4,0,6,,,,,5,,,58,100
2304,note_on,,,,,4,0,3,,,,,2,,,64,100
2304,note_on,,,,,4,0,5,,,,,4,,,61,100
2432,note_off,,,,,128,0,3,,,,,2,,,64,64
2432,note_off,,,,,128,0,4,,,,,3,,,64,64
2432,note_off,,,,,128,0,2,,,,,1,,,64,64
2432,note_off,,,,,128,0,5,,,,,4,,,61,64
2496,note_on,,,,,64,0,3,,,,,2,,,73,100
2496,note_on,,,,,64,0,4,,,,,3,,,76,100
2496,note_on,,,,,64,0,2,,,,,1,,,76,100
2496,note_on,,,,,64,0,5,,,,,4,,,73,100
2624,note_off,,,,,128,0,4,,,,,3,,,76,64
2624,note_off,,,,,128,0,2,,,,,1,,,76,64
2624,note_off,,,,,128,0,3,,,,,2,,,73,64
2624,note_off,,,,,128,0,5,,,,,4,,,73,64
2684,note_off,,,,,380,0,6,,,,,5,,,58,64
2688,note_on,,,,,64,0,4,,,,,3,,,76,100
2688,note_on,,,,,4,0,6,,,,,5,,,54,100
2688,note_on,,,,,64,0,3,,,,,2,,,73,100
2688,note_on,,,,,64,0,2,,,,,1,,,76,100
2688,note_on,,,,,64,0,5,,,,,4,,,73,100
2876,note_off,,,,,188,0,5,,,,,4,,,73,64
2876,note_off,,,,,188,0,2,,,,,1,,,76,64
2876,note_off,,,,,188,0,3,,,,,2,,,73,64
2876,note_off,,,,,188,0,4,,,,,3,,,76,64
2880,note_on,,,,,4,0,5,,,,,4,,,71,100
2880,note_on,,,,,4,0,3,,,,,2,,,71,100
2880,note_on,,,,,4,0,4,,,,,3,,,74,100
2880,note_on,,,,,4,0,2,,,,,1,,,74,100
3068,note_off,,,,,380,0,6,,,,,5,,,54,64
3068,note_off,,,,,188,0,5,,,,,4,,,71,64
3068,note_off,,,,,188,0,3,,,,,2,,,71,64
3068,note_off,,,,,188,0,4,,,,,3,,,74,64
3068,note_off,,,,,188,0,2,,,,,1,,,74,64
3072,note_on,,,,,4,0,6,,,,,5,,,66,100
3072,note_on,,,,,4,0,3,,,,,2,,,74,100
3072,note_on,,,,,1924,0,7,,,,,6,,,59,100
3072,note_on,,,,,1924,0,8,,,,,7,,,47,100
3072,note_on,,,,,4,0,4,,,,,3,,,74,100
3072,note_on,,,,,4,0,2,,,,,1,,,74,100
3072,note_on,,,,,4,0,5,,,,,4,,,71,100
3260,note_off,,,,,188,0,7,,,,,6,,,59,64
3260,note_off,,,,,188,0,8,,,,,7,,,47,64
3260,note_off,,,,,188,0,3,,,,,2,,,74,64
3260,note_off,,,,,188,0,2,,,,,1,,,74,64
3260,note_off,,,,,188,0,6,,,,,5,,,66,64
3260,note_off,,,,,188,0,5,,,,,4,,,71,64
3260,note_off,,,,,188,0,4,,,,,3,,,74,64
3264,note_on,,,,,4,0,6,,,,,5,,,67,100
3264,note_on,,,,,4,0,5,,,,,4,,,71,100
3264,note_on,,,,,4,0,4,,,,,3,,,76,100
3264,note_on,,,,,4,0,8,,,,,7,,,43,100
3264,note_on,,,,,4,0,7,,,,,6,,,55,100
3264,note_on,,,,,4,0,2,,,,,1,,,76,100
3264,note_on,,,,,4,0,3,,,,,2,,,76,100
3452,note_off,,,,,188,0,8,,,,,7,,,43,64
3452,note_off,,,,,188,0,7,,,,,6,,,55,64
3456,note_on,,,,,4,0,7,,,,,6,,,52,100
3456,note_on,,,,,4,0,8,,,,,7,,,40,100
3644,note_off,,,,,380,0,4,,,,,3,,,76,64
3644,note_off,,,,,188,0,7,,,,,6,,,52,64
3644,note_off,,,,,380,0,6,,,,,5,,,67,64
3644,note_off,,,,,188,0,8,,,,,7,,,40,64
3644,note_off,,,,,380,0,5,,,,,4,,,71,64
3644,note_off,,,,,380,0,3,,,,,2,,,76,64
3644,note_off,,,,,380,0,2,,,,,1,,,76,64
3648,note_on,,,,,4,0,3,,,,,2,,,73,100
3648,note_on,,,,,4,0,6,,,,,5,,,64,100
3648,note_on,,,,,4,0,2,,,,,1,,,73,100
3648,note_on,,,,,4,0,8,,,,,7,,,45,100
3648,note_on,,,,,4,0,5,,,,,4,,,69,100
3648,note_on,,,,,4,0,4,,,,,3,,,73,100
3648,note_on,,,,,4,0,7,,,,,6,,,57,100
3776,note_off,,,,,128,0,6,,,,,5,,,64,64
3776,note_off,,,,,128,0,2,,,,,1,,,73,64
3776,note_off,,,,,128,0,5,,,,,4,,,69,64
3776,note_off,,,,,128,0,4,,,,,3,,,73,64
3776,note_off,,,,,128,0,3,,,,,2,,,73,64
3836,note_off,,,,,188,0,8,,,,,7,,,45,64
3836,note_off,,,,,188,0,7,,,,,6,,,57,64
3840,note_on,,,,,4,0,8,,,,,7,,,38,100
3840,note_on,,,,,64,0,5,,,,,4,,,69,100
3840,note_on,,,,,64,0,2,,,,,1,,,74,100
3840,note_on,,,,,4,0,7,,,,,6,,,50,100
3840,note_on,,,,,64,0,4,,,,,3,,,74,100
3840,note_on,,,,,64,0,3,,,,,2,,,74,100
3840,note_on,,,,,64,0,6,,,,,5,,,66,100
3968,note_off,,,,,128,0,5,,,,,4,,,69,64
3968,note_off,,,,,128,0,3,,,,,2,,,74,64
3968,note_off,,,,,128,0,2,,,,,1,,,74,64
3968,note_off,,,,,128,0,4,,,,,3,,,74,64
4032,note_on,,,,,64,0,5,,,,,4,,,79,100
4032,note_on,,,,,64,0,3,,,,,2,,,79,100
4032,note_on,,,,,64,0,2,,,,,1,,,83,100
4032,note_on,,,,,64,0,4,,,,,3,,,83,100
4160,note_off,,,,,128,0,5,,,,,4,,,79,64
4160,note_off,,,,,128,0,2,,,,,1,,,83,64
4160,note_off,,,,,128,0,3,,,,,2,,,79,64
4160,note_off,,,,,128,0,4,,,,,3,,,83,64
4220,note_off,,,,,380,0,7,,,,,6,,,50,64
4220,note_off,,,,,380,0,6,,,,,5,,,66,64
4220,note_off,,,,,380,0,8,,,,,7,,,38,64
4224,note_on,,,,,64,0,4,,,,,3,,,83,100
4224,note_on,,,,,4,0,6,,,,,5,,,61,100
4224,note_on,,,,,64,0,2,,,,,1,,,83,100
4224,note_on,,,,,64,0,5,,,,,4,,,79,100
4224,note_on,,,,,64,0,3,,,,,2,,,79,100
4412,note_off,,,,,188,0,4,,,,,3,,,83,64
4412,note_off,,,,,188,0,5,,,,,4,,,79,64
4412,note_off,,,,,188,0,2,,,,,1,,,83,64
4412,note_off,,,,,188,0,3,,,,,2,,,79,64
4416,note_on,,,,,4,0,4,,,,,3,,,81,100
4416,note_on,,,,,4,0,5,,,,,4,,,78,100
4416,note_on,,,,,4,0,2,,,,,1,,,81,100
4416,note_on,,,,,4,0,3,,,,,2,,,78,100
4604,note_off,,,,,188,0,2,,,,,1,,,81,64
4604,note_off,,,,,188,0,3,,,,,2,,,78,64
4604,note_off,,,,,380,0,6,,,,,5,,,61,64
4604,note_off,,,,,188,0,5,,,,,4,,,78,64
4604,note_off,,,,,188,0,4,,,,,3,,,81,64
4608,note_on,,,,,4,0,2,,,,,1,,,69,100
4608,note_on,,,,,4,0,5,,,,,4,,,66,100
4608,note_on,,,,,4,0,4,,,,,3,,,69,100
4608,note_on,,,,,4,0,3,,,,,2,,,69,100
4608,note_on,,,,,4,0,6,,,,,5,,,62,100
4736,note_off,,,,,128,0,2,,,,,1,,,69,64
4736,note_off,,,,,128,0,5,,,,,4,,,66,64
4736,note_off,,,,,128,0,4,,,,,3,,,69,64
4736,note_off,,,,,128,0,3,,,,,2,,,69,64
4800,note_on,,,,,64,0,2,,,,,1,,,81,100
4800,note_on,,,,,64,0,3,,,,,2,,,78,100
4800,note_on,,,,,64,0,5,,,,,4,,,78,100
4800,note_on,,,,,64,0,4,,,,,3,,,81,100
4928,note_off,,,,,128,0,3,,,,,2,,,78,64
4928,note_off,,,,,128,0,5,,,,,4,,,78,64
4928,note_off,,,,,128,0,2,,,,,1,,,81,64
4928,note_off,,,,,128,0,4,,,,,3,,,81,64
4988,note_off,,,,,380,0,6,,,,,5,,,62,64
4992,note_on,,,,,64,0,2,,,,,1,,,81,100
4992,note_on,,,,,4,0,6,,,,,5,,,57,100
4992,note_on,,,,,64,0,5,,,,,4,,,78,100
4992,note_on,,,,,64,0,4,,,,,3,,,81,100
4992,note_on,,,,,64,0,3,,,,,2,,,78,100
5180,note_off,,,,,188,0,3,,,,,2,,,78,64
5180,note_off,,,,,188,0,5,,,,,4,,,78,64
5180,note_off,,,,,188,0,2,,,,,1,,,81,64
5180,note_off,,,,,188,0,4,,,,,3,,,81,64
5184,note_on,,,,,4,0,5,,,,,4,,,76,100
5184,note_on,,,,,4,0,4,,,,,3,,,79,100
5184,note_on,,,,,4,0,3,,,,,2,,,76,100
5184,note_on,,,,,4,0,2,,,,,1,,,79,100
5372,note_off,,,,,380,0,6,,,,,5,,,57,64
5372,note_off,,,,,188,0,3,,,,,2,,,76,64
5372,note_off,,,,,188,0,4,,,,,3,,,79,64
5372,note_off,,,,,188,0,5,,,,,4,,,76,64
5372,note_off,,,,,188,0,2,,,,,1,,,79,64
5376,note_on,,,,,4,0,5,,,,,4,,,64,100
5376,note_on,,,,,4,0,6,,,,,5,,,61,100
5376,note_on,,,,,4,0,4,,,,,3,,,67,100
5376,note_on,,,,,4,0,2,,,,,1,,,67,100
5376,note_on,,,,,4,0,3,,,,,2,,,67,100
5504,note_off,,,,,128,0,2,,,,,1,,,67,64
5504,note_off,,,,,128,0,3,,,,,2,,,67,64
5504,note_off,,,,,128,0,5,,,,,4,,,64,64
5504,note_off,,,,,128,0,4,,,,,3,,,67,64
5568,note_on,,,,,64,0,3,,,,,2,,,76,100
5568,note_on,,,,,64,0,5,,,,,4,,,76,100
5568,note_on,,,,,64,0,4,,,,,3,,,79,100
5568,note_on,,,,,64,0,2,,,,,1,,,79,100
5696,note_off,,,,,128,0,5,,,,,4,,,76,64
5696,note_off,,,,,128,0,3,,,,,2,,,76,64
5696,note_off,,,,,128,0,4,,,,,3,,,79,64
5696,note_off,,,,,128,0,2,,,,,1,,,79,64
