tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,program,channel,note,velocity
0,time_signature,12,8,36,8,0,1,0,,,,,,
0,track_name,,,,,0,1,8,,,,,,
0,program_change,,,,,0,0,8,,,0,7,,
0,program_change,,,,,0,0,7,,,0,6,,
0,program_change,,,,,0,0,6,,,0,5,,
0,track_name,,,,,0,1,6,,,,,,
0,note_on,,,,,0,0,5,,,,4,41,96
0,program_change,,,,,0,0,5,,,0,4,,
0,track_name,,,,,0,1,5,,,,,,
0,program_change,,,,,0,0,4,,,0,3,,
0,track_name,,,,,0,1,4,,,,,,
0,program_change,,,,,0,0,3,,,0,2,,
0,track_name,,,,,0,1,3,,,,,,
0,program_change,,,,,0,0,2,,,0,1,,
0,track_name,,,,,0,1,2,,,,,,
0,track_name,,,,,0,1,7,,,,,,
0,program_change,,,,,0,0,1,,,0,0,,
0,key_signature,,,,,0,1,0,F,,,,,
0,track_name,,,,,0,1,1,,,,,,
0,set_tempo,,,,,0,1,0,,689655,,,,
1024,note_on,,,,,1024,0,6,,,,5,65,96
1536,note_off,,,,,512,0,6,,,,5,65,0
1536,note_on,,,,,0,0,6,,,,5,72,96
1536,note_on,,,,,0,0,5,,,,4,53,96
1536,note_off,,,,,1536,0,5,,,,4,41,0
2560,note_off,,,,,1024,0,6,,,,5,72,0
2560,note_on,,,,,0,0,6,,,,5,74,96
3072,note_on,,,,,0,0,6,,,,5,70,96
3072,note_off,,,,,512,0,6,,,,5,74,0
4096,note_off,,,,,1024,0,6,,,,5,70,0
4096,note_on,,,,,0,0,6,,,,5,69,96
4608,note_off,,,,,3072,0,5,,,,4,53,0
4608,note_on,,,,,0,0,5,,,,4,52,96
4608,note_off,,,,,512,0,6,,,,5,69,0
4608,note_on,,,,,0,0,6,,,,5,70,96
5120,note_off,,,,,512,0,6,,,,5,70,0
5120,note_on,,,,,0,0,6,,,,5,67,96
5632,note_off,,,,,512,0,6,,,,5,67,0
5632,note_on,,,,,0,0,6,,,,5,69,96
6144,note_on,,,,,0,0,6,,,,5,69,96
6144,note_off,,,,,512,0,6,,,,5,69,0
6144,note_off,,,,,1536,0,5,,,,4,52,0
6144,note_on,,,,,0,0,5,,,,4,53,96
6400,note_on,,,,,256,0,6,,,,5,77,96
6400,note_on,,,,,0,0,6,,,,5,77,96
6400,note_off,,,,,0,0,6,,,,5,69,0
6656,note_off,,,,,0,0,6,,,,5,77,0
6656,note_on,,,,,0,0,6,,,,5,76,96
6656,note_on,,,,,0,0,6,,,,5,76,96
6656,note_off,,,,,256,0,6,,,,5,77,0
6912,note_off,,,,,0,0,6,,,,5,76,0
6912,note_on,,,,,0,0,6,,,,5,77,96
6912,note_on,,,,,0,0,6,,,,5,77,96
6912,note_off,,,,,256,0,6,,,,5,76,0
7168,note_on,,,,,0,0,8,,,,7,65,96
7168,note_on,,,,,7168,0,7,,,,6,69,96
7168,note_on,,,,,0,0,6,,,,5,60,96
7168,note_on,,,,,0,0,6,,,,5,65,96
7168,note_on,,,,,0,0,7,,,,6,65,96
7168,note_on,,,,,0,0,5,,,,4,43,96
7168,note_off,,,,,1024,0,5,,,,4,53,0
7168,note_off,,,,,0,0,6,,,,5,77,0
7168,note_on,,,,,0,0,6,,,,5,72,96
7168,note_on,,,,,0,0,6,,,,5,72,96
7168,note_off,,,,,256,0,6,,,,5,77,0
7168,note_on,,,,,0,0,6,,,,5,57,96
7168,note_on,,,,,7168,0,8,,,,7,69,96
7424,note_off,,,,,0,0,6,,,,5,72,0
7424,note_on,,,,,0,0,6,,,,5,77,96
7424,note_on,,,,,0,0,6,,,,5,77,96
7424,note_off,,,,,256,0,6,,,,5,72,0
7680,note_on,,,,,0,0,6,,,,5,81,96
7680,note_on,,,,,0,0,6,,,,5,57,96
7680,note_off,,,,,0,0,6,,,,5,57,0
7680,note_on,,,,,0,0,6,,,,5,60,96
7680,note_off,,,,,0,0,6,,,,5,60,0
7680,note_on,,,,,0,0,6,,,,5,65,96
7680,note_off,,,,,0,0,6,,,,5,65,0
7680,note_off,,,,,0,0,6,,,,5,77,0
7680,note_on,,,,,0,0,6,,,,5,81,96
7680,note_off,,,,,256,0,6,,,,5,77,0
7680,note_on,,,,,0,0,8,,,,7,69,96
7680,note_off,,,,,512,0,8,,,,7,69,0
7680,note_on,,,,,0,0,8,,,,7,65,96
7680,note_off,,,,,512,0,7,,,,6,69,0
7680,note_on,,,,,0,0,7,,,,6,72,96
7680,note_off,,,,,0,0,7,,,,6,65,0
7680,note_on,,,,,0,0,5,,,,4,53,96
7680,note_off,,,,,512,0,5,,,,4,43,0
7680,note_off,,,,,0,0,8,,,,7,65,0
7680,note_on,,,,,0,0,7,,,,6,69,96
7936,note_on,,,,,0,0,6,,,,5,77,96
7936,note_on,,,,,0,0,6,,,,5,77,96
7936,note_off,,,,,256,0,6,,,,5,81,0
7936,note_off,,,,,0,0,6,,,,5,81,0
8192,note_on,,,,,0,0,6,,,,5,65,96
8192,note_off,,,,,0,0,6,,,,5,60,0
8192,note_on,,,,,0,0,6,,,,5,60,96
8192,note_on,,,,,0,0,6,,,,5,76,96
8192,note_on,,,,,0,0,6,,,,5,76,96
8192,note_off,,,,,0,0,6,,,,5,65,0
8192,note_off,,,,,0,0,6,,,,5,77,0
8192,note_on,,,,,0,0,7,,,,6,69,96
8192,note_off,,,,,0,0,7,,,,6,69,0
8192,note_off,,,,,512,0,8,,,,7,69,0
8192,note_on,,,,,0,0,8,,,,7,72,96
8192,note_off,,,,,0,0,8,,,,7,65,0
8192,note_on,,,,,0,0,8,,,,7,69,96
8192,note_on,,,,,0,0,7,,,,6,65,96
8192,note_on,,,,,0,0,6,,,,5,57,96
8192,note_off,,,,,512,0,7,,,,6,72,0
8192,note_off,,,,,256,0,6,,,,5,77,0
8192,note_off,,,,,0,0,6,,,,5,57,0
8448,note_on,,,,,0,0,6,,,,5,77,96
8448,note_on,,,,,0,0,6,,,,5,77,96
8448,note_off,,,,,256,0,6,,,,5,76,0
8448,note_off,,,,,0,0,6,,,,5,76,0
8704,note_off,,,,,256,0,6,,,,5,77,0
8704,note_on,,,,,0,0,5,,,,4,43,96
8704,note_off,,,,,1024,0,5,,,,4,53,0
8704,note_off,,,,,512,0,8,,,,7,72,0
8704,note_on,,,,,0,0,7,,,,6,69,96
8704,note_off,,,,,0,0,7,,,,6,65,0
8704,note_on,,,,,0,0,7,,,,6,72,96
8704,note_off,,,,,512,0,7,,,,6,69,0
8704,note_on,,,,,0,0,8,,,,7,69,96
8704,note_off,,,,,0,0,8,,,,7,69,0
8704,note_on,,,,,0,0,8,,,,7,65,96
8704,note_off,,,,,0,0,6,,,,5,65,0
8704,note_on,,,,,0,0,6,,,,5,72,96
8704,note_on,,,,,0,0,6,,,,5,72,96
8704,note_off,,,,,0,0,6,,,,5,77,0
8704,note_on,,,,,0,0,6,,,,5,57,96
8704,note_off,,,,,0,0,6,,,,5,57,0
8704,note_on,,,,,0,0,6,,,,5,60,96
8704,note_off,,,,,0,0,6,,,,5,60,0
8704,note_on,,,,,0,0,6,,,,5,65,96
8960,note_on,,,,,0,0,6,,,,5,77,96
8960,note_on,,,,,0,0,6,,,,5,77,96
8960,note_off,,,,,0,0,6,,,,5,72,0
8960,note_off,,,,,256,0,6,,,,5,72,0
9216,note_off,,,,,512,0,7,,,,6,72,0
9216,note_on,,,,,0,0,7,,,,6,77,96
9216,note_off,,,,,0,0,7,,,,6,69,0
9216,note_on,,,,,0,0,7,,,,6,72,96
9216,note_on,,,,,0,0,5,,,,4,53,96
9216,note_on,,,,,0,0,8,,,,7,65,96
9216,note_off,,,,,512,0,5,,,,4,43,0
9216,note_off,,,,,512,0,8,,,,7,69,0
9216,note_off,,,,,0,0,8,,,,7,65,0
9216,note_on,,,,,0,0,8,,,,7,60,96
9216,note_on,,,,,0,0,6,,,,5,60,96
9216,note_off,,,,,0,0,6,,,,5,57,0
9216,note_on,,,,,0,0,6,,,,5,57,96
9216,note_on,,,,,0,0,6,,,,5,65,96
9216,note_off,,,,,0,0,6,,,,5,60,0
9216,note_off,,,,,0,0,6,,,,5,77,0
9216,note_off,,,,,0,0,6,,,,5,65,0
9216,note_on,,,,,0,0,6,,,,5,69,96
9216,note_off,,,,,256,0,6,,,,5,77,0
9216,note_on,,,,,0,0,6,,,,5,69,96
9472,note_off,,,,,0,0,6,,,,5,69,0
9472,note_on,,,,,0,0,6,,,,5,77,96
9472,note_off,,,,,256,0,6,,,,5,69,0
9472,note_on,,,,,0,0,6,,,,5,77,96
9728,note_on,,,,,0,0,7,,,,6,69,96
9728,note_off,,,,,0,0,7,,,,6,72,0
9728,note_on,,,,,0,0,8,,,,7,69,96
9728,note_off,,,,,512,0,8,,,,7,65,0
9728,note_on,,,,,0,0,6,,,,5,57,96
9728,note_on,,,,,0,0,6,,,,5,60,96
9728,note_on,,,,,0,0,7,,,,6,72,96
9728,note_off,,,,,0,0,6,,,,5,60,0
9728,note_on,,,,,0,0,6,,,,5,65,96
9728,note_off,,,,,0,0,6,,,,5,65,0
9728,note_off,,,,,0,0,6,,,,5,77,0
9728,note_on,,,,,0,0,6,,,,5,76,96
9728,note_off,,,,,0,0,8,,,,7,60,0
9728,note_on,,,,,0,0,8,,,,7,65,96
9728,note_on,,,,,0,0,6,,,,5,76,96
9728,note_off,,,,,256,0,6,,,,5,77,0
9728,note_off,,,,,0,0,6,,,,5,57,0
9728,note_off,,,,,512,0,7,,,,6,77,0
9984,note_off,,,,,256,0,6,,,,5,76,0
9984,note_on,,,,,0,0,6,,,,5,77,96
9984,note_on,,,,,0,0,6,,,,5,77,96
9984,note_off,,,,,0,0,6,,,,5,76,0
10240,note_on,,,,,0,0,6,,,,5,60,96
10240,note_on,,,,,0,0,6,,,,5,65,96
10240,note_off,,,,,0,0,6,,,,5,65,0
10240,note_off,,,,,0,0,6,,,,5,77,0
10240,note_on,,,,,0,0,6,,,,5,72,96
10240,note_on,,,,,0,0,6,,,,5,72,96
10240,note_on,,,,,0,0,8,,,,7,69,96
10240,note_off,,,,,512,0,8,,,,7,69,0
10240,note_on,,,,,0,0,8,,,,7,72,96
10240,note_off,,,,,1024,0,5,,,,4,53,0
10240,note_off,,,,,0,0,8,,,,7,65,0
10240,note_on,,,,,0,0,6,,,,5,57,96
10240,note_off,,,,,0,0,6,,,,5,57,0
10240,note_off,,,,,0,0,6,,,,5,60,0
10240,note_off,,,,,256,0,6,,,,5,77,0
10240,note_on,,,,,0,0,5,,,,4,43,96
10240,note_off,,,,,512,0,7,,,,6,72,0
10240,note_on,,,,,0,0,7,,,,6,72,96
10240,note_off,,,,,0,0,7,,,,6,69,0
10240,note_on,,,,,0,0,7,,,,6,69,96
10496,note_off,,,,,256,0,6,,,,5,72,0
10496,note_on,,,,,0,0,6,,,,5,77,96
10496,note_on,,,,,0,0,6,,,,5,77,96
10496,note_off,,,,,0,0,6,,,,5,72,0
10752,note_on,,,,,0,0,6,,,,5,60,96
10752,note_off,,,,,0,0,6,,,,5,57,0
10752,note_on,,,,,0,0,6,,,,5,57,96
10752,note_off,,,,,512,0,8,,,,7,72,0
