tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,note,velocity
0,time_signature,6,8,12,8,0,1,0,,,,,,,
0,program_change,,,,,0,0,2,,,,6,1,,
0,midi_port,,,,,0,1,3,,,0,,,,
0,track_name,,,,,0,1,3,,,,,,,
0,program_change,,,,,0,0,3,,,,6,2,,
0,track_name,,,,,0,1,2,,,,,,,
0,note_on,,,,,0,0,1,,,,,0,67,64
0,program_change,,,,,0,0,1,,,,6,0,,
0,track_name,,,,,0,1,1,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,
0,midi_port,,,,,0,1,2,,,0,,,,
0,key_signature,,,,,0,1,0,C,,,,,,
0,set_tempo,,,,,0,1,0,,576923,,,,,
120,note_on,,,,,120,0,1,,,,,0,67,0
120,note_on,,,,,0,0,1,,,,,0,69,64
180,note_on,,,,,60,0,1,,,,,0,69,0
180,note_on,,,,,0,0,1,,,,,0,67,64
240,note_on,,,,,60,0,1,,,,,0,67,0
240,note_on,,,,,0,0,1,,,,,0,66,64
300,note_on,,,,,60,0,1,,,,,0,66,0
300,note_on,,,,,0,0,1,,,,,0,67,64
360,note_on,,,,,0,0,1,,,,,0,69,64
360,note_on,,,,,60,0,1,,,,,0,67,0
480,note_on,,,,,120,0,1,,,,,0,69,0
480,note_on,,,,,0,0,1,,,,,0,71,64
540,note_on,,,,,0,0,1,,,,,0,69,64
540,note_on,,,,,60,0,1,,,,,0,71,0
600,note_on,,,,,0,0,1,,,,,0,67,64
600,note_on,,,,,60,0,1,,,,,0,69,0
660,note_on,,,,,60,0,1,,,,,0,67,0
660,note_on,,,,,0,0,1,,,,,0,69,64
720,note_on,,,,,60,0,1,,,,,0,69,0
720,note_on,,,,,0,0,1,,,,,0,71,64
840,note_on,,,,,120,0,1,,,,,0,71,0
840,note_on,,,,,0,0,1,,,,,0,69,64
960,note_on,,,,,120,0,1,,,,,0,69,0
960,note_on,,,,,0,0,1,,,,,0,67,64
1080,note_on,,,,,0,0,1,,,,,0,62,64
1080,note_on,,,,,120,0,1,,,,,0,67,0
1200,note_on,,,,,120,0,1,,,,,0,62,0
1200,note_on,,,,,0,0,1,,,,,0,72,64
1440,note_on,,,,,240,0,1,,,,,0,72,0
1440,note_on,,,,,0,0,1,,,,,0,71,64
1560,note_on,,,,,120,0,1,,,,,0,71,0
1560,note_on,,,,,0,0,1,,,,,0,69,64
1680,note_on,,,,,0,0,1,,,,,0,67,64
1680,note_on,,,,,120,0,1,,,,,0,69,0
1800,note_on,,,,,0,0,1,,,,,0,66,64
1800,note_on,,,,,120,0,1,,,,,0,67,0
1920,note_on,,,,,120,0,1,,,,,0,66,0
1920,note_on,,,,,0,0,1,,,,,0,76,64
2160,note_on,,,,,240,0,1,,,,,0,76,0
2160,note_on,,,,,0,0,1,,,,,0,74,64
2280,note_on,,,,,120,0,1,,,,,0,74,0
2280,note_on,,,,,0,0,1,,,,,0,76,64
2340,note_on,,,,,60,0,1,,,,,0,76,0
2340,note_on,,,,,0,0,1,,,,,0,74,64
2400,note_on,,,,,60,0,1,,,,,0,74,0
2400,note_on,,,,,0,0,1,,,,,0,72,64
2460,note_on,,,,,0,0,1,,,,,0,71,64
2460,note_on,,,,,60,0,1,,,,,0,72,0
2520,note_on,,,,,60,0,1,,,,,0,71,0
2520,note_on,,,,,0,0,1,,,,,0,69,64
2640,note_on,,,,,120,0,1,,,,,0,69,0
2640,note_on,,,,,0,0,1,,,,,0,72,64
2700,note_on,,,,,60,0,1,,,,,0,72,0
2700,note_on,,,,,0,0,1,,,,,0,71,64
2760,note_on,,,,,60,0,1,,,,,0,71,0
2760,note_on,,,,,0,0,1,,,,,0,69,64
2820,note_on,,,,,60,0,1,,,,,0,69,0
2820,note_on,,,,,0,0,1,,,,,0,67,64
2880,note_on,,,,,0,0,1,,,,,0,66,64
2880,note_on,,,,,2880,0,2,,,,,1,62,64
2880,note_on,,,,,60,0,1,,,,,0,67,0
3000,note_on,,,,,0,0,1,,,,,0,67,64
3000,note_on,,,,,0,0,2,,,,,1,64,64
3000,note_on,,,,,120,0,2,,,,,1,62,0
3000,note_on,,,,,120,0,1,,,,,0,66,0
3060,note_on,,,,,60,0,2,,,,,1,64,0
3060,note_on,,,,,0,0,2,,,,,1,62,64
3120,note_on,,,,,120,0,1,,,,,0,67,0
3120,note_on,,,,,0,0,1,,,,,0,69,64
3120,note_on,,,,,0,0,2,,,,,1,61,64
3120,note_on,,,,,60,0,2,,,,,1,62,0
3180,note_on,,,,,0,0,2,,,,,1,62,64
3180,note_on,,,,,60,0,2,,,,,1,61,0
3240,note_on,,,,,0,0,2,,,,,1,64,64
3240,note_on,,,,,60,0,2,,,,,1,62,0
3240,note_on,,,,,0,0,1,,,,,0,67,64
3240,note_on,,,,,120,0,1,,,,,0,69,0
3360,note_on,,,,,0,0,1,,,,,0,69,64
3360,note_on,,,,,120,0,1,,,,,0,67,0
3360,note_on,,,,,0,0,2,,,,,1,66,64
3360,note_on,,,,,120,0,2,,,,,1,64,0
3420,note_on,,,,,60,0,2,,,,,1,66,0
3420,note_on,,,,,0,0,2,,,,,1,64,64
3480,note_on,,,,,0,0,1,,,,,0,71,64
3480,note_on,,,,,120,0,1,,,,,0,69,0
3480,note_on,,,,,0,0,2,,,,,1,62,64
3480,note_on,,,,,60,0,2,,,,,1,64,0
3540,note_on,,,,,0,0,2,,,,,1,64,64
3540,note_on,,,,,60,0,2,,,,,1,62,0
3600,note_on,,,,,120,0,1,,,,,0,71,0
3600,note_on,,,,,60,0,2,,,,,1,64,0
3600,note_on,,,,,0,0,2,,,,,1,66,64
3600,note_on,,,,,0,0,1,,,,,0,69,64
3720,note_on,,,,,120,0,2,,,,,1,66,0
3720,note_on,,,,,0,0,2,,,,,1,64,64
3720,note_on,,,,,0,0,1,,,,,0,71,64
3720,note_on,,,,,120,0,1,,,,,0,69,0
3780,note_on,,,,,60,0,1,,,,,0,71,0
3780,note_on,,,,,0,0,1,,,,,0,73,64
3840,note_on,,,,,0,0,2,,,,,1,62,64
3840,note_on,,,,,120,0,2,,,,,1,64,0
3840,note_on,,,,,60,0,1,,,,,0,73,0
3840,note_on,,,,,0,0,1,,,,,0,74,64
3900,note_on,,,,,60,0,1,,,,,0,74,0
3900,note_on,,,,,0,0,1,,,,,0,71,64
3960,note_on,,,,,0,0,2,,,,,1,57,64
3960,note_on,,,,,60,0,1,,,,,0,71,0
3960,note_on,,,,,0,0,1,,,,,0,73,64
3960,note_on,,,,,120,0,2,,,,,1,62,0
4020,note_on,,,,,0,0,1,,,,,0,71,64
4020,note_on,,,,,60,0,1,,,,,0,73,0
4080,note_on,,,,,120,0,2,,,,,1,57,0
4080,note_on,,,,,0,0,2,,,,,1,67,64
4080,note_on,,,,,60,0,1,,,,,0,71,0
4080,note_on,,,,,0,0,1,,,,,0,73,64
4140,note_on,,,,,60,0,1,,,,,0,73,0
4140,note_on,,,,,0,0,1,,,,,0,74,64
4200,note_on,,,,,60,0,1,,,,,0,74,0
4200,note_on,,,,,0,0,1,,,,,0,76,64
4260,note_on,,,,,60,0,1,,,,,0,76,0
4260,note_on,,,,,0,0,1,,,,,0,73,64
4320,note_on,,,,,0,0,1,,,,,0,74,64
4320,note_on,,,,,240,0,2,,,,,1,67,0
4320,note_on,,,,,0,0,2,,,,,1,66,64
4320,note_on,,,,,60,0,1,,,,,0,73,0
4380,note_on,,,,,0,0,1,,,,,0,73,64
