tick,type,data,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,port,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,program,channel,control,value,note,velocity
0,sequencer_specific,"(0, 0, 91, 35, 1, 0, 5, 6, 42, 0)",0,1,0,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,10,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,10,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,15,,,,,,,0,,,,,,,,,,,,
0,control_change,,0,0,9,,,,,,,,,,,,,,,10,7,96,,
0,control_change,,0,0,9,,,,,,,,,,,,,,,10,11,127,,
0,control_change,,0,0,9,,,,,,,,,,,,,,,10,10,48,,
0,program_change,,0,0,9,,,,,,,,,,,,,,48,10,,,,
0,midi_port,,0,1,9,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,9,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,8,,,,,,,,,,,,,,,3,7,96,,
0,control_change,,0,0,8,,,,,,,,,,,,,,,3,11,127,,
0,control_change,,0,0,8,,,,,,,,,,,,,,,3,10,50,,
0,program_change,,0,0,8,,,,,,,,,,,,,,40,3,,,,
0,midi_port,,0,1,8,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,8,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,7,,,,,,,,,,,,,,,2,7,96,,
0,control_change,,0,0,7,,,,,,,,,,,,,,,2,11,127,,
0,control_change,,0,0,7,,,,,,,,,,,,,,,2,10,80,,
0,program_change,,0,0,7,,,,,,,,,,,,,,68,2,,,,
0,midi_port,,0,1,7,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,7,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,6,,,,,,,,,,,,,,,1,7,96,,
0,control_change,,0,0,6,,,,,,,,,,,,,,,1,11,127,,
0,control_change,,0,0,6,,,,,,,,,,,,,,,1,10,70,,
0,program_change,,0,0,6,,,,,,,,,,,,,,74,1,,,,
0,program_change,,0,0,10,,,,,,,,,,,,,,48,11,,,,
0,midi_port,,0,1,6,,,,,,,0,,,,,,,,,,,,
0,control_change,,0,0,10,,,,,,,,,,,,,,,11,10,24,,
0,control_change,,0,0,10,,,,,,,,,,,,,,,11,7,96,,
0,track_name,,0,1,15,,,,,,,,,,,,,,,,,,,
0,program_change,,0,0,14,,,,,,,,,,,,,,6,15,,,,
0,control_change,,0,0,14,,,,,,,,,,,,,,,15,7,96,,
0,control_change,,0,0,14,,,,,,,,,,,,,,,15,11,127,,
0,control_change,,0,0,14,,,,,,,,,,,,,,,15,10,80,,
0,midi_port,,0,1,14,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,14,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,13,,,,,,,,,,,,,,,14,7,96,,
0,control_change,,0,0,13,,,,,,,,,,,,,,,14,11,127,,
0,control_change,,0,0,13,,,,,,,,,,,,,,,14,10,100,,
0,program_change,,0,0,13,,,,,,,,,,,,,,48,14,,,,
0,midi_port,,0,1,13,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,13,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,12,,,,,,,,,,,,,,,13,7,96,,
0,control_change,,0,0,12,,,,,,,,,,,,,,,13,11,127,,
0,control_change,,0,0,12,,,,,,,,,,,,,,,13,10,90,,
0,program_change,,0,0,12,,,,,,,,,,,,,,48,13,,,,
0,midi_port,,0,1,12,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,12,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,11,,,,,,,,,,,,,,,12,7,96,,
0,control_change,,0,0,11,,,,,,,,,,,,,,,12,11,127,,
0,control_change,,0,0,11,,,,,,,,,,,,,,,12,10,70,,
0,program_change,,0,0,11,,,,,,,,,,,,,,48,12,,,,
0,midi_port,,0,1,11,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,11,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,10,,,,,,,,,,,,,,,11,11,127,,
0,track_name,,0,1,6,,,,,,,,,,,,,,,,,,,
0,end_of_track,,0,1,15,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,5,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,,,,,,,
0,program_change,,0,0,5,,,,,,,,,,,,,,56,0,,,,
0,instrument_name,,0,1,0,,,,,,,,,,,,,,,,,,,
0,smpte_offset,,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,,
0,midi_port,,0,1,0,,,,,,,0,,,,,,,,,,,,
0,set_tempo,,0,1,0,,,,,,,,681818,,,,,,,,,,,
0,key_signature,,0,1,0,,,,,,,,,F,,,,,,,,,,
0,time_signature,,0,1,0,,,,,,,,,,2,4,24,8,,,,,,
0,control_change,,0,0,5,,,,,,,,,,,,,,,0,11,127,,
0,control_change,,0,0,5,,,,,,,,,,,,,,,0,7,96,,
0,end_of_track,,0,1,2,,,,,,,,,,,,,,,,,,,
0,end_of_track,,0,1,1,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,,0,,,,,,,,,,,,
0,midi_port,,0,1,4,,,,,,,0,,,,,,,,,,,,
0,end_of_track,,0,1,4,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,,,,,,,,,
0,end_of_track,,0,1,3,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,1,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,5,,,,,,,,,,,,,,,0,10,60,,
0,midi_port,,0,1,2,,,,,,,0,,,,,,,,,,,,
360,note_on,,360,0,8,,,,,,,,,,,,,,,3,,,77,74
360,note_on,,360,0,13,,,,,,,,,,,,,,,14,,,29,74
360,note_on,,360,0,9,,,,,,,,,,,,,,,10,,,77,74
360,note_on,,360,0,10,,,,,,,,,,,,,,,11,,,72,74
360,note_on,,360,0,14,,,,,,,,,,,,,,,15,,,41,74
360,note_on,,360,0,6,,,,,,,,,,,,,,,1,,,77,74
360,note_on,,360,0,11,,,,,,,,,,,,,,,12,,,69,74
360,note_on,,360,0,7,,,,,,,,,,,,,,,2,,,77,74
360,note_on,,360,0,12,,,,,,,,,,,,,,,13,,,41,74
360,note_on,,360,0,5,,,,,,,,,,,,,,,0,,,65,74
464,note_on,,104,0,5,,,,,,,,,,,,,,,0,,,65,0
464,note_on,,104,0,13,,,,,,,,,,,,,,,14,,,29,0
464,note_on,,104,0,12,,,,,,,,,,,,,,,13,,,41,0
464,note_on,,104,0,11,,,,,,,,,,,,,,,12,,,69,0
464,note_on,,104,0,9,,,,,,,,,,,,,,,10,,,77,0
464,note_on,,104,0,6,,,,,,,,,,,,,,,1,,,77,0
464,note_on,,104,0,10,,,,,,,,,,,,,,,11,,,72,0
464,note_on,,104,0,7,,,,,,,,,,,,,,,2,,,77,0
464,note_on,,104,0,8,,,,,,,,,,,,,,,3,,,77,0
479,note_on,,119,0,14,,,,,,,,,,,,,,,15,,,41,0
480,time_signature,,480,1,0,,,,,,,,,,4,4,24,8,,,,,,
480,note_on,,16,0,10,,,,,,,,,,,,,,,11,,,69,74
480,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,72,74
480,note_on,,16,0,11,,,,,,,,,,,,,,,12,,,65,74
480,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,41,74
480,note_on,,16,0,5,,,,,,,,,,,,,,,0,,,69,74
480,note_on,,16,0,6,,,,,,,,,,,,,,,1,,,72,74
480,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,53,74
480,note_on,,1,0,14,,,,,,,,,,,,,,,15,,,53,74
480,note_on,,16,0,7,,,,,,,,,,,,,,,2,,,72,74
480,note_on,,16,0,8,,,,,,,,,,,,,,,3,,,72,74
524,note_on,,44,0,13,,,,,,,,,,,,,,,14,,,41,0
524,note_on,,44,0,12,,,,,,,,,,,,,,,13,,,53,0
539,note_on,,59,0,14,,,,,,,,,,,,,,,15,,,53,0
540,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,43,74
540,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,55,74
540,note_on,,1,0,14,,,,,,,,,,,,,,,15,,,55,74
584,note_on,,104,0,7,,,,,,,,,,,,,,,2,,,72,0
584,note_on,,44,0,12,,,,,,,,,,,,,,,13,,,55,0
584,note_on,,44,0,13,,,,,,,,,,,,,,,14,,,43,0
584,note_on,,104,0,10,,,,,,,,,,,,,,,11,,,69,0
584,note_on,,104,0,5,,,,,,,,,,,,,,,0,,,69,0
584,note_on,,104,0,11,,,,,,,,,,,,,,,12,,,65,0
584,note_on,,104,0,9,,,,,,,,,,,,,,,10,,,72,0
584,note_on,,104,0,6,,,,,,,,,,,,,,,1,,,72,0
584,note_on,,104,0,8,,,,,,,,,,,,,,,3,,,72,0
599,note_on,,59,0,14,,,,,,,,,,,,,,,15,,,55,0
600,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,45,74
600,note_on,,16,0,5,,,,,,,,,,,,,,,0,,,72,74
600,note_on,,16,0,11,,,,,,,,,,,,,,,12,,,60,74
600,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,69,74
600,note_on,,16,0,8,,,,,,,,,,,,,,,3,,,69,74
600,note_on,,16,0,10,,,,,,,,,,,,,,,11,,,65,74
600,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,57,74
600,note_on,,16,0,7,,,,,,,,,,,,,,,2,,,69,74
600,note_on,,1,0,14,,,,,,,,,,,,,,,15,,,57,74
600,note_on,,16,0,6,,,,,,,,,,,,,,,1,,,69,74
644,note_on,,44,0,9,,,,,,,,,,,,,,,10,,,69,0
644,note_on,,44,0,12,,,,,,,,,,,,,,,13,,,57,0
644,note_on,,44,0,7,,,,,,,,,,,,,,,2,,,69,0
644,note_on,,44,0,6,,,,,,,,,,,,,,,1,,,69,0
644,note_on,,44,0,13,,,,,,,,,,,,,,,14,,,45,0
644,note_on,,44,0,10,,,,,,,,,,,,,,,11,,,65,0
644,note_on,,44,0,8,,,,,,,,,,,,,,,3,,,69,0
659,note_on,,59,0,14,,,,,,,,,,,,,,,15,,,57,0
660,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,70,74
660,note_on,,16,0,7,,,,,,,,,,,,,,,2,,,70,74
660,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,43,74
660,note_on,,1,0,14,,,,,,,,,,,,,,,15,,,55,74
660,note_on,,16,0,10,,,,,,,,,,,,,,,11,,,67,74
660,note_on,,16,0,6,,,,,,,,,,,,,,,1,,,70,74
660,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,55,74
660,note_on,,16,0,8,,,,,,,,,,,,,,,3,,,70,74
704,note_on,,44,0,8,,,,,,,,,,,,,,,3,,,70,0
704,note_on,,104,0,11,,,,,,,,,,,,,,,12,,,60,0
704,note_on,,44,0,10,,,,,,,,,,,,,,,11,,,67,0
704,note_on,,44,0,7,,,,,,,,,,,,,,,2,,,70,0
704,note_on,,44,0,6,,,,,,,,,,,,,,,1,,,70,0
704,note_on,,44,0,13,,,,,,,,,,,,,,,14,,,43,0
704,note_on,,44,0,12,,,,,,,,,,,,,,,13,,,55,0
704,note_on,,104,0,5,,,,,,,,,,,,,,,0,,,72,0
704,note_on,,44,0,9,,,,,,,,,,,,,,,10,,,70,0
719,note_on,,59,0,14,,,,,,,,,,,,,,,15,,,55,0
720,note_on,,16,0,7,,,,,,,,,,,,,,,2,,,72,74
720,note_on,,16,0,11,,,,,,,,,,,,,,,12,,,65,74
720,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,53,74
720,note_on,,16,0,6,,,,,,,,,,,,,,,1,,,72,74
720,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,41,74
720,note_on,,16,0,10,,,,,,,,,,,,,,,11,,,69,74
720,note_on,,1,0,14,,,,,,,,,,,,,,,15,,,53,74
720,note_on,,16,0,8,,,,,,,,,,,,,,,3,,,72,74
720,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,72,74
720,note_on,,16,0,5,,,,,,,,,,,,,,,0,,,69,74
764,note_on,,44,0,13,,,,,,,,,,,,,,,14,,,41,0
764,note_on,,44,0,12,,,,,,,,,,,,,,,13,,,53,0
779,note_on,,59,0,14,,,,,,,,,,,,,,,15,,,53,0
780,note_on,,1,0,14,,,,,,,,,,,,,,,15,,,55,74
780,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,43,74
780,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,55,74
824,note_on,,44,0,13,,,,,,,,,,,,,,,14,,,43,0
824,note_on,,104,0,11,,,,,,,,,,,,,,,12,,,65,0
824,note_on,,104,0,8,,,,,,,,,,,,,,,3,,,72,0
824,note_on,,104,0,5,,,,,,,,,,,,,,,0,,,69,0
824,note_on,,44,0,12,,,,,,,,,,,,,,,13,,,55,0
824,note_on,,104,0,6,,,,,,,,,,,,,,,1,,,72,0
824,note_on,,104,0,9,,,,,,,,,,,,,,,10,,,72,0
824,note_on,,104,0,7,,,,,,,,,,,,,,,2,,,72,0
824,note_on,,104,0,10,,,,,,,,,,,,,,,11,,,69,0
839,note_on,,59,0,14,,,,,,,,,,,,,,,15,,,55,0
840,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,57,74
840,note_on,,16,0,11,,,,,,,,,,,,,,,12,,,60,74
840,note_on,,1,0,14,,,,,,,,,,,,,,,15,,,57,74
840,note_on,,16,0,5,,,,,,,,,,,,,,,0,,,65,74
840,note_on,,16,0,6,,,,,,,,,,,,,,,1,,,69,74
840,note_on,,16,0,8,,,,,,,,,,,,,,,3,,,69,74
840,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,69,74
840,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,45,74
840,note_on,,16,0,10,,,,,,,,,,,,,,,11,,,65,74
840,note_on,,16,0,7,,,,,,,,,,,,,,,2,,,69,74
884,note_on,,44,0,6,,,,,,,,,,,,,,,1,,,69,0
884,note_on,,44,0,8,,,,,,,,,,,,,,,3,,,69,0
884,note_on,,44,0,10,,,,,,,,,,,,,,,11,,,65,0
884,note_on,,44,0,9,,,,,,,,,,,,,,,10,,,69,0
884,note_on,,44,0,13,,,,,,,,,,,,,,,14,,,45,0
884,note_on,,44,0,12,,,,,,,,,,,,,,,13,,,57,0
884,note_on,,44,0,7,,,,,,,,,,,,,,,2,,,69,0
899,note_on,,59,0,14,,,,,,,,,,,,,,,15,,,57,0
900,note_on,,16,0,7,,,,,,,,,,,,,,,2,,,70,74
900,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,55,74
900,note_on,,1,0,14,,,,,,,,,,,,,,,15,,,55,74
900,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,43,74
900,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,70,74
900,note_on,,16,0,10,,,,,,,,,,,,,,,11,,,67,74
900,note_on,,16,0,8,,,,,,,,,,,,,,,3,,,70,74
900,note_on,,16,0,6,,,,,,,,,,,,,,,1,,,70,74
944,note_on,,44,0,10,,,,,,,,,,,,,,,11,,,67,0
944,note_on,,44,0,12,,,,,,,,,,,,,,,13,,,55,0
944,note_on,,44,0,7,,,,,,,,,,,,,,,2,,,70,0
944,note_on,,104,0,5,,,,,,,,,,,,,,,0,,,65,0
944,note_on,,44,0,13,,,,,,,,,,,,,,,14,,,43,0
944,note_on,,44,0,9,,,,,,,,,,,,,,,10,,,70,0
944,note_on,,104,0,11,,,,,,,,,,,,,,,12,,,60,0
944,note_on,,44,0,6,,,,,,,,,,,,,,,1,,,70,0
944,note_on,,44,0,8,,,,,,,,,,,,,,,3,,,70,0
959,note_on,,59,0,14,,,,,,,,,,,,,,,15,,,55,0
960,note_on,,16,0,6,,,,,,,,,,,,,,,1,,,72,74
960,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,53,74
960,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,41,74
960,note_on,,16,0,10,,,,,,,,,,,,,,,11,,,69,74
960,note_on,,16,0,5,,,,,,,,,,,,,,,0,,,69,74
960,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,72,74
960,note_on,,16,0,11,,,,,,,,,,,,,,,12,,,65,74
960,note_on,,16,0,8,,,,,,,,,,,,,,,3,,,72,74
960,note_on,,1,0,14,,,,,,,,,,,,,,,15,,,53,74
960,note_on,,16,0,7,,,,,,,,,,,,,,,2,,,72,74
1004,note_on,,44,0,12,,,,,,,,,,,,,,,13,,,53,0
1004,note_on,,44,0,13,,,,,,,,,,,,,,,14,,,41,0
1019,note_on,,59,0,14,,,,,,,,,,,,,,,15,,,53,0
1020,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,40,74
1020,note_on,,1,0,14,,,,,,,,,,,,,,,15,,,52,74
1020,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,52,74
1064,note_on,,104,0,7,,,,,,,,,,,,,,,2,,,72,0
1064,note_on,,104,0,6,,,,,,,,,,,,,,,1,,,72,0
1064,note_on,,44,0,13,,,,,,,,,,,,,,,14,,,40,0
1064,note_on,,104,0,11,,,,,,,,,,,,,,,12,,,65,0
