tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,note,velocity,control,value
0,track_name,0,1,0,,,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,0,,,10,64
0,control_change,0,0,3,,,,,,,,0,,,7,101
0,track_name,0,1,3,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,6,0,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,6,0,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,
0,time_signature,0,1,0,2,2,48,8,,,,,,,,
0,key_signature,0,1,0,,,,,D,,,,,,,
0,set_tempo,0,1,0,,,,,,422535,,,,,,
0,marker,0,1,0,,,,,,,,,,,,
5,note_on,5,0,2,,,,,,,,0,47,64,,
5,note_on,5,0,1,,,,,,,,0,62,64,,
64,note_on,59,0,1,,,,,,,,0,62,0,,
65,note_on,1,0,1,,,,,,,,0,66,64,,
94,note_on,89,0,2,,,,,,,,0,47,0,,
117,note_on,52,0,1,,,,,,,,0,66,0,,
125,note_on,8,0,1,,,,,,,,0,59,64,,
125,note_on,31,0,2,,,,,,,,0,50,64,,
185,note_on,60,0,1,,,,,,,,0,61,64,,
186,note_on,1,0,1,,,,,,,,0,59,0,,
214,note_on,89,0,2,,,,,,,,0,50,0,,
237,note_on,51,0,1,,,,,,,,0,61,0,,
245,note_on,31,0,2,,,,,,,,0,54,64,,
245,note_on,8,0,1,,,,,,,,0,62,64,,
304,note_on,59,0,1,,,,,,,,0,62,0,,
305,note_on,1,0,1,,,,,,,,0,66,64,,
357,note_on,52,0,1,,,,,,,,0,66,0,,
365,note_on,8,0,1,,,,,,,,0,59,64,,
395,note_on,150,0,2,,,,,,,,0,55,64,,
402,note_on,7,0,2,,,,,,,,0,54,0,,
424,note_on,59,0,1,,,,,,,,0,59,0,,
425,note_on,1,0,1,,,,,,,,0,62,64,,
425,note_on,23,0,2,,,,,,,,0,54,64,,
438,note_on,13,0,2,,,,,,,,0,55,0,,
455,note_on,17,0,2,,,,,,,,0,53,64,,
466,note_on,11,0,2,,,,,,,,0,54,0,,
477,note_on,52,0,1,,,,,,,,0,62,0,,
485,note_on,19,0,2,,,,,,,,0,54,64,,
485,note_on,8,0,1,,,,,,,,0,61,64,,
494,note_on,9,0,2,,,,,,,,0,53,0,,
540,note_on,55,0,1,,,,,,,,0,61,0,,
545,note_on,5,0,1,,,,,,,,0,66,64,,
