tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,note,velocity,control,value
0,text,0,1,0,,,,,,,,,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,program_change,0,0,8,,,,,,,,6,6,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,program_change,0,0,7,,,,,,,,53,5,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,program_change,0,0,3,,,,,,,,49,1,,,,
0,program_change,0,0,6,,,,,,,,49,4,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,49,2,,,,
0,program_change,0,0,5,,,,,,,,49,3,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,9,,,,,,,,6,7,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,set_tempo,0,1,0,,,,,,625000,,,,,,,
0,key_signature,0,1,0,,,,,A,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,40,0,,,,
0,time_signature,0,1,0,1,4,24,8,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,40,0,,,,
120,note_on,0,0,8,,,,,,,,,6,64,50,,
120,note_on,120,0,8,,,,,,,,,6,61,50,,
120,note_on,120,0,6,,,,,,,,,4,45,50,,
120,set_tempo,0,1,0,,,,,,923077,,,,,,,
120,time_signature,120,1,0,1,8,12,8,,,,,,,,,
120,note_on,120,0,9,,,,,,,,,7,45,50,,
120,note_on,120,0,2,,,,,,,,,0,64,45,,
150,note_on,30,0,9,,,,,,,,,7,45,0,,
150,note_on,0,0,6,,,,,,,,,4,47,50,,
150,note_on,30,0,6,,,,,,,,,4,45,0,,
150,note_on,0,0,9,,,,,,,,,7,47,50,,
155,note_on,35,0,2,,,,,,,,,0,64,0,,
180,note_on,0,0,8,,,,,,,,,6,64,50,,
180,note_on,25,0,2,,,,,,,,,0,69,45,,
180,note_on,0,0,8,,,,,,,,,6,69,50,,
180,note_on,0,0,8,,,,,,,,,6,57,50,,
180,note_on,0,0,8,,,,,,,,,6,61,0,,
180,note_on,30,0,9,,,,,,,,,7,47,0,,
180,note_on,0,0,9,,,,,,,,,7,49,50,,
180,note_on,60,0,8,,,,,,,,,6,64,0,,
180,time_signature,60,1,0,4,4,24,8,,,,,,,,,
