tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,
0,midi_port,,,,,0,1,4,,,0,,,,
0,end_of_track,,,,,0,1,3,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,
0,midi_port,,,,,0,1,3,,,0,,,,
0,note_on,,,,,0,0,2,,,,,1,60,30
0,program_change,,,,,0,0,2,,,,6,1,,
0,track_name,,,,,0,1,2,,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,
0,track_name,,,,,0,1,4,,,,,,,
0,note_on,,,,,0,0,1,,,,,0,48,120
0,program_change,,,,,0,0,1,,,,6,0,,
0,track_name,,,,,0,1,1,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,
0,end_of_track,,,,,0,1,4,,,,,,,
0,key_signature,,,,,0,1,0,Eb,,,,,,
0,set_tempo,,,,,0,1,0,,638298,,,,,
0,marker,,,,,0,1,0,,,,,,,
60,note_on,,,,,60,0,2,,,,,1,79,30
60,note_on,,,,,60,0,1,,,,,0,67,120
79,note_on,,,,,19,0,1,,,,,0,48,0
79,note_on,,,,,19,0,2,,,,,1,60,0
120,note_on,,,,,0,0,1,,,,,0,65,120
120,note_on,,,,,0,0,1,,,,,0,60,120
120,note_on,,,,,41,0,1,,,,,0,67,0
120,note_on,,,,,0,0,2,,,,,1,72,30
120,note_on,,,,,0,0,2,,,,,1,77,30
120,note_on,,,,,41,0,2,,,,,1,79,0
180,note_on,,,,,0,0,2,,,,,1,79,30
180,note_on,,,,,0,0,1,,,,,0,67,120
180,note_on,,,,,60,0,1,,,,,0,65,0
180,note_on,,,,,60,0,2,,,,,1,77,0
207,note_on,,,,,27,0,2,,,,,1,72,0
207,note_on,,,,,27,0,1,,,,,0,60,0
240,note_on,,,,,0,0,2,,,,,1,65,30
240,note_on,,,,,0,0,1,,,,,0,53,120
240,note_on,,,,,33,0,2,,,,,1,79,0
240,note_on,,,,,0,0,2,,,,,1,80,30
240,note_on,,,,,0,0,1,,,,,0,68,120
240,note_on,,,,,33,0,1,,,,,0,67,0
300,note_on,,,,,60,0,1,,,,,0,68,0
300,note_on,,,,,60,0,2,,,,,1,80,0
300,note_on,,,,,0,0,1,,,,,0,65,120
300,note_on,,,,,0,0,2,,,,,1,77,30
