tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,control,value,channel,program,pitch,note,velocity
0,time_signature,2,2,48,8,0,1,0,,,,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,,,
0,control_change,,,,,0,0,1,,,,0,0,0,,,,
0,control_change,,,,,0,0,1,,,,32,0,0,,,,
0,control_change,,,,,0,0,2,,,,0,0,1,,,,
0,control_change,,,,,0,0,1,,,,7,127,0,,,,
0,control_change,,,,,0,0,1,,,,1,0,0,,,,
0,control_change,,,,,0,0,1,,,,64,0,0,,,,
0,control_change,,,,,0,0,1,,,,93,28,0,,,,
0,control_change,,,,,0,0,1,,,,91,91,0,,,,
0,program_change,,,,,0,0,1,,,,,,0,0,,,
0,pitchwheel,,,,,0,0,1,,,,,,0,,0,,
0,control_change,,,,,0,0,1,,,,10,73,0,,,,
0,control_change,,,,,0,0,2,,,,32,0,1,,,,
0,program_change,,,,,0,0,2,,,,,,1,0,,,
0,control_change,,,,,0,0,2,,,,7,122,1,,,,
0,control_change,,,,,0,0,3,,,,32,0,2,,,,
0,program_change,,,,,0,0,3,,,,,,2,0,,,
0,control_change,,,,,0,0,3,,,,7,117,2,,,,
0,control_change,,,,,0,0,3,,,,10,64,2,,,,
0,pitchwheel,,,,,0,0,3,,,,,,2,,0,,
0,control_change,,,,,0,0,3,,,,1,0,2,,,,
0,control_change,,,,,0,0,3,,,,64,0,2,,,,
0,control_change,,,,,0,0,3,,,,93,28,2,,,,
0,control_change,,,,,0,0,3,,,,91,91,2,,,,
0,pitchwheel,,,,,0,0,2,,,,,,1,,0,,
0,control_change,,,,,0,0,2,,,,1,0,1,,,,
0,control_change,,,,,0,0,2,,,,64,0,1,,,,
0,control_change,,,,,0,0,2,,,,93,28,1,,,,
0,control_change,,,,,0,0,2,,,,91,91,1,,,,
0,control_change,,,,,0,0,2,,,,10,64,1,,,,
0,control_change,,,,,0,0,3,,,,0,0,2,,,,
0,midi_port,,,,,0,1,3,,,0,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,,,
0,midi_port,,,,,0,1,4,,,0,,,,,,,
0,control_change,,,,,0,0,4,,,,0,0,3,,,,
0,control_change,,,,,0,0,4,,,,32,0,3,,,,
0,program_change,,,,,0,0,4,,,,,,3,0,,,
0,control_change,,,,,0,0,4,,,,7,122,3,,,,
