tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,1,10,10,,
0,control_change,0,0,2,,,,,,,,,1,91,84,,
0,control_change,0,0,2,,,,,,,,,1,93,84,,
0,control_change,0,0,2,,,,,,,,,1,10,10,,
0,control_change,0,0,1,,,,,,,,,0,93,84,,
0,control_change,0,0,1,,,,,,,,,0,91,84,,
0,control_change,0,0,1,,,,,,,,,0,10,111,,
0,control_change,0,0,1,,,,,,,,,0,10,111,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,,0,,,64,60
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,set_tempo,0,1,0,571428,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,time_signature,0,1,0,,2,4,24,8,,,,,,,,
0,set_tempo,0,1,0,571428,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,key_signature,0,1,0,,,,,,A,,,,,,,
94,note_on,94,0,1,,,,,,,,,0,,,64,0
96,note_on,0,0,1,,,,,,,,,0,,,76,60
96,note_on,2,0,1,,,,,,,,,0,,,69,60
96,note_on,96,0,2,,,,,,,,,1,,,57,60
96,note_on,0,0,2,,,,,,,,,1,,,61,60
238,note_on,142,0,2,,,,,,,,,1,,,61,0
238,note_on,142,0,1,,,,,,,,,0,,,69,0
240,note_on,2,0,1,,,,,,,,,0,,,68,60
240,note_on,2,0,2,,,,,,,,,1,,,59,60
256,note_on,16,0,1,,,,,,,,,0,,,76,0
286,note_on,30,0,1,,,,,,,,,0,,,68,0
286,note_on,46,0,2,,,,,,,,,1,,,59,0
288,note_on,2,0,2,,,,,,,,,1,,,61,60
288,note_on,0,0,1,,,,,,,,,0,,,76,60
288,note_on,2,0,1,,,,,,,,,0,,,69,60
320,note_on,32,0,2,,,,,,,,,1,,,61,0
320,note_on,32,0,1,,,,,,,,,0,,,69,0
320,note_on,0,0,1,,,,,,,,,0,,,76,0
384,note_on,64,0,2,,,,,,,,,1,,,64,60
384,note_on,0,0,1,,,,,,,,,0,,,76,60
384,note_on,64,0,1,,,,,,,,,0,,,73,60
416,note_on,32,0,2,,,,,,,,,1,,,64,0
416,note_on,32,0,1,,,,,,,,,0,,,73,0
416,note_on,0,0,1,,,,,,,,,0,,,76,0
432,note_on,16,0,2,,,,,,,,,1,,,57,0
480,note_on,48,0,2,,,,,,,,,1,,,57,60
480,note_on,0,0,2,,,,,,,,,1,,,62,60
480,note_on,0,0,1,,,,,,,,,0,,,76,60
480,note_on,64,0,1,,,,,,,,,0,,,71,60
502,note_on,22,0,1,,,,,,,,,0,,,76,0
504,note_on,2,0,1,,,,,,,,,0,,,78,64
526,note_on,22,0,1,,,,,,,,,0,,,78,0
528,note_on,2,0,1,,,,,,,,,0,,,76,68
550,note_on,22,0,1,,,,,,,,,0,,,76,0
552,note_on,2,0,1,,,,,,,,,0,,,78,72
574,note_on,22,0,1,,,,,,,,,0,,,78,0
576,note_on,0,0,1,,,,,,,,,0,,,78,76
576,note_on,2,0,1,,,,,,,,,0,,,75,76
598,note_on,22,0,1,,,,,,,,,0,,,75,0
600,note_on,2,0,1,,,,,,,,,0,,,76,76
622,note_on,0,0,1,,,,,,,,,0,,,78,0
622,note_on,22,0,1,,,,,,,,,0,,,76,0
624,note_on,2,0,1,,,,,,,,,0,,,80,84
640,note_on,16,0,1,,,,,,,,,0,,,71,0
640,note_on,160,0,2,,,,,,,,,1,,,62,0
670,note_on,30,0,1,,,,,,,,,0,,,80,0
672,note_on,32,0,2,,,,,,,,,1,,,61,75
672,note_on,2,0,1,,,,,,,,,0,,,81,92
766,note_on,94,0,1,,,,,,,,,0,,,81,0
768,note_on,2,0,1,,,,,,,,,0,,,76,92
816,note_on,144,0,2,,,,,,,,,1,,,57,0
832,note_on,16,0,2,,,,,,,,,1,,,61,0
862,note_on,94,0,1,,,,,,,,,0,,,76,0
864,note_on,0,0,1,,,,,,,,,0,,,76,60
864,note_on,2,0,1,,,,,,,,,0,,,68,60
864,note_on,32,0,2,,,,,,,,,1,,,57,45
864,note_on,0,0,2,,,,,,,,,1,,,59,45
958,note_on,94,0,2,,,,,,,,,1,,,59,0
958,note_on,94,0,1,,,,,,,,,0,,,68,0
960,note_on,2,0,1,,,,,,,,,0,,,71,60
960,note_on,2,0,2,,,,,,,,,1,,,62,45
1024,note_on,64,0,2,,,,,,,,,1,,,57,0
1024,note_on,64,0,1,,,,,,,,,0,,,76,0
1054,note_on,30,0,2,,,,,,,,,1,,,62,0
1054,note_on,30,0,1,,,,,,,,,0,,,71,0
1056,note_on,2,0,2,,,,,,,,,1,,,57,45
1056,note_on,0,0,2,,,,,,,,,1,,,59,45
1056,note_on,0,0,1,,,,,,,,,0,,,76,60
1056,note_on,2,0,1,,,,,,,,,0,,,68,60
1088,note_on,0,0,1,,,,,,,,,0,,,76,0
1088,note_on,32,0,1,,,,,,,,,0,,,68,0
1150,note_on,94,0,2,,,,,,,,,1,,,59,0
1152,note_on,64,0,1,,,,,,,,,0,,,71,60
1152,note_on,2,0,2,,,,,,,,,1,,,62,45
1152,note_on,0,0,1,,,,,,,,,0,,,76,60
1184,note_on,0,0,1,,,,,,,,,0,,,76,0
1184,note_on,32,0,1,,,,,,,,,0,,,71,0
1216,note_on,64,0,2,,,,,,,,,1,,,57,0
1246,note_on,30,0,2,,,,,,,,,1,,,62,0
1248,note_on,0,0,2,,,,,,,,,1,,,61,45
1248,note_on,2,0,2,,,,,,,,,1,,,57,45
1248,note_on,64,0,1,,,,,,,,,0,,,69,60
1248,note_on,0,0,1,,,,,,,,,0,,,76,60
1294,note_on,46,0,1,,,,,,,,,0,,,76,0
1296,note_on,2,0,1,,,,,,,,,0,,,75,60
1342,note_on,94,0,2,,,,,,,,,1,,,57,0
1342,note_on,0,0,2,,,,,,,,,1,,,61,0
1342,note_on,0,0,1,,,,,,,,,0,,,75,0
1342,note_on,46,0,1,,,,,,,,,0,,,69,0
1344,note_on,2,0,1,,,,,,,,,0,,,76,60
1390,note_on,46,0,1,,,,,,,,,0,,,76,0
1392,note_on,2,0,1,,,,,,,,,0,,,78,60
1438,note_on,46,0,1,,,,,,,,,0,,,78,0
1440,note_on,2,0,1,,,,,,,,,0,,,76,60
1486,note_on,46,0,1,,,,,,,,,0,,,76,0
1488,note_on,146,0,2,,,,,,,,,1,,,66,45
1488,note_on,2,0,1,,,,,,,,,0,,,74,60
1534,note_on,46,0,2,,,,,,,,,1,,,66,0
1534,note_on,46,0,1,,,,,,,,,0,,,74,0
1536,note_on,2,0,2,,,,,,,,,1,,,64,45
1536,note_on,2,0,1,,,,,,,,,0,,,73,60
1582,note_on,46,0,2,,,,,,,,,1,,,64,0
1582,note_on,46,0,1,,,,,,,,,0,,,73,0
1584,note_on,2,0,1,,,,,,,,,0,,,71,60
1584,note_on,2,0,2,,,,,,,,,1,,,62,45
