tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,91,66,4,,,
0,program_change,0,0,4,,,,,,,,,,4,70,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,0,0,5,,,
0,control_change,0,0,5,,,,,,,,32,0,5,,,
0,control_change,0,0,5,,,,,,,,7,100,5,,,
0,control_change,0,0,5,,,,,,,,10,56,5,,,
0,control_change,0,0,5,,,,,,,,93,0,5,,,
0,control_change,0,0,5,,,,,,,,91,66,5,,,
0,program_change,0,0,5,,,,,,,,,,5,60,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,93,0,4,,,
0,control_change,0,0,6,,,,,,,,7,100,6,,,
0,control_change,0,0,6,,,,,,,,93,0,6,,,
0,control_change,0,0,6,,,,,,,,91,66,6,,,
0,control_change,0,0,6,,,,,,,,0,0,6,,,
0,control_change,0,0,6,,,,,,,,32,0,6,,,
0,program_change,0,0,6,,,,,,,,,,6,0,,
0,note_on,0,0,6,,,,,,,,,,6,,55,72
0,note_on,0,0,6,,,,,,,,,,6,,50,81
0,note_on,0,0,6,,,,,,,,,,6,,47,71
0,note_on,0,0,6,,,,,,,,,,6,,59,43
0,note_on,0,0,6,,,,,,,,,,6,,62,54
0,note_on,0,0,6,,,,,,,,,,6,,43,59
0,note_on,0,0,6,,,,,,,,,,6,,71,45
0,note_on,0,0,6,,,,,,,,,,6,,67,62
0,control_change,0,0,6,,,,,,,,10,64,6,,,
0,track_name,0,1,17,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,10,81,4,,,
0,control_change,0,0,4,,,,,,,,32,0,4,,,
0,control_change,0,0,1,,,,,,,,0,0,1,,,
0,control_change,0,0,1,,,,,,,,32,0,1,,,
0,control_change,0,0,1,,,,,,,,7,100,1,,,
0,control_change,0,0,1,,,,,,,,10,53,1,,,
0,control_change,0,0,1,,,,,,,,93,0,1,,,
0,control_change,0,0,1,,,,,,,,91,66,1,,,
0,program_change,0,0,1,,,,,,,,,,1,73,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,0,0,2,,,
0,control_change,0,0,2,,,,,,,,32,0,2,,,
0,control_change,0,0,2,,,,,,,,7,100,2,,,
0,control_change,0,0,2,,,,,,,,10,57,2,,,
0,control_change,0,0,4,,,,,,,,7,100,4,,,
0,control_change,0,0,2,,,,,,,,93,0,2,,,
0,program_change,0,0,2,,,,,,,,,,2,68,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,0,0,3,,,
0,control_change,0,0,3,,,,,,,,32,0,3,,,
0,control_change,0,0,3,,,,,,,,7,100,3,,,
0,control_change,0,0,3,,,,,,,,10,49,3,,,
0,control_change,0,0,3,,,,,,,,93,0,3,,,
0,control_change,0,0,3,,,,,,,,91,66,3,,,
0,program_change,0,0,3,,,,,,,,,,3,71,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,0,0,4,,,
0,control_change,0,0,2,,,,,,,,91,66,2,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,7,100,7,,,
0,control_change,0,0,10,,,,,,,,0,0,11,,,
0,control_change,0,0,10,,,,,,,,32,0,11,,,
0,program_change,0,0,10,,,,,,,,,,11,48,,
0,midi_port,0,1,11,,,,,,,0,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,control_change,0,0,11,,,,,,,,7,100,12,,,
0,control_change,0,0,11,,,,,,,,10,119,12,,,
0,control_change,0,0,11,,,,,,,,93,0,12,,,
0,control_change,0,0,11,,,,,,,,91,66,12,,,
0,control_change,0,0,11,,,,,,,,0,0,12,,,
0,control_change,0,0,11,,,,,,,,32,0,12,,,
0,program_change,0,0,11,,,,,,,,,,12,48,,
0,midi_port,0,1,12,,,,,,,0,,,,,,
0,control_change,0,0,10,,,,,,,,91,66,11,,,
0,track_name,0,1,12,,,,,,,,,,,,,
0,midi_port,0,1,13,,,,,,,0,,,,,,
0,track_name,0,1,13,,,,,,,,,,,,,
0,end_of_track,0,1,13,,,,,,,,,,,,,
0,midi_port,0,1,14,,,,,,,0,,,,,,
0,track_name,0,1,14,,,,,,,,,,,,,
0,end_of_track,0,1,14,,,,,,,,,,,,,
0,midi_port,0,1,15,,,,,,,0,,,,,,
0,track_name,0,1,15,,,,,,,,,,,,,
0,end_of_track,0,1,15,,,,,,,,,,,,,
0,midi_port,0,1,16,,,,,,,0,,,,,,
0,track_name,0,1,16,,,,,,,,,,,,,
0,end_of_track,0,1,16,,,,,,,,,,,,,
0,midi_port,0,1,17,,,,,,,0,,,,,,
0,end_of_track,0,1,12,,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,93,0,11,,,
0,control_change,0,0,10,,,,,,,,10,97,11,,,
0,control_change,0,0,10,,,,,,,,7,100,11,,,
0,control_change,0,0,7,,,,,,,,10,32,7,,,
0,control_change,0,0,7,,,,,,,,93,0,7,,,
0,control_change,0,0,7,,,,,,,,91,66,7,,,
0,control_change,0,0,7,,,,,,,,0,0,7,,,
0,control_change,0,0,7,,,,,,,,0,0,7,,,
0,control_change,0,0,7,,,,,,,,32,0,7,,,
0,control_change,0,0,7,,,,,,,,32,0,7,,,
0,program_change,0,0,7,,,,,,,,,,7,48,,
0,program_change,0,0,7,,,,,,,,,,7,48,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,7,100,8,,,
0,control_change,0,0,8,,,,,,,,10,13,8,,,
0,control_change,0,0,8,,,,,,,,93,0,8,,,
0,control_change,0,0,8,,,,,,,,91,66,8,,,
0,control_change,0,0,8,,,,,,,,0,0,8,,,
0,control_change,0,0,8,,,,,,,,32,0,8,,,
0,program_change,0,0,8,,,,,,,,,,8,48,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,7,100,10,,,
0,control_change,0,0,9,,,,,,,,10,64,10,,,
0,control_change,0,0,9,,,,,,,,93,0,10,,,
0,control_change,0,0,9,,,,,,,,91,66,10,,,
0,control_change,0,0,9,,,,,,,,0,0,10,,,
0,control_change,0,0,9,,,,,,,,32,0,10,,,
0,program_change,0,0,9,,,,,,,,,,10,48,,
