tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,control,value,channel,program,pitch,note,velocity
0,time_signature,3,8,12,8,0,1,0,,,,,,,,,,
0,control_change,,,,,0,0,2,,,,1,0,1,,,,
0,control_change,,,,,0,0,2,,,,64,0,1,,,,
0,control_change,,,,,0,0,2,,,,93,28,1,,,,
0,control_change,,,,,0,0,2,,,,91,91,1,,,,
0,control_change,,,,,0,0,2,,,,10,64,1,,,,
0,control_change,,,,,0,0,2,,,,7,122,1,,,,
0,program_change,,,,,0,0,2,,,,,,1,0,,,
0,control_change,,,,,0,0,2,,,,32,0,1,,,,
0,control_change,,,,,0,0,2,,,,0,0,1,,,,
0,pitchwheel,,,,,0,0,2,,,,,,1,,0,,
0,track_name,,,,,0,1,2,,,,,,,,,,
0,midi_port,,,,,0,1,3,,,0,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,,,
0,control_change,,,,,0,0,3,,,,0,0,2,,,,
0,control_change,,,,,0,0,3,,,,32,0,2,,,,
0,program_change,,,,,0,0,3,,,,,,2,0,,,
0,control_change,,,,,0,0,3,,,,7,117,2,,,,
0,control_change,,,,,0,0,3,,,,10,64,2,,,,
0,pitchwheel,,,,,0,0,3,,,,,,2,,0,,
0,control_change,,,,,0,0,3,,,,1,0,2,,,,
0,midi_port,,,,,0,1,2,,,0,,,,,,,
0,control_change,,,,,0,0,3,,,,64,0,2,,,,
0,pitchwheel,,,,,0,0,4,,,,,,3,,0,,
0,track_name,,,,,0,1,1,,,,,,,,,,
0,control_change,,,,,0,0,4,,,,64,0,3,,,,
0,control_change,,,,,0,0,4,,,,93,28,3,,,,
0,control_change,,,,,0,0,4,,,,91,91,3,,,,
0,control_change,,,,,0,0,4,,,,10,55,3,,,,
0,control_change,,,,,0,0,4,,,,7,127,3,,,,
0,program_change,,,,,0,0,4,,,,,,3,0,,,
0,control_change,,,,,0,0,4,,,,32,0,3,,,,
0,control_change,,,,,0,0,4,,,,0,0,3,,,,
0,track_name,,,,,0,1,4,,,,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,,
0,midi_port,,,,,0,1,4,,,0,,,,,,,
0,program_change,,,,,0,0,1,,,,,,0,0,,,
0,control_change,,,,,0,0,1,,,,91,91,0,,,,
0,control_change,,,,,0,0,1,,,,93,28,0,,,,
0,control_change,,,,,0,0,1,,,,64,0,0,,,,
0,control_change,,,,,0,0,1,,,,1,0,0,,,,
0,control_change,,,,,0,0,1,,,,10,73,0,,,,
0,control_change,,,,,0,0,1,,,,7,127,0,,,,
0,control_change,,,,,0,0,1,,,,32,0,0,,,,
0,control_change,,,,,0,0,1,,,,0,0,0,,,,
0,pitchwheel,,,,,0,0,1,,,,,,0,,0,,
0,control_change,,,,,0,0,3,,,,93,28,2,,,,
0,control_change,,,,,0,0,4,,,,1,0,3,,,,
0,control_change,,,,,0,0,3,,,,91,91,2,,,,
0,marker,,,,,0,1,0,,,,,,,,,,
0,key_signature,,,,,0,1,0,C,,,,,,,,,
0,set_tempo,,,,,0,1,0,,600000,,,,,,,,
0,marker,,,,,0,1,0,,,,,,,,,,
480,note_on,,,,,480,0,3,,,,,,2,,,51,42
480,note_on,,,,,480,0,1,,,,,,0,,,63,44
480,set_tempo,,,,,480,1,0,,1428571,,,,,,,,
660,set_tempo,,,,,180,1,0,,1500000,,,,,,,,
660,note_on,,,,,180,0,1,,,,,,0,,,63,0
665,note_on,,,,,185,0,3,,,,,,2,,,51,0
720,note_on,,,,,55,0,3,,,,,,2,,,51,45
720,set_tempo,,,,,60,1,0,,1428571,,,,,,,,
720,marker,,,,,0,1,0,,,,,,,,,,
720,note_on,,,,,60,0,1,,,,,,0,,,63,47
720,note_on,,,,,720,0,4,,,,,,3,,,44,45
720,note_on,,,,,720,0,2,,,,,,1,,,60,47
960,note_on,,,,,240,0,1,,,,,,0,,,63,0
960,note_on,,,,,0,0,1,,,,,,0,,,68,46
960,note_on,,,,,240,0,3,,,,,,2,,,51,0
960,note_on,,,,,0,0,3,,,,,,2,,,56,44
1116,note_on,,,,,156,0,1,,,,,,0,,,68,0
1116,note_on,,,,,156,0,3,,,,,,2,,,56,0
1200,note_on,,,,,84,0,1,,,,,,0,,,68,44
1200,note_on,,,,,84,0,3,,,,,,2,,,56,42
1350,note_on,,,,,630,0,4,,,,,,3,,,44,0
1356,note_on,,,,,156,0,1,,,,,,0,,,68,0
1356,note_on,,,,,156,0,3,,,,,,2,,,56,0
1380,set_tempo,,,,,660,1,0,,1500000,,,,,,,,
1440,set_tempo,,,,,60,1,0,,1428571,,,,,,,,
1440,note_on,,,,,84,0,1,,,,,,0,,,68,47
1440,note_on,,,,,0,0,3,,,,,,2,,,51,47
1440,note_on,,,,,84,0,3,,,,,,2,,,56,47
1440,note_on,,,,,90,0,4,,,,,,3,,,46,47
1440,note_on,,,,,0,0,2,,,,,,1,,,63,47
1440,note_on,,,,,0,0,2,,,,,,1,,,61,47
1440,note_on,,,,,720,0,2,,,,,,1,,,60,0
1560,note_on,,,,,120,0,3,,,,,,2,,,56,0
1560,note_on,,,,,0,0,3,,,,,,2,,,55,47
1560,note_on,,,,,120,0,1,,,,,,0,,,68,0
1560,note_on,,,,,0,0,1,,,,,,0,,,67,47
1680,note_on,,,,,0,0,3,,,,,,2,,,55,46
1680,note_on,,,,,120,0,3,,,,,,2,,,55,0
1680,note_on,,,,,0,0,1,,,,,,0,,,67,46
1680,note_on,,,,,120,0,1,,,,,,0,,,67,0
1860,note_on,,,,,180,0,3,,,,,,2,,,55,0
1860,note_on,,,,,180,0,1,,,,,,0,,,67,0
1860,note_on,,,,,0,0,1,,,,,,0,,,65,45
1860,note_on,,,,,0,0,3,,,,,,2,,,53,45
1920,note_on,,,,,60,0,1,,,,,,0,,,65,0
1920,note_on,,,,,0,0,1,,,,,,0,,,67,45
1920,note_on,,,,,0,0,3,,,,,,2,,,55,45
1920,note_on,,,,,60,0,3,,,,,,2,,,53,0
2096,note_on,,,,,176,0,3,,,,,,2,,,51,0
2100,note_on,,,,,180,0,1,,,,,,0,,,67,0
2100,note_on,,,,,0,0,1,,,,,,0,,,63,44
2100,note_on,,,,,660,0,4,,,,,,3,,,46,0
2100,note_on,,,,,4,0,3,,,,,,2,,,55,0
2100,note_on,,,,,660,0,2,,,,,,1,,,63,0
2100,note_on,,,,,0,0,3,,,,,,2,,,51,44
2160,note_on,,,,,60,0,3,,,,,,2,,,51,0
2160,note_on,,,,,60,0,1,,,,,,0,,,63,0
2160,note_on,,,,,0,0,3,,,,,,2,,,56,44
2160,marker,,,,,720,1,0,,,,,,,,,,
2160,note_on,,,,,0,0,1,,,,,,0,,,68,46
2160,note_on,,,,,60,0,2,,,,,,1,,,61,0
2400,note_on,,,,,300,0,4,,,,,,3,,,48,49
2400,note_on,,,,,240,0,2,,,,,,1,,,63,47
2640,note_on,,,,,480,0,3,,,,,,2,,,56,0
2640,note_on,,,,,0,0,2,,,,,,1,,,63,51
2640,note_on,,,,,480,0,1,,,,,,0,,,68,0
2640,note_on,,,,,0,0,1,,,,,,0,,,70,51
2640,note_on,,,,,240,0,4,,,,,,3,,,48,0
2640,note_on,,,,,0,0,4,,,,,,3,,,43,52
2640,note_on,,,,,240,0,2,,,,,,1,,,63,0
2640,note_on,,,,,0,0,3,,,,,,2,,,51,50
2640,note_on,,,,,0,0,2,,,,,,1,,,58,51
2827,set_tempo,,,,,667,1,0,,1500000,,,,,,,,
2880,note_on,,,,,240,0,1,,,,,,0,,,70,0
2880,note_on,,,,,0,0,1,,,,,,0,,,73,57
2880,note_on,,,,,0,0,2,,,,,,1,,,60,54
2880,note_on,,,,,0,0,4,,,,,,3,,,44,57
2880,note_on,,,,,0,0,2,,,,,,1,,,58,0
2880,note_on,,,,,240,0,4,,,,,,3,,,43,0
2880,note_on,,,,,240,0,3,,,,,,2,,,51,0
2880,note_on,,,,,0,0,3,,,,,,2,,,51,55
2880,note_on,,,,,0,0,2,,,,,,1,,,68,54
2880,note_on,,,,,0,0,2,,,,,,1,,,63,54
2880,note_on,,,,,240,0,2,,,,,,1,,,63,0
3060,note_on,,,,,180,0,1,,,,,,0,,,73,0
3060,note_on,,,,,0,0,1,,,,,,0,,,72,49
3120,note_on,,,,,0,0,3,,,,,,2,,,51,45
3120,note_on,,,,,0,0,2,,,,,,1,,,68,0
3120,note_on,,,,,240,0,2,,,,,,1,,,60,0
3120,note_on,,,,,0,0,1,,,,,,0,,,70,44
3120,note_on,,,,,60,0,1,,,,,,0,,,72,0
3120,note_on,,,,,0,0,2,,,,,,1,,,63,0
3120,note_on,,,,,0,0,2,,,,,,1,,,67,45
3120,note_on,,,,,0,0,2,,,,,,1,,,63,45
3120,note_on,,,,,0,0,2,,,,,,1,,,58,45
3120,note_on,,,,,240,0,4,,,,,,3,,,44,0
3120,note_on,,,,,240,0,3,,,,,,2,,,51,0
3120,note_on,,,,,0,0,4,,,,,,3,,,39,48
3234,set_tempo,,,,,407,1,0,,1764706,,,,,,,,
3240,note_on,,,,,120,0,4,,,,,,3,,,39,0
3240,note_on,,,,,120,0,3,,,,,,2,,,51,0
3240,note_on,,,,,0,0,2,,,,,,1,,,67,0
3240,note_on,,,,,120,0,2,,,,,,1,,,58,0
3243,note_on,,,,,123,0,1,,,,,,0,,,70,0
3243,note_on,,,,,3,0,2,,,,,,1,,,63,0
3306,set_tempo,,,,,72,1,0,,1428571,,,,,,,,
3320,note_on,,,,,77,0,1,,,,,,0,,,72,42
3360,note_on,,,,,40,0,1,,,,,,0,,,72,0
3360,note_on,,,,,0,0,1,,,,,,0,,,70,45
3420,note_on,,,,,60,0,1,,,,,,0,,,70,0
3420,note_on,,,,,0,0,1,,,,,,0,,,69,44
3480,note_on,,,,,0,0,1,,,,,,0,,,70,43
3480,note_on,,,,,60,0,1,,,,,,0,,,69,0
3540,note_on,,,,,60,0,1,,,,,,0,,,70,0
3540,note_on,,,,,0,0,1,,,,,,0,,,72,42
3600,note_on,,,,,60,0,1,,,,,,0,,,72,0
3600,note_on,,,,,357,0,2,,,,,,1,,,68,45
3600,note_on,,,,,0,0,1,,,,,,0,,,73,45
3600,marker,,,,,294,1,0,,,,,,,,,,
3600,note_on,,,,,360,0,4,,,,,,3,,,53,45
3840,note_on,,,,,240,0,4,,,,,,3,,,53,0
3840,note_on,,,,,0,0,4,,,,,,3,,,65,48
4080,note_on,,,,,240,0,4,,,,,,3,,,65,0
4080,note_on,,,,,480,0,2,,,,,,1,,,68,0
4080,note_on,,,,,0,0,2,,,,,,1,,,68,51
4080,note_on,,,,,0,0,4,,,,,,3,,,63,51
4080,note_on,,,,,480,0,1,,,,,,0,,,73,0
4080,note_on,,,,,0,0,1,,,,,,0,,,72,51
4320,note_on,,,,,240,0,2,,,,,,1,,,68,0
4320,note_on,,,,,0,0,2,,,,,,1,,,68,54
4320,note_on,,,,,0,0,2,,,,,,1,,,70,54
4320,note_on,,,,,240,0,1,,,,,,0,,,72,0
4320,note_on,,,,,0,0,1,,,,,,0,,,77,54
4320,note_on,,,,,0,0,4,,,,,,3,,,62,55
4320,note_on,,,,,240,0,4,,,,,,3,,,63,0
4560,note_on,,,,,240,0,4,,,,,,3,,,62,0
4560,note_on,,,,,0,0,4,,,,,,3,,,61,58
4560,note_on,,,,,240,0,1,,,,,,0,,,77,0
4560,note_on,,,,,0,0,1,,,,,,0,,,70,57
4560,note_on,,,,,240,0,2,,,,,,1,,,70,0
4560,note_on,,,,,0,0,2,,,,,,1,,,68,0
4560,note_on,,,,,0,0,2,,,,,,1,,,67,57
4800,note_on,,,,,240,0,4,,,,,,3,,,61,0
4800,note_on,,,,,0,0,4,,,,,,3,,,60,61
4800,note_on,,,,,240,0,1,,,,,,0,,,70,0
4800,note_on,,,,,240,0,2,,,,,,1,,,67,0
4800,note_on,,,,,0,0,2,,,,,,1,,,68,60
4800,note_on,,,,,0,0,1,,,,,,0,,,75,60
4980,set_tempo,,,,,1380,1,0,,1500000,,,,,,,,
5040,set_tempo,,,,,60,1,0,,1428571,,,,,,,,
5040,marker,,,,,0,1,0,,,,,,,,,,
5040,note_on,,,,,240,0,4,,,,,,3,,,60,0
5040,note_on,,,,,0,0,4,,,,,,3,,,53,48
5040,note_on,,,,,0,0,1,,,,,,0,,,68,49
5040,note_on,,,,,240,0,1,,,,,,0,,,75,0
5040,note_on,,,,,240,0,2,,,,,,1,,,68,0
5040,note_on,,,,,0,0,2,,,,,,1,,,65,47
5280,note_on,,,,,240,0,4,,,,,,3,,,53,0
5280,note_on,,,,,0,0,4,,,,,,3,,,55,50
5280,note_on,,,,,0,0,1,,,,,,0,,,73,52
5280,note_on,,,,,0,0,2,,,,,,1,,,64,50
5280,note_on,,,,,0,0,2,,,,,,1,,,70,50
5280,note_on,,,,,240,0,1,,,,,,0,,,68,0
5280,note_on,,,,,240,0,2,,,,,,1,,,65,0
5520,note_on,,,,,240,0,4,,,,,,3,,,55,0
5520,note_on,,,,,0,0,4,,,,,,3,,,56,52
5520,note_on,,,,,0,0,1,,,,,,0,,,72,54
5520,note_on,,,,,240,0,1,,,,,,0,,,73,0
5520,note_on,,,,,240,0,2,,,,,,1,,,64,0
5520,note_on,,,,,0,0,2,,,,,,1,,,70,0
5520,note_on,,,,,0,0,2,,,,,,1,,,63,52
5520,note_on,,,,,0,0,2,,,,,,1,,,68,52
5707,set_tempo,,,,,667,1,0,,1578947,,,,,,,,
5760,note_on,,,,,240,0,2,,,,,,1,,,68,0
5760,note_on,,,,,0,0,2,,,,,,1,,,63,0
5760,note_on,,,,,0,0,2,,,,,,1,,,66,56
5760,note_on,,,,,0,0,2,,,,,,1,,,63,56
5760,note_on,,,,,240,0,4,,,,,,3,,,56,0
5760,note_on,,,,,0,0,4,,,,,,3,,,51,58
5760,note_on,,,,,240,0,1,,,,,,0,,,72,0
5760,note_on,,,,,0,0,1,,,,,,0,,,69,56
6000,note_on,,,,,240,0,2,,,,,,1,,,66,0
6000,note_on,,,,,0,0,2,,,,,,1,,,67,47
6000,note_on,,,,,240,0,1,,,,,,0,,,69,0
6000,note_on,,,,,0,0,1,,,,,,0,,,70,47
6120,note_on,,,,,120,0,1,,,,,,0,,,70,0
6120,note_on,,,,,120,0,2,,,,,,1,,,67,0
6120,set_tempo,,,,,413,1,0,,1666667,,,,,,,,
6120,note_on,,,,,0,0,2,,,,,,1,,,63,0
6120,note_on,,,,,360,0,4,,,,,,3,,,51,0
6240,note_on,,,,,3000,0,3,,,,,,2,,,51,42
6240,note_on,,,,,120,0,1,,,,,,0,,,63,40
6240,set_tempo,,,,,120,1,0,,1428571,,,,,,,,
6395,note_on,,,,,155,0,1,,,,,,0,,,63,0
6410,note_on,,,,,170,0,3,,,,,,2,,,51,0
6420,note_on,,,,,10,0,3,,,,,,2,,,51,43
6420,note_on,,,,,25,0,1,,,,,,0,,,63,41
6468,note_on,,,,,48,0,1,,,,,,0,,,63,0
6468,note_on,,,,,48,0,3,,,,,,2,,,51,0
6480,note_on,,,,,12,0,3,,,,,,2,,,51,46
6480,note_on,,,,,360,0,2,,,,,,1,,,60,44
6480,marker,,,,,240,1,0,,,,,,,,,,
6480,note_on,,,,,360,0,4,,,,,,3,,,44,46
6480,note_on,,,,,12,0,1,,,,,,0,,,63,44
6600,note_on,,,,,0,0,1,,,,,,0,,,68,43
6600,note_on,,,,,120,0,1,,,,,,0,,,63,0
6600,note_on,,,,,120,0,3,,,,,,2,,,51,0
6600,note_on,,,,,0,0,3,,,,,,2,,,56,45
6678,note_on,,,,,78,0,1,,,,,,0,,,68,0
6678,note_on,,,,,78,0,3,,,,,,2,,,56,0
6720,note_on,,,,,42,0,1,,,,,,0,,,68,42
6720,note_on,,,,,42,0,3,,,,,,2,,,56,44
6798,note_on,,,,,78,0,3,,,,,,2,,,56,0
6798,note_on,,,,,78,0,1,,,,,,0,,,68,0
6840,note_on,,,,,42,0,1,,,,,,0,,,68,41
6840,note_on,,,,,42,0,3,,,,,,2,,,56,43
6918,note_on,,,,,78,0,3,,,,,,2,,,56,0
6918,note_on,,,,,78,0,1,,,,,,0,,,68,0
6960,note_on,,,,,42,0,3,,,,,,2,,,56,42
6960,note_on,,,,,42,0,1,,,,,,0,,,68,41
7038,note_on,,,,,78,0,3,,,,,,2,,,56,0
7038,note_on,,,,,78,0,1,,,,,,0,,,68,0
7080,note_on,,,,,42,0,1,,,,,,0,,,68,40
7080,note_on,,,,,42,0,3,,,,,,2,,,56,42
7140,set_tempo,,,,,660,1,0,,1500000,,,,,,,,
7140,note_on,,,,,660,0,4,,,,,,3,,,44,0
7158,note_on,,,,,78,0,1,,,,,,0,,,68,0
7158,note_on,,,,,78,0,3,,,,,,2,,,56,0
7160,note_on,,,,,680,0,2,,,,,,1,,,60,0
7200,note_on,,,,,0,0,3,,,,,,2,,,56,47
7200,note_on,,,,,42,0,3,,,,,,2,,,51,47
7200,note_on,,,,,40,0,2,,,,,,1,,,61,45
7200,note_on,,,,,60,0,4,,,,,,3,,,46,47
7200,set_tempo,,,,,60,1,0,,1428571,,,,,,,,
7200,note_on,,,,,42,0,1,,,,,,0,,,68,45
7200,note_on,,,,,0,0,2,,,,,,1,,,63,45
7320,note_on,,,,,0,0,3,,,,,,2,,,55,47
7320,note_on,,,,,120,0,3,,,,,,2,,,56,0
7320,note_on,,,,,120,0,1,,,,,,0,,,68,0
7320,note_on,,,,,0,0,1,,,,,,0,,,67,45
7440,note_on,,,,,0,0,3,,,,,,2,,,55,46
7440,note_on,,,,,120,0,3,,,,,,2,,,55,0
7440,note_on,,,,,120,0,1,,,,,,0,,,67,0
7440,note_on,,,,,0,0,1,,,,,,0,,,67,44
7620,note_on,,,,,0,0,1,,,,,,0,,,65,43
7620,note_on,,,,,180,0,3,,,,,,2,,,55,0
7620,note_on,,,,,180,0,1,,,,,,0,,,67,0
7620,note_on,,,,,0,0,3,,,,,,2,,,53,45
7680,note_on,,,,,60,0,1,,,,,,0,,,65,0
7680,note_on,,,,,0,0,1,,,,,,0,,,67,43
7680,note_on,,,,,0,0,3,,,,,,2,,,55,44
