tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,channel,control,value,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,0,1,,,
0,control_change,0,0,1,,,,,,,,0,32,1,,,
0,control_change,0,0,1,,,,,,,,0,3,68,,,
0,control_change,0,0,1,,,,,,,,0,14,127,,,
0,program_change,0,0,1,,,,,,,,0,,,0,,
0,end_of_track,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,10,83,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,control_change,0,0,2,,,,,,,,0,7,127,,,
0,control_change,0,0,2,,,,,,,,0,10,83,,,
0,control_change,0,0,2,,,,,,,,0,0,1,,,
0,control_change,0,0,2,,,,,,,,0,32,1,,,
0,control_change,0,0,2,,,,,,,,0,3,68,,,
0,control_change,0,0,2,,,,,,,,0,14,127,,,
0,program_change,0,0,2,,,,,,,,0,,,0,,
0,channel_prefix,0,1,2,,,,,,,,0,,,,,
0,control_change,0,0,1,,,,,,,,0,7,127,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,set_tempo,0,1,0,416666,,,,,,,,,,,,
0,time_signature,0,1,0,,6,8,12,8,,,,,,,,
0,key_signature,0,1,0,,,,,,Gm,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,channel_prefix,0,1,3,,,,,,,,1,,,,,
0,control_change,0,0,3,,,,,,,,1,7,127,,,
0,control_change,0,0,3,,,,,,,,1,10,52,,,
0,control_change,0,0,3,,,,,,,,1,3,65,,,
0,channel_prefix,0,1,1,,,,,,,,0,,,,,
0,program_change,0,0,3,,,,,,,,1,,,0,,
0,control_change,0,0,3,,,,,,,,1,14,127,,,
1200,note_on,1200,0,2,,,,,,,,0,,,,65,64
1415,note_off,215,0,2,,,,,,,,0,,,,65,0
1440,control_change,1440,0,3,,,,,,,,1,64,127,,,
1440,note_on,0,0,3,,,,,,,,1,,,,46,79
1440,note_on,0,0,3,,,,,,,,1,,,,58,79
1440,note_on,25,0,2,,,,,,,,0,,,,65,79
1655,note_off,215,0,2,,,,,,,,0,,,,65,0
1680,note_on,25,0,2,,,,,,,,0,,,,62,79
1871,note_off,431,0,3,,,,,,,,1,,,,58,0
1871,note_off,0,0,3,,,,,,,,1,,,,46,0
1895,note_off,215,0,2,,,,,,,,0,,,,62,0
1912,control_change,41,0,3,,,,,,,,1,64,0,,,
1920,note_on,25,0,2,,,,,,,,0,,,,70,79
2027,note_off,107,0,2,,,,,,,,0,,,,70,0
2160,note_on,133,0,2,,,,,,,,0,,,,70,79
2375,note_off,215,0,2,,,,,,,,0,,,,70,0
2400,note_on,25,0,2,,,,,,,,0,,,,65,79
2615,note_off,215,0,2,,,,,,,,0,,,,65,0
2640,note_on,25,0,2,,,,,,,,0,,,,74,79
2747,note_off,107,0,2,,,,,,,,0,,,,74,0
2880,note_on,133,0,2,,,,,,,,0,,,,74,79
3095,note_off,215,0,2,,,,,,,,0,,,,74,0
3120,note_on,25,0,2,,,,,,,,0,,,,70,79
3335,note_off,215,0,2,,,,,,,,0,,,,70,0
3360,note_on,25,0,2,,,,,,,,0,,,,77,79
3467,note_off,107,0,2,,,,,,,,0,,,,77,0
3600,note_on,133,0,2,,,,,,,,0,,,,77,79
4031,note_off,431,0,2,,,,,,,,0,,,,77,0
4080,note_on,49,0,2,,,,,,,,0,,,,75,79
4080,note_on,0,0,2,,,,,,,,0,,,,72,79
4080,note_on,0,0,3,,,,,,,,1,,,,65,79
4080,note_on,2168,0,3,,,,,,,,1,,,,57,79
4295,note_off,215,0,2,,,,,,,,0,,,,72,0
4295,note_off,0,0,2,,,,,,,,0,,,,75,0
4295,note_off,215,0,3,,,,,,,,1,,,,57,0
4320,note_on,25,0,3,,,,,,,,1,,,,58,79
4320,note_on,25,0,2,,,,,,,,0,,,,74,79
4320,note_on,0,0,2,,,,,,,,0,,,,70,79
4535,note_off,0,0,2,,,,,,,,0,,,,74,0
4535,note_off,215,0,2,,,,,,,,0,,,,70,0
4560,note_on,0,0,2,,,,,,,,0,,,,72,79
4560,note_on,25,0,2,,,,,,,,0,,,,75,79
4667,note_off,107,0,2,,,,,,,,0,,,,72,0
4667,note_off,0,0,2,,,,,,,,0,,,,75,0
4751,note_off,431,0,3,,,,,,,,1,,,,65,0
4751,note_off,0,0,3,,,,,,,,1,,,,58,0
4800,note_on,133,0,2,,,,,,,,0,,,,77,79
4800,note_on,0,0,2,,,,,,,,0,,,,74,79
4907,note_off,107,0,2,,,,,,,,0,,,,74,0
4907,note_off,0,0,2,,,,,,,,0,,,,77,0
5040,note_on,133,0,2,,,,,,,,0,,,,79,79
5040,note_on,289,0,3,,,,,,,,1,,,,63,79
5040,note_on,0,0,2,,,,,,,,0,,,,75,79
5255,note_off,215,0,2,,,,,,,,0,,,,75,0
5255,note_off,0,0,2,,,,,,,,0,,,,79,0
5280,note_on,25,0,2,,,,,,,,0,,,,75,79
5280,note_on,0,0,2,,,,,,,,0,,,,72,79
5471,note_off,431,0,3,,,,,,,,1,,,,63,0
5495,note_off,0,0,2,,,,,,,,0,,,,75,0
