tick,type,time,meta,track,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,data,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,track_name,0,1,17,,,,,,,,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,,
0,track_name,0,1,13,,,,,,,,,,,,,
0,track_name,0,1,14,,,,,,,,,,,,,
0,track_name,0,1,15,,,,,,,,,,,,,
0,track_name,0,1,16,,,,,,,,,,,,,
0,end_of_track,0,1,16,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,end_of_track,0,1,17,,,,,,,,,,,,,
0,key_signature,0,1,0,C,,,,,,,,,,,,
0,set_tempo,0,1,1,,,,,,1071428,,,,,,,
0,end_of_track,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,time_signature,0,1,0,,2,4,24,8,,,,,,,,
0,set_tempo,0,1,1,,,,,,1071428,,,,,,,
20,sysex,20,0,1,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,
30,control_change,10,0,1,,,,,,,,0,0,0,,,
40,control_change,10,0,1,,,,,,,,32,0,0,,,
70,sysex,30,0,1,,,,,,,"(65, 16, 66, 18, 64, 0, 4, 127, 61)",,,,,,
100,sysex,30,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 48, 3, 12)",,,,,,
130,sysex,30,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 56, 0, 7)",,,,,,
140,sysex,10,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 58, 64, 69)",,,,,,
150,sysex,10,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 16, 0, 2, 2, 2, 2, 2, 4, 2, 2, 0, 2, 2, 2, 2, 0, 0, 21)",,,,,,
570,control_change,570,0,7,,,,,,,,0,0,6,,,
570,control_change,570,0,8,,,,,,,,0,0,7,,,
570,control_change,570,0,14,,,,,,,,0,0,3,,,
570,control_change,570,0,5,,,,,,,,0,0,13,,,
570,control_change,570,0,6,,,,,,,,0,0,5,,,
570,control_change,570,0,2,,,,,,,,0,0,10,,,
570,control_change,570,0,13,,,,,,,,0,0,2,,,
570,control_change,570,0,3,,,,,,,,0,0,11,,,
570,control_change,570,0,4,,,,,,,,0,0,12,,,
570,control_change,570,0,15,,,,,,,,0,0,4,,,
570,control_change,570,0,12,,,,,,,,0,0,1,,,
570,control_change,570,0,11,,,,,,,,0,0,0,,,
580,control_change,10,0,4,,,,,,,,32,0,12,,,
580,control_change,10,0,12,,,,,,,,32,0,1,,,
580,control_change,10,0,15,,,,,,,,32,0,4,,,
580,control_change,10,0,14,,,,,,,,32,0,3,,,
580,control_change,10,0,3,,,,,,,,32,0,11,,,
580,control_change,10,0,7,,,,,,,,32,0,6,,,
580,control_change,10,0,8,,,,,,,,32,0,7,,,
580,control_change,10,0,11,,,,,,,,32,0,0,,,
580,control_change,10,0,13,,,,,,,,32,0,2,,,
580,control_change,10,0,6,,,,,,,,32,0,5,,,
580,control_change,10,0,2,,,,,,,,32,0,10,,,
580,control_change,10,0,5,,,,,,,,32,0,13,,,
590,program_change,10,0,11,,,,,,,,,,0,48,,
590,program_change,10,0,12,,,,,,,,,,1,48,,
590,program_change,10,0,7,,,,,,,,,,6,56,,
590,program_change,10,0,6,,,,,,,,,,5,60,,
590,program_change,10,0,4,,,,,,,,,,12,71,,
590,program_change,10,0,2,,,,,,,,,,10,73,,
590,program_change,10,0,15,,,,,,,,,,4,48,,
590,program_change,10,0,5,,,,,,,,,,13,70,,
590,program_change,10,0,8,,,,,,,,,,7,47,,
590,program_change,10,0,14,,,,,,,,,,3,48,,
590,program_change,10,0,3,,,,,,,,,,11,68,,
590,program_change,10,0,13,,,,,,,,,,2,48,,
600,control_change,10,0,12,,,,,,,,10,50,1,,,
600,control_change,10,0,6,,,,,,,,10,90,5,,,
600,control_change,10,0,11,,,,,,,,7,127,0,,,
600,control_change,10,0,3,,,,,,,,11,110,11,,,
600,control_change,10,0,14,,,,,,,,10,75,3,,,
600,control_change,10,0,5,,,,,,,,11,110,13,,,
600,control_change,10,0,2,,,,,,,,11,110,10,,,
600,control_change,10,0,15,,,,,,,,11,127,4,,,
600,control_change,10,0,8,,,,,,,,11,127,7,,,
600,control_change,10,0,13,,,,,,,,10,90,2,,,
600,control_change,10,0,7,,,,,,,,11,127,6,,,
600,control_change,10,0,4,,,,,,,,11,110,12,,,
610,control_change,10,0,15,,,,,,,,10,105,4,,,
610,control_change,10,0,12,,,,,,,,11,127,1,,,
610,control_change,10,0,6,,,,,,,,99,1,5,,,
610,control_change,10,0,2,,,,,,,,10,40,10,,,
610,control_change,10,0,8,,,,,,,,10,40,7,,,
