tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,,3,0,,
0,control_change,0,0,4,,,,,,,32,0,3,,,
0,control_change,0,0,4,,,,,,,0,0,3,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,91,91,0,,,
0,control_change,0,0,1,,,,,,,0,0,0,,,
0,control_change,0,0,1,,,,,,,32,0,0,,,
0,control_change,0,0,1,,,,,,,10,73,0,,,
0,control_change,0,0,1,,,,,,,93,18,0,,,
0,control_change,0,0,1,,,,,,,64,0,0,,,
0,control_change,0,0,1,,,,,,,7,127,0,,,
0,program_change,0,0,1,,,,,,,,,0,0,,
0,control_change,0,0,2,,,,,,,91,91,1,,,
0,control_change,0,0,4,,,,,,,7,107,3,,,
0,control_change,0,0,3,,,,,,,7,117,2,,,
0,control_change,0,0,3,,,,,,,93,18,2,,,
0,control_change,0,0,3,,,,,,,10,55,2,,,
0,program_change,0,0,3,,,,,,,,,2,0,,
0,control_change,0,0,3,,,,,,,32,0,2,,,
0,control_change,0,0,3,,,,,,,0,0,2,,,
0,control_change,0,0,3,,,,,,,91,91,2,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,7,117,1,,,
0,control_change,0,0,2,,,,,,,64,0,1,,,
0,control_change,0,0,2,,,,,,,10,64,1,,,
0,program_change,0,0,2,,,,,,,,,1,0,,
0,control_change,0,0,2,,,,,,,32,0,1,,,
0,control_change,0,0,2,,,,,,,0,0,1,,,
0,control_change,0,0,2,,,,,,,93,18,1,,,
0,control_change,0,0,3,,,,,,,64,0,2,,,
0,control_change,0,0,4,,,,,,,10,64,3,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,
0,set_tempo,0,1,0,,,,,,923076,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
465,marker,465,1,0,,,,,,,,,,,,
720,control_change,720,0,1,,,,,,,64,0,0,,,
720,note_on,0,0,1,,,,,,,,,0,,62,60
720,control_change,720,0,2,,,,,,,64,0,1,,,
720,set_tempo,255,1,0,,,,,,372670,,,,,,
720,control_change,720,0,4,,,,,,,64,0,3,,,
720,control_change,720,0,3,,,,,,,64,0,2,,,
720,note_on,0,0,3,,,,,,,,,2,,38,60
720,note_on,0,0,2,,,,,,,,,1,,50,60
960,set_tempo,240,1,0,,,,,,370370,,,,,,
960,note_off,240,0,2,,,,,,,,,1,,50,0
960,note_on,0,0,3,,,,,,,,,2,,37,48
960,note_off,240,0,3,,,,,,,,,2,,38,0
960,note_on,0,0,1,,,,,,,,,0,,61,48
960,note_off,240,0,1,,,,,,,,,0,,62,0
1080,note_off,120,0,1,,,,,,,,,0,,61,0
1080,note_off,120,0,3,,,,,,,,,2,,37,0
1200,note_on,120,0,1,,,,,,,,,0,,59,44
1200,note_on,120,0,3,,,,,,,,,2,,35,44
1320,note_off,120,0,3,,,,,,,,,2,,35,0
1320,note_off,120,0,1,,,,,,,,,0,,59,0
1440,note_on,120,0,3,,,,,,,,,2,,33,40
1440,note_on,120,0,1,,,,,,,,,0,,57,42
1560,note_off,120,0,3,,,,,,,,,2,,33,0
1560,note_off,120,0,1,,,,,,,,,0,,57,0
1680,note_on,120,0,1,,,,,,,,,0,,61,44
1680,note_on,120,0,3,,,,,,,,,2,,37,43
1800,note_off,120,0,3,,,,,,,,,2,,37,0
1800,note_off,120,0,1,,,,,,,,,0,,61,0
1920,marker,960,1,0,,,,,,,,,,,,
1920,note_on,120,0,3,,,,,,,,,2,,38,47
1920,note_on,120,0,1,,,,,,,,,0,,62,47
2040,note_off,120,0,3,,,,,,,,,2,,38,0
2040,note_off,120,0,1,,,,,,,,,0,,62,0
2160,note_on,120,0,3,,,,,,,,,2,,42,50
2160,note_on,120,0,1,,,,,,,,,0,,66,49
2280,note_off,120,0,1,,,,,,,,,0,,66,0
2280,note_off,120,0,3,,,,,,,,,2,,42,0
2400,note_on,0,0,3,,,,,,,,,2,,45,53
2400,note_on,120,0,3,,,,,,,,,2,,33,53
2400,note_on,120,0,1,,,,,,,,,0,,69,52
2400,note_on,0,0,3,,,,,,,,,2,,57,53
2520,note_off,120,0,1,,,,,,,,,0,,69,0
2520,note_off,0,0,3,,,,,,,,,2,,33,0
2520,note_off,120,0,3,,,,,,,,,2,,57,0
2520,note_off,0,0,3,,,,,,,,,2,,45,0
2640,note_on,0,0,3,,,,,,,,,2,,61,56
2640,note_on,0,0,3,,,,,,,,,2,,37,56
2640,note_on,120,0,1,,,,,,,,,0,,73,54
2640,note_on,120,0,3,,,,,,,,,2,,49,56
2760,note_off,0,0,3,,,,,,,,,2,,49,0
2760,note_off,0,0,3,,,,,,,,,2,,37,0
2760,note_off,120,0,3,,,,,,,,,2,,61,0
2760,note_off,120,0,1,,,,,,,,,0,,73,0
2880,note_on,0,0,3,,,,,,,,,2,,62,62
2880,note_on,120,0,3,,,,,,,,,2,,50,62
2880,note_on,0,0,3,,,,,,,,,2,,38,62
2880,note_on,120,0,1,,,,,,,,,0,,74,57
3000,note_off,120,0,3,,,,,,,,,2,,62,0
3000,note_off,0,0,3,,,,,,,,,2,,38,0
3000,note_off,0,0,3,,,,,,,,,2,,50,0
3000,note_off,120,0,1,,,,,,,,,0,,74,0
3120,note_on,120,0,1,,,,,,,,,0,,76,61
3120,note_on,120,0,3,,,,,,,,,2,,40,67
3120,note_on,0,0,3,,,,,,,,,2,,64,67
3120,note_on,0,0,3,,,,,,,,,2,,52,67
3240,note_off,0,0,3,,,,,,,,,2,,40,0
3240,note_off,120,0,3,,,,,,,,,2,,64,0
3240,note_off,0,0,3,,,,,,,,,2,,52,0
3240,note_off,120,0,1,,,,,,,,,0,,76,0
3360,note_on,0,0,3,,,,,,,,,2,,54,72
3360,note_on,0,0,3,,,,,,,,,2,,66,72
3360,note_on,120,0,3,,,,,,,,,2,,42,72
3360,note_on,120,0,1,,,,,,,,,0,,78,68
3480,note_off,120,0,3,,,,,,,,,2,,66,0
3480,note_off,0,0,3,,,,,,,,,2,,42,0
3480,note_off,120,0,1,,,,,,,,,0,,78,0
3480,note_off,0,0,3,,,,,,,,,2,,54,0
3600,note_on,120,0,3,,,,,,,,,2,,43,79
3600,note_on,0,0,3,,,,,,,,,2,,55,79
3600,note_on,0,0,3,,,,,,,,,2,,67,79
3600,note_on,120,0,1,,,,,,,,,0,,79,75
3720,note_off,120,0,1,,,,,,,,,0,,79,0
3720,set_tempo,1800,1,0,,,,,,394736,,,,,,
3720,note_off,0,0,3,,,,,,,,,2,,43,0
3720,note_off,0,0,3,,,,,,,,,2,,55,0
