tick,type,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,,0,1,,
0,track_name,0,1,2,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,,0,0,,
0,track_name,0,1,1,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,,0,,,,
0,set_tempo,0,1,0,,,,,,,731707,,,,,
0,midi_port,0,1,2,,,,,,,,0,,,,
0,copyright,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,,2,4,24,8,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,,C,,,,,,
0,sequencer_specific,0,1,0,"(0, 0, 65)",,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,
180,note_on,180,0,2,,,,,,,,,,1,60,71
180,note_on,0,0,2,,,,,,,,,,1,64,71
180,note_on,180,0,1,,,,,,,,,,0,67,55
180,note_on,0,0,1,,,,,,,,,,0,72,55
210,note_on,0,0,2,,,,,,,,,,1,60,0
210,note_on,0,0,1,,,,,,,,,,0,72,56
210,note_on,0,0,1,,,,,,,,,,0,67,0
210,note_on,30,0,1,,,,,,,,,,0,72,0
210,note_on,0,0,1,,,,,,,,,,0,67,56
210,note_on,0,0,2,,,,,,,,,,1,64,71
210,note_on,0,0,2,,,,,,,,,,1,60,71
210,note_on,30,0,2,,,,,,,,,,1,64,0
240,note_on,0,0,2,,,,,,,,,,1,60,71
240,note_on,0,0,2,,,,,,,,,,1,60,0
240,note_on,30,0,2,,,,,,,,,,1,64,0
240,note_on,30,0,1,,,,,,,,,,0,72,0
240,note_on,0,0,1,,,,,,,,,,0,67,0
240,note_on,0,0,1,,,,,,,,,,0,67,57
240,note_on,0,0,1,,,,,,,,,,0,72,57
240,note_on,0,0,2,,,,,,,,,,1,64,71
300,note_on,60,0,1,,,,,,,,,,0,72,0
300,note_on,0,0,1,,,,,,,,,,0,67,0
300,note_on,0,0,1,,,,,,,,,,0,67,59
300,note_on,0,0,1,,,,,,,,,,0,74,59
300,note_on,60,0,2,,,,,,,,,,1,64,0
300,note_on,0,0,2,,,,,,,,,,1,60,0
300,note_on,0,0,2,,,,,,,,,,1,59,71
300,note_on,0,0,2,,,,,,,,,,1,62,71
360,note_on,0,0,1,,,,,,,,,,0,74,60
360,note_on,0,0,1,,,,,,,,,,0,67,60
360,note_on,0,0,1,,,,,,,,,,0,67,0
360,note_on,60,0,1,,,,,,,,,,0,74,0
360,note_on,60,0,2,,,,,,,,,,1,62,0
360,note_on,0,0,2,,,,,,,,,,1,59,0
360,note_on,0,0,2,,,,,,,,,,1,59,71
360,note_on,0,0,2,,,,,,,,,,1,62,71
420,note_on,0,0,1,,,,,,,,,,0,67,61
420,note_on,0,0,2,,,,,,,,,,1,59,0
420,note_on,0,0,2,,,,,,,,,,1,60,70
420,note_on,0,0,2,,,,,,,,,,1,64,70
420,note_on,0,0,1,,,,,,,,,,0,76,61
420,note_on,60,0,1,,,,,,,,,,0,74,0
420,note_on,0,0,1,,,,,,,,,,0,67,0
420,note_on,60,0,2,,,,,,,,,,1,62,0
480,note_on,0,0,1,,,,,,,,,,0,67,0
480,note_on,0,0,1,,,,,,,,,,0,77,62
480,note_on,0,0,1,,,,,,,,,,0,74,62
480,note_on,60,0,1,,,,,,,,,,0,76,0
480,note_on,0,0,2,,,,,,,,,,1,67,67
480,note_on,0,0,2,,,,,,,,,,1,55,67
480,note_on,0,0,2,,,,,,,,,,1,60,0
480,note_on,60,0,2,,,,,,,,,,1,64,0
510,note_on,0,0,1,,,,,,,,,,0,76,62
510,note_on,30,0,1,,,,,,,,,,0,77,0
510,note_on,0,0,1,,,,,,,,,,0,74,0
510,note_on,0,0,1,,,,,,,,,,0,72,62
540,note_on,0,0,1,,,,,,,,,,0,72,0
