tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,channel,program,note,velocity
0,set_tempo,428571,0,1,0,,,,,,,,,,
0,channel_prefix,,0,1,1,,,,,,,0,,,
0,midi_port,,0,1,1,,,,,,0,,,,
0,track_name,,0,1,1,,,,,,,,,,
0,note_on,,0,0,1,,,,,,,0,,55,127
0,note_on,,0,0,1,,,,,,,0,,59,127
0,note_on,,0,0,1,,,,,,,0,,71,127
0,program_change,,0,0,1,,,,,,,0,0,,
0,note_on,,0,0,1,,,,,,,0,,62,127
0,key_signature,,0,1,0,,,,,C,,,,,
0,time_signature,,0,1,0,2,4,24,8,,,,,,
192,note_off,,0,0,1,,,,,,,0,,55,64
192,note_off,,192,0,1,,,,,,,0,,59,64
192,note_off,,0,0,1,,,,,,,0,,62,64
240,note_on,,0,0,1,,,,,,,0,,62,127
240,note_on,,0,0,1,,,,,,,0,,59,127
240,note_on,,48,0,1,,,,,,,0,,55,127
384,note_off,,144,0,1,,,,,,,0,,71,64
432,note_off,,48,0,1,,,,,,,0,,55,64
432,note_off,,0,0,1,,,,,,,0,,62,64
432,note_off,,0,0,1,,,,,,,0,,59,64
480,note_on,,0,0,1,,,,,,,0,,74,127
480,note_on,,0,0,1,,,,,,,0,,59,127
480,note_on,,0,0,1,,,,,,,0,,55,127
480,note_on,,48,0,1,,,,,,,0,,62,127
672,note_off,,0,0,1,,,,,,,0,,62,64
672,note_off,,0,0,1,,,,,,,0,,55,64
672,note_off,,0,0,1,,,,,,,0,,59,64
672,note_off,,192,0,1,,,,,,,0,,74,64
720,note_on,,0,0,1,,,,,,,0,,74,127
720,note_on,,0,0,1,,,,,,,0,,55,127
720,note_on,,48,0,1,,,,,,,0,,62,127
720,note_on,,0,0,1,,,,,,,0,,59,127
912,note_off,,0,0,1,,,,,,,0,,62,64
912,note_off,,0,0,1,,,,,,,0,,55,64
912,note_off,,0,0,1,,,,,,,0,,59,64
912,note_off,,192,0,1,,,,,,,0,,74,64
960,note_on,,0,0,1,,,,,,,0,,79,127
960,note_on,,0,0,1,,,,,,,0,,55,127
960,note_on,,48,0,1,,,,,,,0,,62,127
960,note_on,,0,0,1,,,,,,,0,,59,127
1152,note_off,,192,0,1,,,,,,,0,,79,64
1152,note_off,,0,0,1,,,,,,,0,,59,64
1152,note_off,,0,0,1,,,,,,,0,,62,64
1152,note_off,,0,0,1,,,,,,,0,,55,64
1200,note_on,,0,0,1,,,,,,,0,,79,127
1200,note_on,,0,0,1,,,,,,,0,,59,127
1200,note_on,,0,0,1,,,,,,,0,,55,127
1200,note_on,,48,0,1,,,,,,,0,,62,127
1392,note_off,,192,0,1,,,,,,,0,,79,64
1392,note_off,,0,0,1,,,,,,,0,,55,64
1392,note_off,,0,0,1,,,,,,,0,,62,64
1392,note_off,,0,0,1,,,,,,,0,,59,64
1440,note_on,,0,0,1,,,,,,,0,,59,127
1440,note_on,,0,0,1,,,,,,,0,,83,127
1440,note_on,,0,0,1,,,,,,,0,,62,127
1440,note_on,,48,0,1,,,,,,,0,,55,127
1632,note_off,,0,0,1,,,,,,,0,,55,64
1632,note_off,,0,0,1,,,,,,,0,,62,64
1632,note_off,,192,0,1,,,,,,,0,,59,64
1680,note_on,,0,0,1,,,,,,,0,,59,127
1680,note_on,,0,0,1,,,,,,,0,,62,127
1680,note_on,,48,0,1,,,,,,,0,,55,127
1824,note_off,,144,0,1,,,,,,,0,,83,64
1872,note_off,,0,0,1,,,,,,,0,,59,64
1872,note_off,,0,0,1,,,,,,,0,,62,64
1872,note_off,,48,0,1,,,,,,,0,,55,64
1920,note_on,,0,0,1,,,,,,,0,,86,127
1920,note_on,,0,0,1,,,,,,,0,,62,127
1920,note_on,,0,0,1,,,,,,,0,,60,127
1920,note_on,,0,0,1,,,,,,,0,,55,127
1920,note_on,,48,0,1,,,,,,,0,,66,127
2016,note_off,,96,0,1,,,,,,,0,,86,64
2040,note_on,,24,0,1,,,,,,,0,,84,127
