tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,,0,,,72,60
0,control_change,0,0,1,,,,,,,,,0,93,84,,
0,control_change,0,0,1,,,,,,,,,0,91,84,,
0,control_change,0,0,1,,,,,,,,,0,10,110,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,note_on,0,0,2,,,,,,,,,1,,,64,45
0,note_on,0,0,2,,,,,,,,,1,,,60,45
0,control_change,0,0,2,,,,,,,,,1,93,84,,
0,control_change,0,0,2,,,,,,,,,1,91,84,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,control_change,0,0,2,,,,,,,,,1,10,9,,
0,text,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,set_tempo,0,1,0,428571,,,,,,,,,,,,
0,set_tempo,0,1,0,428571,,,,,,,,,,,,
0,time_signature,0,1,0,,4,4,24,8,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
96,note_on,96,0,2,,,,,,,,,1,,,60,0
96,note_on,0,0,2,,,,,,,,,1,,,67,45
96,note_on,0,0,2,,,,,,,,,1,,,64,0
120,note_on,120,0,1,,,,,,,,,0,,,72,0
192,note_on,0,0,2,,,,,,,,,1,,,60,45
192,note_on,0,0,2,,,,,,,,,1,,,64,45
192,note_on,96,0,2,,,,,,,,,1,,,67,0
192,note_on,72,0,1,,,,,,,,,0,,,72,60
240,note_on,48,0,1,,,,,,,,,0,,,72,0
