tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,channel,control,value,program,note,velocity
0,set_tempo,207612,0,1,0,,,,,,,,,,,,
0,channel_prefix,,0,1,6,,,,,,,5,,,,,
0,control_change,,0,0,6,,,,,,,5,7,89,,,
0,control_change,,0,0,6,,,,,,,5,10,110,,,
0,program_change,,0,0,6,,,,,,,5,,,61,,
0,track_name,,0,1,7,,,,,,,,,,,,
0,midi_port,,0,1,7,,,,,,0,,,,,,
0,channel_prefix,,0,1,7,,,,,,,6,,,,,
0,control_change,,0,0,7,,,,,,,6,7,89,,,
0,control_change,,0,0,7,,,,,,,6,10,25,,,
0,program_change,,0,0,7,,,,,,,6,,,47,,
0,track_name,,0,1,8,,,,,,,,,,,,
0,midi_port,,0,1,8,,,,,,0,,,,,,
0,channel_prefix,,0,1,8,,,,,,,7,,,,,
0,control_change,,0,0,8,,,,,,,7,7,99,,,
0,control_change,,0,0,8,,,,,,,7,10,45,,,
0,program_change,,0,0,8,,,,,,,7,,,48,,
0,midi_port,,0,1,18,,,,,,0,,,,,,
0,track_name,,0,1,9,,,,,,,,,,,,
0,midi_port,,0,1,9,,,,,,0,,,,,,
0,midi_port,,0,1,6,,,,,,0,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,
0,program_change,,0,0,5,,,,,,,4,,,60,,
0,control_change,,0,0,5,,,,,,,4,10,35,,,
0,channel_prefix,,0,1,2,,,,,,,1,,,,,
0,control_change,,0,0,2,,,,,,,1,7,74,,,
0,control_change,,0,0,2,,,,,,,1,10,70,,,
0,program_change,,0,0,2,,,,,,,1,,,68,,
0,track_name,,0,1,3,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,0,,,,,,
0,channel_prefix,,0,1,3,,,,,,,2,,,,,
0,control_change,,0,0,3,,,,,,,2,7,74,,,
0,control_change,,0,0,3,,,,,,,2,10,55,,,
0,channel_prefix,,0,1,9,,,,,,,8,,,,,
0,program_change,,0,0,3,,,,,,,2,,,71,,
0,midi_port,,0,1,4,,,,,,0,,,,,,
0,channel_prefix,,0,1,4,,,,,,,3,,,,,
0,control_change,,0,0,4,,,,,,,3,7,74,,,
0,control_change,,0,0,4,,,,,,,3,10,70,,,
0,program_change,,0,0,4,,,,,,,3,,,70,,
0,track_name,,0,1,5,,,,,,,,,,,,
0,midi_port,,0,1,5,,,,,,0,,,,,,
0,channel_prefix,,0,1,5,,,,,,,4,,,,,
0,control_change,,0,0,5,,,,,,,4,7,89,,,
0,track_name,,0,1,4,,,,,,,,,,,,
0,control_change,,0,0,9,,,,,,,8,7,99,,,
0,control_change,,0,0,9,,,,,,,8,10,45,,,
0,program_change,,0,0,9,,,,,,,8,,,48,,
0,track_name,,0,1,14,,,,,,,,,,,,
0,midi_port,,0,1,14,,,,,,0,,,,,,
0,channel_prefix,,0,1,14,,,,,,,14,,,,,
0,control_change,,0,0,14,,,,,,,14,7,89,,,
0,control_change,,0,0,14,,,,,,,14,10,90,,,
0,program_change,,0,0,14,,,,,,,14,,,45,,
0,track_name,,0,1,15,,,,,,,,,,,,
0,midi_port,,0,1,15,,,,,,0,,,,,,
0,channel_prefix,,0,1,15,,,,,,,0,,,,,
0,program_change,,0,0,13,,,,,,,13,,,45,,
0,control_change,,0,0,15,,,,,,,0,7,89,,,
0,program_change,,0,0,15,,,,,,,0,,,73,,
0,end_of_track,,0,1,15,,,,,,,,,,,,
0,track_name,,0,1,16,,,,,,,,,,,,
0,midi_port,,0,1,16,,,,,,0,,,,,,
0,end_of_track,,0,1,16,,,,,,,,,,,,
0,track_name,,0,1,17,,,,,,,,,,,,
0,midi_port,,0,1,17,,,,,,0,,,,,,
0,end_of_track,,0,1,17,,,,,,,,,,,,
0,track_name,,0,1,18,,,,,,,,,,,,
0,control_change,,0,0,15,,,,,,,0,10,55,,,
0,midi_port,,0,1,2,,,,,,0,,,,,,
0,control_change,,0,0,13,,,,,,,13,10,45,,,
0,channel_prefix,,0,1,13,,,,,,,13,,,,,
0,track_name,,0,1,10,,,,,,,,,,,,
0,midi_port,,0,1,10,,,,,,0,,,,,,
0,channel_prefix,,0,1,10,,,,,,,10,,,,,
0,control_change,,0,0,10,,,,,,,10,7,89,,,
0,control_change,,0,0,10,,,,,,,10,10,86,,,
0,program_change,,0,0,10,,,,,,,10,,,48,,
0,track_name,,0,1,11,,,,,,,,,,,,
0,midi_port,,0,1,11,,,,,,0,,,,,,
0,channel_prefix,,0,1,11,,,,,,,11,,,,,
0,control_change,,0,0,13,,,,,,,13,7,89,,,
0,control_change,,0,0,11,,,,,,,11,7,89,,,
0,program_change,,0,0,11,,,,,,,11,,,48,,
0,track_name,,0,1,12,,,,,,,,,,,,
0,midi_port,,0,1,12,,,,,,0,,,,,,
0,channel_prefix,,0,1,12,,,,,,,12,,,,,
0,control_change,,0,0,12,,,,,,,12,7,89,,,
0,control_change,,0,0,12,,,,,,,12,10,102,,,
0,program_change,,0,0,12,,,,,,,12,,,48,,
0,track_name,,0,1,13,,,,,,,,,,,,
0,midi_port,,0,1,13,,,,,,0,,,,,,
0,control_change,,0,0,11,,,,,,,11,10,86,,,
0,track_name,,0,1,2,,,,,,,,,,,,
0,end_of_track,,0,1,18,,,,,,,,,,,,
0,time_signature,,0,1,0,4,4,24,8,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,
0,key_signature,,0,1,0,,,,,Bb,,,,,,,
0,midi_port,,0,1,1,,,,,,0,,,,,,
0,channel_prefix,,0,1,1,,,,,,,0,,,,,
0,control_change,,0,0,1,,,,,,,0,7,89,,,
0,program_change,,0,0,1,,,,,,,0,,,73,,
0,control_change,,0,0,1,,,,,,,0,10,55,,,
60,control_change,,60,0,1,,,,,,,0,121,127,,,
480,program_change,,480,0,4,,,,,,,3,,,70,,
480,program_change,,420,0,1,,,,,,,0,,,73,,
480,control_change,,0,0,6,,,,,,,5,7,90,,,
480,control_change,,0,0,3,,,,,,,2,91,85,,,
480,control_change,,0,0,3,,,,,,,2,7,90,,,
480,control_change,,0,0,3,,,,,,,2,10,60,,,
480,control_change,,0,0,11,,,,,,,11,10,88,,,
480,control_change,,0,0,8,,,,,,,7,10,34,,,
480,control_change,,0,0,14,,,,,,,14,7,90,,,
480,control_change,,0,0,4,,,,,,,3,91,85,,,
480,control_change,,0,0,4,,,,,,,3,7,90,,,
480,control_change,,0,0,4,,,,,,,3,10,71,,,
480,control_change,,0,0,7,,,,,,,6,91,85,,,
480,control_change,,0,0,7,,,,,,,6,93,85,,,
480,control_change,,0,0,7,,,,,,,6,10,30,,,
480,program_change,,0,0,7,,,,,,,6,,,47,,
480,control_change,,480,0,7,,,,,,,6,7,90,,,
480,control_change,,0,0,12,,,,,,,12,10,85,,,
480,control_change,,0,0,12,,,,,,,12,93,90,,,
480,control_change,,0,0,12,,,,,,,12,91,85,,,
480,program_change,,480,0,12,,,,,,,12,,,48,,
480,control_change,,0,0,6,,,,,,,5,91,85,,,
480,program_change,,480,0,5,,,,,,,4,,,60,,
480,control_change,,0,0,5,,,,,,,4,91,85,,,
480,control_change,,0,0,5,,,,,,,4,93,85,,,
480,control_change,,0,0,5,,,,,,,4,7,90,,,
480,control_change,,0,0,5,,,,,,,4,10,36,,,
480,control_change,,0,0,6,,,,,,,5,93,85,,,
480,program_change,,480,0,6,,,,,,,5,,,61,,
480,control_change,,0,0,1,,,,,,,0,7,90,,,
480,control_change,,0,0,1,,,,,,,0,91,85,,,
480,program_change,,480,0,3,,,,,,,2,,,71,,
480,control_change,,0,0,8,,,,,,,7,91,85,,,
480,control_change,,480,0,14,,,,,,,14,10,95,,,
480,program_change,,480,0,9,,,,,,,8,,,48,,
480,control_change,,0,0,9,,,,,,,8,91,85,,,
480,control_change,,0,0,9,,,,,,,8,7,90,,,
480,control_change,,0,0,9,,,,,,,8,93,90,,,
480,control_change,,0,0,9,,,,,,,8,10,94,,,
480,control_change,,0,0,8,,,,,,,7,93,90,,,
480,program_change,,0,0,14,,,,,,,14,,,45,,
480,control_change,,0,0,14,,,,,,,14,91,85,,,
480,control_change,,0,0,14,,,,,,,14,93,90,,,
480,control_change,,480,0,10,,,,,,,10,10,70,,,
480,control_change,,0,0,10,,,,,,,10,93,90,,,
480,control_change,,0,0,10,,,,,,,10,7,90,,,
480,control_change,,0,0,10,,,,,,,10,91,85,,,
480,program_change,,0,0,10,,,,,,,10,,,48,,
480,control_change,,0,0,8,,,,,,,7,7,105,,,
480,control_change,,0,0,1,,,,,,,0,10,60,,,
480,control_change,,0,0,6,,,,,,,5,10,91,,,
480,control_change,,0,0,13,,,,,,,13,10,34,,,
480,control_change,,0,0,11,,,,,,,11,93,90,,,
