tick,type,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,1,10,88,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,93,54,,
0,control_change,0,0,1,,,,,,,,,0,0,0,,
0,control_change,0,0,1,,,,,,,,,0,10,39,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,,3,4,24,8,,,,,,,,
0,sequencer_specific,0,1,0,"(0, 0, 65)",,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,,C,,,,,,,
0,set_tempo,0,1,0,,,,,,,500000,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
240,note_on,240,0,1,,,,,,,,,0,,,60,100
240,note_on,240,0,2,,,,,,,,,1,,,48,100
270,note_on,0,0,1,,,,,,,,,0,,,59,100
270,note_on,30,0,1,,,,,,,,,0,,,60,0
270,note_on,30,0,2,,,,,,,,,1,,,48,0
270,note_on,0,0,2,,,,,,,,,1,,,47,100
300,note_on,30,0,2,,,,,,,,,1,,,47,0
300,note_on,0,0,1,,,,,,,,,0,,,60,100
300,note_on,30,0,1,,,,,,,,,0,,,59,0
300,note_on,0,0,2,,,,,,,,,1,,,48,100
330,note_on,30,0,1,,,,,,,,,0,,,60,0
330,note_on,0,0,1,,,,,,,,,0,,,59,100
330,note_on,30,0,2,,,,,,,,,1,,,48,0
330,note_on,0,0,2,,,,,,,,,1,,,47,100
360,note_on,0,0,1,,,,,,,,,0,,,60,100
360,note_on,30,0,1,,,,,,,,,0,,,59,0
360,note_on,30,0,2,,,,,,,,,1,,,47,0
360,note_on,0,0,2,,,,,,,,,1,,,48,100
480,note_on,0,0,1,,,,,,,,,0,,,60,100
480,note_on,120,0,1,,,,,,,,,0,,,60,0
480,note_on,120,0,2,,,,,,,,,1,,,48,0
480,note_on,0,0,2,,,,,,,,,1,,,48,100
600,note_on,120,0,1,,,,,,,,,0,,,60,0
600,note_on,0,0,1,,,,,,,,,0,,,64,100
600,note_on,120,0,2,,,,,,,,,1,,,48,0
600,note_on,0,0,2,,,,,,,,,1,,,60,100
600,note_on,0,0,2,,,,,,,,,1,,,48,100
