tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,note_on,0,0,3,,,,,,,,,,3,,64,89
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,7,100,4,,,
0,control_change,0,0,4,,,,,,,,10,64,4,,,
0,control_change,0,0,4,,,,,,,,93,0,4,,,
0,program_change,0,0,3,,,,,,,,,,3,49,,
0,control_change,0,0,4,,,,,,,,91,66,4,,,
0,control_change,0,0,4,,,,,,,,32,0,4,,,
0,program_change,0,0,4,,,,,,,,,,4,49,,
0,note_on,0,0,4,,,,,,,,,,4,,52,89
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,7,100,5,,,
0,control_change,0,0,4,,,,,,,,0,0,4,,,
0,control_change,0,0,5,,,,,,,,10,97,5,,,
0,control_change,0,0,3,,,,,,,,32,0,3,,,
0,control_change,0,0,3,,,,,,,,91,66,3,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,7,100,2,,,
0,control_change,0,0,2,,,,,,,,10,32,2,,,
0,control_change,0,0,2,,,,,,,,93,0,2,,,
0,control_change,0,0,2,,,,,,,,91,66,2,,,
0,control_change,0,0,2,,,,,,,,0,0,2,,,
0,control_change,0,0,3,,,,,,,,0,0,3,,,
0,control_change,0,0,2,,,,,,,,32,0,2,,,
0,note_on,0,0,2,,,,,,,,,,2,,64,89
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,7,100,3,,,
0,control_change,0,0,3,,,,,,,,10,13,3,,,
0,control_change,0,0,3,,,,,,,,93,0,3,,,
0,program_change,0,0,2,,,,,,,,,,2,48,,
0,control_change,0,0,5,,,,,,,,93,0,5,,,
0,control_change,0,0,5,,,,,,,,91,66,5,,,
0,control_change,0,0,5,,,,,,,,0,0,5,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,,
0,midi_port,0,1,11,,,,,,,0,,,,,,
0,end_of_track,0,1,11,,,,,,,,,,,,,
0,midi_port,0,1,12,,,,,,,0,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,,
0,end_of_track,0,1,12,,,,,,,,,,,,,
0,midi_port,0,1,13,,,,,,,0,,,,,,
0,end_of_track,0,1,13,,,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
