tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,channel,control,value,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,channel_prefix,0,1,6,,,,,,,,5,,,,,
0,control_change,0,0,6,,,,,,,,5,7,88,,,
0,control_change,0,0,6,,,,,,,,5,10,110,,,
0,program_change,0,0,6,,,,,,,,5,,,61,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,channel_prefix,0,1,7,,,,,,,,6,,,,,
0,control_change,0,0,7,,,,,,,,6,7,89,,,
0,control_change,0,0,7,,,,,,,,6,10,25,,,
0,program_change,0,0,7,,,,,,,,6,,,47,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,channel_prefix,0,1,8,,,,,,,,7,,,,,
0,control_change,0,0,8,,,,,,,,7,7,99,,,
0,control_change,0,0,8,,,,,,,,7,10,45,,,
0,program_change,0,0,8,,,,,,,,7,,,48,,
0,midi_port,0,1,19,,,,,,,0,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,channel_prefix,0,1,9,,,,,,,,8,,,,,
0,control_change,0,0,9,,,,,,,,8,7,99,,,
0,program_change,0,0,5,,,,,,,,4,,,60,,
0,control_change,0,0,5,,,,,,,,4,10,35,,,
0,control_change,0,0,5,,,,,,,,4,7,89,,,
0,channel_prefix,0,1,5,,,,,,,,4,,,,,
0,channel_prefix,0,1,1,,,,,,,,0,,,,,
0,control_change,0,0,1,,,,,,,,0,7,89,,,
0,control_change,0,0,1,,,,,,,,0,10,55,,,
0,program_change,0,0,1,,,,,,,,0,,,73,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,channel_prefix,0,1,2,,,,,,,,1,,,,,
0,control_change,0,0,2,,,,,,,,1,7,74,,,
0,control_change,0,0,2,,,,,,,,1,10,70,,,
0,program_change,0,0,2,,,,,,,,1,,,68,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,8,10,45,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,control_change,0,0,3,,,,,,,,2,7,74,,,
0,control_change,0,0,3,,,,,,,,2,10,55,,,
0,program_change,0,0,3,,,,,,,,2,,,71,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,channel_prefix,0,1,4,,,,,,,,3,,,,,
0,control_change,0,0,4,,,,,,,,3,7,74,,,
0,control_change,0,0,4,,,,,,,,3,10,70,,,
0,program_change,0,0,4,,,,,,,,3,,,70,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,channel_prefix,0,1,3,,,,,,,,2,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,program_change,0,0,9,,,,,,,,8,,,48,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,track_name,0,1,15,,,,,,,,,,,,,
0,midi_port,0,1,15,,,,,,,0,,,,,,
0,channel_prefix,0,1,15,,,,,,,,0,,,,,
0,control_change,0,0,15,,,,,,,,0,7,89,,,
0,control_change,0,0,15,,,,,,,,0,10,55,,,
0,program_change,0,0,15,,,,,,,,0,,,73,,
