tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,control,value,channel,program,pitch,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,,,,,32,0,3,,,,
0,program_change,0,0,4,,,,,,,,,,,,,,,3,0,,,
0,control_change,0,0,4,,,,,,,,,,,,,10,55,3,,,,
0,control_change,0,0,4,,,,,,,,,,,,,91,91,3,,,,
0,control_change,0,0,4,,,,,,,,,,,,,93,28,3,,,,
0,control_change,0,0,4,,,,,,,,,,,,,64,0,3,,,,
0,control_change,0,0,4,,,,,,,,,,,,,1,0,3,,,,
0,pitchwheel,0,0,4,,,,,,,,,,,,,,,3,,0,,
0,control_change,0,0,4,,,,,,,,,,,,,7,117,3,,,,
0,control_change,0,0,4,,,,,,,,,,,,,0,0,3,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,,,,,,,,0,0,,,
0,control_change,0,0,1,,,,,,,,,,,,,10,73,0,,,,
0,control_change,0,0,1,,,,,,,,,,,,,91,91,0,,,,
0,control_change,0,0,1,,,,,,,,,,,,,93,28,0,,,,
0,control_change,0,0,1,,,,,,,,,,,,,64,0,0,,,,
0,control_change,0,0,1,,,,,,,,,,,,,1,0,0,,,,
0,control_change,0,0,1,,,,,,,,,,,,,7,127,0,,,,
0,control_change,0,0,1,,,,,,,,,,,,,32,0,0,,,,
0,control_change,0,0,1,,,,,,,,,,,,,0,0,0,,,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,,0,,
0,track_name,0,1,4,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,4,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,,,,,10,64,2,,,,
0,control_change,0,0,2,,,,,,,,,,,,,0,0,1,,,,
0,control_change,0,0,2,,,,,,,,,,,,,32,0,1,,,,
0,program_change,0,0,2,,,,,,,,,,,,,,,1,0,,,
0,control_change,0,0,2,,,,,,,,,,,,,10,64,1,,,,
0,control_change,0,0,2,,,,,,,,,,,,,91,91,1,,,,
0,control_change,0,0,2,,,,,,,,,,,,,93,28,1,,,,
0,control_change,0,0,2,,,,,,,,,,,,,64,0,1,,,,
0,control_change,0,0,2,,,,,,,,,,,,,1,0,1,,,,
0,pitchwheel,0,0,2,,,,,,,,,,,,,,,1,,0,,
0,control_change,0,0,2,,,,,,,,,,,,,7,117,1,,,,
0,instrument_name,0,1,3,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,,,,,0,0,2,,,,
0,control_change,0,0,3,,,,,,,,,,,,,32,0,2,,,,
0,program_change,0,0,3,,,,,,,,,,,,,,,2,0,,,
0,control_change,0,0,3,,,,,,,,,,,,,7,112,2,,,,
0,pitchwheel,0,0,3,,,,,,,,,,,,,,,2,,0,,
0,control_change,0,0,3,,,,,,,,,,,,,1,0,2,,,,
0,control_change,0,0,3,,,,,,,,,,,,,64,0,2,,,,
0,control_change,0,0,3,,,,,,,,,,,,,93,28,2,,,,
0,control_change,0,0,3,,,,,,,,,,,,,91,91,2,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,1,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,2,,,,,,,,,,,,,,,,,,,
0,smpte_offset,0,1,0,25,32,0,0,0,0,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,,600000,,,,,,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,,C,,,,,,,
0,time_signature,0,1,0,,,,,,,,2,4,24,8,,,,,,,,
960,control_change,960,0,1,,,,,,,,,,,,,64,0,0,,,,
960,marker,0,1,0,,,,,,,,,,,,,,,,,,,
960,set_tempo,960,1,0,,,,,,,428571,,,,,,,,,,,,
960,control_change,960,0,4,,,,,,,,,,,,,64,0,3,,,,
1800,set_tempo,840,1,0,,,,,,,434782,,,,,,,,,,,,
1800,note_on,840,0,1,,,,,,,,,,,,,,,0,,,79,91
1920,control_change,120,0,1,,,,,,,,,,,,,64,0,0,,,,
1920,marker,0,1,0,,,,,,,,,,,,,,,,,,,
1920,note_on,1920,0,3,,,,,,,,,,,,,,,2,,,59,76
1920,note_on,0,0,3,,,,,,,,,,,,,,,2,,,62,76
1920,control_change,0,0,4,,,,,,,,,,,,,64,0,3,,,,
1920,note_on,960,0,4,,,,,,,,,,,,,,,3,,,55,76
1920,set_tempo,120,1,0,,,,,,,428571,,,,,,,,,,,,
2640,note_off,720,0,1,,,,,,,,,,,,,,,0,,,79,0
2640,note_on,0,0,1,,,,,,,,,,,,,,,0,,,78,79
2640,note_off,720,0,4,,,,,,,,,,,,,,,3,,,55,0
