tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,pitch,note,velocity
0,time_signature,2,4,96,8,0,1,0,,,,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,,,,
0,key_signature,,,,,0,1,4,,,,,,,C,,,
0,track_name,,,,,0,1,4,,,,,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,,,,,
0,key_signature,,,,,0,1,3,,,,,,,C,,,
0,control_change,,,,,0,0,3,,,93,0,2,,,,,
0,control_change,,,,,0,0,3,,,91,0,2,,,,,
0,key_signature,,,,,0,1,5,,,,,,,C,,,
0,control_change,,,,,0,0,3,,,10,45,2,,,,,
0,key_signature,,,,,0,1,2,,,,,,,C,,,
0,program_change,,,,,0,0,2,,,,,1,0,,,,
0,control_change,,,,,0,0,2,,,121,127,1,,,,,
0,control_change,,,,,0,0,2,,,93,37,1,,,,,
0,control_change,,,,,0,0,2,,,91,44,1,,,,,
0,control_change,,,,,0,0,2,,,10,51,1,,,,,
0,control_change,,,,,0,0,2,,,7,115,1,,,,,
0,control_change,,,,,0,0,2,,,0,0,1,,,,,
0,track_name,,,,,0,1,3,,,,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,,,,
0,end_of_track,,,,,0,1,15,,,,,,,,,,
0,key_signature,,,,,0,1,15,,,,,,,C,,,
0,end_of_track,,,,,0,1,14,,,,,,,,,,
0,key_signature,,,,,0,1,14,,,,,,,C,,,
0,end_of_track,,,,,0,1,13,,,,,,,,,,
0,key_signature,,,,,0,1,13,,,,,,,C,,,
0,end_of_track,,,,,0,1,12,,,,,,,,,,
0,key_signature,,,,,0,1,12,,,,,,,C,,,
0,key_signature,,,,,0,1,6,,,,,,,C,,,
0,end_of_track,,,,,0,1,11,,,,,,,,,,
0,end_of_track,,,,,0,1,10,,,,,,,,,,
0,key_signature,,,,,0,1,10,,,,,,,C,,,
0,end_of_track,,,,,0,1,9,,,,,,,,,,
0,key_signature,,,,,0,1,9,,,,,,,C,,,
0,end_of_track,,,,,0,1,8,,,,,,,,,,
0,key_signature,,,,,0,1,8,,,,,,,C,,,
0,end_of_track,,,,,0,1,7,,,,,,,,,,
0,key_signature,,,,,0,1,7,,,,,,,C,,,
0,key_signature,,,,,0,1,11,,,,,,,C,,,
0,key_signature,,,,,0,1,16,,,,,,,C,,,
0,end_of_track,,,,,0,1,16,,,,,,,,,,
