tick,type,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,,
0,track_name,0,1,13,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,,500000,,,,,,
0,time_signature,0,1,0,,4,4,24,8,,,,,,,,
0,key_signature,0,1,0,,,,,,C,,,,,,,
0,sysex,0,0,0,"(126, 127, 9, 1)",,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
117,control_change,117,0,6,,,,,,,,91,96,5,,,
117,control_change,117,0,5,,,,,,,,91,97,4,,,
117,control_change,117,0,9,,,,,,,,91,88,8,,,
117,control_change,117,0,12,,,,,,,,91,87,12,,,
117,control_change,117,0,10,,,,,,,,91,86,10,,,
117,control_change,117,0,4,,,,,,,,91,97,3,,,
120,control_change,120,0,3,,,,,,,,91,96,2,,,
120,control_change,120,0,1,,,,,,,,0,0,0,,,
120,control_change,0,0,1,,,,,,,,91,120,0,,,
120,control_change,120,0,2,,,,,,,,91,120,1,,,
120,control_change,120,0,7,,,,,,,,91,96,6,,,
120,control_change,120,0,11,,,,,,,,91,87,11,,,
120,control_change,120,0,8,,,,,,,,91,95,7,,,
121,control_change,1,0,1,,,,,,,,32,0,0,,,
122,program_change,1,0,1,,,,,,,,,,0,0,,
123,control_change,0,0,1,,,,,,,,7,127,0,,,
123,control_change,1,0,1,,,,,,,,7,126,0,,,
125,control_change,5,0,2,,,,,,,,0,0,1,,,
126,control_change,1,0,2,,,,,,,,32,0,1,,,
127,program_change,1,0,2,,,,,,,,,,1,0,,
128,control_change,1,0,2,,,,,,,,7,125,1,,,
128,control_change,0,0,2,,,,,,,,7,127,1,,,
130,control_change,10,0,3,,,,,,,,0,0,2,,,
131,control_change,1,0,3,,,,,,,,32,0,2,,,
132,program_change,1,0,3,,,,,,,,,,2,73,,
133,control_change,1,0,3,,,,,,,,7,100,2,,,
133,control_change,0,0,3,,,,,,,,7,100,2,,,
135,control_change,18,0,4,,,,,,,,0,0,3,,,
136,control_change,1,0,4,,,,,,,,32,0,3,,,
137,program_change,1,0,4,,,,,,,,,,3,68,,
138,control_change,1,0,4,,,,,,,,7,100,3,,,
138,control_change,0,0,4,,,,,,,,7,100,3,,,
140,control_change,23,0,5,,,,,,,,0,0,4,,,
141,control_change,1,0,5,,,,,,,,32,0,4,,,
142,program_change,1,0,5,,,,,,,,,,4,70,,
143,control_change,1,0,5,,,,,,,,7,100,4,,,
143,control_change,0,0,5,,,,,,,,7,100,4,,,
145,control_change,28,0,6,,,,,,,,0,0,5,,,
146,control_change,1,0,6,,,,,,,,32,0,5,,,
147,program_change,1,0,6,,,,,,,,,,5,60,,
148,control_change,1,0,6,,,,,,,,7,100,5,,,
148,control_change,0,0,6,,,,,,,,7,100,5,,,
150,control_change,30,0,7,,,,,,,,0,0,6,,,
151,control_change,1,0,7,,,,,,,,32,0,6,,,
152,program_change,1,0,7,,,,,,,,,,6,57,,
153,control_change,1,0,7,,,,,,,,7,100,6,,,
153,control_change,0,0,7,,,,,,,,7,100,6,,,
155,control_change,35,0,8,,,,,,,,0,0,7,,,
156,control_change,1,0,8,,,,,,,,32,0,7,,,
157,program_change,1,0,8,,,,,,,,,,7,47,,
158,control_change,0,0,8,,,,,,,,7,110,7,,,
158,control_change,1,0,8,,,,,,,,7,109,7,,,
160,control_change,43,0,9,,,,,,,,0,0,8,,,
161,control_change,1,0,9,,,,,,,,32,0,8,,,
162,program_change,1,0,9,,,,,,,,,,8,48,,
163,control_change,1,0,9,,,,,,,,7,109,8,,,
163,control_change,0,0,9,,,,,,,,7,110,8,,,
170,control_change,53,0,10,,,,,,,,0,0,10,,,
171,control_change,1,0,10,,,,,,,,32,0,10,,,
172,program_change,1,0,10,,,,,,,,,,10,48,,
173,control_change,0,0,10,,,,,,,,7,110,10,,,
173,control_change,1,0,10,,,,,,,,7,110,10,,,
175,control_change,55,0,11,,,,,,,,0,0,11,,,
176,control_change,1,0,11,,,,,,,,32,0,11,,,
177,program_change,1,0,11,,,,,,,,,,11,48,,
178,control_change,1,0,11,,,,,,,,7,106,11,,,
178,control_change,0,0,11,,,,,,,,7,105,11,,,
180,control_change,63,0,12,,,,,,,,0,0,12,,,
181,control_change,1,0,12,,,,,,,,32,0,12,,,
182,program_change,1,0,12,,,,,,,,,,12,48,,
183,control_change,1,0,12,,,,,,,,7,105,12,,,
183,control_change,0,0,12,,,,,,,,7,105,12,,,
185,control_change,185,0,13,,,,,,,,0,0,13,,,
186,control_change,1,0,13,,,,,,,,32,0,13,,,
187,program_change,1,0,13,,,,,,,,,,13,48,,
188,control_change,1,0,13,,,,,,,,7,102,13,,,
188,control_change,0,0,13,,,,,,,,7,100,13,,,
480,note_on,297,0,12,,,,,,,,,,12,,50,63
480,note_on,317,0,9,,,,,,,,,,8,,62,71
480,note_on,302,0,11,,,,,,,,,,11,,50,64
480,note_on,292,0,13,,,,,,,,,,13,,38,56
510,note_on,30,0,12,,,,,,,,,,12,,50,0
510,note_on,30,0,11,,,,,,,,,,11,,50,0
540,note_on,60,0,13,,,,,,,,,,13,,38,0
600,note_on,90,0,11,,,,,,,,,,11,,50,64
600,note_on,60,0,13,,,,,,,,,,13,,38,56
600,note_on,90,0,12,,,,,,,,,,12,,50,63
630,note_on,30,0,12,,,,,,,,,,12,,50,0
630,note_on,30,0,11,,,,,,,,,,11,,50,0
660,note_on,60,0,13,,,,,,,,,,13,,38,0
660,note_on,0,0,9,,,,,,,,,,8,,64,71
660,note_on,180,0,9,,,,,,,,,,8,,62,0
680,note_on,0,0,9,,,,,,,,,,8,,62,71
