tick,type,time,meta,track,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,pitch,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,24,,,,,,,,,,,,,
0,track_name,0,1,23,,,,,,,,,,,,,
0,track_name,0,1,22,,,,,,,,,,,,,
0,track_name,0,1,21,,,,,,,,,,,,,
0,track_name,0,1,20,,,,,,,,,,,,,
0,track_name,0,1,19,,,,,,,,,,,,,
0,track_name,0,1,18,,,,,,,,,,,,,
0,track_name,0,1,17,,,,,,,,,,,,,
0,track_name,0,1,16,,,,,,,,,,,,,
0,track_name,0,1,15,,,,,,,,,,,,,
0,track_name,0,1,14,,,,,,,,,,,,,
0,track_name,0,1,13,,,,,,,,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,track_name,0,1,25,,,,,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,7,50,7,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,7,70,1,,,,
0,control_change,0,0,7,,,,,,,7,50,6,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,7,50,5,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,track_name,0,1,35,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,7,55,4,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,7,60,3,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,7,80,2,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,track_name,0,1,26,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,track_name,0,1,27,,,,,,,,,,,,,
0,time_signature,0,1,0,,,3,4,24,8,,,,,,,
0,track_name,0,1,34,,,,,,,,,,,,,
0,track_name,0,1,32,,,,,,,,,,,,,
0,end_of_track,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,31,,,,,,,,,,,,,
0,key_signature,0,1,0,,Bb,,,,,,,,,,,
0,set_tempo,0,1,0,909090,,,,,,,,,,,,
0,track_name,0,1,33,,,,,,,,,,,,,
0,track_name,0,1,30,,,,,,,,,,,,,
0,track_name,0,1,29,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,7,70,0,,,,
0,track_name,0,1,28,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
80,control_change,80,0,1,,,,,,,91,100,0,,,,
80,control_change,80,0,8,,,,,,,91,100,7,,,,
80,control_change,80,0,5,,,,,,,91,100,4,,,,
80,control_change,80,0,3,,,,,,,91,100,2,,,,
80,control_change,80,0,4,,,,,,,91,100,3,,,,
80,control_change,80,0,7,,,,,,,91,100,6,,,,
80,control_change,80,0,2,,,,,,,91,100,1,,,,
80,control_change,80,0,6,,,,,,,91,100,5,,,,
160,control_change,80,0,5,,,,,,,93,50,4,,,,
160,control_change,80,0,8,,,,,,,93,20,7,,,,
160,control_change,80,0,7,,,,,,,93,30,6,,,,
160,control_change,80,0,6,,,,,,,93,30,5,,,,
160,control_change,80,0,4,,,,,,,93,50,3,,,,
160,control_change,80,0,2,,,,,,,93,10,1,,,,
160,control_change,80,0,1,,,,,,,93,10,0,,,,
160,control_change,80,0,3,,,,,,,93,10,2,,,,
240,control_change,80,0,8,,,,,,,10,80,7,,,,
240,control_change,80,0,2,,,,,,,10,60,1,,,,
240,control_change,80,0,3,,,,,,,10,60,2,,,,
240,control_change,80,0,7,,,,,,,10,70,6,,,,
240,control_change,80,0,4,,,,,,,10,15,3,,,,
240,control_change,80,0,5,,,,,,,10,95,4,,,,
240,control_change,80,0,6,,,,,,,10,110,5,,,,
240,control_change,80,0,1,,,,,,,10,20,0,,,,
320,control_change,80,0,7,,,,,,,121,0,6,,,,
320,control_change,80,0,2,,,,,,,121,0,1,,,,
320,control_change,80,0,5,,,,,,,121,0,4,,,,
320,control_change,80,0,8,,,,,,,121,0,7,,,,
320,control_change,80,0,1,,,,,,,121,0,0,,,,
320,control_change,80,0,3,,,,,,,121,0,2,,,,
320,control_change,80,0,6,,,,,,,121,0,5,,,,
320,control_change,80,0,4,,,,,,,121,0,3,,,,
480,pitchwheel,160,0,2,,,,,,,,,1,0,,,
480,pitchwheel,160,0,3,,,,,,,,,2,0,,,
480,pitchwheel,160,0,6,,,,,,,,,5,0,,,
480,pitchwheel,160,0,5,,,,,,,,,4,0,,,
480,pitchwheel,160,0,1,,,,,,,,,0,0,,,
480,pitchwheel,160,0,7,,,,,,,,,6,0,,,
480,pitchwheel,160,0,8,,,,,,,,,7,0,,,
480,pitchwheel,160,0,4,,,,,,,,,3,0,,,
640,control_change,160,0,7,,,,,,,1,0,6,,,,
640,control_change,160,0,8,,,,,,,1,0,7,,,,
640,control_change,160,0,2,,,,,,,1,0,1,,,,
640,control_change,160,0,5,,,,,,,1,0,4,,,,
640,control_change,160,0,1,,,,,,,1,0,0,,,,
640,control_change,160,0,6,,,,,,,1,0,5,,,,
640,control_change,160,0,4,,,,,,,1,0,3,,,,
640,control_change,160,0,3,,,,,,,1,0,2,,,,
800,control_change,160,0,6,,,,,,,11,127,5,,,,
800,control_change,160,0,8,,,,,,,11,127,7,,,,
800,control_change,160,0,4,,,,,,,11,127,3,,,,
800,control_change,160,0,1,,,,,,,11,127,0,,,,
800,control_change,160,0,2,,,,,,,11,127,1,,,,
800,control_change,160,0,5,,,,,,,11,127,4,,,,
800,control_change,160,0,3,,,,,,,11,127,2,,,,
800,control_change,160,0,7,,,,,,,11,127,6,,,,
960,control_change,160,0,2,,,,,,,65,0,1,,,,
960,control_change,160,0,3,,,,,,,65,0,2,,,,
960,control_change,160,0,7,,,,,,,65,0,6,,,,
960,control_change,160,0,8,,,,,,,65,0,7,,,,
960,control_change,160,0,6,,,,,,,65,0,5,,,,
960,control_change,160,0,1,,,,,,,65,0,0,,,,
960,control_change,160,0,4,,,,,,,65,0,3,,,,
960,control_change,160,0,5,,,,,,,65,0,4,,,,
1120,control_change,160,0,3,,,,,,,66,0,2,,,,
1120,control_change,160,0,4,,,,,,,66,0,3,,,,
1120,control_change,160,0,2,,,,,,,66,0,1,,,,
1120,control_change,160,0,6,,,,,,,66,0,5,,,,
1120,control_change,160,0,5,,,,,,,66,0,4,,,,
1120,control_change,160,0,1,,,,,,,66,0,0,,,,
1120,control_change,160,0,8,,,,,,,66,0,7,,,,
1120,control_change,160,0,7,,,,,,,66,0,6,,,,
1280,control_change,160,0,5,,,,,,,67,0,4,,,,
1280,control_change,160,0,3,,,,,,,67,0,2,,,,
1280,control_change,160,0,1,,,,,,,67,0,0,,,,
1280,control_change,160,0,2,,,,,,,67,0,1,,,,
1280,control_change,160,0,4,,,,,,,67,0,3,,,,
1280,control_change,160,0,8,,,,,,,67,0,7,,,,
1280,control_change,160,0,7,,,,,,,67,0,6,,,,
1280,control_change,160,0,6,,,,,,,67,0,5,,,,
1440,end_of_track,1440,1,21,,,,,,,,,,,,,
1440,end_of_track,1440,1,16,,,,,,,,,,,,,
1440,end_of_track,1440,1,25,,,,,,,,,,,,,
1440,end_of_track,1440,1,27,,,,,,,,,,,,,
1440,end_of_track,1440,1,31,,,,,,,,,,,,,
1440,end_of_track,1440,1,17,,,,,,,,,,,,,
1440,end_of_track,1440,1,18,,,,,,,,,,,,,
1440,end_of_track,1440,1,30,,,,,,,,,,,,,
1440,end_of_track,1440,1,24,,,,,,,,,,,,,
1440,end_of_track,1440,1,22,,,,,,,,,,,,,
1440,program_change,160,0,2,,,,,,,,,1,,60,,
1440,end_of_track,1440,1,23,,,,,,,,,,,,,
1440,end_of_track,1440,1,20,,,,,,,,,,,,,
1440,end_of_track,1440,1,15,,,,,,,,,,,,,
1440,end_of_track,1440,1,28,,,,,,,,,,,,,
1440,end_of_track,1440,1,29,,,,,,,,,,,,,
1440,end_of_track,1440,1,19,,,,,,,,,,,,,
1440,end_of_track,1440,1,32,,,,,,,,,,,,,
1440,program_change,160,0,3,,,,,,,,,2,,60,,
1440,end_of_track,1440,1,13,,,,,,,,,,,,,
1440,program_change,160,0,5,,,,,,,,,4,,48,,
1440,note_on,0,0,5,,,,,,,,,4,,,58,51
1440,end_of_track,1440,1,26,,,,,,,,,,,,,
1440,program_change,160,0,6,,,,,,,,,5,,48,,
1440,note_on,0,0,6,,,,,,,,,5,,,58,51
1440,program_change,160,0,7,,,,,,,,,6,,48,,
1440,note_on,0,0,4,,,,,,,,,3,,,62,51
1440,program_change,160,0,4,,,,,,,,,3,,48,,
1440,program_change,160,0,8,,,,,,,,,7,,48,,
1440,note_on,0,0,8,,,,,,,,,7,,,34,51
1440,end_of_track,1440,1,9,,,,,,,,,,,,,
1440,end_of_track,1440,1,10,,,,,,,,,,,,,
1440,end_of_track,1440,1,34,,,,,,,,,,,,,
1440,end_of_track,1440,1,11,,,,,,,,,,,,,
1440,end_of_track,1440,1,12,,,,,,,,,,,,,
1440,note_on,0,0,3,,,,,,,,,2,,,65,88
1440,end_of_track,1440,1,33,,,,,,,,,,,,,
1440,end_of_track,1440,1,14,,,,,,,,,,,,,
1440,note_on,0,0,7,,,,,,,,,6,,,46,51
1440,end_of_track,1440,1,35,,,,,,,,,,,,,
1440,program_change,160,0,1,,,,,,,,,0,,68,,
1870,note_on,430,0,7,,,,,,,,,6,,,46,0
1870,note_on,430,0,8,,,,,,,,,7,,,34,0
1920,note_on,50,0,7,,,,,,,,,6,,,46,51
1920,note_on,50,0,8,,,,,,,,,7,,,34,51
2350,note_on,430,0,8,,,,,,,,,7,,,34,0
2350,note_on,430,0,7,,,,,,,,,6,,,46,0
2400,note_on,50,0,7,,,,,,,,,6,,,46,51
2400,note_on,50,0,8,,,,,,,,,7,,,34,51
2730,note_on,1290,0,4,,,,,,,,,3,,,62,0
2730,note_on,1290,0,3,,,,,,,,,2,,,65,0
2830,note_on,430,0,8,,,,,,,,,7,,,34,0
2830,note_on,430,0,7,,,,,,,,,6,,,46,0
2880,note_on,150,0,3,,,,,,,,,2,,,67,88
2880,note_on,150,0,4,,,,,,,,,3,,,63,51
3040,note_on,160,0,3,,,,,,,,,2,,,67,0
3040,note_on,0,0,3,,,,,,,,,2,,,69,88
3040,note_on,160,0,4,,,,,,,,,3,,,63,0
3040,note_on,0,0,4,,,,,,,,,3,,,65,51
3200,note_on,160,0,3,,,,,,,,,2,,,69,0
3200,note_on,0,0,3,,,,,,,,,2,,,70,88
3200,note_on,160,0,4,,,,,,,,,3,,,65,0
3200,note_on,0,0,4,,,,,,,,,3,,,67,51
3360,note_on,530,0,7,,,,,,,,,6,,,58,51
3360,note_on,0,0,3,,,,,,,,,2,,,70,88
3360,note_on,160,0,3,,,,,,,,,2,,,70,0
3360,note_on,160,0,4,,,,,,,,,3,,,67,0
3360,note_on,0,0,4,,,,,,,,,3,,,67,51
3360,note_on,530,0,8,,,,,,,,,7,,,46,51
3790,note_on,430,0,8,,,,,,,,,7,,,46,0
3790,note_on,430,0,7,,,,,,,,,6,,,58,0
3840,note_on,50,0,8,,,,,,,,,7,,,34,51
3840,note_on,50,0,7,,,,,,,,,6,,,46,51
3960,note_on,600,0,4,,,,,,,,,3,,,67,0
3960,note_on,0,0,4,,,,,,,,,3,,,65,51
3960,note_on,0,0,3,,,,,,,,,2,,,69,88
3960,note_on,600,0,3,,,,,,,,,2,,,70,0
4080,note_on,120,0,4,,,,,,,,,3,,,65,0
4080,note_on,0,0,3,,,,,,,,,2,,,67,88
4080,note_on,120,0,3,,,,,,,,,2,,,69,0
4080,note_on,0,0,4,,,,,,,,,3,,,63,51
4200,note_on,0,0,4,,,,,,,,,3,,,62,51
4200,note_on,120,0,4,,,,,,,,,3,,,63,0
4200,note_on,120,0,3,,,,,,,,,2,,,67,0
4200,note_on,0,0,3,,,,,,,,,2,,,65,88
4270,note_on,430,0,8,,,,,,,,,7,,,34,0
4270,note_on,430,0,7,,,,,,,,,6,,,46,0
4320,note_on,120,0,4,,,,,,,,,3,,,62,0
4320,note_on,120,0,3,,,,,,,,,2,,,65,0
4320,note_on,0,0,3,,,,,,,,,2,,,63,88
4320,note_on,0,0,4,,,,,,,,,3,,,60,51
4480,note_on,0,0,4,,,,,,,,,3,,,62,51
4480,note_on,160,0,4,,,,,,,,,3,,,60,0
4480,note_on,0,0,3,,,,,,,,,2,,,65,88
4480,note_on,160,0,3,,,,,,,,,2,,,63,0
4640,note_on,160,0,3,,,,,,,,,2,,,65,0
4640,note_on,160,0,4,,,,,,,,,3,,,62,0
4640,note_on,0,0,4,,,,,,,,,3,,,63,51
4640,note_on,0,0,3,,,,,,,,,2,,,67,88
4800,note_on,0,0,4,,,,,,,,,3,,,63,51
4800,note_on,530,0,8,,,,,,,,,7,,,46,51
4800,note_on,160,0,4,,,,,,,,,3,,,63,0
4800,note_on,160,0,3,,,,,,,,,2,,,67,0
4800,note_on,0,0,3,,,,,,,,,2,,,67,88
4800,note_on,530,0,7,,,,,,,,,6,,,58,51
5230,note_on,430,0,7,,,,,,,,,6,,,58,0
5230,note_on,430,0,8,,,,,,,,,7,,,46,0
5280,note_on,50,0,7,,,,,,,,,6,,,46,51
5280,note_on,50,0,8,,,,,,,,,7,,,34,51
