tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,channel,control,value,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,channel_prefix,0,1,6,,,,,,,,5,,,,,
0,note_on,0,0,3,,,,,,,,2,,,,66,45
0,program_change,0,0,3,,,,,,,,2,,,50,,
0,control_change,0,0,3,,,,,,,,2,91,52,,,
0,control_change,0,0,3,,,,,,,,2,10,69,,,
0,control_change,0,0,3,,,,,,,,2,7,127,,,
0,channel_prefix,0,1,3,,,,,,,,2,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,channel_prefix,0,1,9,,,,,,,,8,,,,,
0,control_change,0,0,9,,,,,,,,8,7,127,,,
0,control_change,0,0,9,,,,,,,,8,10,95,,,
0,control_change,0,0,9,,,,,,,,8,91,127,,,
0,program_change,0,0,9,,,,,,,,8,,,48,,
0,note_on,0,0,9,,,,,,,,8,,,,50,45
0,note_on,0,0,2,,,,,,,,1,,,,69,45
0,program_change,0,0,2,,,,,,,,1,,,50,,
0,control_change,0,0,2,,,,,,,,1,91,56,,,
0,control_change,0,0,2,,,,,,,,1,10,40,,,
0,control_change,0,0,2,,,,,,,,1,7,127,,,
0,channel_prefix,0,1,2,,,,,,,,1,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,channel_prefix,0,1,10,,,,,,,,10,,,,,
0,control_change,0,0,10,,,,,,,,10,7,127,,,
0,control_change,0,0,10,,,,,,,,10,10,119,,,
0,control_change,0,0,10,,,,,,,,10,91,127,,,
0,note_on,0,0,8,,,,,,,,7,,,,66,45
0,program_change,0,0,10,,,,,,,,10,,,48,,
0,program_change,0,0,8,,,,,,,,7,,,48,,
0,control_change,0,0,8,,,,,,,,7,10,60,,,
0,control_change,0,0,6,,,,,,,,5,7,127,,,
0,control_change,0,0,6,,,,,,,,5,10,1,,,
0,control_change,0,0,6,,,,,,,,5,91,127,,,
0,program_change,0,0,6,,,,,,,,5,,,48,,
0,note_on,0,0,6,,,,,,,,5,,,,74,45
0,note_on,0,0,5,,,,,,,,4,,,,38,45
0,program_change,0,0,5,,,,,,,,4,,,50,,
0,control_change,0,0,5,,,,,,,,4,91,56,,,
0,control_change,0,0,5,,,,,,,,4,10,127,,,
0,control_change,0,0,5,,,,,,,,4,7,127,,,
0,channel_prefix,0,1,5,,,,,,,,4,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,channel_prefix,0,1,7,,,,,,,,6,,,,,
0,control_change,0,0,7,,,,,,,,6,7,127,,,
0,control_change,0,0,7,,,,,,,,6,10,32,,,
0,control_change,0,0,7,,,,,,,,6,91,124,,,
0,program_change,0,0,7,,,,,,,,6,,,48,,
0,note_on,0,0,7,,,,,,,,6,,,,69,45
0,note_on,0,0,4,,,,,,,,3,,,,50,45
0,program_change,0,0,4,,,,,,,,3,,,50,,
0,control_change,0,0,4,,,,,,,,3,91,44,,,
0,control_change,0,0,4,,,,,,,,3,10,102,,,
0,control_change,0,0,4,,,,,,,,3,7,127,,,
0,channel_prefix,0,1,4,,,,,,,,3,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,channel_prefix,0,1,8,,,,,,,,7,,,,,
0,control_change,0,0,8,,,,,,,,7,7,127,,,
0,control_change,0,0,8,,,,,,,,7,91,124,,,
0,note_on,0,0,10,,,,,,,,10,,,,38,45
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,channel_prefix,0,1,1,,,,,,,,0,,,,,
0,key_signature,0,1,0,,,,,,D,,,,,,,
0,time_signature,0,1,0,,2,4,24,8,,,,,,,,
0,set_tempo,0,1,0,410958,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,0,,,,74,45
0,program_change,0,0,1,,,,,,,,0,,,50,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,91,60,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,control_change,0,0,1,,,,,,,,0,10,15,,,
0,control_change,0,0,1,,,,,,,,0,7,127,,,
80,note_off,80,0,3,,,,,,,,2,,,,66,64
80,note_off,80,0,9,,,,,,,,8,,,,50,64
80,note_off,80,0,10,,,,,,,,10,,,,38,64
80,note_off,80,0,1,,,,,,,,0,,,,74,64
80,note_off,80,0,2,,,,,,,,1,,,,69,64
80,note_off,80,0,8,,,,,,,,7,,,,66,64
80,note_off,80,0,4,,,,,,,,3,,,,50,64
80,note_off,80,0,6,,,,,,,,5,,,,74,64
80,note_off,80,0,5,,,,,,,,4,,,,38,64
80,note_off,80,0,7,,,,,,,,6,,,,69,64
480,note_on,400,0,8,,,,,,,,7,,,,69,45
480,note_on,400,0,6,,,,,,,,5,,,,78,45
480,note_on,400,0,9,,,,,,,,8,,,,38,45
480,note_on,400,0,5,,,,,,,,4,,,,26,45
480,note_on,400,0,1,,,,,,,,0,,,,78,45
480,note_on,400,0,3,,,,,,,,2,,,,69,45
480,note_on,400,0,10,,,,,,,,10,,,,26,45
480,note_on,400,0,4,,,,,,,,3,,,,38,45
480,note_on,400,0,2,,,,,,,,1,,,,74,45
480,note_on,400,0,7,,,,,,,,6,,,,74,45
560,note_off,80,0,3,,,,,,,,2,,,,69,64
560,note_off,80,0,10,,,,,,,,10,,,,26,64
560,note_off,80,0,9,,,,,,,,8,,,,38,64
560,note_off,80,0,8,,,,,,,,7,,,,69,64
560,note_off,80,0,2,,,,,,,,1,,,,74,64
560,note_off,80,0,4,,,,,,,,3,,,,38,64
560,note_off,80,0,6,,,,,,,,5,,,,78,64
560,note_off,80,0,1,,,,,,,,0,,,,78,64
560,note_off,80,0,5,,,,,,,,4,,,,26,64
560,note_off,80,0,7,,,,,,,,6,,,,74,64
960,note_on,400,0,5,,,,,,,,4,,,,31,45
960,note_on,400,0,9,,,,,,,,8,,,,43,45
960,note_on,400,0,4,,,,,,,,3,,,,43,45
960,note_on,400,0,3,,,,,,,,2,,,,67,45
960,note_on,400,0,10,,,,,,,,10,,,,31,45
960,note_on,400,0,8,,,,,,,,7,,,,67,45
960,note_on,400,0,7,,,,,,,,6,,,,71,45
960,note_on,400,0,1,,,,,,,,0,,,,76,45
960,note_on,400,0,6,,,,,,,,5,,,,76,45
960,note_on,400,0,2,,,,,,,,1,,,,71,45
1040,note_off,80,0,9,,,,,,,,8,,,,43,64
1040,note_off,80,0,3,,,,,,,,2,,,,67,64
1040,note_off,80,0,6,,,,,,,,5,,,,76,64
1040,note_off,80,0,1,,,,,,,,0,,,,76,64
1040,note_off,80,0,8,,,,,,,,7,,,,67,64
1040,note_off,80,0,7,,,,,,,,6,,,,71,64
1040,note_off,80,0,5,,,,,,,,4,,,,31,64
1040,note_off,80,0,10,,,,,,,,10,,,,31,64
1040,note_off,80,0,2,,,,,,,,1,,,,71,64
1040,note_off,80,0,4,,,,,,,,3,,,,43,64
1920,note_on,880,0,9,,,,,,,,8,,,,40,45
1920,note_on,880,0,2,,,,,,,,1,,,,71,45
1920,note_on,880,0,5,,,,,,,,4,,,,28,45
1920,note_on,880,0,4,,,,,,,,3,,,,40,45
1920,note_on,880,0,3,,,,,,,,2,,,,64,45
1920,note_on,880,0,1,,,,,,,,0,,,,79,45
1920,note_on,880,0,6,,,,,,,,5,,,,79,45
1920,note_on,880,0,7,,,,,,,,6,,,,71,45
1920,note_on,880,0,8,,,,,,,,7,,,,64,45
1920,note_on,880,0,10,,,,,,,,10,,,,28,45
2000,note_off,80,0,3,,,,,,,,2,,,,64,64
2000,note_off,80,0,9,,,,,,,,8,,,,40,64
2000,note_off,80,0,2,,,,,,,,1,,,,71,64
2000,note_off,80,0,7,,,,,,,,6,,,,71,64
2000,note_off,80,0,4,,,,,,,,3,,,,40,64
2000,note_off,80,0,10,,,,,,,,10,,,,28,64
2000,note_off,80,0,5,,,,,,,,4,,,,28,64
2000,note_off,80,0,1,,,,,,,,0,,,,79,64
2000,note_off,80,0,6,,,,,,,,5,,,,79,64
2000,note_off,80,0,8,,,,,,,,7,,,,64,64
2400,note_on,400,0,7,,,,,,,,6,,,,67,45
2400,note_on,400,0,1,,,,,,,,0,,,,73,45
2400,note_on,400,0,10,,,,,,,,10,,,,33,45
2400,note_on,400,0,6,,,,,,,,5,,,,73,45
2400,note_on,400,0,2,,,,,,,,1,,,,67,45
2400,note_on,400,0,3,,,,,,,,2,,,,64,45
2400,note_on,400,0,9,,,,,,,,8,,,,45,45
2400,note_on,400,0,8,,,,,,,,7,,,,64,45
2400,note_on,400,0,5,,,,,,,,4,,,,33,45
2400,note_on,400,0,4,,,,,,,,3,,,,45,45
2480,note_off,80,0,6,,,,,,,,5,,,,73,64
2480,note_off,80,0,5,,,,,,,,4,,,,33,64
2480,note_off,80,0,7,,,,,,,,6,,,,67,64
2480,note_off,80,0,10,,,,,,,,10,,,,33,64
2480,note_off,80,0,3,,,,,,,,2,,,,64,64
2480,note_off,80,0,1,,,,,,,,0,,,,73,64
2480,note_off,80,0,4,,,,,,,,3,,,,45,64
2480,note_off,80,0,2,,,,,,,,1,,,,67,64
2480,note_off,80,0,9,,,,,,,,8,,,,45,64
2480,note_off,80,0,8,,,,,,,,7,,,,64,64
2880,note_on,400,0,6,,,,,,,,5,,,,74,45
2880,note_on,400,0,7,,,,,,,,6,,,,66,45
2880,note_on,400,0,4,,,,,,,,3,,,,38,45
2880,note_on,400,0,2,,,,,,,,1,,,,66,45
2880,note_on,400,0,1,,,,,,,,0,,,,74,45
2880,note_on,400,0,5,,,,,,,,4,,,,26,45
2880,note_on,400,0,10,,,,,,,,10,,,,26,45
2880,note_on,400,0,8,,,,,,,,7,,,,62,45
2880,note_on,400,0,9,,,,,,,,8,,,,38,45
2880,note_on,400,0,3,,,,,,,,2,,,,62,45
2960,note_off,80,0,1,,,,,,,,0,,,,74,64
2960,note_off,80,0,6,,,,,,,,5,,,,74,64
2960,note_off,80,0,4,,,,,,,,3,,,,38,64
2960,note_off,80,0,10,,,,,,,,10,,,,26,64
2960,note_off,80,0,7,,,,,,,,6,,,,66,64
2960,note_off,80,0,9,,,,,,,,8,,,,38,64
2960,note_off,80,0,5,,,,,,,,4,,,,26,64
2960,note_off,80,0,2,,,,,,,,1,,,,66,64
2960,note_off,80,0,8,,,,,,,,7,,,,62,64
2960,note_off,80,0,3,,,,,,,,2,,,,62,64
3840,note_on,880,0,4,,,,,,,,3,,,,50,75
3840,note_on,880,0,9,,,,,,,,8,,,,50,75
3840,note_on,880,0,10,,,,,,,,10,,,,38,75
3840,note_on,880,0,1,,,,,,,,0,,,,81,92
3840,note_on,880,0,6,,,,,,,,5,,,,81,92
3840,note_on,880,0,7,,,,,,,,6,,,,66,75
3840,note_on,880,0,3,,,,,,,,2,,,,62,75
3840,note_on,880,0,5,,,,,,,,4,,,,38,75
3840,note_on,880,0,2,,,,,,,,1,,,,66,75
3840,note_on,880,0,8,,,,,,,,7,,,,62,75
3920,note_off,80,0,5,,,,,,,,4,,,,38,64
3920,note_off,80,0,4,,,,,,,,3,,,,50,64
3920,note_off,80,0,3,,,,,,,,2,,,,62,64
3920,note_off,80,0,2,,,,,,,,1,,,,66,64
4075,note_off,235,0,9,,,,,,,,8,,,,50,64
4075,note_off,235,0,8,,,,,,,,7,,,,62,64
4075,note_off,235,0,7,,,,,,,,6,,,,66,64
4075,note_off,235,0,10,,,,,,,,10,,,,38,64
4080,note_on,5,0,10,,,,,,,,10,,,,38,75
4080,note_on,160,0,4,,,,,,,,3,,,,50,75
4080,note_on,5,0,8,,,,,,,,7,,,,62,75
4080,note_on,160,0,2,,,,,,,,1,,,,66,75
4080,note_on,160,0,5,,,,,,,,4,,,,38,75
4080,note_on,160,0,3,,,,,,,,2,,,,62,75
4080,note_on,5,0,7,,,,,,,,6,,,,66,75
4080,note_on,5,0,9,,,,,,,,8,,,,50,75
4160,note_off,80,0,3,,,,,,,,2,,,,62,64
4160,note_off,80,0,4,,,,,,,,3,,,,50,64
4160,note_off,80,0,5,,,,,,,,4,,,,38,64
4160,note_off,80,0,2,,,,,,,,1,,,,66,64
4315,note_off,235,0,8,,,,,,,,7,,,,62,64
4315,note_off,235,0,7,,,,,,,,6,,,,66,64
4315,note_off,235,0,10,,,,,,,,10,,,,38,64
4315,note_off,235,0,9,,,,,,,,8,,,,50,64
4320,note_on,160,0,3,,,,,,,,2,,,,62,75
4320,note_on,160,0,5,,,,,,,,4,,,,38,75
4320,note_on,5,0,8,,,,,,,,7,,,,62,75
4320,note_on,160,0,2,,,,,,,,1,,,,66,75
4320,note_on,5,0,10,,,,,,,,10,,,,38,75
4320,note_on,5,0,7,,,,,,,,6,,,,66,75
4320,note_on,160,0,4,,,,,,,,3,,,,50,75
4320,note_on,5,0,9,,,,,,,,8,,,,50,75
4400,note_off,80,0,5,,,,,,,,4,,,,38,64
4400,note_off,80,0,2,,,,,,,,1,,,,66,64
4400,note_off,80,0,3,,,,,,,,2,,,,62,64
4400,note_off,80,0,4,,,,,,,,3,,,,50,64
4555,note_off,235,0,8,,,,,,,,7,,,,62,64
4555,note_off,235,0,10,,,,,,,,10,,,,38,64
4555,note_off,235,0,7,,,,,,,,6,,,,66,64
4555,note_off,235,0,9,,,,,,,,8,,,,50,64
4560,note_on,5,0,9,,,,,,,,8,,,,50,75
4560,note_on,160,0,3,,,,,,,,2,,,,62,75
4560,note_on,160,0,2,,,,,,,,1,,,,66,75
4560,note_on,5,0,10,,,,,,,,10,,,,38,75
4560,note_on,5,0,8,,,,,,,,7,,,,62,75
4560,note_on,160,0,5,,,,,,,,4,,,,38,75
4560,note_on,160,0,4,,,,,,,,3,,,,50,75
4560,note_on,5,0,7,,,,,,,,6,,,,66,75
4640,note_off,80,0,2,,,,,,,,1,,,,66,64
4640,note_off,80,0,5,,,,,,,,4,,,,38,64
4640,note_off,80,0,4,,,,,,,,3,,,,50,64
4640,note_off,80,0,3,,,,,,,,2,,,,62,64
4795,note_off,235,0,10,,,,,,,,10,,,,38,64
4795,note_off,235,0,7,,,,,,,,6,,,,66,64
4795,note_off,235,0,9,,,,,,,,8,,,,50,64
4795,note_off,235,0,8,,,,,,,,7,,,,62,64
4800,note_on,5,0,8,,,,,,,,7,,,,62,75
4800,note_on,160,0,5,,,,,,,,4,,,,38,75
4800,note_on,160,0,3,,,,,,,,2,,,,62,75
4800,note_on,160,0,4,,,,,,,,3,,,,50,75
4800,note_off,960,0,1,,,,,,,,0,,,,81,64
4800,note_on,5,0,9,,,,,,,,8,,,,50,75
4800,note_on,5,0,10,,,,,,,,10,,,,38,75
4800,note_on,0,0,1,,,,,,,,0,,,,79,92
4800,note_on,160,0,2,,,,,,,,1,,,,66,75
4800,note_on,5,0,7,,,,,,,,6,,,,66,75
4800,note_off,960,0,6,,,,,,,,5,,,,81,64
4800,note_on,0,0,6,,,,,,,,5,,,,79,92
4880,note_off,80,0,4,,,,,,,,3,,,,50,64
4880,note_off,80,0,2,,,,,,,,1,,,,66,64
4880,note_off,80,0,5,,,,,,,,4,,,,38,64
4880,note_off,80,0,3,,,,,,,,2,,,,62,64
5035,note_off,235,0,10,,,,,,,,10,,,,38,64
5035,note_off,235,0,8,,,,,,,,7,,,,62,64
5035,note_off,235,0,9,,,,,,,,8,,,,50,64
5035,note_off,235,0,7,,,,,,,,6,,,,66,64
5040,note_on,5,0,10,,,,,,,,10,,,,38,75
5040,note_on,160,0,2,,,,,,,,1,,,,66,75
5040,note_on,5,0,8,,,,,,,,7,,,,62,75
5040,note_off,240,0,6,,,,,,,,5,,,,79,64
5040,note_on,5,0,9,,,,,,,,8,,,,50,75
5040,note_on,0,0,1,,,,,,,,0,,,,78,92
5040,note_on,160,0,3,,,,,,,,2,,,,62,75
5040,note_off,240,0,1,,,,,,,,0,,,,79,64
5040,note_on,160,0,4,,,,,,,,3,,,,50,75
5040,note_on,0,0,6,,,,,,,,5,,,,78,92
5040,note_on,5,0,7,,,,,,,,6,,,,66,75
5040,note_on,160,0,5,,,,,,,,4,,,,38,75
5120,note_off,80,0,2,,,,,,,,1,,,,66,64
