tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,91,54,3,,,
0,control_change,0,0,4,,,,,,,,10,38,3,,,
0,control_change,0,0,4,,,,,,,,7,127,3,,,
0,control_change,0,0,4,,,,,,,,32,0,3,,,
0,control_change,0,0,4,,,,,,,,0,0,3,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,note_on,0,0,3,,,,,,,,,,2,,62,89
0,program_change,0,0,3,,,,,,,,,,2,48,,
0,control_change,0,0,3,,,,,,,,91,53,2,,,
0,control_change,0,0,3,,,,,,,,10,12,2,,,
0,control_change,0,0,3,,,,,,,,7,127,2,,,
0,control_change,0,0,3,,,,,,,,32,0,2,,,
0,control_change,0,0,3,,,,,,,,0,0,2,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,note_on,0,0,2,,,,,,,,,,1,,74,72
0,program_change,0,0,2,,,,,,,,,,1,60,,
0,control_change,0,0,2,,,,,,,,91,91,1,,,
0,control_change,0,0,2,,,,,,,,10,38,1,,,
0,control_change,0,0,2,,,,,,,,7,80,1,,,
0,control_change,0,0,2,,,,,,,,32,0,1,,,
0,control_change,0,0,2,,,,,,,,0,0,1,,,
0,program_change,0,0,4,,,,,,,,,,3,48,,
0,note_on,0,0,4,,,,,,,,,,3,,62,88
0,track_name,0,1,9,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,note_on,0,0,6,,,,,,,,,,5,,38,87
0,program_change,0,0,6,,,,,,,,,,5,43,,
0,control_change,0,0,6,,,,,,,,91,72,5,,,
0,control_change,0,0,6,,,,,,,,10,88,5,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,7,100,5,,,
0,control_change,0,0,6,,,,,,,,0,0,5,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,note_on,0,0,5,,,,,,,,,,4,,62,88
0,program_change,0,0,5,,,,,,,,,,4,48,,
0,control_change,0,0,5,,,,,,,,91,64,4,,,
0,control_change,0,0,5,,,,,,,,10,63,4,,,
0,control_change,0,0,5,,,,,,,,7,120,4,,,
0,control_change,0,0,5,,,,,,,,32,0,4,,,
0,control_change,0,0,5,,,,,,,,0,0,4,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,32,0,5,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,32,0,0,,,
0,control_change,0,0,1,,,,,,,,10,63,0,,,
0,control_change,0,0,1,,,,,,,,91,76,0,,,
0,program_change,0,0,1,,,,,,,,,,0,68,,
0,note_on,0,0,1,,,,,,,,,,0,,74,71
0,track_name,0,1,1,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,7,120,0,,,
0,set_tempo,0,1,0,,,,,,428571,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,key_signature,0,1,0,,,,,D,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,0,0,,,
201,note_on,201,0,3,,,,,,,,,,2,,62,0
201,note_on,201,0,1,,,,,,,,,,0,,74,0
201,note_on,201,0,6,,,,,,,,,,5,,38,0
201,note_on,201,0,4,,,,,,,,,,3,,62,0
201,note_on,201,0,5,,,,,,,,,,4,,62,0
201,note_on,201,0,2,,,,,,,,,,1,,74,0
210,note_on,9,0,1,,,,,,,,,,0,,69,67
210,note_on,9,0,2,,,,,,,,,,1,,69,64
210,note_on,9,0,4,,,,,,,,,,3,,57,84
210,note_on,9,0,6,,,,,,,,,,5,,33,85
210,note_on,9,0,5,,,,,,,,,,4,,57,82
210,note_on,9,0,3,,,,,,,,,,2,,57,84
237,note_on,27,0,4,,,,,,,,,,3,,57,0
237,note_on,27,0,1,,,,,,,,,,0,,69,0
237,note_on,27,0,3,,,,,,,,,,2,,57,0
237,note_on,27,0,2,,,,,,,,,,1,,69,0
237,note_on,27,0,5,,,,,,,,,,4,,57,0
237,note_on,27,0,6,,,,,,,,,,5,,33,0
240,note_on,3,0,3,,,,,,,,,,2,,62,105
240,note_on,3,0,5,,,,,,,,,,4,,62,106
240,note_on,3,0,1,,,,,,,,,,0,,74,83
240,note_on,3,0,2,,,,,,,,,,1,,74,83
240,note_on,3,0,4,,,,,,,,,,3,,62,108
240,note_on,3,0,6,,,,,,,,,,5,,38,106
348,note_on,108,0,6,,,,,,,,,,5,,38,0
348,note_on,108,0,1,,,,,,,,,,0,,74,0
348,note_on,108,0,2,,,,,,,,,,1,,74,0
348,note_on,108,0,5,,,,,,,,,,4,,62,0
348,note_on,108,0,3,,,,,,,,,,2,,62,0
348,note_on,108,0,4,,,,,,,,,,3,,62,0
360,note_on,12,0,3,,,,,,,,,,2,,66,111
360,note_on,12,0,6,,,,,,,,,,5,,42,113
360,note_on,12,0,4,,,,,,,,,,3,,66,113
360,note_on,12,0,5,,,,,,,,,,4,,66,110
360,note_on,12,0,1,,,,,,,,,,0,,78,89
441,note_on,81,0,4,,,,,,,,,,3,,66,0
441,note_on,81,0,1,,,,,,,,,,0,,78,0
441,note_on,81,0,3,,,,,,,,,,2,,66,0
441,note_on,81,0,5,,,,,,,,,,4,,66,0
441,note_on,81,0,6,,,,,,,,,,5,,42,0
450,note_on,102,0,2,,,,,,,,,,1,,69,69
450,note_on,9,0,1,,,,,,,,,,0,,69,62
450,note_on,9,0,5,,,,,,,,,,4,,57,76
450,note_on,9,0,4,,,,,,,,,,3,,57,78
450,note_on,9,0,6,,,,,,,,,,5,,33,78
450,note_on,9,0,3,,,,,,,,,,2,,57,78
477,note_on,27,0,2,,,,,,,,,,1,,69,0
477,note_on,27,0,1,,,,,,,,,,0,,69,0
477,note_on,27,0,3,,,,,,,,,,2,,57,0
477,note_on,27,0,6,,,,,,,,,,5,,33,0
477,note_on,27,0,5,,,,,,,,,,4,,57,0
477,note_on,27,0,4,,,,,,,,,,3,,57,0
480,note_on,3,0,2,,,,,,,,,,1,,74,88
480,note_on,3,0,3,,,,,,,,,,2,,62,107
480,note_on,3,0,6,,,,,,,,,,5,,38,107
480,note_on,3,0,1,,,,,,,,,,0,,74,85
480,note_on,3,0,4,,,,,,,,,,3,,62,108
480,note_on,3,0,5,,,,,,,,,,4,,62,107
681,note_on,201,0,1,,,,,,,,,,0,,74,0
681,note_on,201,0,3,,,,,,,,,,2,,62,0
681,note_on,201,0,6,,,,,,,,,,5,,38,0
681,note_on,201,0,2,,,,,,,,,,1,,74,0
681,note_on,201,0,4,,,,,,,,,,3,,62,0
681,note_on,201,0,5,,,,,,,,,,4,,62,0
690,note_on,9,0,5,,,,,,,,,,4,,57,84
690,note_on,9,0,1,,,,,,,,,,0,,69,66
690,note_on,9,0,2,,,,,,,,,,1,,69,64
690,note_on,9,0,6,,,,,,,,,,5,,33,81
690,note_on,9,0,3,,,,,,,,,,2,,57,81
690,note_on,9,0,4,,,,,,,,,,3,,57,83
717,note_on,27,0,4,,,,,,,,,,3,,57,0
717,note_on,27,0,2,,,,,,,,,,1,,69,0
717,note_on,27,0,3,,,,,,,,,,2,,57,0
717,note_on,27,0,6,,,,,,,,,,5,,33,0
717,note_on,27,0,1,,,,,,,,,,0,,69,0
717,note_on,27,0,5,,,,,,,,,,4,,57,0
720,note_on,3,0,3,,,,,,,,,,2,,62,106
720,note_on,3,0,6,,,,,,,,,,5,,38,106
720,note_on,3,0,1,,,,,,,,,,0,,74,85
720,note_on,3,0,2,,,,,,,,,,1,,74,83
720,note_on,3,0,5,,,,,,,,,,4,,62,104
720,note_on,3,0,4,,,,,,,,,,3,,62,107
828,note_on,108,0,4,,,,,,,,,,3,,62,0
828,note_on,108,0,1,,,,,,,,,,0,,74,0
828,note_on,108,0,6,,,,,,,,,,5,,38,0
828,note_on,108,0,5,,,,,,,,,,4,,62,0
828,note_on,108,0,3,,,,,,,,,,2,,62,0
828,note_on,108,0,2,,,,,,,,,,1,,74,0
840,note_on,12,0,3,,,,,,,,,,2,,66,112
840,note_on,12,0,1,,,,,,,,,,0,,78,87
840,note_on,12,0,5,,,,,,,,,,4,,66,110
840,note_on,12,0,4,,,,,,,,,,3,,66,110
840,note_on,12,0,6,,,,,,,,,,5,,42,110
921,note_on,81,0,5,,,,,,,,,,4,,66,0
921,note_on,81,0,3,,,,,,,,,,2,,66,0
921,note_on,81,0,1,,,,,,,,,,0,,78,0
921,note_on,81,0,4,,,,,,,,,,3,,66,0
921,note_on,81,0,6,,,,,,,,,,5,,42,0
930,note_on,102,0,2,,,,,,,,,,1,,69,69
930,note_on,9,0,3,,,,,,,,,,2,,57,79
930,note_on,9,0,5,,,,,,,,,,4,,57,79
930,note_on,9,0,1,,,,,,,,,,0,,69,62
930,note_on,9,0,6,,,,,,,,,,5,,33,78
930,note_on,9,0,4,,,,,,,,,,3,,57,77
957,note_on,27,0,3,,,,,,,,,,2,,57,0
957,note_on,27,0,6,,,,,,,,,,5,,33,0
957,note_on,27,0,4,,,,,,,,,,3,,57,0
957,note_on,27,0,2,,,,,,,,,,1,,69,0
957,note_on,27,0,5,,,,,,,,,,4,,57,0
957,note_on,27,0,1,,,,,,,,,,0,,69,0
960,note_on,3,0,4,,,,,,,,,,3,,62,109
960,note_on,3,0,2,,,,,,,,,,1,,74,89
960,note_on,3,0,5,,,,,,,,,,4,,62,106
960,note_on,3,0,1,,,,,,,,,,0,,74,86
960,note_on,3,0,3,,,,,,,,,,2,,62,107
960,note_on,3,0,6,,,,,,,,,,5,,38,107
1014,note_on,54,0,5,,,,,,,,,,4,,62,0
1014,note_on,54,0,4,,,,,,,,,,3,,62,0
1014,note_on,54,0,3,,,,,,,,,,2,,62,0
1014,note_on,54,0,6,,,,,,,,,,5,,38,0
1020,note_on,6,0,6,,,,,,,,,,5,,38,47
1020,note_on,6,0,5,,,,,,,,,,4,,62,47
1068,note_on,108,0,1,,,,,,,,,,0,,74,0
1068,note_on,108,0,2,,,,,,,,,,1,,74,0
1074,note_on,54,0,5,,,,,,,,,,4,,62,0
1074,note_on,54,0,6,,,,,,,,,,5,,38,0
