tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity,pitch
0,track_name,0,1,0,,,,,,,,,,,,,
0,pitchwheel,0,0,4,,,,,,,,1,,,,,0
0,track_name,0,1,5,,,,,,,,,,,,,
0,program_change,0,0,5,,,,,,,0,2,,,,,
0,control_change,0,0,5,,,,,,,,2,7,127,,,
0,control_change,0,0,5,,,,,,,,2,10,64,,,
0,control_change,0,0,5,,,,,,,,2,93,0,,,
0,control_change,0,0,5,,,,,,,,2,64,0,,,
0,control_change,0,0,5,,,,,,,,2,91,120,,,
0,control_change,0,0,4,,,,,,,,1,91,120,,,
0,pitchwheel,0,0,5,,,,,,,,2,,,,,0
0,program_change,0,0,6,,,,,,,0,2,,,,,
0,control_change,0,0,6,,,,,,,,2,7,127,,,
0,control_change,0,0,6,,,,,,,,2,10,64,,,
0,control_change,0,0,6,,,,,,,,2,93,0,,,
0,control_change,0,0,6,,,,,,,,2,64,0,,,
0,control_change,0,0,6,,,,,,,,2,91,120,,,
0,pitchwheel,0,0,6,,,,,,,,2,,,,,0
0,track_name,0,1,7,,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,1,64,0,,,
0,control_change,0,0,4,,,,,,,,1,93,0,,,
0,control_change,0,0,4,,,,,,,,1,10,64,,,
0,control_change,0,0,2,,,,,,,,0,7,127,,,
0,control_change,0,0,2,,,,,,,,0,10,64,,,
0,control_change,0,0,2,,,,,,,,0,93,0,,,
0,control_change,0,0,2,,,,,,,,0,64,0,,,
0,control_change,0,0,2,,,,,,,,0,91,120,,,
0,pitchwheel,0,0,2,,,,,,,,0,,,,,0
0,track_name,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,60,1,,,,,
0,control_change,0,0,3,,,,,,,,1,7,127,,,
0,control_change,0,0,3,,,,,,,,1,10,64,,,
0,control_change,0,0,3,,,,,,,,1,93,0,,,
0,control_change,0,0,3,,,,,,,,1,64,0,,,
0,control_change,0,0,3,,,,,,,,1,91,120,,,
0,note_on,0,0,3,,,,,,,,1,,,70,64,
0,note_on,0,0,3,,,,,,,,1,,,62,64,
0,pitchwheel,0,0,3,,,,,,,,1,,,,,0
0,track_name,0,1,4,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,60,1,,,,,
0,control_change,0,0,4,,,,,,,,1,7,127,,,
0,program_change,0,0,7,,,,,,,0,2,,,,,
0,program_change,0,0,2,,,,,,,68,0,,,,,
0,control_change,0,0,7,,,,,,,,2,7,127,,,
0,control_change,0,0,7,,,,,,,,2,93,0,,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,program_change,0,0,10,,,,,,,48,3,,,,,
0,control_change,0,0,10,,,,,,,,3,7,127,,,
0,control_change,0,0,10,,,,,,,,3,10,64,,,
0,control_change,0,0,10,,,,,,,,3,93,0,,,
0,control_change,0,0,10,,,,,,,,3,64,0,,,
0,control_change,0,0,10,,,,,,,,3,91,120,,,
0,note_on,0,0,10,,,,,,,,3,,,58,85,
0,pitchwheel,0,0,9,,,,,,,,3,,,,,0
0,pitchwheel,0,0,10,,,,,,,,3,,,,,0
0,program_change,0,0,11,,,,,,,48,3,,,,,
0,control_change,0,0,11,,,,,,,,3,7,127,,,
0,control_change,0,0,11,,,,,,,,3,10,64,,,
0,control_change,0,0,11,,,,,,,,3,93,0,,,
0,control_change,0,0,11,,,,,,,,3,64,0,,,
0,control_change,0,0,11,,,,,,,,3,91,120,,,
0,note_on,0,0,11,,,,,,,,3,,,46,85,
0,pitchwheel,0,0,11,,,,,,,,3,,,,,0
0,track_name,0,1,11,,,,,,,,,,,,,
0,note_on,0,0,9,,,,,,,,3,,,58,85,
0,control_change,0,0,9,,,,,,,,3,91,120,,,
0,control_change,0,0,9,,,,,,,,3,64,0,,,
0,control_change,0,0,7,,,,,,,,2,64,0,,,
0,control_change,0,0,7,,,,,,,,2,91,120,,,
0,pitchwheel,0,0,7,,,,,,,,2,,,,,0
0,track_name,0,1,12,,,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,program_change,0,0,8,,,,,,,48,3,,,,,
0,control_change,0,0,8,,,,,,,,3,7,127,,,
0,control_change,0,0,8,,,,,,,,3,10,64,,,
0,control_change,0,0,8,,,,,,,,3,93,0,,,
0,control_change,0,0,8,,,,,,,,3,64,0,,,
0,control_change,0,0,8,,,,,,,,3,91,120,,,
0,note_on,0,0,8,,,,,,,,3,,,70,85,
0,note_on,0,0,8,,,,,,,,3,,,62,85,
0,pitchwheel,0,0,8,,,,,,,,3,,,,,0
0,track_name,0,1,9,,,,,,,,,,,,,
0,program_change,0,0,9,,,,,,,48,3,,,,,
0,control_change,0,0,9,,,,,,,,3,7,127,,,
0,control_change,0,0,9,,,,,,,,3,10,64,,,
0,control_change,0,0,9,,,,,,,,3,93,0,,,
0,control_change,0,0,7,,,,,,,,2,10,64,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,end_of_track,0,1,12,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,64,0,,,
0,text,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,93,0,,,
0,control_change,0,0,1,,,,,,,,0,10,64,,,
0,control_change,0,0,1,,,,,,,,0,7,127,,,
0,program_change,0,0,1,,,,,,,68,0,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,end_of_track,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,91,120,,,
0,pitchwheel,0,0,1,,,,,,,,0,,,,,0
0,note_on,0,0,1,,,,,,,,0,,,70,64,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,,
0,key_signature,0,1,0,,,,,Bb,,,,,,,,
0,set_tempo,0,1,0,,,,,,500000,,,,,,,
45,note_on,45,0,9,,,,,,,,3,,,58,0,
45,note_on,45,0,10,,,,,,,,3,,,58,0,
45,note_on,45,0,11,,,,,,,,3,,,46,0,
48,note_on,3,0,9,,,,,,,,3,,,62,85,
48,note_on,3,0,11,,,,,,,,3,,,46,85,
48,note_on,3,0,10,,,,,,,,3,,,58,85,
93,note_on,45,0,10,,,,,,,,3,,,58,0,
93,note_on,45,0,11,,,,,,,,3,,,46,0,
96,note_on,3,0,10,,,,,,,,3,,,58,85,
96,note_on,3,0,11,,,,,,,,3,,,46,85,
137,note_on,89,0,9,,,,,,,,3,,,62,0,
141,note_on,45,0,10,,,,,,,,3,,,58,0,
141,note_on,45,0,11,,,,,,,,3,,,46,0,
144,note_on,3,0,10,,,,,,,,3,,,58,85,
144,note_on,7,0,9,,,,,,,,3,,,65,85,
144,note_on,3,0,11,,,,,,,,3,,,46,85,
177,note_on,177,0,8,,,,,,,,3,,,62,0,
177,note_on,177,0,1,,,,,,,,0,,,70,0,
177,note_on,0,0,8,,,,,,,,3,,,70,0,
189,note_on,45,0,11,,,,,,,,3,,,46,0,
189,note_on,45,0,10,,,,,,,,3,,,58,0,
192,note_on,3,0,11,,,,,,,,3,,,46,85,
192,note_on,15,0,8,,,,,,,,3,,,74,85,
192,note_on,3,0,10,,,,,,,,3,,,58,85,
192,note_on,15,0,1,,,,,,,,0,,,74,64,
233,note_on,89,0,9,,,,,,,,3,,,65,0,
237,note_on,45,0,10,,,,,,,,3,,,58,0,
237,note_on,45,0,11,,,,,,,,3,,,46,0,
240,note_on,3,0,10,,,,,,,,3,,,58,85,
240,note_on,3,0,11,,,,,,,,3,,,46,85,
240,note_on,7,0,9,,,,,,,,3,,,62,85,
281,note_on,89,0,1,,,,,,,,0,,,74,0,
281,note_on,89,0,8,,,,,,,,3,,,74,0,
285,note_on,45,0,11,,,,,,,,3,,,46,0,
285,note_on,45,0,10,,,,,,,,3,,,58,0,
288,note_on,7,0,8,,,,,,,,3,,,70,85,
288,note_on,7,0,1,,,,,,,,0,,,70,64,
288,note_on,3,0,10,,,,,,,,3,,,58,85,
288,note_on,3,0,11,,,,,,,,3,,,46,85,
329,note_on,89,0,9,,,,,,,,3,,,62,0,
333,note_on,45,0,11,,,,,,,,3,,,46,0,
333,note_on,45,0,10,,,,,,,,3,,,58,0,
336,note_on,7,0,9,,,,,,,,3,,,65,85,
336,note_on,3,0,11,,,,,,,,3,,,46,85,
336,note_on,3,0,10,,,,,,,,3,,,58,85,
354,note_on,354,0,3,,,,,,,,1,,,62,0,
354,note_on,0,0,3,,,,,,,,1,,,70,0,
377,note_on,89,0,8,,,,,,,,3,,,70,0,
377,note_on,89,0,1,,,,,,,,0,,,70,0,
381,note_on,45,0,11,,,,,,,,3,,,46,0,
381,note_on,45,0,10,,,,,,,,3,,,58,0,
384,note_on,30,0,3,,,,,,,,1,,,72,64,
384,note_on,3,0,10,,,,,,,,3,,,57,85,
384,note_on,3,0,11,,,,,,,,3,,,45,85,
384,note_on,7,0,8,,,,,,,,3,,,77,85,
384,note_on,0,0,3,,,,,,,,1,,,65,64,
384,note_on,7,0,1,,,,,,,,0,,,77,64,
429,note_on,93,0,9,,,,,,,,3,,,65,0,
429,note_on,45,0,11,,,,,,,,3,,,45,0,
429,note_on,45,0,10,,,,,,,,3,,,57,0,
432,note_on,3,0,10,,,,,,,,3,,,57,85,
432,note_on,3,0,11,,,,,,,,3,,,45,85,
432,note_on,3,0,9,,,,,,,,3,,,65,85,
477,note_on,45,0,11,,,,,,,,3,,,45,0,
477,note_on,45,0,10,,,,,,,,3,,,57,0,
480,note_on,3,0,11,,,,,,,,3,,,45,85,
480,note_on,3,0,10,,,,,,,,3,,,57,85,
521,note_on,89,0,9,,,,,,,,3,,,65,0,
525,note_on,45,0,10,,,,,,,,3,,,57,0,
525,note_on,45,0,11,,,,,,,,3,,,45,0,
528,note_on,3,0,10,,,,,,,,3,,,57,85,
528,note_on,7,0,9,,,,,,,,3,,,72,85,
528,note_on,3,0,11,,,,,,,,3,,,45,85,
547,note_on,163,0,8,,,,,,,,3,,,77,0,
547,note_on,163,0,1,,,,,,,,0,,,77,0,
552,note_on,5,0,8,,,,,,,,3,,,79,85,
552,note_on,5,0,1,,,,,,,,0,,,79,64,
561,note_on,177,0,3,,,,,,,,1,,,65,0,
561,note_on,0,0,3,,,,,,,,1,,,72,0,
573,note_on,45,0,10,,,,,,,,3,,,57,0,
573,note_on,45,0,11,,,,,,,,3,,,45,0,
575,note_on,23,0,8,,,,,,,,3,,,79,0,
575,note_on,23,0,1,,,,,,,,0,,,79,0,
576,note_on,1,0,8,,,,,,,,3,,,77,85,
576,note_on,15,0,3,,,,,,,,1,,,72,64,
576,note_on,0,0,3,,,,,,,,1,,,65,64,
576,note_on,3,0,11,,,,,,,,3,,,45,85,
576,note_on,1,0,1,,,,,,,,0,,,77,64,
576,note_on,3,0,10,,,,,,,,3,,,57,85,
615,note_on,39,0,1,,,,,,,,0,,,77,0,
617,note_on,89,0,9,,,,,,,,3,,,72,0,
621,note_on,45,0,11,,,,,,,,3,,,45,0,
621,note_on,45,0,10,,,,,,,,3,,,57,0,
624,note_on,3,0,11,,,,,,,,3,,,45,85,
624,note_on,3,0,10,,,,,,,,3,,,57,85,
624,note_on,7,0,9,,,,,,,,3,,,69,85,
665,note_on,0,0,3,,,,,,,,1,,,72,0,
665,note_on,89,0,3,,,,,,,,1,,,65,0,
665,note_on,89,0,8,,,,,,,,3,,,77,0,
669,note_on,45,0,10,,,,,,,,3,,,57,0,
669,note_on,45,0,11,,,,,,,,3,,,45,0,
672,note_on,3,0,10,,,,,,,,3,,,57,85,
672,note_on,3,0,11,,,,,,,,3,,,45,85,
713,note_on,89,0,9,,,,,,,,3,,,69,0,
717,note_on,45,0,10,,,,,,,,3,,,57,0,
717,note_on,45,0,11,,,,,,,,3,,,45,0,
720,note_on,3,0,10,,,,,,,,3,,,57,64,
720,note_on,7,0,9,,,,,,,,3,,,72,64,
720,note_on,55,0,8,,,,,,,,3,,,77,64,
720,note_on,3,0,11,,,,,,,,3,,,45,64,
765,note_on,45,0,8,,,,,,,,3,,,77,0,
765,note_on,45,0,10,,,,,,,,3,,,57,0,
765,note_on,45,0,9,,,,,,,,3,,,72,0,
765,note_on,45,0,11,,,,,,,,3,,,45,0,
768,note_on,3,0,8,,,,,,,,3,,,75,64,
768,note_on,3,0,10,,,,,,,,3,,,55,64,
768,note_on,3,0,9,,,,,,,,3,,,70,64,
768,note_on,3,0,11,,,,,,,,3,,,43,64,
813,note_on,45,0,10,,,,,,,,3,,,55,0,
813,note_on,45,0,11,,,,,,,,3,,,43,0,
813,note_on,45,0,9,,,,,,,,3,,,70,0,
816,note_on,3,0,11,,,,,,,,3,,,43,64,
816,note_on,3,0,9,,,,,,,,3,,,70,64,
816,note_on,3,0,10,,,,,,,,3,,,67,64,
861,note_on,45,0,10,,,,,,,,3,,,67,0,
861,note_on,45,0,9,,,,,,,,3,,,70,0,
861,note_on,45,0,11,,,,,,,,3,,,43,0,
864,note_on,3,0,10,,,,,,,,3,,,67,64,
864,note_on,3,0,9,,,,,,,,3,,,70,64,
864,note_on,3,0,11,,,,,,,,3,,,43,64,
909,note_on,45,0,10,,,,,,,,3,,,67,0,
909,note_on,45,0,9,,,,,,,,3,,,70,0,
909,note_on,45,0,11,,,,,,,,3,,,43,0,
912,note_on,3,0,11,,,,,,,,3,,,43,64,
912,note_on,3,0,9,,,,,,,,3,,,70,64,
912,note_on,3,0,10,,,,,,,,3,,,67,64,
945,note_on,177,0,8,,,,,,,,3,,,75,0,
957,note_on,45,0,9,,,,,,,,3,,,70,0,
957,note_on,45,0,10,,,,,,,,3,,,67,0,
957,note_on,45,0,11,,,,,,,,3,,,43,0,
960,note_on,3,0,11,,,,,,,,3,,,41,64,
960,note_on,3,0,9,,,,,,,,3,,,69,64,
960,note_on,3,0,10,,,,,,,,3,,,65,64,
960,note_on,15,0,8,,,,,,,,3,,,74,64,
1005,note_on,45,0,11,,,,,,,,3,,,41,0,
1005,note_on,45,0,9,,,,,,,,3,,,69,0,
1005,note_on,45,0,10,,,,,,,,3,,,65,0,
1008,note_on,3,0,9,,,,,,,,3,,,69,64,
1008,note_on,3,0,10,,,,,,,,3,,,65,64,
1008,note_on,3,0,11,,,,,,,,3,,,41,64,
1049,note_on,89,0,8,,,,,,,,3,,,74,0,
1053,note_on,45,0,10,,,,,,,,3,,,65,0,
1053,note_on,45,0,11,,,,,,,,3,,,41,0,
1053,note_on,45,0,9,,,,,,,,3,,,69,0,
1056,note_on,7,0,8,,,,,,,,3,,,79,64,
1056,note_on,3,0,9,,,,,,,,3,,,67,64,
1056,note_on,3,0,10,,,,,,,,3,,,63,64,
1056,note_on,3,0,11,,,,,,,,3,,,39,64,
1101,note_on,45,0,9,,,,,,,,3,,,67,0,
1101,note_on,45,0,10,,,,,,,,3,,,63,0,
1101,note_on,45,0,11,,,,,,,,3,,,39,0,
1104,note_on,3,0,9,,,,,,,,3,,,67,64,
1104,note_on,3,0,10,,,,,,,,3,,,63,64,
1104,note_on,3,0,11,,,,,,,,3,,,39,64,
1145,note_on,89,0,8,,,,,,,,3,,,79,0,
1149,note_on,45,0,11,,,,,,,,3,,,39,0,
1149,note_on,45,0,9,,,,,,,,3,,,67,0,
1149,note_on,45,0,10,,,,,,,,3,,,63,0,
1152,note_on,7,0,8,,,,,,,,3,,,70,64,
1152,note_on,3,0,11,,,,,,,,3,,,41,64,
1152,note_on,3,0,10,,,,,,,,3,,,62,64,
1152,note_on,3,0,9,,,,,,,,3,,,65,64,
1197,note_on,45,0,9,,,,,,,,3,,,65,0,
1197,note_on,45,0,10,,,,,,,,3,,,62,0,
1197,note_on,45,0,11,,,,,,,,3,,,41,0,
1200,note_on,3,0,10,,,,,,,,3,,,62,64,
1200,note_on,3,0,9,,,,,,,,3,,,65,64,
1200,note_on,3,0,11,,,,,,,,3,,,41,64,
1241,note_on,89,0,8,,,,,,,,3,,,70,0,
1245,note_on,45,0,10,,,,,,,,3,,,62,0,
1245,note_on,45,0,9,,,,,,,,3,,,65,0,
1245,note_on,45,0,11,,,,,,,,3,,,41,0,
1248,note_on,3,0,11,,,,,,,,3,,,39,64,
1248,note_on,7,0,8,,,,,,,,3,,,69,64,
