tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,note,velocity,control,value
0,time_signature,4,8,12,8,0,1,0,,,,,,,,,
0,note_on,,,,,0,0,2,,,,,0,48,44,,
0,track_name,,,,,0,1,11,,,,,,,,,
0,midi_port,,,,,0,1,3,,,0,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,program_change,,,,,0,0,3,,,,52,1,,,,
0,midi_port,,,,,0,1,4,,,0,,,,,,
0,track_name,,,,,0,1,4,,,,,,,,,
0,midi_port,,,,,0,1,5,,,0,,,,,,
0,track_name,,,,,0,1,5,,,,,,,,,
0,midi_port,,,,,0,1,6,,,0,,,,,,
0,track_name,,,,,0,1,6,,,,,,,,,
0,midi_port,,,,,0,1,7,,,0,,,,,,
0,track_name,,,,,0,1,7,,,,,,,,,
0,program_change,,,,,0,0,7,,,,53,2,,,,
0,midi_port,,,,,0,1,8,,,0,,,,,,
0,track_name,,,,,0,1,8,,,,,,,,,
0,midi_port,,,,,0,1,9,,,0,,,,,,
0,track_name,,,,,0,1,9,,,,,,,,,
0,midi_port,,,,,0,1,10,,,0,,,,,,
0,track_name,,,,,0,1,10,,,,,,,,,
0,midi_port,,,,,0,1,11,,,0,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,,,
0,end_of_track,,,,,0,1,11,,,,,,,,,
0,key_signature,,,,,0,1,0,C,,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,program_change,,,,,0,0,1,,,,1,0,,,,
0,set_tempo,,,,,0,1,0,,666667,,,,,,,
0,marker,,,,,0,1,0,,,,,,,,,
0,note_on,,,,,0,0,1,,,,,0,79,70,,
22,note_on,,,,,22,0,2,,,,,0,48,0,,
30,note_on,,,,,8,0,2,,,,,0,60,44,,
41,note_on,,,,,11,0,2,,,,,0,60,0,,
60,note_on,,,,,19,0,2,,,,,0,64,49,,
74,note_on,,,,,14,0,2,,,,,0,64,0,,
90,note_on,,,,,16,0,2,,,,,0,60,35,,
102,note_on,,,,,12,0,2,,,,,0,60,0,,
120,note_on,,,,,18,0,2,,,,,0,64,30,,
133,note_on,,,,,13,0,2,,,,,0,64,0,,
150,note_on,,,,,17,0,2,,,,,0,60,39,,
164,note_on,,,,,14,0,2,,,,,0,60,0,,
177,note_on,,,,,177,0,1,,,,,0,79,0,,
180,note_on,,,,,16,0,2,,,,,0,65,55,,
180,note_on,,,,,3,0,1,,,,,0,81,70,,
183,control_change,,,,,3,0,1,,,,,0,,,10,56
195,note_on,,,,,15,0,2,,,,,0,65,0,,
210,note_on,,,,,15,0,2,,,,,0,60,30,,
225,note_on,,,,,42,0,1,,,,,0,81,0,,
225,note_on,,,,,15,0,2,,,,,0,60,0,,
240,note_on,,,,,15,0,2,,,,,0,48,35,,
240,note_on,,,,,15,0,1,,,,,0,81,70,,
264,note_on,,,,,24,0,2,,,,,0,48,0,,
270,note_on,,,,,30,0,1,,,,,0,79,62,,
270,note_on,,,,,6,0,2,,,,,0,64,49,,
275,note_on,,,,,5,0,1,,,,,0,81,0,,
297,note_on,,,,,27,0,2,,,,,0,64,0,,
300,note_on,,,,,3,0,2,,,,,0,62,44,,
300,note_on,,,,,25,0,1,,,,,0,77,62,,
303,note_on,,,,,3,0,1,,,,,0,79,0,,
321,note_on,,,,,21,0,2,,,,,0,62,0,,
325,note_on,,,,,22,0,1,,,,,0,77,0,,
330,note_on,,,,,5,0,1,,,,,0,76,55,,
330,note_on,,,,,9,0,2,,,,,0,60,44,,
340,note_on,,,,,10,0,2,,,,,0,60,0,,
343,note_on,,,,,13,0,1,,,,,0,76,0,,
360,note_on,,,,,17,0,1,,,,,0,81,62,,
360,note_on,,,,,20,0,2,,,,,0,65,49,,
371,note_on,,,,,11,0,2,,,,,0,65,0,,
378,note_on,,,,,18,0,1,,,,,0,81,0,,
390,note_on,,,,,19,0,2,,,,,0,60,39,,
403,note_on,,,,,13,0,2,,,,,0,60,0,,
420,note_on,,,,,42,0,1,,,,,0,81,62,,
420,note_on,,,,,17,0,2,,,,,0,65,44,,
435,note_on,,,,,15,0,2,,,,,0,65,0,,
438,note_on,,,,,18,0,1,,,,,0,81,0,,
450,note_on,,,,,15,0,2,,,,,0,60,30,,
464,note_on,,,,,14,0,2,,,,,0,60,0,,
480,note_on,,,,,16,0,2,,,,,0,48,49,,
480,note_on,,,,,42,0,1,,,,,0,81,62,,
498,note_on,,,,,18,0,2,,,,,0,48,0,,
510,note_on,,,,,12,0,2,,,,,0,60,35,,
523,note_on,,,,,13,0,2,,,,,0,60,0,,
538,note_on,,,,,58,0,1,,,,,0,81,0,,
540,note_on,,,,,2,0,1,,,,,0,79,55,,
540,note_on,,,,,17,0,2,,,,,0,64,39,,
554,note_on,,,,,14,0,2,,,,,0,64,0,,
570,note_on,,,,,16,0,2,,,,,0,60,30,,
