tick,type,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,93,0,6,,,
0,control_change,0,0,7,,,,,,,,91,127,6,,,
0,control_change,0,0,1,,,,,,,,91,127,0,,,
0,control_change,0,0,3,,,,,,,,91,127,2,,,
0,control_change,0,0,3,,,,,,,,93,0,2,,,
0,control_change,0,0,2,,,,,,,,91,127,1,,,
0,control_change,0,0,2,,,,,,,,93,0,1,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,91,127,5,,,
0,control_change,0,0,6,,,,,,,,93,0,5,,,
0,control_change,0,0,4,,,,,,,,91,127,3,,,
0,control_change,0,0,5,,,,,,,,93,0,4,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,93,0,0,,,
0,set_tempo,0,1,0,,,,,,,375000,,,,,,
0,key_signature,0,1,0,,,,,,A,,,,,,,
0,time_signature,0,1,0,,4,4,24,8,,,,,,,,
0,sysex,0,0,0,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,91,127,4,,,
0,control_change,0,0,4,,,,,,,,93,0,3,,,
120,control_change,120,0,1,,,,,,,,0,0,0,,,
121,control_change,1,0,1,,,,,,,,32,0,0,,,
122,program_change,1,0,1,,,,,,,,,,0,68,,
123,control_change,1,0,1,,,,,,,,7,95,0,,,
123,control_change,0,0,1,,,,,,,,10,90,0,,,
125,control_change,125,0,2,,,,,,,,0,0,1,,,
126,control_change,1,0,2,,,,,,,,32,0,1,,,
127,program_change,1,0,2,,,,,,,,,,1,60,,
128,control_change,1,0,2,,,,,,,,7,95,1,,,
128,control_change,0,0,2,,,,,,,,10,35,1,,,
130,control_change,130,0,3,,,,,,,,0,0,2,,,
131,control_change,1,0,3,,,,,,,,32,0,2,,,
132,program_change,1,0,3,,,,,,,,,,2,48,,
133,control_change,1,0,3,,,,,,,,7,110,2,,,
133,control_change,0,0,3,,,,,,,,10,25,2,,,
135,control_change,135,0,4,,,,,,,,0,0,3,,,
136,control_change,1,0,4,,,,,,,,32,0,3,,,
137,program_change,1,0,4,,,,,,,,,,3,48,,
138,control_change,0,0,4,,,,,,,,10,45,3,,,
138,control_change,1,0,4,,,,,,,,7,110,3,,,
140,control_change,140,0,5,,,,,,,,0,0,4,,,
141,control_change,1,0,5,,,,,,,,32,0,4,,,
142,program_change,1,0,5,,,,,,,,,,4,48,,
143,control_change,0,0,5,,,,,,,,10,64,4,,,
143,control_change,1,0,5,,,,,,,,7,110,4,,,
145,control_change,145,0,6,,,,,,,,0,0,5,,,
146,control_change,1,0,6,,,,,,,,32,0,5,,,
147,program_change,1,0,6,,,,,,,,,,5,48,,
148,control_change,1,0,6,,,,,,,,7,110,5,,,
