tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity,pitch
0,track_name,0,1,0,,,,,,,,,,,,,,
0,program_change,0,0,5,,,,,,,,60,4,,,,,
0,control_change,0,0,5,,,,,,,,,4,7,106,,,
0,control_change,0,0,5,,,,,,,,,4,10,83,,,
0,text,0,1,5,,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,,
0,program_change,0,0,6,,,,,,,,60,5,,,,,
0,control_change,0,0,6,,,,,,,,,5,7,106,,,
0,control_change,0,0,6,,,,,,,,,5,10,86,,,
0,track_name,0,1,5,,,,,,,,,,,,,,
0,text,0,1,6,,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,,
0,program_change,0,0,7,,,,,,,,56,6,,,,,
0,control_change,0,0,7,,,,,,,,,6,7,108,,,
0,control_change,0,0,7,,,,,,,,,6,10,45,,,
0,text,0,1,7,,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,,
0,program_change,0,0,8,,,,,,,,56,7,,,,,
0,control_change,0,0,8,,,,,,,,,7,7,106,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,,
0,control_change,0,0,8,,,,,,,,,7,10,41,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,,
0,control_change,0,0,4,,,,,,,,,3,10,50,,,
0,program_change,0,0,1,,,,,,,,68,0,,,,,
0,control_change,0,0,1,,,,,,,,,0,7,102,,,
0,control_change,0,0,1,,,,,,,,,0,10,71,,,
0,text,0,1,1,,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,68,1,,,,,
0,control_change,0,0,2,,,,,,,,,1,7,101,,,
0,control_change,0,0,2,,,,,,,,,1,10,77,,,
0,text,0,1,4,,,,,,,,,,,,,,
0,text,0,1,2,,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,,70,2,,,,,
0,control_change,0,0,3,,,,,,,,,2,7,101,,,
0,control_change,0,0,3,,,,,,,,,2,10,54,,,
0,text,0,1,3,,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,70,3,,,,,
0,control_change,0,0,4,,,,,,,,,3,7,101,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,,
0,text,0,1,8,,,,,,,,,,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,,
0,program_change,0,0,13,,,,,,,,48,13,,,,,
0,control_change,0,0,13,,,,,,,,,13,7,109,,,
0,control_change,0,0,13,,,,,,,,,13,10,58,,,
0,text,0,1,13,,,,,,,,,,,,,,
0,midi_port,0,1,14,,,,,,,0,,,,,,,
0,track_name,0,1,14,,,,,,,,,,,,,,
0,program_change,0,0,14,,,,,,,,48,14,,,,,
0,control_change,0,0,14,,,,,,,,,14,7,115,,,
0,control_change,0,0,14,,,,,,,,,14,10,82,,,
0,track_name,0,1,13,,,,,,,,,,,,,,
0,text,0,1,14,,,,,,,,,,,,,,
0,track_name,0,1,15,,,,,,,,,,,,,,
0,program_change,0,0,15,,,,,,,,48,15,,,,,
0,control_change,0,0,15,,,,,,,,,15,7,107,,,
0,control_change,0,0,15,,,,,,,,,15,10,64,,,
0,text,0,1,15,,,,,,,,,,,,,,
0,midi_port,0,1,16,,,,,,,0,,,,,,,
0,track_name,0,1,16,,,,,,,,,,,,,,
0,text,0,1,16,,,,,,,,,,,,,,
0,midi_port,0,1,17,,,,,,,0,,,,,,,
0,midi_port,0,1,15,,,,,,,0,,,,,,,
0,midi_port,0,1,13,,,,,,,0,,,,,,,
0,text,0,1,12,,,,,,,,,,,,,,
0,control_change,0,0,12,,,,,,,,,12,10,90,,,
0,program_change,0,0,9,,,,,,,,47,8,,,,,
0,control_change,0,0,9,,,,,,,,,8,7,105,,,
0,control_change,0,0,9,,,,,,,,,8,10,81,,,
0,text,0,1,9,,,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,,
0,program_change,0,0,10,,,,,,,,48,10,,,,,
0,control_change,0,0,10,,,,,,,,,10,7,127,,,
0,control_change,0,0,10,,,,,,,,,10,10,60,,,
0,text,0,1,10,,,,,,,,,,,,,,
0,track_name,0,1,17,,,,,,,,,,,,,,
0,midi_port,0,1,11,,,,,,,0,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,,
0,program_change,0,0,11,,,,,,,,48,11,,,,,
0,control_change,0,0,11,,,,,,,,,11,7,118,,,
0,control_change,0,0,11,,,,,,,,,11,10,40,,,
0,text,0,1,11,,,,,,,,,,,,,,
0,midi_port,0,1,12,,,,,,,0,,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,,,
0,program_change,0,0,12,,,,,,,,48,12,,,,,
0,control_change,0,0,12,,,,,,,,,12,7,115,,,
0,track_name,0,1,1,,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,,
0,end_of_track,0,1,17,,,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,,,
0,set_tempo,0,1,0,,,,,,389610,,,,,,,,
96,control_change,96,0,2,,,,,,,,,1,121,0,,,
96,control_change,96,0,4,,,,,,,,,3,121,0,,,
96,control_change,96,0,5,,,,,,,,,4,121,0,,,
96,control_change,96,0,11,,,,,,,,,11,121,0,,,
96,control_change,96,0,6,,,,,,,,,5,121,0,,,
96,control_change,96,0,7,,,,,,,,,6,121,0,,,
96,control_change,96,0,9,,,,,,,,,8,121,0,,,
96,control_change,96,0,13,,,,,,,,,13,121,0,,,
96,control_change,96,0,14,,,,,,,,,14,121,0,,,
96,control_change,96,0,12,,,,,,,,,12,121,0,,,
96,control_change,96,0,15,,,,,,,,,15,121,0,,,
96,control_change,96,0,3,,,,,,,,,2,121,0,,,
96,control_change,96,0,1,,,,,,,,,0,121,0,,,
96,control_change,96,0,10,,,,,,,,,10,121,0,,,
96,control_change,96,0,8,,,,,,,,,7,121,0,,,
192,control_change,96,0,7,,,,,,,,,6,93,7,,,
192,control_change,96,0,9,,,,,,,,,8,91,54,,,
192,control_change,96,0,8,,,,,,,,,7,91,54,,,
192,control_change,96,0,3,,,,,,,,,2,91,54,,,
192,control_change,96,0,11,,,,,,,,,11,91,54,,,
192,control_change,96,0,13,,,,,,,,,13,91,54,,,
192,control_change,96,0,10,,,,,,,,,10,91,54,,,
192,control_change,96,0,6,,,,,,,,,5,91,54,,,
192,control_change,96,0,14,,,,,,,,,14,91,54,,,
192,control_change,96,0,12,,,,,,,,,12,91,54,,,
192,control_change,96,0,15,,,,,,,,,15,91,54,,,
192,control_change,96,0,4,,,,,,,,,3,91,54,,,
192,control_change,96,0,2,,,,,,,,,1,91,54,,,
