tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,10,10,96,,
0,control_change,0,0,10,,,,,,,,10,7,74,,
0,control_change,0,0,10,,,,,,,,10,7,74,,
0,program_change,0,0,10,,,,,,,48,10,,,,
0,program_change,0,0,10,,,,,,,48,10,,,,
0,track_name,0,1,10,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,60,3,,,,
0,control_change,0,0,4,,,,,,,,3,7,50,,
0,control_change,0,0,4,,,,,,,,3,10,46,,
0,control_change,0,0,4,,,,,,,,3,121,0,,
0,control_change,0,0,4,,,,,,,,3,91,78,,
0,track_name,0,1,5,,,,,,,,,,,,
0,program_change,0,0,5,,,,,,,0,4,,,,
0,control_change,0,0,5,,,,,,,,4,7,120,,
0,control_change,0,0,5,,,,,,,,4,10,51,,
0,control_change,0,0,5,,,,,,,,4,10,51,,
0,control_change,0,0,5,,,,,,,,4,121,0,,
0,control_change,0,0,5,,,,,,,,4,121,0,,
0,control_change,0,0,5,,,,,,,,4,91,60,,
0,control_change,0,0,5,,,,,,,,4,91,60,,
0,control_change,0,0,5,,,,,,,,4,7,87,,
0,note_on,0,0,9,,,,,,,,8,,,58,52
0,control_change,0,0,9,,,,,,,,8,91,91,,
0,control_change,0,0,9,,,,,,,,8,121,0,,
0,control_change,0,0,9,,,,,,,,8,10,96,,
0,control_change,0,0,11,,,,,,,,11,10,96,,
0,control_change,0,0,9,,,,,,,,8,7,74,,
0,program_change,0,0,9,,,,,,,48,8,,,,
0,control_change,0,0,10,,,,,,,,10,121,0,,
0,program_change,0,0,9,,,,,,,48,8,,,,
0,control_change,0,0,10,,,,,,,,10,91,91,,
0,control_change,0,0,3,,,,,,,,2,91,72,,
0,control_change,0,0,11,,,,,,,,11,91,76,,
0,control_change,0,0,11,,,,,,,,11,10,32,,
0,control_change,0,0,11,,,,,,,,11,7,90,,
0,control_change,0,0,11,,,,,,,,11,7,90,,
0,control_change,0,0,11,,,,,,,,11,10,112,,
0,control_change,0,0,11,,,,,,,,11,7,95,,
0,control_change,0,0,11,,,,,,,,11,91,60,,
0,control_change,0,0,11,,,,,,,,11,91,60,,
0,control_change,0,0,11,,,,,,,,11,121,0,,
0,control_change,0,0,11,,,,,,,,11,121,0,,
0,control_change,0,0,11,,,,,,,,11,121,0,,
0,control_change,0,0,11,,,,,,,,11,121,0,,
0,control_change,0,0,11,,,,,,,,11,10,16,,
0,control_change,0,0,11,,,,,,,,11,7,100,,
0,control_change,0,0,11,,,,,,,,11,7,100,,
0,program_change,0,0,11,,,,,,,48,11,,,,
0,program_change,0,0,11,,,,,,,48,11,,,,
0,track_name,0,1,11,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,68,1,,,,
0,control_change,0,0,2,,,,,,,,1,7,65,,
0,control_change,0,0,2,,,,,,,,1,10,54,,
0,control_change,0,0,2,,,,,,,,1,121,0,,
0,control_change,0,0,2,,,,,,,,1,91,69,,
0,track_name,0,1,3,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,70,2,,,,
0,control_change,0,0,3,,,,,,,,2,7,65,,
0,control_change,0,0,3,,,,,,,,2,10,70,,
0,control_change,0,0,3,,,,,,,,2,121,0,,
0,note_on,0,0,10,,,,,,,,10,,,46,52
0,track_name,0,1,9,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,8,7,74,,
0,control_change,0,0,11,,,,,,,,11,91,91,,
0,control_change,0,0,7,,,,,,,,6,10,112,,
0,track_name,0,1,7,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,7,7,80,,
0,program_change,0,0,8,,,,,,,48,7,,,,
0,program_change,0,0,8,,,,,,,48,7,,,,
0,track_name,0,1,8,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,6,121,0,,
0,program_change,0,0,6,,,,,,,48,5,,,,
0,control_change,0,0,6,,,,,,,,5,10,16,,
0,control_change,0,0,6,,,,,,,,5,121,0,,
0,control_change,0,0,6,,,,,,,,5,91,60,,
0,note_on,0,0,6,,,,,,,,5,,,70,56
0,control_change,0,0,7,,,,,,,,6,7,67,,
0,control_change,0,0,7,,,,,,,,6,7,67,,
0,program_change,0,0,7,,,,,,,48,6,,,,
0,program_change,0,0,7,,,,,,,48,6,,,,
0,control_change,0,0,6,,,,,,,,5,7,86,,
