tick,type,key,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,program,note,velocity
0,key_signature,A,0,1,0,,,,,,,,,,,
0,note_on,,0,0,1,,,,,,,,0,,76,127
0,program_change,,0,0,1,,,,,,,,0,0,,
0,control_change,,0,0,1,,,,,,10,35,0,,,
0,control_change,,0,0,1,,,,,,7,90,0,,,
0,track_name,,0,1,1,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,
0,control_change,,0,0,2,,,,,,10,90,1,,,
0,note_on,,0,0,2,,,,,,,,1,,57,127
0,set_tempo,,0,1,0,461538,,,,,,,,,,
0,time_signature,,0,1,0,,2,4,24,8,,,,,,
0,control_change,,0,0,2,,,,,,7,85,1,,,
0,program_change,,0,0,2,,,,,,,,1,0,,
60,note_on,,0,0,1,,,,,,,,0,,76,0
60,note_on,,60,0,1,,,,,,,,0,,73,127
119,note_on,,119,0,2,,,,,,,,1,,57,0
120,polytouch,,1,0,2,,,,,,,64,1,,57,
120,note_on,,60,0,1,,,,,,,,0,,71,127
120,note_on,,0,0,1,,,,,,,,0,,73,0
140,note_on,,20,0,1,,,,,,,,0,,73,127
140,note_on,,0,0,1,,,,,,,,0,,71,0
160,note_on,,0,0,1,,,,,,,,0,,73,0
160,note_on,,20,0,1,,,,,,,,0,,71,127
180,note_on,,20,0,1,,,,,,,,0,,69,127
180,note_on,,0,0,1,,,,,,,,0,,71,0
240,note_on,,60,0,1,,,,,,,,0,,81,127
240,note_on,,0,0,1,,,,,,,,0,,69,0
240,note_on,,120,0,2,,,,,,,,1,,45,127
300,note_on,,0,0,2,,,,,,,,1,,45,0
300,note_on,,60,0,2,,,,,,,,1,,57,127
359,note_on,,119,0,1,,,,,,,,0,,81,0
360,note_on,,0,0,2,,,,,,,,1,,57,0
360,note_on,,60,0,2,,,,,,,,1,,52,127
360,polytouch,,1,0,1,,,,,,,64,0,,81,
420,note_on,,60,0,2,,,,,,,,1,,49,127
420,note_on,,0,0,2,,,,,,,,1,,52,0
480,note_on,,60,0,2,,,,,,,,1,,45,127
480,note_on,,120,0,1,,,,,,,,0,,76,127
480,note_on,,0,0,2,,,,,,,,1,,49,0
540,note_on,,60,0,1,,,,,,,,0,,73,127
540,note_on,,0,0,1,,,,,,,,0,,76,0
599,note_on,,119,0,2,,,,,,,,1,,45,0
600,note_on,,60,0,1,,,,,,,,0,,71,127
600,note_on,,0,0,1,,,,,,,,0,,73,0
600,polytouch,,1,0,2,,,,,,,64,1,,57,
620,note_on,,20,0,1,,,,,,,,0,,73,127
620,note_on,,0,0,1,,,,,,,,0,,71,0
640,note_on,,20,0,1,,,,,,,,0,,71,127
640,note_on,,0,0,1,,,,,,,,0,,73,0
660,note_on,,0,0,1,,,,,,,,0,,71,0
660,note_on,,20,0,1,,,,,,,,0,,69,127
720,note_on,,60,0,1,,,,,,,,0,,81,127
720,note_on,,120,0,2,,,,,,,,1,,45,127
720,note_on,,0,0,1,,,,,,,,0,,69,0
780,note_on,,0,0,2,,,,,,,,1,,45,0
780,note_on,,60,0,2,,,,,,,,1,,57,127
837,note_on,,57,0,2,,,,,,,,1,,57,0
839,note_on,,119,0,1,,,,,,,,0,,81,0
840,polytouch,,1,0,1,,,,,,,64,0,,81,
840,note_on,,3,0,2,,,,,,,,1,,49,127
900,note_on,,60,0,2,,,,,,,,1,,57,127
900,note_on,,0,0,2,,,,,,,,1,,49,0
957,note_on,,57,0,2,,,,,,,,1,,57,0
960,note_on,,120,0,1,,,,,,,,0,,81,127
960,note_on,,3,0,2,,,,,,,,1,,47,127
1020,note_on,,0,0,1,,,,,,,,0,,81,0
1020,note_on,,60,0,1,,,,,,,,0,,80,127
1020,note_on,,0,0,2,,,,,,,,1,,47,0
1020,note_on,,60,0,2,,,,,,,,1,,59,127
1077,note_on,,57,0,1,,,,,,,,0,,80,0
1077,note_on,,57,0,2,,,,,,,,1,,59,0
1080,note_on,,3,0,2,,,,,,,,1,,57,127
1080,note_on,,3,0,1,,,,,,,,0,,80,127
1140,note_on,,60,0,1,,,,,,,,0,,78,127
1140,note_on,,0,0,1,,,,,,,,0,,80,0
1197,note_on,,57,0,1,,,,,,,,0,,78,0
1199,note_on,,119,0,2,,,,,,,,1,,57,0
1200,note_on,,1,0,2,,,,,,,,1,,56,127
1200,note_on,,3,0,1,,,,,,,,0,,78,127
1260,note_on,,0,0,1,,,,,,,,0,,78,0
1260,note_on,,60,0,1,,,,,,,,0,,76,127
1317,note_on,,57,0,1,,,,,,,,0,,76,0
1319,note_on,,119,0,2,,,,,,,,1,,56,0
1320,note_on,,1,0,2,,,,,,,,1,,54,127
1320,note_on,,3,0,1,,,,,,,,0,,76,127
1380,note_on,,0,0,1,,,,,,,,0,,76,0
1380,note_on,,60,0,1,,,,,,,,0,,74,127
1437,note_on,,57,0,1,,,,,,,,0,,74,0
1439,note_on,,119,0,2,,,,,,,,1,,54,0
1440,note_on,,1,0,2,,,,,,,,1,,52,127
1440,note_on,,3,0,1,,,,,,,,0,,73,127
1500,note_on,,0,0,1,,,,,,,,0,,73,0
1500,note_on,,60,0,1,,,,,,,,0,,76,127
1557,note_on,,57,0,1,,,,,,,,0,,76,0
1559,note_on,,119,0,2,,,,,,,,1,,52,0
1560,note_on,,1,0,2,,,,,,,,1,,50,127
1560,note_on,,3,0,1,,,,,,,,0,,68,127
1619,note_on,,59,0,1,,,,,,,,0,,68,0
1620,note_on,,1,0,1,,,,,,,,0,,71,127
1679,note_on,,59,0,1,,,,,,,,0,,71,0
1679,note_on,,119,0,2,,,,,,,,1,,50,0
1680,note_on,,1,0,2,,,,,,,,1,,49,127
1680,note_on,,1,0,1,,,,,,,,0,,69,127
1799,note_on,,119,0,2,,,,,,,,1,,49,0
1799,note_on,,119,0,1,,,,,,,,0,,69,0
1800,note_on,,1,0,2,,,,,,,,1,,45,127
1800,polytouch,,1,0,1,,,,,,,64,0,,69,
1919,note_on,,119,0,2,,,,,,,,1,,45,0
1920,note_on,,1,0,2,,,,,,,,1,,57,127
1920,note_on,,120,0,1,,,,,,,,0,,76,127
1980,note_on,,0,0,1,,,,,,,,0,,76,0
1980,note_on,,60,0,1,,,,,,,,0,,73,127
2039,note_on,,119,0,2,,,,,,,,1,,57,0
2040,note_on,,60,0,1,,,,,,,,0,,71,127
2040,polytouch,,1,0,2,,,,,,,64,1,,57,
2040,note_on,,0,0,1,,,,,,,,0,,73,0
2060,note_on,,20,0,1,,,,,,,,0,,73,127
2060,note_on,,0,0,1,,,,,,,,0,,71,0
2080,note_on,,20,0,1,,,,,,,,0,,71,127
2080,note_on,,0,0,1,,,,,,,,0,,73,0
2100,note_on,,20,0,1,,,,,,,,0,,69,127
2100,note_on,,0,0,1,,,,,,,,0,,71,0
2160,note_on,,120,0,2,,,,,,,,1,,45,127
2160,note_on,,60,0,1,,,,,,,,0,,81,127
2160,note_on,,0,0,1,,,,,,,,0,,69,0
2220,note_on,,0,0,2,,,,,,,,1,,45,0
2220,note_on,,60,0,2,,,,,,,,1,,57,127
2279,note_on,,119,0,1,,,,,,,,0,,81,0
2280,note_on,,0,0,2,,,,,,,,1,,57,0
2280,note_on,,60,0,2,,,,,,,,1,,52,127
2280,polytouch,,1,0,1,,,,,,,64,0,,81,
2340,note_on,,60,0,2,,,,,,,,1,,49,127
2340,note_on,,0,0,2,,,,,,,,1,,52,0
2400,note_on,,120,0,1,,,,,,,,0,,76,127
2400,note_on,,0,0,2,,,,,,,,1,,49,0
2400,note_on,,60,0,2,,,,,,,,1,,45,127
2460,note_on,,0,0,1,,,,,,,,0,,76,0
2460,note_on,,60,0,1,,,,,,,,0,,73,127
2519,note_on,,119,0,2,,,,,,,,1,,45,0
2520,note_on,,0,0,1,,,,,,,,0,,73,0
2520,note_on,,60,0,1,,,,,,,,0,,71,127
2520,polytouch,,1,0,2,,,,,,,64,1,,57,
2540,note_on,,20,0,1,,,,,,,,0,,73,127
2540,note_on,,0,0,1,,,,,,,,0,,71,0
2560,note_on,,0,0,1,,,,,,,,0,,73,0
2560,note_on,,20,0,1,,,,,,,,0,,71,127
2580,note_on,,0,0,1,,,,,,,,0,,71,0
2580,note_on,,20,0,1,,,,,,,,0,,69,127
2640,note_on,,0,0,1,,,,,,,,0,,69,0
2640,note_on,,60,0,1,,,,,,,,0,,81,127
2640,note_on,,120,0,2,,,,,,,,1,,45,127
2700,note_on,,60,0,2,,,,,,,,1,,57,127
2700,note_on,,0,0,2,,,,,,,,1,,45,0
2757,note_on,,57,0,2,,,,,,,,1,,57,0
2759,note_on,,119,0,1,,,,,,,,0,,81,0
2760,note_on,,3,0,2,,,,,,,,1,,49,127
2760,polytouch,,1,0,1,,,,,,,64,0,,81,
2819,note_on,,59,0,2,,,,,,,,1,,49,0
2820,note_on,,1,0,2,,,,,,,,1,,52,127
2879,note_on,,59,0,2,,,,,,,,1,,52,0
2880,note_on,,120,0,1,,,,,,,,0,,81,127
2880,note_on,,1,0,2,,,,,,,,1,,47,127
2940,note_on,,60,0,2,,,,,,,,1,,59,127
2940,note_on,,0,0,2,,,,,,,,1,,47,0
2940,note_on,,60,0,1,,,,,,,,0,,80,127
2940,note_on,,0,0,1,,,,,,,,0,,81,0
2997,note_on,,57,0,1,,,,,,,,0,,80,0
2997,note_on,,57,0,2,,,,,,,,1,,59,0
3000,note_on,,3,0,1,,,,,,,,0,,80,127
3000,note_on,,3,0,2,,,,,,,,1,,57,127
3060,note_on,,60,0,1,,,,,,,,0,,78,127
3060,note_on,,0,0,1,,,,,,,,0,,80,0
3117,note_on,,57,0,1,,,,,,,,0,,78,0
3119,note_on,,119,0,2,,,,,,,,1,,57,0
3120,note_on,,3,0,1,,,,,,,,0,,78,127
3120,note_on,,1,0,2,,,,,,,,1,,56,127
3180,note_on,,60,0,1,,,,,,,,0,,76,127
3180,note_on,,0,0,1,,,,,,,,0,,78,0
3237,note_on,,57,0,1,,,,,,,,0,,76,0
3239,note_on,,119,0,2,,,,,,,,1,,56,0
3240,note_on,,1,0,2,,,,,,,,1,,54,127
3240,note_on,,3,0,1,,,,,,,,0,,76,127
3300,note_on,,0,0,1,,,,,,,,0,,76,0
3300,note_on,,60,0,1,,,,,,,,0,,74,127
3357,note_on,,57,0,1,,,,,,,,0,,74,0
3359,note_on,,119,0,2,,,,,,,,1,,54,0
3360,note_on,,1,0,2,,,,,,,,1,,52,127
3360,note_on,,3,0,1,,,,,,,,0,,73,127
3420,note_on,,0,0,1,,,,,,,,0,,73,0
3420,note_on,,60,0,1,,,,,,,,0,,76,127
3477,note_on,,57,0,1,,,,,,,,0,,76,0
3479,note_on,,119,0,2,,,,,,,,1,,52,0
3480,note_on,,1,0,2,,,,,,,,1,,50,127
3480,note_on,,3,0,1,,,,,,,,0,,68,127
3539,note_on,,59,0,1,,,,,,,,0,,68,0
3540,note_on,,1,0,1,,,,,,,,0,,71,127
3599,note_on,,119,0,2,,,,,,,,1,,50,0
3599,note_on,,59,0,1,,,,,,,,0,,71,0
3600,note_on,,1,0,2,,,,,,,,1,,49,127
3600,note_on,,1,0,1,,,,,,,,0,,69,127
3659,note_on,,59,0,2,,,,,,,,1,,49,0
3660,note_on,,1,0,2,,,,,,,,1,,57,127
3719,note_on,,119,0,1,,,,,,,,0,,69,0
3719,note_on,,59,0,2,,,,,,,,1,,57,0
3720,polytouch,,1,0,1,,,,,,,64,0,,69,
3720,note_on,,1,0,2,,,,,,,,1,,52,127
3779,note_on,,59,0,2,,,,,,,,1,,52,0
3780,note_on,,1,0,2,,,,,,,,1,,49,127
3839,note_on,,59,0,2,,,,,,,,1,,49,0
3840,note_on,,1,0,2,,,,,,,,1,,57,127
3840,note_on,,120,0,1,,,,,,,,0,,76,127
3900,note_on,,60,0,1,,,,,,,,0,,73,127
3900,note_on,,0,0,1,,,,,,,,0,,76,0
3959,note_on,,119,0,2,,,,,,,,1,,57,0
3960,polytouch,,1,0,2,,,,,,,64,1,,57,
3960,note_on,,0,0,1,,,,,,,,0,,73,0
3960,note_on,,60,0,1,,,,,,,,0,,71,127
3980,note_on,,20,0,1,,,,,,,,0,,73,127
3980,note_on,,0,0,1,,,,,,,,0,,71,0
4000,note_on,,20,0,1,,,,,,,,0,,71,127
4000,note_on,,0,0,1,,,,,,,,0,,73,0
4020,note_on,,20,0,1,,,,,,,,0,,69,127
4020,note_on,,0,0,1,,,,,,,,0,,71,0
4080,note_on,,60,0,1,,,,,,,,0,,81,127
4080,note_on,,120,0,2,,,,,,,,1,,45,127
4080,note_on,,0,0,1,,,,,,,,0,,69,0
4140,note_on,,0,0,2,,,,,,,,1,,45,0
4140,note_on,,60,0,2,,,,,,,,1,,57,127
4199,note_on,,119,0,1,,,,,,,,0,,81,0
4200,note_on,,0,0,2,,,,,,,,1,,57,0
4200,note_on,,60,0,2,,,,,,,,1,,52,127
4200,polytouch,,1,0,1,,,,,,,64,0,,81,
4260,note_on,,0,0,2,,,,,,,,1,,52,0
4260,note_on,,60,0,2,,,,,,,,1,,49,127
4320,note_on,,120,0,1,,,,,,,,0,,76,127
4320,note_on,,0,0,2,,,,,,,,1,,49,0
4320,note_on,,60,0,2,,,,,,,,1,,45,127
4380,note_on,,60,0,1,,,,,,,,0,,73,127
4380,note_on,,0,0,1,,,,,,,,0,,76,0
4439,note_on,,119,0,2,,,,,,,,1,,45,0
4440,note_on,,0,0,1,,,,,,,,0,,73,0
4440,note_on,,60,0,1,,,,,,,,0,,71,127
4440,polytouch,,1,0,2,,,,,,,64,1,,57,
4460,note_on,,20,0,1,,,,,,,,0,,73,127
4460,note_on,,0,0,1,,,,,,,,0,,71,0
4480,note_on,,20,0,1,,,,,,,,0,,71,127
4480,note_on,,0,0,1,,,,,,,,0,,73,0
4500,note_on,,0,0,1,,,,,,,,0,,71,0
4500,note_on,,20,0,1,,,,,,,,0,,69,127
4560,note_on,,0,0,1,,,,,,,,0,,69,0
4560,note_on,,120,0,2,,,,,,,,1,,45,127
4560,note_on,,60,0,1,,,,,,,,0,,81,127
4620,note_on,,0,0,2,,,,,,,,1,,45,0
4620,note_on,,60,0,2,,,,,,,,1,,57,127
4677,note_on,,57,0,2,,,,,,,,1,,57,0
4679,note_on,,119,0,1,,,,,,,,0,,81,0
4680,polytouch,,1,0,1,,,,,,,64,0,,81,
4680,note_on,,3,0,2,,,,,,,,1,,49,127
4740,note_on,,60,0,2,,,,,,,,1,,57,127
4740,note_on,,0,0,2,,,,,,,,1,,49,0
4797,note_on,,57,0,2,,,,,,,,1,,57,0
4800,note_on,,3,0,2,,,,,,,,1,,47,127
4800,note_on,,120,0,1,,,,,,,,0,,81,127
4860,note_on,,0,0,1,,,,,,,,0,,81,0
4860,note_on,,60,0,1,,,,,,,,0,,80,127
4860,note_on,,60,0,2,,,,,,,,1,,59,127
4860,note_on,,0,0,2,,,,,,,,1,,47,0
4917,note_on,,57,0,1,,,,,,,,0,,80,0
4917,note_on,,57,0,2,,,,,,,,1,,59,0
4920,note_on,,3,0,2,,,,,,,,1,,57,127
4920,note_on,,3,0,1,,,,,,,,0,,80,127
4980,note_on,,60,0,1,,,,,,,,0,,78,127
4980,note_on,,0,0,1,,,,,,,,0,,80,0
5037,note_on,,57,0,1,,,,,,,,0,,78,0
5039,note_on,,119,0,2,,,,,,,,1,,57,0
5040,note_on,,3,0,1,,,,,,,,0,,78,127
5040,note_on,,1,0,2,,,,,,,,1,,56,127
5100,note_on,,0,0,1,,,,,,,,0,,78,0
5100,note_on,,60,0,1,,,,,,,,0,,76,127
5157,note_on,,57,0,1,,,,,,,,0,,76,0
5159,note_on,,119,0,2,,,,,,,,1,,56,0
5160,note_on,,1,0,2,,,,,,,,1,,54,127
5160,note_on,,3,0,1,,,,,,,,0,,76,127
5220,note_on,,60,0,1,,,,,,,,0,,74,127
5220,note_on,,0,0,1,,,,,,,,0,,76,0
5277,note_on,,57,0,1,,,,,,,,0,,74,0
5279,note_on,,119,0,2,,,,,,,,1,,54,0
5280,note_on,,3,0,1,,,,,,,,0,,73,127
5280,note_on,,1,0,2,,,,,,,,1,,52,127
5340,note_on,,60,0,1,,,,,,,,0,,76,127
5340,note_on,,0,0,1,,,,,,,,0,,73,0
5397,note_on,,57,0,1,,,,,,,,0,,76,0
5399,note_on,,119,0,2,,,,,,,,1,,52,0
5400,note_on,,3,0,1,,,,,,,,0,,68,127
5400,note_on,,1,0,2,,,,,,,,1,,50,127
5459,note_on,,59,0,1,,,,,,,,0,,68,0
5460,note_on,,1,0,1,,,,,,,,0,,71,127
5519,note_on,,119,0,2,,,,,,,,1,,50,0
5519,note_on,,59,0,1,,,,,,,,0,,71,0
5520,note_on,,1,0,1,,,,,,,,0,,69,127
5520,note_on,,1,0,2,,,,,,,,1,,49,127
5639,note_on,,119,0,2,,,,,,,,1,,49,0
5639,note_on,,119,0,1,,,,,,,,0,,69,0
5640,note_on,,1,0,2,,,,,,,,1,,45,127
5640,polytouch,,1,0,1,,,,,,,64,0,,69,
5759,note_on,,119,0,2,,,,,,,,1,,45,0
5760,note_on,,1,0,2,,,,,,,,1,,57,127
5760,note_on,,120,0,1,,,,,,,,0,,76,127
5820,note_on,,60,0,1,,,,,,,,0,,73,127
5820,note_on,,0,0,1,,,,,,,,0,,76,0
5879,note_on,,119,0,2,,,,,,,,1,,57,0
5880,note_on,,60,0,1,,,,,,,,0,,71,127
5880,note_on,,0,0,1,,,,,,,,0,,73,0
5880,polytouch,,1,0,2,,,,,,,64,1,,57,
5900,note_on,,20,0,1,,,,,,,,0,,73,127
5900,note_on,,0,0,1,,,,,,,,0,,71,0
5920,note_on,,20,0,1,,,,,,,,0,,71,127
5920,note_on,,0,0,1,,,,,,,,0,,73,0
5940,note_on,,20,0,1,,,,,,,,0,,69,127
5940,note_on,,0,0,1,,,,,,,,0,,71,0
6000,note_on,,120,0,2,,,,,,,,1,,45,127
6000,note_on,,0,0,1,,,,,,,,0,,69,0
6000,note_on,,60,0,1,,,,,,,,0,,81,127
6060,note_on,,0,0,2,,,,,,,,1,,45,0
6060,note_on,,60,0,2,,,,,,,,1,,57,127
6119,note_on,,119,0,1,,,,,,,,0,,81,0
6120,polytouch,,1,0,1,,,,,,,64,0,,81,
6120,note_on,,60,0,2,,,,,,,,1,,52,127
6120,note_on,,0,0,2,,,,,,,,1,,57,0
6180,note_on,,0,0,2,,,,,,,,1,,52,0
6180,note_on,,60,0,2,,,,,,,,1,,49,127
6240,note_on,,60,0,2,,,,,,,,1,,45,127
6240,note_on,,0,0,2,,,,,,,,1,,49,0
6240,note_on,,120,0,1,,,,,,,,0,,76,127
6300,note_on,,60,0,1,,,,,,,,0,,73,127
6300,note_on,,0,0,1,,,,,,,,0,,76,0
