tick,type,time,meta,track,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,3,,3,4,24,8,,,,,,,
0,program_change,0,0,3,,,,,,,52,0,,,,
0,control_change,0,0,3,,,,,,,,0,7,95,,
0,note_on,0,0,3,,,,,,,,0,,,55,100
0,track_name,0,1,4,,,,,,,,,,,,
0,key_signature,0,1,4,C,,,,,,,,,,,
0,time_signature,0,1,4,,3,4,24,8,,,,,,,
0,time_signature,0,1,4,,3,4,24,8,,,,,,,
0,program_change,0,0,4,,,,,,,52,0,,,,
0,control_change,0,0,4,,,,,,,,0,7,95,,
0,note_on,0,0,4,,,,,,,,0,,,48,100
0,key_signature,0,1,11,C,,,,,,,,,,,
0,note_on,0,0,13,,,,,,,,6,,,36,100
0,note_on,0,0,13,,,,,,,,6,,,48,100
0,program_change,0,0,13,,,,,,,48,6,,,,
0,control_change,0,0,13,,,,,,,,6,7,80,,
0,time_signature,0,1,13,,3,4,24,8,,,,,,,
0,time_signature,0,1,13,,3,4,24,8,,,,,,,
0,key_signature,0,1,13,C,,,,,,,,,,,
0,time_signature,0,1,3,,3,4,24,8,,,,,,,
0,key_signature,0,1,3,C,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,track_name,0,1,14,,,,,,,,,,,,
0,program_change,0,0,15,,,,,,,16,7,,,,
0,time_signature,0,1,15,,3,4,24,8,,,,,,,
0,time_signature,0,1,15,,3,4,24,8,,,,,,,
0,key_signature,0,1,15,C,,,,,,,,,,,
0,track_name,0,1,15,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,key_signature,0,1,2,C,,,,,,,,,,,
0,time_signature,0,1,2,,3,4,24,8,,,,,,,
0,time_signature,0,1,2,,3,4,24,8,,,,,,,
0,track_name,0,1,13,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,52,0,,,,
0,note_on,0,0,2,,,,,,,,0,,,64,100
0,note_on,0,0,14,,,,,,,,7,,,67,100
0,note_on,0,0,14,,,,,,,,7,,,64,100
0,note_on,0,0,14,,,,,,,,7,,,72,100
0,program_change,0,0,14,,,,,,,16,7,,,,
0,control_change,0,0,14,,,,,,,,7,7,80,,
0,time_signature,0,1,14,,3,4,24,8,,,,,,,
0,time_signature,0,1,14,,3,4,24,8,,,,,,,
0,key_signature,0,1,14,C,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,0,7,95,,
0,track_name,0,1,5,,,,,,,,,,,,
0,key_signature,0,1,5,C,,,,,,,,,,,
0,time_signature,0,1,5,,3,4,24,8,,,,,,,
0,note_on,0,0,12,,,,,,,,6,,,64,100
0,note_on,0,0,12,,,,,,,,6,,,67,100
0,program_change,0,0,12,,,,,,,48,6,,,,
0,control_change,0,0,12,,,,,,,,6,7,80,,
0,time_signature,0,1,12,,3,4,24,8,,,,,,,
0,time_signature,0,1,12,,3,4,24,8,,,,,,,
0,key_signature,0,1,12,C,,,,,,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,
0,note_on,0,0,9,,,,,,,,5,,,48,100
0,key_signature,0,1,10,C,,,,,,,,,,,
0,time_signature,0,1,10,,3,4,24,8,,,,,,,
0,control_change,0,0,10,,,,,,,,6,7,80,,
0,program_change,0,0,10,,,,,,,48,6,,,,
0,note_on,0,0,10,,,,,,,,6,,,72,100
0,note_on,0,0,11,,,,,,,,6,,,72,100
0,program_change,0,0,11,,,,,,,48,6,,,,
0,control_change,0,0,11,,,,,,,,6,7,80,,
0,time_signature,0,1,11,,3,4,24,8,,,,,,,
0,time_signature,0,1,11,,3,4,24,8,,,,,,,
0,time_signature,0,1,10,,3,4,24,8,,,,,,,
0,note_on,0,0,15,,,,,,,,7,,,48,100
0,program_change,0,0,9,,,,,,,47,5,,,,
0,time_signature,0,1,9,,3,4,24,8,,,,,,,
0,time_signature,0,1,5,,3,4,24,8,,,,,,,
0,program_change,0,0,5,,,,,,,68,1,,,,
0,track_name,0,1,6,,,,,,,,,,,,
0,key_signature,0,1,6,C,,,,,,,,,,,
0,time_signature,0,1,6,,3,4,24,8,,,,,,,
0,time_signature,0,1,6,,3,4,24,8,,,,,,,
0,program_change,0,0,6,,,,,,,64,2,,,,
0,track_name,0,1,7,,,,,,,,,,,,
0,key_signature,0,1,7,C,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,5,7,95,,
0,time_signature,0,1,7,,3,4,24,8,,,,,,,
0,program_change,0,0,7,,,,,,,71,3,,,,
0,track_name,0,1,8,,,,,,,,,,,,
0,key_signature,0,1,8,C,,,,,,,,,,,
0,time_signature,0,1,8,,3,4,24,8,,,,,,,
0,time_signature,0,1,8,,3,4,24,8,,,,,,,
0,program_change,0,0,8,,,,,,,70,4,,,,
0,track_name,0,1,9,,,,,,,,,,,,
0,key_signature,0,1,9,C,,,,,,,,,,,
0,time_signature,0,1,9,,3,4,24,8,,,,,,,
0,time_signature,0,1,7,,3,4,24,8,,,,,,,
0,note_on,0,0,15,,,,,,,,7,,,36,100
0,track_name,0,1,11,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,7,95,,
0,key_signature,0,1,0,C,,,,,,,,,,,
0,time_signature,0,1,0,,3,4,24,8,,,,,,,
0,time_signature,0,1,0,,3,4,24,8,,,,,,,
0,set_tempo,0,1,0,,,,,,428571,,,,,,
0,key_signature,0,1,1,C,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,0,,,72,100
0,program_change,0,0,1,,,,,,,52,0,,,,
0,time_signature,0,1,1,,3,4,24,8,,,,,,,
0,time_signature,0,1,1,,3,4,24,8,,,,,,,
48,note_on,0,0,9,,,,,,,,5,,,48,100
48,note_on,48,0,13,,,,,,,,6,,,36,0
48,note_on,0,0,13,,,,,,,,6,,,48,100
48,note_on,48,0,9,,,,,,,,5,,,48,0
48,note_on,0,0,13,,,,,,,,6,,,48,0
96,note_on,96,0,10,,,,,,,,6,,,72,0
96,note_on,0,0,10,,,,,,,,6,,,60,100
96,note_on,48,0,9,,,,,,,,5,,,48,0
96,note_on,48,0,13,,,,,,,,6,,,48,0
96,note_on,0,0,9,,,,,,,,5,,,48,100
96,note_on,0,0,11,,,,,,,,6,,,60,100
96,note_on,96,0,11,,,,,,,,6,,,72,0
96,note_on,0,0,13,,,,,,,,6,,,48,100
144,note_on,48,0,13,,,,,,,,6,,,48,0
