tick,type,key,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,program,note,velocity
0,key_signature,G,0,1,0,,,,,,,,,,,
0,program_change,,0,0,1,,,,,,,,0,0,,
0,control_change,,0,0,1,,,,,,10,35,0,,,
0,control_change,,0,0,1,,,,,,7,90,0,,,
0,track_name,,0,1,1,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,
0,time_signature,,0,1,0,,4,4,24,8,,,,,,
0,control_change,,0,0,2,,,,,,7,85,1,,,
0,control_change,,0,0,2,,,,,,10,90,1,,,
0,set_tempo,,0,1,0,500000,,,,,,,,,,
0,program_change,,0,0,2,,,,,,,,1,0,,
240,note_on,,240,0,2,,,,,,,,1,,55,60
240,note_on,,0,0,1,,,,,,,,0,,67,64
240,note_on,,240,0,1,,,,,,,,0,,71,64
359,note_on,,0,0,1,,,,,,,,0,,71,0
359,note_on,,119,0,1,,,,,,,,0,,67,0
359,note_on,,119,0,2,,,,,,,,1,,55,0
360,note_on,,0,0,1,,,,,,,,0,,69,64
360,note_on,,1,0,1,,,,,,,,0,,72,64
360,note_on,,1,0,2,,,,,,,,1,,55,60
479,note_on,,0,0,1,,,,,,,,0,,72,0
479,note_on,,119,0,1,,,,,,,,0,,69,0
479,note_on,,119,0,2,,,,,,,,1,,55,0
480,note_on,,0,0,1,,,,,,,,0,,71,64
480,note_on,,1,0,2,,,,,,,,1,,55,60
480,note_on,,1,0,1,,,,,,,,0,,74,64
599,note_on,,119,0,2,,,,,,,,1,,55,0
600,note_on,,0,0,1,,,,,,,,0,,72,64
600,note_on,,120,0,1,,,,,,,,0,,76,64
600,note_on,,0,0,1,,,,,,,,0,,74,0
600,note_on,,0,0,1,,,,,,,,0,,71,0
600,polytouch,,1,0,2,,,,,,,64,1,,55,
717,note_on,,0,0,1,,,,,,,,0,,72,0
717,note_on,,117,0,1,,,,,,,,0,,76,0
720,note_on,,0,0,1,,,,,,,,0,,66,64
720,note_on,,3,0,1,,,,,,,,0,,69,64
720,note_on,,120,0,2,,,,,,,,1,,62,60
839,note_on,,0,0,1,,,,,,,,0,,69,0
839,note_on,,119,0,1,,,,,,,,0,,66,0
839,note_on,,119,0,2,,,,,,,,1,,62,0
840,note_on,,0,0,1,,,,,,,,0,,67,64
840,note_on,,1,0,1,,,,,,,,0,,71,64
840,note_on,,1,0,2,,,,,,,,1,,62,60
959,note_on,,0,0,1,,,,,,,,0,,71,0
959,note_on,,119,0,2,,,,,,,,1,,62,0
959,note_on,,119,0,1,,,,,,,,0,,67,0
960,note_on,,1,0,2,,,,,,,,1,,62,60
960,note_on,,0,0,1,,,,,,,,0,,69,64
960,note_on,,1,0,1,,,,,,,,0,,72,64
1079,note_on,,119,0,2,,,,,,,,1,,62,0
1080,note_on,,120,0,1,,,,,,,,0,,74,64
1080,note_on,,0,0,1,,,,,,,,0,,69,0
1080,note_on,,0,0,1,,,,,,,,0,,72,0
1080,note_on,,0,0,1,,,,,,,,0,,71,64
1080,polytouch,,1,0,2,,,,,,,64,1,,62,
1197,note_on,,117,0,1,,,,,,,,0,,74,0
1197,note_on,,0,0,1,,,,,,,,0,,71,0
1200,note_on,,3,0,1,,,,,,,,0,,67,64
1200,note_on,,0,0,1,,,,,,,,0,,64,64
1319,note_on,,119,0,1,,,,,,,,0,,64,0
1319,note_on,,0,0,1,,,,,,,,0,,67,0
1320,note_on,,240,0,2,,,,,,,,1,,50,60
1320,note_on,,0,0,1,,,,,,,,0,,66,64
1320,note_on,,1,0,1,,,,,,,,0,,69,64
1439,note_on,,119,0,1,,,,,,,,0,,66,0
1439,note_on,,0,0,1,,,,,,,,0,,69,0
1439,note_on,,119,0,2,,,,,,,,1,,50,0
1440,note_on,,1,0,2,,,,,,,,1,,43,60
1440,note_on,,1,0,1,,,,,,,,0,,71,64
1440,note_on,,0,0,1,,,,,,,,0,,67,64
1559,note_on,,119,0,1,,,,,,,,0,,71,0
1559,note_on,,119,0,2,,,,,,,,1,,43,0
1560,note_on,,1,0,1,,,,,,,,0,,72,64
1560,note_on,,1,0,2,,,,,,,,1,,45,60
1679,note_on,,119,0,1,,,,,,,,0,,72,0
1679,note_on,,119,0,2,,,,,,,,1,,45,0
1680,note_on,,1,0,2,,,,,,,,1,,47,60
1680,note_on,,1,0,1,,,,,,,,0,,76,64
1740,note_on,,60,0,1,,,,,,,,0,,74,64
1740,note_on,,0,0,1,,,,,,,,0,,76,0
1797,note_on,,57,0,1,,,,,,,,0,,74,0
1799,note_on,,119,0,2,,,,,,,,1,,47,0
1800,note_on,,1,0,2,,,,,,,,1,,48,60
1800,note_on,,3,0,1,,,,,,,,0,,72,64
1859,note_on,,59,0,1,,,,,,,,0,,72,0
1860,note_on,,1,0,1,,,,,,,,0,,71,64
1919,note_on,,0,0,1,,,,,,,,0,,67,0
1919,note_on,,119,0,2,,,,,,,,1,,48,0
1919,note_on,,59,0,1,,,,,,,,0,,71,0
1920,note_on,,1,0,2,,,,,,,,1,,50,60
1920,note_on,,1,0,1,,,,,,,,0,,71,64
1920,note_on,,0,0,1,,,,,,,,0,,67,64
2040,note_on,,0,0,1,,,,,,,,0,,71,0
2040,note_on,,0,0,1,,,,,,,,0,,67,0
2040,note_on,,0,0,1,,,,,,,,0,,66,64
2040,note_on,,120,0,1,,,,,,,,0,,69,64
2157,note_on,,117,0,1,,,,,,,,0,,69,0
2157,note_on,,0,0,1,,,,,,,,0,,66,0
2159,note_on,,239,0,2,,,,,,,,1,,50,0
2160,polytouch,,1,0,2,,,,,,,64,1,,50,
2160,note_on,,3,0,1,,,,,,,,0,,71,100
2160,note_on,,0,0,1,,,,,,,,0,,67,100
2219,note_on,,59,0,1,,,,,,,,0,,67,0
2220,note_on,,1,0,1,,,,,,,,0,,62,100
2279,note_on,,59,0,1,,,,,,,,0,,62,0
2279,note_on,,0,0,1,,,,,,,,0,,71,0
