tick,type,port,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,midi_port,0,0,1,0,,,,,,,,,,,,,
0,midi_port,0,0,1,2,,,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,
0,program_change,,0,0,2,,,,,,,,19,1,,,,
0,control_change,,0,0,2,,,,,,,,,1,121,7,,
0,control_change,,0,0,2,,,,,,,,,1,1,5,,
0,control_change,,0,0,2,,,,,,,,,1,7,127,,
0,control_change,,0,0,2,,,,,,,,,1,10,44,,
0,control_change,,0,0,2,,,,,,,,,1,91,127,,
0,midi_port,0,0,1,3,,,,,,,,,,,,,
0,track_name,,0,1,7,,,,,,,,,,,,,
0,end_of_track,,0,1,3,,,,,,,,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,,
0,end_of_track,,0,1,4,,,,,,,,,,,,,
0,midi_port,0,0,1,5,,,,,,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,
0,end_of_track,,0,1,5,,,,,,,,,,,,,
0,midi_port,0,0,1,6,,,,,,,,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,
0,end_of_track,,0,1,6,,,,,,,,,,,,,
0,midi_port,0,0,1,7,,,,,,,,,,,,,
0,midi_port,0,0,1,4,,,,,,,,,,,,,
0,control_change,,0,0,1,,,,,,,,,0,91,127,,
0,end_of_track,,0,1,7,,,,,,,,,,,,,
0,control_change,,0,0,1,,,,,,,,,0,1,7,,
0,program_change,,0,0,1,,,,,,,,19,0,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,
0,midi_port,0,0,1,1,,,,,,,,,,,,,
0,control_change,,0,0,1,,,,,,,,,0,10,84,,
0,set_tempo,,0,1,0,,,,,,,1000000,,,,,,
0,key_signature,,0,1,0,,,,,,Ab,,,,,,,
0,time_signature,,0,1,0,,3,4,24,8,,,,,,,,
0,sysex,,0,0,0,"(126, 127, 9, 1)",,,,,,,,,,,,
0,midi_port,0,0,1,0,,,,,,,,,,,,,
0,control_change,,0,0,1,,,,,,,,,0,7,127,,
0,control_change,,0,0,1,,,,,,,,,0,121,0,,
360,note_on,,360,0,2,,,,,,,,,1,,,53,96
360,note_on,,0,0,2,,,,,,,,,1,,,41,92
360,note_on,,360,0,1,,,,,,,,,0,,,56,62
360,note_on,,0,0,1,,,,,,,,,0,,,60,76
473,note_on,,113,0,2,,,,,,,,,1,,,41,0
480,marker,,480,1,0,,,,,,,,,,,,,
480,note_on,,7,0,2,,,,,,,,,1,,,44,96
590,note_on,,110,0,2,,,,,,,,,1,,,44,0
600,note_on,,10,0,2,,,,,,,,,1,,,48,84
700,note_on,,340,0,1,,,,,,,,,0,,,56,0
701,note_on,,101,0,2,,,,,,,,,1,,,53,0
720,note_on,,20,0,1,,,,,,,,,0,,,58,62
720,note_on,,19,0,2,,,,,,,,,1,,,40,84
720,note_on,,0,0,2,,,,,,,,,1,,,55,96
721,note_on,,1,0,2,,,,,,,,,1,,,48,0
831,note_on,,110,0,2,,,,,,,,,1,,,40,0
840,note_on,,9,0,2,,,,,,,,,1,,,43,92
956,note_on,,116,0,2,,,,,,,,,1,,,43,0
960,note_on,,4,0,2,,,,,,,,,1,,,48,88
1062,note_on,,102,0,2,,,,,,,,,1,,,55,0
1066,note_on,,346,0,1,,,,,,,,,0,,,58,0
1080,note_on,,18,0,2,,,,,,,,,1,,,39,82
1080,note_on,,0,0,2,,,,,,,,,1,,,54,88
1080,note_on,,14,0,1,,,,,,,,,0,,,57,56
1081,note_on,,1,0,2,,,,,,,,,1,,,48,0
1196,note_on,,115,0,2,,,,,,,,,1,,,39,0
1200,note_on,,4,0,2,,,,,,,,,1,,,42,96
1316,note_on,,116,0,2,,,,,,,,,1,,,42,0
1320,note_on,,4,0,2,,,,,,,,,1,,,48,92
1384,note_on,,304,0,1,,,,,,,,,0,,,60,0
1431,note_on,,111,0,2,,,,,,,,,1,,,54,0
1440,note_on,,0,0,2,,,,,,,,,1,,,38,100
1440,note_on,,56,0,1,,,,,,,,,0,,,65,55
1440,note_on,,9,0,2,,,,,,,,,1,,,48,0
1440,note_on,,0,0,2,,,,,,,,,1,,,53,105
1545,note_on,,105,0,1,,,,,,,,,0,,,57,0
1549,note_on,,109,0,2,,,,,,,,,1,,,38,0
1560,note_on,,11,0,2,,,,,,,,,1,,,41,100
1560,note_on,,15,0,1,,,,,,,,,0,,,58,53
1668,note_on,,108,0,1,,,,,,,,,0,,,65,0
1672,note_on,,112,0,2,,,,,,,,,1,,,53,0
1680,note_on,,0,0,2,,,,,,,,,1,,,46,79
1680,note_on,,12,0,1,,,,,,,,,0,,,67,68
1680,note_on,,8,0,2,,,,,,,,,1,,,52,100
1683,note_on,,3,0,2,,,,,,,,,1,,,41,0
1789,note_on,,109,0,1,,,,,,,,,0,,,58,0
1792,note_on,,3,0,1,,,,,,,,,0,,,67,0
1793,note_on,,110,0,2,,,,,,,,,1,,,46,0
1795,note_on,,2,0,2,,,,,,,,,1,,,52,0
1800,note_on,,0,0,2,,,,,,,,,1,,,53,96
1800,note_on,,5,0,2,,,,,,,,,1,,,37,84
1800,note_on,,8,0,1,,,,,,,,,0,,,68,60
1800,note_on,,0,0,1,,,,,,,,,0,,,59,56
1910,note_on,,110,0,2,,,,,,,,,1,,,37,0
1920,note_on,,10,0,2,,,,,,,,,1,,,41,96
1976,note_on,,176,0,1,,,,,,,,,0,,,68,0
1980,note_on,,4,0,1,,,,,,,,,0,,,70,60
2008,note_on,,28,0,1,,,,,,,,,0,,,70,0
2010,note_on,,2,0,1,,,,,,,,,0,,,68,60
2031,note_on,,111,0,2,,,,,,,,,1,,,53,0
2038,note_on,,7,0,2,,,,,,,,,1,,,41,0
2040,note_on,,2,0,2,,,,,,,,,1,,,55,100
2040,note_on,,0,0,2,,,,,,,,,1,,,47,80
2040,note_on,,30,0,1,,,,,,,,,0,,,67,57
2041,note_on,,1,0,1,,,,,,,,,0,,,68,0
2093,note_on,,53,0,2,,,,,,,,,1,,,55,0
2100,note_on,,7,0,2,,,,,,,,,1,,,56,96
2100,note_on,,59,0,1,,,,,,,,,0,,,65,68
2101,note_on,,1,0,1,,,,,,,,,0,,,67,0
2120,note_on,,19,0,1,,,,,,,,,0,,,65,0
2143,note_on,,43,0,2,,,,,,,,,1,,,47,0
2154,note_on,,11,0,2,,,,,,,,,1,,,56,0
2160,note_on,,6,0,2,,,,,,,,,1,,,56,96
2160,note_on,,40,0,1,,,,,,,,,0,,,72,76
2160,note_on,,0,0,1,,,,,,,,,0,,,65,62
2160,note_on,,0,0,2,,,,,,,,,1,,,48,82
2160,note_on,,0,0,2,,,,,,,,,1,,,36,92
2261,note_on,,101,0,1,,,,,,,,,0,,,59,0
2271,note_on,,10,0,1,,,,,,,,,0,,,65,0
2279,note_on,,119,0,2,,,,,,,,,1,,,56,0
2280,note_on,,9,0,1,,,,,,,,,0,,,64,60
2280,note_on,,0,0,1,,,,,,,,,0,,,60,68
2280,note_on,,1,0,2,,,,,,,,,1,,,55,96
2385,note_on,,105,0,1,,,,,,,,,0,,,60,0
2393,note_on,,113,0,2,,,,,,,,,1,,,55,0
2393,note_on,,8,0,1,,,,,,,,,0,,,64,0
2400,note_on,,0,0,1,,,,,,,,,0,,,59,60
2400,note_on,,7,0,1,,,,,,,,,0,,,65,43
2400,note_on,,0,0,2,,,,,,,,,1,,,50,79
2400,note_on,,7,0,2,,,,,,,,,1,,,53,96
2400,note_on,,0,0,1,,,,,,,,,0,,,68,64
2501,note_on,,101,0,2,,,,,,,,,1,,,50,0
2508,note_on,,108,0,1,,,,,,,,,0,,,68,0
2508,note_on,,0,0,1,,,,,,,,,0,,,65,0
2509,note_on,,1,0,1,,,,,,,,,0,,,59,0
2518,note_on,,17,0,2,,,,,,,,,1,,,53,0
2520,note_on,,11,0,1,,,,,,,,,0,,,64,62
2520,note_on,,0,0,1,,,,,,,,,0,,,67,68
2520,note_on,,0,0,1,,,,,,,,,0,,,60,76
2520,note_on,,0,0,2,,,,,,,,,1,,,55,84
2520,note_on,,2,0,2,,,,,,,,,1,,,52,69
2631,note_on,,0,0,2,,,,,,,,,1,,,48,0
2631,note_on,,111,0,2,,,,,,,,,1,,,36,0
2640,note_on,,120,0,1,,,,,,,,,0,,,67,0
2643,note_on,,0,0,1,,,,,,,,,0,,,64,0
2643,note_on,,3,0,1,,,,,,,,,0,,,60,0
2651,note_on,,20,0,2,,,,,,,,,1,,,52,0
2654,note_on,,3,0,2,,,,,,,,,1,,,55,0
2705,note_on,,62,0,1,,,,,,,,,0,,,72,0
2737,note_on,,32,0,1,,,,,,,,,0,,,68,76
2745,note_on,,8,0,1,,,,,,,,,0,,,70,64
2748,note_on,,3,0,1,,,,,,,,,0,,,68,0
2752,note_on,,4,0,1,,,,,,,,,0,,,72,89
2753,note_on,,1,0,1,,,,,,,,,0,,,70,0
2760,note_on,,7,0,1,,,,,,,,,0,,,70,76
2766,note_on,,6,0,1,,,,,,,,,0,,,72,0
2811,note_on,,45,0,1,,,,,,,,,0,,,70,0
2820,note_on,,9,0,1,,,,,,,,,0,,,68,72
2869,note_on,,49,0,1,,,,,,,,,0,,,68,0
2880,note_on,,11,0,1,,,,,,,,,0,,,68,68
3000,note_on,,346,0,2,,,,,,,,,1,,,60,79
3000,note_on,,120,0,1,,,,,,,,,0,,,63,62
3112,note_on,,112,0,1,,,,,,,,,0,,,63,0
3117,note_on,,117,0,2,,,,,,,,,1,,,60,0
3120,note_on,,3,0,2,,,,,,,,,1,,,61,80
3120,note_on,,8,0,1,,,,,,,,,0,,,65,76
3233,note_on,,113,0,1,,,,,,,,,0,,,65,0
3240,note_on,,120,0,2,,,,,,,,,1,,,58,84
3240,note_on,,7,0,1,,,,,,,,,0,,,61,60
3244,note_on,,4,0,2,,,,,,,,,1,,,61,0
3315,note_on,,75,0,1,,,,,,,,,0,,,68,0
3330,note_on,,15,0,1,,,,,,,,,0,,,70,68
3344,note_on,,14,0,1,,,,,,,,,0,,,70,0
3345,note_on,,1,0,1,,,,,,,,,0,,,68,72
3356,note_on,,11,0,1,,,,,,,,,0,,,68,0
3360,note_on,,4,0,1,,,,,,,,,0,,,67,80
3468,note_on,,108,0,1,,,,,,,,,0,,,61,0
3474,note_on,,230,0,2,,,,,,,,,1,,,58,0
3480,note_on,,12,0,1,,,,,,,,,0,,,60,52
3480,note_on,,0,0,1,,,,,,,,,0,,,65,64
3480,note_on,,6,0,2,,,,,,,,,1,,,56,82
3481,note_on,,1,0,1,,,,,,,,,0,,,67,0
3588,note_on,,108,0,2,,,,,,,,,1,,,56,0
3594,note_on,,113,0,1,,,,,,,,,0,,,60,0
3600,note_on,,12,0,2,,,,,,,,,1,,,55,92
3600,note_on,,6,0,1,,,,,,,,,0,,,58,64
3690,note_on,,90,0,1,,,,,,,,,0,,,67,72
3692,note_on,,2,0,1,,,,,,,,,0,,,65,0
3705,note_on,,13,0,1,,,,,,,,,0,,,65,72
3707,note_on,,2,0,1,,,,,,,,,0,,,67,0
3720,note_on,,13,0,1,,,,,,,,,0,,,63,68
3721,note_on,,1,0,1,,,,,,,,,0,,,65,0
3825,note_on,,104,0,1,,,,,,,,,0,,,63,0
3834,note_on,,9,0,1,,,,,,,,,0,,,58,0
3838,note_on,,238,0,2,,,,,,,,,1,,,55,0
3840,note_on,,6,0,1,,,,,,,,,0,,,61,60
3840,note_on,,0,0,1,,,,,,,,,0,,,56,62
3840,note_on,,2,0,2,,,,,,,,,1,,,53,82
3958,note_on,,118,0,2,,,,,,,,,1,,,53,0
3960,note_on,,120,0,1,,,,,,,,,0,,,55,64
3960,note_on,,2,0,2,,,,,,,,,1,,,52,84
3961,note_on,,1,0,1,,,,,,,,,0,,,56,0
4067,note_on,,106,0,1,,,,,,,,,0,,,55,0
4071,note_on,,4,0,1,,,,,,,,,0,,,61,0
4080,note_on,,120,0,2,,,,,,,,,1,,,53,77
4080,note_on,,9,0,1,,,,,,,,,0,,,56,53
4080,note_on,,0,0,1,,,,,,,,,0,,,60,59
4083,note_on,,3,0,2,,,,,,,,,1,,,52,0
4205,note_on,,122,0,2,,,,,,,,,1,,,53,0
4207,note_on,,127,0,1,,,,,,,,,0,,,60,0
4209,note_on,,2,0,1,,,,,,,,,0,,,56,0
4320,note_on,,111,0,1,,,,,,,,,0,,,65,80
4320,note_on,,115,0,2,,,,,,,,,1,,,49,92
4440,note_on,,120,0,1,,,,,,,,,0,,,53,60
4440,note_on,,0,0,1,,,,,,,,,0,,,56,62
4545,note_on,,105,0,1,,,,,,,,,0,,,53,0
4551,note_on,,6,0,1,,,,,,,,,0,,,56,0
4560,note_on,,9,0,1,,,,,,,,,0,,,55,80
4560,note_on,,0,0,1,,,,,,,,,0,,,58,45
4665,note_on,,105,0,1,,,,,,,,,0,,,58,0
4670,note_on,,350,0,2,,,,,,,,,1,,,49,0
4672,note_on,,7,0,1,,,,,,,,,0,,,55,0
4680,note_on,,8,0,1,,,,,,,,,0,,,56,62
4680,note_on,,0,0,1,,,,,,,,,0,,,60,85
4680,note_on,,10,0,2,,,,,,,,,1,,,48,92
4750,note_on,,70,0,1,,,,,,,,,0,,,65,0
4770,note_on,,20,0,1,,,,,,,,,0,,,67,80
4785,note_on,,15,0,1,,,,,,,,,0,,,60,0
4785,note_on,,0,0,1,,,,,,,,,0,,,65,64
4786,note_on,,1,0,1,,,,,,,,,0,,,67,0
4798,note_on,,12,0,1,,,,,,,,,0,,,65,0
4800,note_on,,2,0,1,,,,,,,,,0,,,63,62
4913,note_on,,233,0,2,,,,,,,,,1,,,48,0
4919,note_on,,119,0,1,,,,,,,,,0,,,63,0
4920,note_on,,1,0,1,,,,,,,,,0,,,61,72
