tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,control,value,channel,program,pitch,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,
0,pitchwheel,0,0,3,,,,,,,,,,,,,,,3,,0,,
0,pitchwheel,0,0,3,,,,,,,,,,,,,,,3,,0,,
0,control_change,0,0,3,,,,,,,,,,,,,93,28,3,,,,
0,control_change,0,0,3,,,,,,,,,,,,,91,100,3,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,3,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,,,,,64,0,2,,,,
0,control_change,0,0,2,,,,,,,,,,,,,7,122,2,,,,
0,control_change,0,0,2,,,,,,,,,,,,,10,73,2,,,,
0,program_change,0,0,2,,,,,,,,,,,,,,,2,0,,,
0,control_change,0,0,2,,,,,,,,,,,,,32,0,2,,,,
0,control_change,0,0,2,,,,,,,,,,,,,0,0,2,,,,
0,control_change,0,0,2,,,,,,,,,,,,,93,10,2,,,,
0,pitchwheel,0,0,2,,,,,,,,,,,,,,,2,,0,,
0,control_change,0,0,3,,,,,,,,,,,,,1,0,3,,,,
0,pitchwheel,0,0,2,,,,,,,,,,,,,,,2,,0,,
0,control_change,0,0,2,,,,,,,,,,,,,91,100,2,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,2,,,,,,,,,,,,,,,,,,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,1,,0,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,1,,0,,
0,program_change,0,0,1,,,,,,,,,,,,,,,1,0,,,
0,control_change,0,0,1,,,,,,,,,,,,,91,100,1,,,,
0,control_change,0,0,1,,,,,,,,,,,,,93,28,1,,,,
0,control_change,0,0,1,,,,,,,,,,,,,1,0,1,,,,
0,control_change,0,0,1,,,,,,,,,,,,,32,0,1,,,,
0,control_change,0,0,1,,,,,,,,,,,,,0,0,1,,,,
0,control_change,0,0,1,,,,,,,,,,,,,10,73,1,,,,
0,control_change,0,0,1,,,,,,,,,,,,,7,127,1,,,,
0,control_change,0,0,1,,,,,,,,,,,,,64,0,1,,,,
0,control_change,0,0,2,,,,,,,,,,,,,93,28,2,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,,,,,0,0,3,,,,
0,program_change,0,0,3,,,,,,,,,,,,,,,3,0,,,
0,program_change,0,0,5,,,,,,,,,,,,,,,5,0,,,
0,control_change,0,0,5,,,,,,,,,,,,,32,0,5,,,,
0,control_change,0,0,5,,,,,,,,,,,,,0,0,5,,,,
0,control_change,0,0,5,,,,,,,,,,,,,1,0,5,,,,
0,pitchwheel,0,0,5,,,,,,,,,,,,,,,5,,0,,
0,pitchwheel,0,0,5,,,,,,,,,,,,,,,5,,0,,
0,control_change,0,0,5,,,,,,,,,,,,,93,28,5,,,,
0,control_change,0,0,5,,,,,,,,,,,,,10,55,5,,,,
0,control_change,0,0,5,,,,,,,,,,,,,7,125,5,,,,
0,control_change,0,0,5,,,,,,,,,,,,,64,0,5,,,,
0,control_change,0,0,5,,,,,,,,,,,,,64,0,5,,,,
0,control_change,0,0,5,,,,,,,,,,,,,91,100,5,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,5,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,,,,,32,0,3,,,,
0,control_change,0,0,4,,,,,,,,,,,,,64,0,4,,,,
0,control_change,0,0,4,,,,,,,,,,,,,10,55,4,,,,
0,program_change,0,0,4,,,,,,,,,,,,,,,4,0,,,
0,control_change,0,0,4,,,,,,,,,,,,,32,0,4,,,,
0,control_change,0,0,4,,,,,,,,,,,,,0,0,4,,,,
0,control_change,0,0,4,,,,,,,,,,,,,1,0,4,,,,
0,pitchwheel,0,0,4,,,,,,,,,,,,,,,4,,0,,
0,pitchwheel,0,0,4,,,,,,,,,,,,,,,4,,0,,
0,control_change,0,0,4,,,,,,,,,,,,,93,28,4,,,,
0,control_change,0,0,4,,,,,,,,,,,,,91,100,4,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,4,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,,,,,64,0,3,,,,
0,control_change,0,0,3,,,,,,,,,,,,,7,112,3,,,,
0,control_change,0,0,3,,,,,,,,,,,,,10,64,3,,,,
0,control_change,0,0,4,,,,,,,,,,,,,7,120,4,,,,
0,instrument_name,0,1,1,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,,,,,1,0,2,,,,
0,smpte_offset,0,1,0,25,32,0,0,0,0,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,,500000,,,,,,,,,,,,
0,time_signature,0,1,0,,,,,,,,3,4,24,8,,,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,,F,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,,,,,,,,
1440,note_on,0,0,5,,,,,,,,,,,,,,,5,,,41,63
1440,set_tempo,1440,1,0,,,,,,,352941,,,,,,,,,,,,
1440,marker,0,1,0,,,,,,,,,,,,,,,,,,,
1440,note_on,1440,0,5,,,,,,,,,,,,,,,5,,,53,63
1440,note_on,1440,0,2,,,,,,,,,,,,,,,2,,,60,63
1480,note_on,40,0,2,,,,,,,,,,,,,,,2,,,65,64
1520,note_on,40,0,2,,,,,,,,,,,,,,,2,,,69,64
1560,set_tempo,120,1,0,,,,,,,465116,,,,,,,,,,,,
1560,note_on,1560,0,1,,,,,,,,,,,,,,,1,,,72,64
1735,note_off,295,0,5,,,,,,,,,,,,,,,5,,,41,0
1740,note_off,220,0,2,,,,,,,,,,,,,,,2,,,60,0
1740,note_off,0,0,2,,,,,,,,,,,,,,,2,,,69,0
1740,note_off,0,0,2,,,,,,,,,,,,,,,2,,,65,0
1740,note_off,5,0,5,,,,,,,,,,,,,,,5,,,53,0
1745,note_off,185,0,1,,,,,,,,,,,,,,,1,,,72,0
1920,note_on,180,0,5,,,,,,,,,,,,,,,5,,,48,66
1920,note_on,180,0,2,,,,,,,,,,,,,,,2,,,69,66
1920,note_on,175,0,1,,,,,,,,,,,,,,,1,,,72,66
1920,set_tempo,360,1,0,,,,,,,447761,,,,,,,,,,,,
2220,note_off,300,0,2,,,,,,,,,,,,,,,2,,,69,0
2220,note_off,300,0,1,,,,,,,,,,,,,,,1,,,72,0
2220,note_off,300,0,5,,,,,,,,,,,,,,,5,,,48,0
2400,note_on,180,0,2,,,,,,,,,,,,,,,2,,,69,68
2400,note_on,180,0,1,,,,,,,,,,,,,,,1,,,72,68
2400,note_on,180,0,5,,,,,,,,,,,,,,,5,,,45,68
2700,note_off,300,0,2,,,,,,,,,,,,,,,2,,,69,0
2705,note_off,305,0,1,,,,,,,,,,,,,,,1,,,72,0
2705,note_off,305,0,5,,,,,,,,,,,,,,,5,,,45,0
2880,note_on,180,0,2,,,,,,,,,,,,,,,2,,,69,71
2880,note_on,175,0,1,,,,,,,,,,,,,,,1,,,72,71
2880,note_on,175,0,5,,,,,,,,,,,,,,,5,,,41,71
2880,marker,960,1,0,,,,,,,,,,,,,,,,,,,
3180,note_off,300,0,5,,,,,,,,,,,,,,,5,,,41,0
3360,note_on,180,0,5,,,,,,,,,,,,,,,5,,,29,69
3600,note_on,720,0,1,,,,,,,,,,,,,,,1,,,74,68
3605,note_off,5,0,1,,,,,,,,,,,,,,,1,,,72,0
3610,note_off,730,0,2,,,,,,,,,,,,,,,2,,,69,0
3665,note_off,305,0,5,,,,,,,,,,,,,,,5,,,29,0
3695,note_off,90,0,1,,,,,,,,,,,,,,,1,,,74,0
3720,note_on,25,0,1,,,,,,,,,,,,,,,1,,,72,68
3815,note_off,95,0,1,,,,,,,,,,,,,,,1,,,72,0
