tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,channel,control,value,program,note,velocity
0,set_tempo,612192,0,1,0,,,,,,,,,,,
0,program_change,,0,0,1,,,,,,0,,,0,,
0,control_change,,0,0,1,,,,,,0,10,64,,,
0,control_change,,0,0,1,,,,,,0,7,100,,,
0,channel_prefix,,0,1,1,,,,,,0,,,,,
0,track_name,,0,1,1,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,
0,channel_prefix,,0,1,2,,,,,,1,,,,,
0,time_signature,,0,1,0,3,4,24,8,,,,,,,
0,key_signature,,0,1,0,,,,,C,,,,,,
0,control_change,,0,0,2,,,,,,1,7,100,,,
0,control_change,,0,0,2,,,,,,1,10,64,,,
0,program_change,,0,0,2,,,,,,1,,,0,,
576,note_on,,576,0,1,,,,,,0,,,,69,78
576,note_on,,0,0,1,,,,,,0,,,,72,78
576,note_on,,576,0,2,,,,,,1,,,,41,78
662,note_off,,86,0,2,,,,,,1,,,,41,0
672,note_on,,10,0,2,,,,,,1,,,,53,78
748,note_off,,172,0,1,,,,,,0,,,,72,0
748,note_off,,0,0,1,,,,,,0,,,,69,0
758,note_off,,86,0,2,,,,,,1,,,,53,0
768,note_on,,10,0,2,,,,,,1,,,,53,78
768,note_on,,0,0,1,,,,,,0,,,,72,78
768,note_on,,20,0,1,,,,,,0,,,,69,78
854,note_off,,86,0,2,,,,,,1,,,,53,0
864,note_on,,10,0,2,,,,,,1,,,,53,78
950,note_off,,86,0,2,,,,,,1,,,,53,0
960,note_on,,10,0,2,,,,,,1,,,,53,78
1027,note_off,,0,0,1,,,,,,0,,,,69,0
1027,note_off,,259,0,1,,,,,,0,,,,72,0
1046,note_off,,86,0,2,,,,,,1,,,,53,0
1056,note_on,,10,0,2,,,,,,1,,,,53,78
1056,note_on,,29,0,1,,,,,,0,,,,70,78
1056,note_on,,0,0,1,,,,,,0,,,,74,78
1142,note_off,,86,0,2,,,,,,1,,,,53,0
1142,note_off,,0,0,1,,,,,,0,,,,70,0
1142,note_off,,86,0,1,,,,,,0,,,,74,0
1152,note_on,,0,0,1,,,,,,0,,,,72,26
1152,note_on,,10,0,2,,,,,,1,,,,53,78
1152,note_on,,10,0,1,,,,,,0,,,,69,26
1173,note_off,,0,0,1,,,,,,0,,,,69,0
1173,note_off,,21,0,1,,,,,,0,,,,72,0
1176,note_on,,0,0,1,,,,,,0,,,,74,26
1176,note_on,,3,0,1,,,,,,0,,,,70,26
1197,note_off,,21,0,1,,,,,,0,,,,74,0
1197,note_off,,0,0,1,,,,,,0,,,,70,0
1200,note_on,,3,0,1,,,,,,0,,,,69,26
1200,note_on,,0,0,1,,,,,,0,,,,72,26
1221,note_off,,21,0,1,,,,,,0,,,,72,0
1221,note_off,,0,0,1,,,,,,0,,,,69,0
1224,note_on,,3,0,1,,,,,,0,,,,70,26
1224,note_on,,0,0,1,,,,,,0,,,,74,26
1238,note_off,,86,0,2,,,,,,1,,,,53,0
1245,note_off,,0,0,1,,,,,,0,,,,70,0
1245,note_off,,21,0,1,,,,,,0,,,,74,0
1248,note_on,,10,0,2,,,,,,1,,,,53,78
1248,note_on,,0,0,1,,,,,,0,,,,72,26
1248,note_on,,3,0,1,,,,,,0,,,,69,26
1269,note_off,,0,0,1,,,,,,0,,,,69,0
1269,note_off,,21,0,1,,,,,,0,,,,72,0
1272,note_on,,0,0,1,,,,,,0,,,,74,26
1272,note_on,,3,0,1,,,,,,0,,,,70,26
1293,note_off,,0,0,1,,,,,,0,,,,70,0
1293,note_off,,21,0,1,,,,,,0,,,,74,0
1296,note_on,,3,0,1,,,,,,0,,,,69,26
1296,note_on,,0,0,1,,,,,,0,,,,72,26
1317,note_off,,21,0,1,,,,,,0,,,,72,0
1317,note_off,,0,0,1,,,,,,0,,,,69,0
1320,note_on,,3,0,1,,,,,,0,,,,70,26
1320,note_on,,0,0,1,,,,,,0,,,,74,26
1334,note_off,,86,0,2,,,,,,1,,,,53,0
1341,note_off,,21,0,1,,,,,,0,,,,74,0
1341,note_off,,0,0,1,,,,,,0,,,,70,0
1344,note_on,,3,0,1,,,,,,0,,,,69,26
1344,note_on,,0,0,1,,,,,,0,,,,72,26
1344,note_on,,10,0,2,,,,,,1,,,,53,78
1365,note_off,,21,0,1,,,,,,0,,,,72,0
1365,note_off,,0,0,1,,,,,,0,,,,69,0
1368,note_on,,3,0,1,,,,,,0,,,,70,26
1368,note_on,,0,0,1,,,,,,0,,,,74,26
1389,note_off,,21,0,1,,,,,,0,,,,74,0
1389,note_off,,0,0,1,,,,,,0,,,,70,0
1392,note_on,,3,0,1,,,,,,0,,,,69,26
1392,note_on,,0,0,1,,,,,,0,,,,72,26
1413,note_off,,21,0,1,,,,,,0,,,,72,0
1413,note_off,,0,0,1,,,,,,0,,,,69,0
1416,note_on,,3,0,1,,,,,,0,,,,70,26
1416,note_on,,0,0,1,,,,,,0,,,,74,26
1430,note_off,,86,0,2,,,,,,1,,,,53,0
1437,note_off,,0,0,1,,,,,,0,,,,70,0
1437,note_off,,21,0,1,,,,,,0,,,,74,0
1440,note_on,,3,0,1,,,,,,0,,,,67,78
1440,note_on,,0,0,1,,,,,,0,,,,70,78
1440,note_on,,10,0,2,,,,,,1,,,,53,78
1526,note_off,,0,0,1,,,,,,0,,,,67,0
1526,note_off,,86,0,2,,,,,,1,,,,53,0
1526,note_off,,86,0,1,,,,,,0,,,,70,0
1536,note_on,,0,0,1,,,,,,0,,,,69,78
1536,note_on,,10,0,1,,,,,,0,,,,65,78
1536,note_on,,10,0,2,,,,,,1,,,,53,78
1622,note_off,,86,0,2,,,,,,1,,,,53,0
1632,note_on,,10,0,2,,,,,,1,,,,53,78
1708,note_off,,0,0,1,,,,,,0,,,,65,0
1708,note_off,,172,0,1,,,,,,0,,,,69,0
1718,note_off,,86,0,2,,,,,,1,,,,53,0
1728,note_on,,10,0,2,,,,,,1,,,,41,78
1728,note_on,,0,0,1,,,,,,0,,,,60,78
1728,note_on,,20,0,1,,,,,,0,,,,69,78
1814,note_off,,86,0,2,,,,,,1,,,,41,0
1824,note_on,,10,0,2,,,,,,1,,,,53,78
1900,note_off,,0,0,1,,,,,,0,,,,69,0
1900,note_off,,172,0,1,,,,,,0,,,,60,0
1910,note_off,,86,0,2,,,,,,1,,,,53,0
1920,note_on,,10,0,2,,,,,,1,,,,53,78
1920,note_on,,20,0,1,,,,,,0,,,,69,78
1920,note_on,,0,0,1,,,,,,0,,,,60,78
2006,note_off,,86,0,2,,,,,,1,,,,53,0
2016,note_on,,10,0,2,,,,,,1,,,,53,78
2102,note_off,,86,0,2,,,,,,1,,,,53,0
2112,note_on,,10,0,2,,,,,,1,,,,53,78
2179,note_off,,259,0,1,,,,,,0,,,,60,0
2179,note_off,,0,0,1,,,,,,0,,,,69,0
2198,note_off,,86,0,2,,,,,,1,,,,53,0
2208,note_on,,0,0,1,,,,,,0,,,,62,78
2208,note_on,,29,0,1,,,,,,0,,,,70,78
2208,note_on,,10,0,2,,,,,,1,,,,53,78
2294,note_off,,0,0,1,,,,,,0,,,,70,0
2294,note_off,,86,0,1,,,,,,0,,,,62,0
2294,note_off,,86,0,2,,,,,,1,,,,53,0
2304,note_on,,10,0,2,,,,,,1,,,,53,78
2304,note_on,,10,0,1,,,,,,0,,,,60,26
2304,note_on,,0,0,1,,,,,,0,,,,69,26
2325,note_off,,21,0,1,,,,,,0,,,,69,0
2325,note_off,,0,0,1,,,,,,0,,,,60,0
2328,note_on,,3,0,1,,,,,,0,,,,62,26
2328,note_on,,0,0,1,,,,,,0,,,,70,26
