tick,type,data,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,sequencer_specific,"(0, 0, 65)",0,1,0,,,,,,,,,,,,,
0,control_change,,0,0,5,,,,,,,,,4,7,127,,
0,program_change,,0,0,5,,,,,,,,48,4,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,
0,midi_port,,0,1,5,,,,,,,0,,,,,,
0,control_change,,0,0,4,,,,,,,,,3,32,0,,
0,control_change,,0,0,4,,,,,,,,,3,0,0,,
0,control_change,,0,0,4,,,,,,,,,3,10,20,,
0,control_change,,0,0,4,,,,,,,,,3,7,127,,
0,program_change,,0,0,4,,,,,,,,48,3,,,,
0,track_name,,0,1,4,,,,,,,,,,,,,
0,midi_port,,0,1,4,,,,,,,0,,,,,,
0,control_change,,0,0,3,,,,,,,,,2,32,0,,
0,control_change,,0,0,3,,,,,,,,,2,0,0,,
0,control_change,,0,0,3,,,,,,,,,2,10,67,,
0,control_change,,0,0,5,,,,,,,,,4,10,40,,
0,control_change,,0,0,3,,,,,,,,,2,7,127,,
0,track_name,,0,1,3,,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,,0,,,,,,
0,control_change,,0,0,2,,,,,,,,,1,32,0,,
0,control_change,,0,0,2,,,,,,,,,1,0,0,,
0,control_change,,0,0,2,,,,,,,,,1,10,30,,
0,control_change,,0,0,2,,,,,,,,,1,7,127,,
0,program_change,,0,0,2,,,,,,,,60,1,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,
0,midi_port,,0,1,2,,,,,,,0,,,,,,
0,control_change,,0,0,1,,,,,,,,,0,32,0,,
0,control_change,,0,0,1,,,,,,,,,0,0,0,,
0,control_change,,0,0,1,,,,,,,,,0,10,20,,
0,control_change,,0,0,1,,,,,,,,,0,7,127,,
0,program_change,,0,0,1,,,,,,,,68,0,,,,
0,program_change,,0,0,3,,,,,,,,60,2,,,,
0,control_change,,0,0,5,,,,,,,,,4,0,0,,
0,control_change,,0,0,5,,,,,,,,,4,32,0,,
0,track_name,,0,1,12,,,,,,,,,,,,,
0,midi_port,,0,1,12,,,,,,,0,,,,,,
0,end_of_track,,0,1,11,,,,,,,,,,,,,
0,track_name,,0,1,11,,,,,,,,,,,,,
0,midi_port,,0,1,11,,,,,,,0,,,,,,
0,end_of_track,,0,1,10,,,,,,,,,,,,,
0,track_name,,0,1,10,,,,,,,,,,,,,
0,midi_port,,0,1,10,,,,,,,0,,,,,,
0,end_of_track,,0,1,9,,,,,,,,,,,,,
0,track_name,,0,1,9,,,,,,,,,,,,,
0,midi_port,,0,1,9,,,,,,,0,,,,,,
0,control_change,,0,0,8,,,,,,,,,7,32,0,,
0,control_change,,0,0,8,,,,,,,,,7,0,0,,
0,control_change,,0,0,8,,,,,,,,,7,10,120,,
0,control_change,,0,0,8,,,,,,,,,7,7,127,,
0,program_change,,0,0,8,,,,,,,,48,7,,,,
0,track_name,,0,1,8,,,,,,,,,,,,,
0,midi_port,,0,1,8,,,,,,,0,,,,,,
0,midi_port,,0,1,6,,,,,,,0,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,
0,program_change,,0,0,6,,,,,,,,48,5,,,,
0,control_change,,0,0,6,,,,,,,,,5,7,127,,
0,control_change,,0,0,6,,,,,,,,,5,10,85,,
0,control_change,,0,0,6,,,,,,,,,5,0,0,,
0,track_name,,0,1,1,,,,,,,,,,,,,
0,control_change,,0,0,6,,,,,,,,,5,32,0,,
0,track_name,,0,1,7,,,,,,,,,,,,,
0,program_change,,0,0,7,,,,,,,,48,6,,,,
0,control_change,,0,0,7,,,,,,,,,6,7,127,,
0,control_change,,0,0,7,,,,,,,,,6,10,95,,
0,control_change,,0,0,7,,,,,,,,,6,0,0,,
0,control_change,,0,0,7,,,,,,,,,6,32,0,,
0,midi_port,,0,1,7,,,,,,,0,,,,,,
0,midi_port,,0,1,1,,,,,,,0,,,,,,
0,end_of_track,,0,1,12,,,,,,,,,,,,,
0,time_signature,,0,1,0,2,4,24,8,,,,,,,,,
0,key_signature,,0,1,0,,,,,Eb,,,,,,,,
0,set_tempo,,0,1,0,,,,,,461538,,,,,,,
0,marker,,0,1,0,,,,,,,,,,,,,
15,control_change,,15,0,4,,,,,,,,,3,121,0,,
15,control_change,,15,0,7,,,,,,,,,6,12,0,,
16,control_change,,16,0,2,,,,,,,,,1,121,0,,
17,control_change,,17,0,6,,,,,,,,,5,121,0,,
17,control_change,,17,0,8,,,,,,,,,7,121,0,,
18,control_change,,18,0,5,,,,,,,,,4,121,0,,
20,control_change,,20,0,1,,,,,,,,,0,121,0,,
26,control_change,,9,0,6,,,,,,,,,5,7,127,,
30,control_change,,30,0,3,,,,,,,,,2,121,0,,
30,control_change,,14,0,2,,,,,,,,,1,7,127,,
30,control_change,,15,0,7,,,,,,,,,6,7,127,,
32,control_change,,15,0,8,,,,,,,,,7,7,127,,
33,control_change,,18,0,4,,,,,,,,,3,7,127,,
41,control_change,,11,0,3,,,,,,,,,2,7,127,,
42,control_change,,22,0,1,,,,,,,,,0,7,127,,
42,control_change,,24,0,5,,,,,,,,,4,7,127,,
50,control_change,,20,0,7,,,,,,,,,6,91,100,,
50,control_change,,17,0,4,,,,,,,,,3,91,110,,
51,control_change,,25,0,6,,,,,,,,,5,91,100,,
51,control_change,,19,0,8,,,,,,,,,7,91,100,,
51,control_change,,21,0,2,,,,,,,,,1,91,100,,
55,control_change,,13,0,1,,,,,,,,,0,91,100,,
61,control_change,,19,0,5,,,,,,,,,4,91,100,,
61,control_change,,11,0,7,,,,,,,,,6,93,10,,
66,control_change,,15,0,2,,,,,,,,,1,93,10,,
67,control_change,,16,0,6,,,,,,,,,5,93,10,,
68,control_change,,17,0,8,,,,,,,,,7,93,10,,
70,control_change,,20,0,4,,,,,,,,,3,93,20,,
71,control_change,,10,0,5,,,,,,,,,4,93,10,,
72,control_change,,31,0,3,,,,,,,,,2,93,0,,
73,control_change,,18,0,1,,,,,,,,,0,93,20,,
92,control_change,,20,0,3,,,,,,,,,2,91,100,,
114,control_change,,41,0,1,,,,,,,,,0,1,25,,
384,program_change,,317,0,6,,,,,,,,48,5,,,,
384,program_change,,292,0,3,,,,,,,,60,2,,,,
384,program_change,,314,0,4,,,,,,,,48,3,,,,
384,program_change,,318,0,2,,,,,,,,60,1,,,,
384,program_change,,323,0,7,,,,,,,,48,6,,,,
384,program_change,,313,0,5,,,,,,,,48,4,,,,
384,program_change,,316,0,8,,,,,,,,48,7,,,,
384,program_change,,270,0,1,,,,,,,,68,0,,,,
640,note_on,,256,0,3,,,,,,,,,2,,,58,90
700,note_on,,60,0,3,,,,,,,,,2,,,58,0
768,note_on,,384,0,4,,,,,,,,,3,,,63,62
768,note_on,,384,0,7,,,,,,,,,6,,,51,47
768,note_on,,384,0,5,,,,,,,,,4,,,55,43
768,note_on,,384,0,6,,,,,,,,,5,,,58,34
768,note_on,,68,0,3,,,,,,,,,2,,,63,90
768,note_on,,384,0,8,,,,,,,,,7,,,39,39
828,note_on,,60,0,3,,,,,,,,,2,,,63,0
896,note_on,,68,0,3,,,,,,,,,2,,,63,90
956,note_on,,60,0,3,,,,,,,,,2,,,63,0
1020,note_on,,252,0,8,,,,,,,,,7,,,39,0
1020,note_on,,252,0,6,,,,,,,,,5,,,58,0
1020,note_on,,252,0,7,,,,,,,,,6,,,51,0
1020,note_on,,252,0,4,,,,,,,,,3,,,63,0
1020,note_on,,252,0,5,,,,,,,,,4,,,55,0
1024,note_on,,68,0,3,,,,,,,,,2,,,63,90
1084,note_on,,60,0,3,,,,,,,,,2,,,63,0
1152,note_on,,132,0,5,,,,,,,,,4,,,58,43
1152,note_on,,132,0,4,,,,,,,,,3,,,63,62
1152,note_on,,132,0,8,,,,,,,,,7,,,43,39
