tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,note,velocity,channel,control,value
0,time_signature,4,4,24,8,0,1,0,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,
0,track_name,,,,,0,1,5,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,
0,track_name,,,,,0,1,4,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,
0,track_name,,,,,0,1,3,,,,,,
0,end_of_track,,,,,0,1,2,,,,,,
0,track_name,,,,,0,1,2,,,,,,
0,track_name,,,,,0,1,6,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,
0,note_on,,,,,0,0,1,,73,45,0,,
0,track_name,,,,,0,1,1,,,,,,
0,end_of_track,,,,,0,1,0,,,,,,
0,set_tempo,,,,,0,1,0,500000,,,,,
136,control_change,,,,,136,0,1,,,,0,64,127
158,note_on,,,,,22,0,1,,75,43,0,,
171,note_on,,,,,13,0,1,,73,0,0,,
347,note_on,,,,,176,0,1,,76,45,0,,
355,note_on,,,,,8,0,1,,75,0,0,,
363,note_on,,,,,8,0,1,,49,22,0,,
366,control_change,,,,,3,0,1,,,,0,64,0
412,control_change,,,,,46,0,1,,,,0,64,127
468,note_on,,,,,56,0,1,,49,0,0,,
546,note_on,,,,,78,0,1,,64,24,0,,
553,note_on,,,,,7,0,1,,56,30,0,,
592,note_on,,,,,39,0,1,,64,0,0,,
597,note_on,,,,,5,0,1,,56,0,0,,
641,note_on,,,,,44,0,1,,76,0,0,,
678,note_on,,,,,37,0,1,,80,37,0,,
680,note_on,,,,,2,0,1,,56,29,0,,
681,note_on,,,,,1,0,1,,64,16,0,,
710,note_on,,,,,29,0,1,,64,0,0,,
713,note_on,,,,,3,0,1,,56,0,0,,
795,note_on,,,,,82,0,1,,64,31,0,,
803,note_on,,,,,8,0,1,,56,27,0,,
820,note_on,,,,,17,0,1,,64,0,0,,
827,note_on,,,,,7,0,1,,56,0,0,,
958,note_on,,,,,131,0,1,,49,32,0,,
966,control_change,,,,,8,0,1,,,,0,64,0
985,control_change,,,,,19,0,1,,,,0,64,127
1033,note_on,,,,,48,0,1,,49,0,0,,
1085,note_on,,,,,52,0,1,,56,30,0,,
1086,note_on,,,,,1,0,1,,64,26,0,,
1127,note_on,,,,,41,0,1,,64,0,0,,
1133,note_on,,,,,6,0,1,,56,0,0,,
1192,note_on,,,,,59,0,1,,64,30,0,,
