tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,control,value,channel,program,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,,
0,note_on,,,,,0,0,1,,,,,0,,72,43
0,program_change,,,,,0,0,1,,,,,0,0,,
0,track_name,,,,,0,1,1,,,,,,,,
0,control_change,,,,,0,0,1,,,10,30,1,,,
0,control_change,,,,,0,0,1,,,91,60,1,,,
0,control_change,,,,,0,0,1,,,121,0,1,,,
0,control_change,,,,,0,0,1,,,7,100,0,,,
0,control_change,,,,,0,0,1,,,10,90,0,,,
0,control_change,,,,,0,0,1,,,91,60,0,,,
0,control_change,,,,,0,0,1,,,121,0,0,,,
0,control_change,,,,,0,0,1,,,7,100,1,,,
0,time_signature,4,4,24,8,0,1,0,,,,,,,,
0,key_signature,,,,,0,1,0,C,,,,,,,
0,set_tempo,,,,,0,1,0,,1363636,,,,,,
128,note_on,,,,,0,0,1,,,,,0,,74,53
128,note_on,,,,,128,0,1,,,,,0,,72,0
256,note_on,,,,,128,0,1,,,,,0,,74,0
256,note_on,,,,,0,0,1,,,,,0,,76,52
256,note_on,,,,,0,0,1,,,,,1,,38,40
256,program_change,,,,,0,0,1,,,,,1,0,,
256,note_on,,,,,0,0,1,,,,,0,,65,47
256,note_on,,,,,0,0,1,,,,,1,,26,40
384,note_on,,,,,128,0,1,,,,,0,,65,0
384,note_on,,,,,0,0,1,,,,,0,,67,51
512,note_on,,,,,128,0,1,,,,,0,,76,0
512,note_on,,,,,0,0,1,,,,,0,,67,0
512,note_on,,,,,0,0,1,,,,,0,,72,43
512,note_on,,,,,0,0,1,,,,,1,,47,54
512,note_on,,,,,0,0,1,,,,,1,,26,0
512,note_on,,,,,0,0,1,,,,,1,,38,0
512,note_on,,,,,0,0,1,,,,,1,,35,54
512,note_on,,,,,0,0,1,,,,,0,,69,50
640,note_on,,,,,128,0,1,,,,,0,,69,0
640,note_on,,,,,0,0,1,,,,,0,,77,59
768,note_on,,,,,128,0,1,,,,,0,,72,0
768,note_on,,,,,0,0,1,,,,,0,,77,0
768,note_on,,,,,0,0,1,,,,,0,,79,58
768,note_on,,,,,0,0,1,,,,,0,,76,52
768,note_on,,,,,0,0,1,,,,,1,,60,46
832,note_on,,,,,64,0,1,,,,,0,,76,0
832,note_on,,,,,0,0,1,,,,,0,,74,53
896,note_on,,,,,64,0,1,,,,,0,,79,0
896,note_on,,,,,0,0,1,,,,,0,,77,49
896,note_on,,,,,0,0,1,,,,,0,,74,0
