tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,control,value,channel,program,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,,
0,note_on,,,,,0,0,1,,,,,0,,58,85
0,track_name,,,,,0,1,1,,,,,,,,
0,control_change,,,,,0,0,1,,,7,100,0,,,
0,control_change,,,,,0,0,1,,,10,30,0,,,
0,control_change,,,,,0,0,1,,,91,60,0,,,
0,control_change,,,,,0,0,1,,,121,0,0,,,
0,control_change,,,,,0,0,1,,,7,100,0,,,
0,control_change,,,,,0,0,1,,,10,90,0,,,
0,control_change,,,,,0,0,1,,,91,60,0,,,
0,control_change,,,,,0,0,1,,,121,0,0,,,
0,program_change,,,,,0,0,1,,,,,0,0,,
0,set_tempo,,,,,0,1,0,,1000000,,,,,,
0,time_signature,2,1,96,8,0,1,0,,,,,,,,
0,key_signature,,,,,0,1,0,C,,,,,,,
256,set_tempo,,,,,256,1,0,,652173,,,,,,
256,note_on,,,,,0,0,1,,,,,0,,58,0
256,note_on,,,,,256,0,1,,,,,0,,59,91
292,note_on,,,,,0,0,1,,,,,0,,64,108
292,note_on,,,,,36,0,1,,,,,0,,59,0
329,note_on,,,,,37,0,1,,,,,0,,64,0
329,note_on,,,,,0,0,1,,,,,0,,65,106
365,note_on,,,,,0,0,1,,,,,0,,67,102
365,note_on,,,,,36,0,1,,,,,0,,65,0
402,note_on,,,,,0,0,1,,,,,0,,69,103
402,note_on,,,,,37,0,1,,,,,0,,67,0
438,note_on,,,,,0,0,1,,,,,0,,71,101
438,note_on,,,,,36,0,1,,,,,0,,69,0
475,note_on,,,,,0,0,1,,,,,0,,72,103
475,note_on,,,,,37,0,1,,,,,0,,71,0
512,note_on,,,,,0,0,1,,,,,0,,73,107
512,note_on,,,,,37,0,1,,,,,0,,72,0
640,note_on,,,,,128,0,1,,,,,0,,73,0
640,note_on,,,,,0,0,1,,,,,0,,72,92
665,note_on,,,,,25,0,1,,,,,0,,72,0
665,note_on,,,,,0,0,1,,,,,0,,77,113
691,note_on,,,,,26,0,1,,,,,0,,77,0
691,note_on,,,,,0,0,1,,,,,0,,79,104
716,note_on,,,,,25,0,1,,,,,0,,79,0
716,note_on,,,,,0,0,1,,,,,0,,81,104
742,note_on,,,,,26,0,1,,,,,0,,81,0
742,note_on,,,,,0,0,1,,,,,0,,83,111
768,note_on,,,,,26,0,1,,,,,0,,83,0
768,note_on,,,,,0,0,1,,,,,0,,88,127
896,note_on,,,,,0,0,1,,,,,0,,86,118
896,note_on,,,,,128,0,1,,,,,0,,88,0
1024,note_on,,,,,128,0,1,,,,,0,,86,0
1280,note_on,,,,,256,0,1,,,,,0,,77,88
1312,note_on,,,,,32,0,1,,,,,0,,77,0
1312,note_on,,,,,0,0,1,,,,,0,,76,90
1344,note_on,,,,,32,0,1,,,,,0,,76,0
1344,note_on,,,,,0,0,1,,,,,0,,73,89
1376,note_on,,,,,32,0,1,,,,,0,,73,0
1376,note_on,,,,,0,0,1,,,,,0,,72,92
1408,note_on,,,,,0,0,1,,,,,0,,59,91
1408,note_on,,,,,32,0,1,,,,,0,,72,0
1408,note_on,,,,,0,0,1,,,,,0,,70,91
1536,note_on,,,,,128,0,1,,,,,0,,59,0
1536,note_on,,,,,0,0,1,,,,,0,,70,0
1536,note_on,,,,,0,0,1,,,,,0,,69,90
1568,note_on,,,,,32,0,1,,,,,0,,69,0
1568,note_on,,,,,0,0,1,,,,,0,,71,101
1568,set_tempo,,,,,1312,1,0,,1000000,,,,,,
1824,note_on,,,,,256,0,1,,,,,0,,71,0
2048,set_tempo,,,,,0,1,0,,652173,,,,,,
2048,time_signature,9,4,24,8,480,1,0,,,,,,,,
2048,note_on,,,,,224,0,1,,,,,0,,41,52
2304,note_on,,,,,256,0,1,,,,,0,,41,0
2304,note_on,,,,,0,0,1,,,,,0,,43,59
2560,note_on,,,,,0,0,1,,,,,0,,45,62
2560,note_on,,,,,256,0,1,,,,,0,,43,0
2688,note_on,,,,,128,0,1,,,,,0,,45,0
2688,note_on,,,,,0,0,1,,,,,0,,50,67
2816,note_on,,,,,128,0,1,,,,,0,,50,0
2816,note_on,,,,,0,0,1,,,,,0,,52,68
2944,note_on,,,,,128,0,1,,,,,0,,52,0
2944,note_on,,,,,0,0,1,,,,,0,,51,67
3200,note_on,,,,,256,0,1,,,,,0,,51,0
