tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,control,value,channel,program,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,,
0,control_change,,,,,0,0,1,,,91,60,0,,,
0,control_change,,,,,0,0,1,,,121,0,0,,,
0,control_change,,,,,0,0,1,,,121,0,1,,,
0,control_change,,,,,0,0,1,,,91,60,1,,,
0,control_change,,,,,0,0,1,,,10,30,1,,,
0,control_change,,,,,0,0,1,,,7,80,1,,,
0,control_change,,,,,0,0,1,,,64,127,1,,,
0,track_name,,,,,0,1,1,,,,,,,,
0,program_change,,,,,0,0,1,,,,,1,0,,
0,note_on,,,,,0,0,1,,,,,1,,28,51
0,note_on,,,,,0,0,1,,,,,1,,40,51
0,control_change,,,,,0,0,1,,,10,90,0,,,
0,control_change,,,,,0,0,1,,,7,100,0,,,
0,key_signature,,,,,0,1,0,C,,,,,,,
0,set_tempo,,,,,0,1,0,,1904761,,,,,,
128,note_on,,,,,128,0,1,,,,,1,,52,56
256,control_change,,,,,128,0,1,,,64,127,0,,,
256,program_change,,,,,0,0,1,,,,,0,0,,
256,note_on,,,,,0,0,1,,,,,0,,83,54
256,note_on,,,,,0,0,1,,,,,1,,28,0
256,note_on,,,,,0,0,1,,,,,1,,29,52
256,note_on,,,,,0,0,1,,,,,1,,52,0
256,note_on,,,,,0,0,1,,,,,1,,41,52
256,control_change,,,,,0,0,1,,,64,0,1,,,
256,control_change,,,,,0,0,1,,,64,127,1,,,
256,note_on,,,,,0,0,1,,,,,1,,40,0
384,note_on,,,,,128,0,1,,,,,1,,52,49
512,note_on,,,,,0,0,1,,,,,1,,43,52
512,note_on,,,,,0,0,1,,,,,1,,31,52
512,note_on,,,,,0,0,1,,,,,1,,52,0
512,note_on,,,,,0,0,1,,,,,1,,29,0
512,note_on,,,,,0,0,1,,,,,0,,81,56
512,control_change,,,,,0,0,1,,,64,127,1,,,
512,control_change,,,,,0,0,1,,,64,0,1,,,
512,control_change,,,,,0,0,1,,,64,0,0,,,
512,control_change,,,,,0,0,1,,,64,127,0,,,
512,note_on,,,,,0,0,1,,,,,1,,41,0
512,note_on,,,,,128,0,1,,,,,0,,83,0
537,note_on,,,,,25,0,1,,,,,0,,81,0
537,note_on,,,,,0,0,1,,,,,0,,79,55
563,note_on,,,,,26,0,1,,,,,0,,79,0
563,note_on,,,,,0,0,1,,,,,0,,77,59
588,note_on,,,,,0,0,1,,,,,0,,76,60
588,note_on,,,,,25,0,1,,,,,0,,77,0
614,note_on,,,,,0,0,1,,,,,0,,74,55
614,note_on,,,,,26,0,1,,,,,0,,76,0
640,note_on,,,,,0,0,1,,,,,1,,52,53
640,note_on,,,,,0,0,1,,,,,0,,79,74
640,note_on,,,,,26,0,1,,,,,0,,74,0
768,note_on,,,,,0,0,1,,,,,1,,33,52
768,note_on,,,,,0,0,1,,,,,1,,52,0
768,note_on,,,,,0,0,1,,,,,1,,43,0
768,note_on,,,,,0,0,1,,,,,1,,31,0
768,control_change,,,,,0,0,1,,,64,127,1,,,
768,control_change,,,,,0,0,1,,,64,127,0,,,
768,control_change,,,,,128,0,1,,,64,0,0,,,
768,note_on,,,,,0,0,1,,,,,1,,45,52
768,control_change,,,,,0,0,1,,,64,0,1,,,
896,note_on,,,,,128,0,1,,,,,0,,79,0
896,note_on,,,,,0,0,1,,,,,1,,52,51
